popPred_spline_abscissa,popPred_spline,popPred_ciAbscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ciAbscissa,indivPred_piLower,indivPred_piUpper,split
5.60523,5.32138,5.60523,5.07097,6.1395,4.05875,4.04544,4.05875,3.52449,4.59302,All
5.65856,5.30355,5.65856,5.1243,6.19282,4.17771,4.18002,4.17771,3.64345,4.71198,All
5.66172,5.30249,5.66172,5.12745,6.19598,4.25703,4.25729,4.25703,3.72277,4.79129,All
5.71204,5.28566,5.71204,5.17777,6.2463,4.32141,4.33467,4.32141,3.78715,4.85568,All
5.71877,5.28341,5.71877,5.18451,6.25303,4.46499,4.48509,4.46499,3.93073,4.99926,All
5.76551,5.25987,5.76551,5.23125,6.29978,4.46511,4.48523,4.46511,3.93085,4.99938,All
5.7764,5.25303,5.7764,5.24214,6.31066,4.60881,4.62484,4.60881,4.07455,5.14307,All
5.81899,5.2263,5.81899,5.28473,6.35325,4.68312,4.69919,4.68312,4.14885,5.21738,All
5.83461,5.21649,5.83461,5.30035,6.36887,4.75251,4.78057,4.75251,4.21825,5.28677,All
5.87247,5.19272,5.87247,5.3382,6.40673,4.89621,4.9085,4.89621,4.36195,5.43047,All
5.89341,5.17958,5.89341,5.35914,6.42767,4.9119,4.9191,4.9119,4.37763,5.44616,All
5.92594,5.17554,5.92594,5.39168,6.46021,5.03991,5.03973,5.03991,4.50565,5.57417,All
5.9528,5.17357,5.9528,5.41853,6.48706,5.15185,5.14215,5.15185,4.61759,5.68611,All
5.97942,5.17161,5.97942,5.44516,6.51368,5.18361,5.1766,5.18361,4.64935,5.71787,All
6.01278,5.16917,6.01278,5.47852,6.54705,5.32731,5.32485,5.32731,4.79305,5.86157,All
6.0329,5.16769,6.0329,5.49863,6.56716,5.40353,5.39014,5.40353,4.86927,5.93779,All
6.07338,5.16172,6.07338,5.53911,6.60764,5.47101,5.46156,5.47101,4.93675,6.00527,All
6.08637,5.15627,6.08637,5.55211,6.62064,5.61471,5.61181,5.61471,5.08044,6.14897,All
6.13458,5.13606,6.13458,5.60031,6.66884,5.6675,5.66771,5.6675,5.13324,6.20176,All
6.13985,5.13385,6.13985,5.60559,6.67411,5.75841,5.73802,5.75841,5.22414,6.29267,All
6.19333,5.11142,6.19333,5.65906,6.72759,5.90211,5.88109,5.90211,5.36784,6.43637,All
