popPred_spline_abscissa,popPred_spline,popPred_ciAbscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ciAbscissa,indivPred_piLower,indivPred_piUpper,split
5.25464,4.8158,5.25464,4.43701,6.07228,3.99079,3.94983,3.99079,3.21483,4.76675,All
5.27579,4.82298,5.27579,4.45746,6.09412,4.11375,4.10047,4.11375,3.33374,4.89377,All
5.31569,4.71375,5.31569,4.49604,6.13533,4.11773,4.10422,4.11773,3.33758,4.89787,All
5.34173,4.83584,5.34173,4.52123,6.16224,4.24467,4.21994,4.24467,3.46034,5.029,All
5.37673,4.85643,5.37673,4.55507,6.19839,4.28541,4.28195,4.28541,3.49974,5.07109,All
5.4085,4.87489,5.4085,4.58579,6.2312,4.37161,4.38278,4.37161,3.58309,5.16013,All
5.43777,4.77366,5.43777,4.6141,6.26145,4.46423,4.4573,4.46423,3.67266,5.25581,All
5.47609,4.97612,5.47609,4.65116,6.30103,4.49855,4.49478,4.49855,3.70584,5.29125,All
5.49882,4.90731,5.49882,4.67313,6.3245,4.62549,4.64366,4.62549,3.8286,5.42238,All
5.54453,5.03363,5.54453,4.71734,6.37173,4.65052,4.67078,4.65052,3.85281,5.44823,All
5.55986,5.12123,5.55986,4.73216,6.38756,4.75243,4.74042,4.75243,3.95135,5.5535,All
5.61383,5.272,5.61383,4.78435,6.44331,4.84458,4.85711,4.84458,4.04047,5.64869,All
5.6209,5.28172,5.6209,4.79119,6.45061,4.87937,4.87818,4.87937,4.07411,5.68463,All
5.68195,5.36944,5.68195,4.85022,6.51367,5.00631,5.03408,5.00631,4.19686,5.81575,All
5.684,5.37249,5.684,4.85221,6.51579,5.04673,5.04245,5.04673,4.23596,5.85751,All
5.74299,5.44175,5.74299,4.90925,6.57673,5.13325,5.13693,5.13325,4.31962,5.94688,All
5.75504,5.44696,5.75504,4.9209,6.58917,5.25733,5.26727,5.25733,4.4396,6.07505,All
5.80403,5.45888,5.80403,4.96828,6.63978,5.26019,5.27113,5.26019,4.44237,6.078,All
5.82697,5.45634,5.82697,4.99046,6.66347,5.38713,5.40928,5.38713,4.56513,6.20913,All
5.86508,5.4499,5.86508,5.02731,6.70284,5.47671,5.50867,5.47671,4.65175,6.30166,All
5.89979,5.45033,5.89979,5.06089,6.7387,5.51407,5.51146,5.51407,4.68788,6.34026,All
5.92612,5.45621,5.92612,5.08635,6.76589,5.64101,5.67713,5.64101,4.81063,6.47138,All
5.97353,5.4942,5.97353,5.13219,6.81487,5.70524,5.7747,5.70524,4.87275,6.53773,All
5.98716,5.5094,5.98716,5.14538,6.82895,5.76795,5.84549,5.76795,4.93339,6.60251,All
6.04819,5.60163,6.04819,5.20439,6.89199,5.89489,5.95212,5.89489,5.05614,6.73363,All
6.04821,5.60166,6.04821,5.20441,6.89201,5.94331,6.02981,5.94331,5.10297,6.78365,All
6.10925,5.71486,6.10925,5.26344,6.95506,6.02183,6.11946,6.02183,5.1789,6.86476,All
6.12378,5.74225,6.12378,5.27749,6.97007,6.14877,6.21909,6.14877,5.30165,6.99588,All
6.17029,5.82831,6.17029,5.32247,7.01812,6.19131,6.27175,6.19131,5.34279,7.03983,All
6.20032,5.87952,6.20032,5.3515,7.04914,6.27571,6.37717,6.27571,5.42441,7.12701,All
6.23134,5.92747,6.23134,5.3815,7.08117,6.40265,6.51096,6.40265,5.54716,7.25813,All
