initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,lk_abscissa,lk_cdf,lae_abscissa,lae_cdf,lw_abscissa,lw_cdf,dE_abscissa,dE_cdf,split
-14.5307,0.0647059,14.8542,0.0627451,0.00841589,0.0627451,-4.95276,0.0627451,-5.53459,0.0627451,-1.03546,0.0627451,2.37451,0.0647059,0.0277094,0.0627451,All
-14.4754,0.0666667,14.8622,0.0647059,0.00841635,0.0647059,-4.95273,0.0647059,-5.5332,0.0647059,-1.02924,0.0647059,2.37492,0.0666667,0.0278206,0.0647059,All
-14.4621,0.0686275,14.8667,0.0666667,0.00842976,0.0666667,-4.95271,0.0666667,-5.52319,0.0666667,-1.01901,0.0666667,2.37684,0.0686275,0.0281695,0.0666667,All
-14.4589,0.0705882,14.8727,0.0686275,0.00843007,0.0686275,-4.95263,0.0686275,-5.52108,0.0686275,-1.0058,0.0686275,2.39662,0.0705882,0.0282065,0.0686275,All
-14.409,0.072549,14.8802,0.0705882,0.00844265,0.0705882,-4.95255,0.0705882,-5.51376,0.0705882,-1.00393,0.0705882,2.39673,0.072549,0.0282953,0.0705882,All
-14.3401,0.0745098,14.8883,0.072549,0.00844313,0.072549,-4.95243,0.072549,-5.51198,0.072549,-0.997891,0.072549,2.40632,0.0745098,0.0283211,0.072549,All
-14.3382,0.0764706,14.8897,0.0745098,0.00844894,0.0745098,-4.95221,0.0745098,-5.48696,0.0745098,-0.995152,0.0745098,2.4227,0.0764706,0.0284081,0.0745098,All
-14.3033,0.0784314,14.8939,0.0764706,0.00845354,0.0764706,-4.95218,0.0764706,-5.48084,0.0764706,-0.991751,0.0764706,2.43909,0.0784314,0.0284927,0.0764706,All
-14.2795,0.0803922,14.8965,0.0784314,0.00846072,0.0784314,-4.95211,0.0784314,-5.47328,0.0784314,-0.986356,0.0784314,2.4561,0.0803922,0.0288896,0.0784314,All
-14.2785,0.0823529,14.9073,0.0803922,0.00846076,0.0803922,-4.95194,0.0803922,-5.46113,0.0803922,-0.984373,0.0803922,2.45769,0.0823529,0.0292611,0.0803922,All
-14.1922,0.0843137,14.9131,0.0823529,0.00846392,0.0823529,-4.95193,0.0823529,-5.45871,0.0823529,-0.984367,0.0823529,2.46308,0.0843137,0.029677,0.0823529,All
-14.1889,0.0862745,14.9166,0.0843137,0.00846554,0.0843137,-4.95189,0.0843137,-5.45407,0.0843137,-0.983736,0.0843137,2.46781,0.0862745,0.0300338,0.0843137,All
-14.1737,0.0882353,14.9187,0.0862745,0.00849101,0.0862745,-4.9518,0.0862745,-5.4538,0.0862745,-0.975529,0.0862745,2.47135,0.0882353,0.0301164,0.0862745,All
-14.0811,0.0901961,14.9203,0.0882353,0.00849359,0.0882353,-4.95162,0.0882353,-5.45243,0.0882353,-0.973937,0.0882353,2.48007,0.0901961,0.0306345,0.0882353,All
-13.9387,0.0921569,14.9208,0.0901961,0.00849377,0.0901961,-4.95142,0.0901961,-5.45216,0.0901961,-0.971918,0.0901961,2.49272,0.0921569,0.0312918,0.0901961,All
-13.8829,0.0941176,14.9272,0.0921569,0.00849573,0.0921569,-4.95137,0.0921569,-5.44655,0.0921569,-0.970128,0.0921569,2.49667,0.0941176,0.0316789,0.0921569,All
-13.8703,0.0960784,14.9346,0.0941176,0.00850183,0.0941176,-4.95133,0.0941176,-5.43912,0.0941176,-0.969378,0.0941176,2.50025,0.0960784,0.0316961,0.0941176,All
-13.7296,0.0980392,14.9375,0.0960784,0.00851002,0.0960784,-4.95128,0.0960784,-5.43594,0.0960784,-0.96477,0.0960784,2.50766,0.0980392,0.0318044,0.0960784,All
-13.5922,0.1,14.9387,0.0980392,0.008511,0.0980392,-4.95124,0.0980392,-5.42851,0.0980392,-0.955166,0.0980392,2.52149,0.1,0.0320675,0.0980392,All
-13.5832,0.101961,14.9399,0.1,0.0085147,0.1,-4.95112,0.1,-5.42688,0.1,-0.942575,0.1,2.53249,0.101961,0.0320693,0.1,All
-13.57,0.103922,14.941,0.101961,0.00851713,0.101961,-4.95083,0.101961,-5.42635,0.101961,-0.940808,0.101961,2.53926,0.103922,0.0322084,0.101961,All
-13.5199,0.105882,14.9411,0.103922,0.00851758,0.103922,-4.95081,0.103922,-5.42407,0.103922,-0.937966,0.103922,2.54338,0.105882,0.0324911,0.103922,All
-13.51,0.107843,14.9538,0.105882,0.00851914,0.105882,-4.95075,0.105882,-5.42199,0.105882,-0.936273,0.105882,2.5449,0.107843,0.0329475,0.105882,All
-13.5001,0.109804,14.9572,0.107843,0.00852033,0.107843,-4.9507,0.107843,-5.42104,0.107843,-0.93204,0.107843,2.5456,0.109804,0.0330295,0.107843,All
-13.4713,0.111765,14.9681,0.109804,0.00852078,0.109804,-4.95063,0.109804,-5.41756,0.109804,-0.926696,0.109804,2.54771,0.111765,0.0331354,0.109804,All
-13.45,0.113725,14.9689,0.111765,0.00852732,0.111765,-4.95051,0.111765,-5.41666,0.111765,-0.924342,0.111765,2.55192,0.113725,0.0331604,0.111765,All
-13.4459,0.115686,14.9704,0.113725,0.00853439,0.113725,-4.95042,0.113725,-5.41481,0.113725,-0.923211,0.113725,2.55317,0.115686,0.0331615,0.113725,All
-13.4442,0.117647,14.9758,0.115686,0.00853836,0.115686,-4.95036,0.115686,-5.41047,0.115686,-0.921566,0.115686,2.55558,0.117647,0.0332756,0.115686,All
-13.3716,0.119608,14.9764,0.117647,0.0085393,0.117647,-4.9503,0.117647,-5.40727,0.117647,-0.920732,0.117647,2.56236,0.119608,0.0337006,0.117647,All
-13.3637,0.121569,14.9774,0.119608,0.00854419,0.119608,-4.95029,0.119608,-5.4047,0.119608,-0.920353,0.119608,2.56782,0.121569,0.0339014,0.119608,All
-13.3556,0.123529,14.9798,0.121569,0.00854554,0.121569,-4.95002,0.121569,-5.40393,0.121569,-0.914072,0.121569,2.56866,0.123529,0.033968,0.121569,All
-13.3496,0.12549,14.98,0.123529,0.0085464,0.123529,-4.94997,0.123529,-5.3672,0.123529,-0.910526,0.123529,2.56892,0.12549,0.0342006,0.123529,All
-13.2842,0.127451,14.9811,0.12549,0.00854996,0.12549,-4.94987,0.12549,-5.36692,0.12549,-0.904277,0.12549,2.58803,0.127451,0.0342761,0.12549,All
-13.2556,0.129412,14.9858,0.127451,0.00855096,0.127451,-4.94966,0.127451,-5.36604,0.127451,-0.904122,0.127451,2.59685,0.129412,0.0344285,0.127451,All
-13.1771,0.131373,14.9869,0.129412,0.00855202,0.129412,-4.9496,0.129412,-5.3646,0.129412,-0.898766,0.129412,2.59872,0.131373,0.0346856,0.129412,All
-13.1707,0.133333,14.9877,0.131373,0.0085648,0.131373,-4.9496,0.131373,-5.36392,0.131373,-0.898306,0.131373,2.60436,0.133333,0.0347365,0.131373,All
-13.1668,0.135294,14.9894,0.133333,0.00856906,0.133333,-4.94942,0.133333,-5.35754,0.133333,-0.89727,0.133333,2.60752,0.135294,0.0348194,0.133333,All
-13.1317,0.137255,14.9918,0.135294,0.00857197,0.135294,-4.94929,0.135294,-5.35489,0.135294,-0.895074,0.135294,2.60877,0.137255,0.034918,0.135294,All
-13.1311,0.139216,14.9927,0.137255,0.00857484,0.137255,-4.94926,0.137255,-5.35205,0.137255,-0.894354,0.137255,2.61904,0.139216,0.0353359,0.137255,All
-13.1255,0.141176,14.9931,0.139216,0.00857936,0.139216,-4.94911,0.139216,-5.34968,0.139216,-0.891206,0.139216,2.64804,0.141176,0.035843,0.139216,All
-13.1157,0.143137,14.9932,0.141176,0.00858018,0.141176,-4.94907,0.141176,-5.34892,0.141176,-0.8904,0.141176,2.64842,0.143137,0.0359112,0.141176,All
-13.0951,0.145098,14.9942,0.143137,0.00858138,0.143137,-4.94904,0.143137,-5.34758,0.143137,-0.888921,0.143137,2.65624,0.145098,0.0360404,0.143137,All
-13.0914,0.147059,14.9969,0.145098,0.00858404,0.145098,-4.94902,0.145098,-5.3406,0.145098,-0.888098,0.145098,2.65654,0.147059,0.0362303,0.145098,All
-13.0776,0.14902,15.0041,0.147059,0.00858416,0.147059,-4.94899,0.147059,-5.33813,0.147059,-0.887887,0.147059,2.65715,0.14902,0.036372,0.147059,All
-13.0612,0.15098,15.007,0.14902,0.00858726,0.14902,-4.94874,0.14902,-5.33531,0.14902,-0.885004,0.14902,2.67921,0.15098,0.0363977,0.14902,All
