initT_abscissa,initT_pdf,aS_abscissa,aS_pdf,dS_abscissa,dS_pdf,lBt0_abscissa,lBt0_pdf,lk_abscissa,lk_pdf,lae_abscissa,lae_pdf,lw_abscissa,lw_pdf,dE_abscissa,dE_pdf,split
-20.7835,0.00443341,14.3418,0.026465,0.00803752,44.8404,-4.96057,3.0904,-6.09348,0.0172211,-1.44803,0.100757,0.899026,0.00859678,0.0384605,7.00936,All
-19.8605,0.00443341,14.4191,0.026465,0.00812878,112.101,-4.95858,4.12053,-5.97467,0.0344422,-1.3668,0,1.13703,0,0.0764076,4.7448,All
-18.9375,0,14.4964,0,0.00822004,134.521,-4.9566,3.0904,-5.85586,0.120548,-1.28558,0.100757,1.37503,0,0.114355,3.18117,All
-18.0145,0.00665011,14.5737,0.079395,0.0083113,201.782,-4.95461,12.3616,-5.73705,0.172211,-1.20435,0.125946,1.61303,0.0429839,0.152302,3.07334,All
-17.0915,0.00886682,14.651,0.079395,0.00840256,336.303,-4.95263,22.6629,-5.61824,0.120548,-1.12312,0.176324,1.85103,0.0343871,0.190249,1.83322,All
-16.1685,0.022167,14.7283,0.185255,0.00849382,515.665,-4.95064,21.6328,-5.49943,0.344422,-1.0419,0.403027,2.08903,0.111758,0.228196,1.02445,All
-15.2455,0.0155169,14.8056,0.42344,0.00858507,896.809,-4.94865,27.8136,-5.38062,0.568297,-0.96067,0.629729,2.32703,0.146145,0.266143,0.808772,All
-14.3224,0.0465508,14.8829,0.396975,0.00867633,784.708,-4.94667,30.904,-5.26181,0.482191,-0.879443,0.60454,2.56503,0.318081,0.30409,1.24012,All
-13.3994,0.0798014,14.9603,0.74102,0.00876759,1233.11,-4.94468,30.904,-5.143,0.706065,-0.798217,0.780864,2.80303,0.455629,0.342037,0.808772,All
-12.4764,0.0886682,15.0376,1.00567,0.00885885,1188.27,-4.94269,49.4463,-5.02419,0.757729,-0.71699,1.08313,3.04103,0.550194,0.379984,0.5931,All
-11.5534,0.137436,15.1149,1.21739,0.00895011,1434.89,-4.94071,40.1752,-4.90538,0.757729,-0.635763,1.23427,3.27903,0.575984,0.417931,0.647018,All
-10.6304,0.110835,15.1922,0.89981,0.00904137,1165.85,-4.93872,43.2656,-4.78657,0.740508,-0.554536,1.48616,3.51703,0.567387,0.455878,0.647018,All
-9.70741,0.148519,15.2695,1.85255,0.00913263,1098.59,-4.93674,40.1752,-4.66776,0.895498,-0.473309,1.36022,3.75503,0.455629,0.493825,0.323509,All
-8.7844,0.144086,15.3468,1.29678,0.00922388,851.968,-4.93475,39.145,-4.54895,0.826613,-0.392082,1.28465,3.99303,0.309484,0.531772,0.323509,All
-7.86139,0.124135,15.4241,1.16446,0.00931514,695.027,-4.93276,40.1752,-4.43014,0.602739,-0.310856,0.90681,4.23103,0.318081,0.569719,0.323509,All
-6.93839,0.0665011,15.5014,1.16446,0.0094064,336.303,-4.93078,33.9944,-4.31133,0.568297,-0.229629,1.00757,4.46903,0.163339,0.607666,0.269591,All
-6.01538,0.0443341,15.5787,1.03213,0.00949766,134.521,-4.92879,27.8136,-4.19252,0.396086,-0.148402,0.528973,4.70703,0.103161,0.645614,0.161754,All
-5.09237,0.0243838,15.6561,0.714555,0.00958892,89.6809,-4.92681,17.5122,-4.07371,0.241096,-0.0671752,0.428216,4.94503,0.0687742,0.683561,0.215673,All
-4.16936,0.0155169,15.7334,0.502835,0.00968018,89.6809,-4.92482,16.4821,-3.9549,0.172211,0.0140516,0.201513,5.18303,0.0687742,0.721508,0,All
-3.24635,0.0155169,15.8107,0.42344,0.00977144,44.8404,-4.92283,7.21093,-3.83609,0.103327,0.0952784,0.176324,5.42103,0.0515807,0.759455,0.107836,All
-2.32335,0.0177336,15.888,0.026465,0.00986269,22.4202,-4.92085,5.15066,-3.71728,0.0688844,0.176505,0.125946,5.65903,0.0171936,0.797402,0.107836,All
-1.40034,0,15.9653,0.132325,0.00995395,0,-4.91886,3.0904,-3.59847,0.0688844,0.257732,0.0755675,5.89703,0.00859678,0.835349,0,All
-0.477331,0.00443341,16.0426,0.10586,0.0100452,22.4202,-4.91687,5.15066,-3.47966,0.0172211,0.338959,0.0251892,6.13503,0.00859678,0.873296,0.0539182,All
