iteration,convergenceIndicator,phase,a,aS_pop,corr_dI_aS,corr_lBt0_dS,corr_n_aS,corr_n_dI,dI_pop,dS_pop,initT_pop,lBt0_pop,n_pop,omega_aS,omega_dI,omega_dS,omega_initT,omega_lBt0,omega_n
147,1059.11,1,0.348599,0.64984,0.00289132,0.929373,-0.0491746,-0.692197,1.35114,0.000849039,-12.9004,-4.42137,0.11782,0.303401,0.639846,1.16156,4.84208,0.532376,0.548617
148,1029.38,1,0.341579,0.643961,-0.0430641,0.922396,-0.055618,-0.688449,1.34231,0.000809429,-12.7121,-4.43298,0.118647,0.297981,0.623645,1.1819,4.71947,0.534576,0.534726
149,1031.48,1,0.343771,0.643518,0.0139386,0.925012,-0.0921509,-0.708345,1.36059,0.000806611,-12.5161,-4.42545,0.117461,0.29626,0.607854,1.17906,4.59997,0.548342,0.522343
150,1025.77,1,0.344978,0.639864,0.00110364,0.931086,-0.116679,-0.743163,1.32812,0.000816715,-12.54,-4.426,0.119631,0.289056,0.610447,1.17191,4.53955,0.546697,0.536555
151,1034.51,1,0.344474,0.63567,0.0384379,0.932116,-0.176788,-0.730071,1.33977,0.00081315,-12.9386,-4.42851,0.118666,0.2839,0.617122,1.17899,5.00661,0.539408,0.547957
152,1039.3,1,0.346064,0.640988,0.0227136,0.935139,-0.137413,-0.733377,1.34975,0.000819647,-12.6707,-4.42871,0.117792,0.299336,0.616259,1.20917,4.87984,0.556539,0.534082
153,1048.74,1,0.347107,0.643205,-0.0144074,0.934875,-0.0553765,-0.761184,1.32779,0.000827666,-13.262,-4.43489,0.116526,0.291757,0.614708,1.22469,4.91881,0.557334,0.572035
154,1044.78,1,0.343282,0.652087,0.0218473,0.935629,0.00616,-0.734126,1.29891,0.00083921,-13.4448,-4.43576,0.117286,0.299898,0.608842,1.23618,5.14312,0.546999,0.563855
155,1045.33,1,0.346928,0.637538,0.0138489,0.932567,-0.02501,-0.737926,1.30168,0.000813425,-12.9504,-4.43136,0.118615,0.29245,0.593426,1.22425,5.0129,0.55001,0.549577
156,1017.62,1,0.341753,0.633757,0.0269073,0.932136,-0.0871283,-0.731699,1.30986,0.000842654,-12.8849,-4.41886,0.119861,0.28921,0.5784,1.19707,4.88597,0.549105,0.540287
157,1028.32,1,0.344263,0.638206,0.0028955,0.931416,-0.0381848,-0.68227,1.32789,0.000843762,-12.8026,-4.41797,0.119188,0.299448,0.563755,1.2099,4.76225,0.552667,0.527286
158,1031.41,1,0.345943,0.632052,-0.0135082,0.932699,-0.0122854,-0.703203,1.3392,0.000832157,-12.9837,-4.41778,0.117701,0.303782,0.54948,1.21271,4.64167,0.546252,0.538174
159,1029.65,1,0.343797,0.638587,0.0142803,0.929217,0.00426049,-0.695827,1.29955,0.000839298,-12.9239,-4.41985,0.117188,0.299925,0.555568,1.20106,4.70498,0.533289,0.54077
160,1035.8,1,0.343348,0.652414,0.00924431,0.927102,0.0233126,-0.670617,1.327,0.000846394,-12.7272,-4.42445,0.11992,0.295249,0.556393,1.21,4.6941,0.533806,0.564085
161,1029.35,1,0.341557,0.649351,-0.0134782,0.926636,0.0157502,-0.688191,1.31381,0.000846967,-12.7295,-4.42011,0.117975,0.298473,0.55239,1.20687,4.75042,0.534829,0.567761
162,1034.66,1,0.345271,0.645209,-0.043191,0.927586,0.0643854,-0.664711,1.36261,0.000852974,-12.8088,-4.41142,0.115164,0.290916,0.538403,1.21953,4.63014,0.549658,0.553385
163,1016.61,1,0.340994,0.639815,-0.0505571,0.925858,0.0852262,-0.691472,1.33757,0.000858274,-12.9197,-4.41128,0.114799,0.28355,0.570227,1.21591,4.65864,0.543795,0.544421
164,1028.43,1,0.343549,0.646607,-0.00891842,0.911243,0.0744855,-0.710711,1.31832,0.000822245,-12.8046,-4.42192,0.115558,0.284359,0.556565,1.18512,4.61719,0.534047,0.541584
165,1035.24,1,0.34464,0.654814,-0.05545,0.916717,0.0986015,-0.717771,1.30385,0.000847179,-12.905,-4.41589,0.117106,0.288768,0.553192,1.19307,4.83018,0.52964,0.547329
166,1024.06,1,0.342528,0.645639,-0.0579045,0.91869,0.0407298,-0.711787,1.29532,0.000843236,-12.9994,-4.42134,0.119563,0.281457,0.556082,1.18838,4.70788,0.529706,0.567219
167,1021.75,1,0.343898,0.642926,-0.0591519,0.916075,0.0876311,-0.736407,1.29097,0.000831699,-12.7894,-4.42715,0.11729,0.298034,0.559809,1.16675,4.58867,0.526653,0.552857
168,1010.56,1,0.339818,0.633038,-0.0262177,0.915888,0.060691,-0.772403,1.28859,0.000822967,-12.6986,-4.42836,0.118564,0.311145,0.573663,1.18602,4.48204,0.521924,0.548708
169,1019.29,1,0.341812,0.628854,-0.0607966,0.91613,0.0681202,-0.784077,1.27945,0.000837901,-13.1896,-4.42594,0.11414,0.303267,0.568967,1.18119,4.90881,0.526148,0.540595
170,1046.25,1,0.349472,0.630191,-0.114506,0.915648,0.0450943,-0.807415,1.24058,0.000838138,-13.2059,-4.42983,0.11498,0.295588,0.593398,1.16842,5.07029,0.519015,0.545802
171,1019.14,1,0.341887,0.6308,-0.0988465,0.91152,0.0359831,-0.815007,1.26605,0.000842696,-13.43,-4.42867,0.115991,0.290413,0.603522,1.14551,5.128,0.512309,0.558493
172,1019.52,1,0.342535,0.631717,-0.0939529,0.913802,0.074696,-0.790771,1.27439,0.000841179,-13.5667,-4.43119,0.117758,0.291146,0.58824,1.14322,5.13801,0.513762,0.544351
173,1039.81,1,0.346296,0.623856,-0.0738065,0.912467,0.0778168,-0.76359,1.28355,0.000827842,-13.6973,-4.43158,0.116299,0.283774,0.585536,1.14424,5.32793,0.516923,0.537108
174,1057.22,1,0.349956,0.623225,-0.0686777,0.902509,0.0642684,-0.764507,1.27352,0.000836786,-13.9691,-4.43371,0.116146,0.288677,0.570709,1.12065,5.72276,0.508269,0.523508
175,1046.78,1,0.343516,0.621168,-0.0168445,0.899481,-0.0142174,-0.740349,1.28244,0.000846883,-14.1662,-4.42994,0.114052,0.289423,0.571768,1.15416,5.86117,0.512189,0.515502
176,1036.74,1,0.34429,0.621173,-0.0409219,0.898049,-0.0236212,-0.776156,1.25261,0.000877481,-14.1276,-4.42006,0.115265,0.282095,0.589176,1.12816,5.71276,0.506678,0.520478
177,1037.61,1,0.341424,0.622046,-0.0569876,0.899682,-0.040641,-0.768124,1.2447,0.000861233,-13.9465,-4.42378,0.11617,0.284113,0.593243,1.13534,5.9038,0.505107,0.542306
178,1042.61,1,0.343301,0.631364,-0.0169606,0.907134,-0.0446994,-0.75056,1.24202,0.000864033,-13.8556,-4.427,0.115441,0.276919,0.598515,1.14801,5.75431,0.501036,0.562852
179,1026.2,1,0.340177,0.627434,-0.00977096,0.911491,-0.0368266,-0.745127,1.24527,0.000839529,-13.8335,-4.42972,0.113851,0.278976,0.589337,1.13002,5.72996,0.498448,0.550561
180,999.255,1,0.333526,0.631713,0.0612388,0.919406,-0.0868327,-0.719456,1.2741,0.000839798,-13.7642,-4.4306,0.114365,0.271912,0.597911,1.13896,5.58487,0.497278,0.570095
181,1012.39,1,0.339562,0.631473,0.0627063,0.918781,-0.101191,-0.748136,1.27273,0.000845244,-13.7527,-4.42739,0.116436,0.265027,0.59185,1.13962,5.57858,0.501886,0.575314
182,1001.66,1,0.340278,0.626801,0.0827882,0.924898,-0.153761,-0.769924,1.29139,0.000862951,-13.4749,-4.4126,0.117825,0.258317,0.576864,1.13346,5.43733,0.502193,0.584704
183,1007.89,1,0.340202,0.636338,0.0280631,0.9342,-0.100813,-0.733247,1.30599,0.000930644,-13.3479,-4.39454,0.11836,0.26004,0.583574,1.1239,5.59377,0.504671,0.57157
184,989.512,1,0.338783,0.636987,0.0658603,0.935955,-0.134185,-0.748357,1.26933,0.000939842,-13.3739,-4.39174,0.116168,0.253455,0.584293,1.13279,5.45213,0.51404,0.560644
185,1012.37,1,0.342731,0.646599,0.0664195,0.931204,-0.142719,-0.786774,1.28327,0.000935298,-13.5817,-4.39299,0.116198,0.247038,0.606585,1.15297,5.4964,0.516119,0.581111
186,993.118,1,0.337964,0.642499,0.0504873,0.93387,-0.139475,-0.796236,1.27995,0.000931841,-13.6115,-4.39634,0.115974,0.241682,0.613979,1.15671,5.65977,0.518057,0.579571
187,990.19,1,0.338978,0.657356,0.0320971,0.930652,-0.106088,-0.831121,1.28333,0.000940086,-13.4017,-4.39201,0.114254,0.235562,0.620667,1.14877,5.59326,0.518483,0.600798
188,1021.81,1,0.34311,0.656581,-0.0283656,0.926945,-0.0792848,-0.763394,1.31845,0.000932508,-13.8194,-4.40618,0.11374,0.232367,0.604951,1.15679,5.8003,0.510727,0.595842
189,993.78,1,0.339089,0.66472,0.0537042,0.934908,-0.0505832,-0.78448,1.3135,0.000913795,-13.5595,-4.41327,0.112151,0.230197,0.594747,1.15931,5.65343,0.519455,0.587211
190,1016.91,1,0.344362,0.676838,0.0430428,0.935949,-0.0374968,-0.785765,1.32918,0.000908104,-13.459,-4.42062,0.112332,0.235397,0.586923,1.17016,5.75158,0.52053,0.587846
191,994.422,1,0.336866,0.678031,0.10426,0.937831,-0.0805866,-0.790113,1.33832,0.000905319,-13.6792,-4.41545,0.114277,0.230001,0.595621,1.17064,6.1563,0.531755,0.591953
192,997.375,1,0.339572,0.684682,0.0426027,0.935355,-0.0427752,-0.765214,1.3629,0.000921089,-13.5795,-4.4192,0.113317,0.230624,0.58054,1.17683,6.04625,0.523338,0.576965
193,991.469,1,0.339847,0.69962,0.0148486,0.943538,-0.0329263,-0.78216,1.36873,0.000916743,-13.601,-4.43534,0.109825,0.247801,0.56584,1.22248,5.96582,0.538433,0.562356
194,974.645,1,0.336591,0.69847,-0.00928011,0.939425,-0.0731876,-0.779306,1.36043,0.00092138,-13.3883,-4.43181,0.108453,0.249048,0.551513,1.20671,5.81477,0.542605,0.548117
195,966.734,1,0.331366,0.702899,-0.0564134,0.939839,-0.00738454,-0.758163,1.36078,0.000947124,-13.5536,-4.42893,0.108406,0.244863,0.557778,1.21402,5.79988,0.546564,0.534238
196,957.897,1,0.330963,0.704989,-0.0482448,0.937405,-0.0147268,-0.757525,1.35173,0.000941803,-13.5026,-4.43192,0.11022,0.245969,0.543655,1.21033,5.74267,0.546178,0.520711
197,990.19,1,0.335498,0.696053,-0.0161459,0.937035,-0.0430025,-0.763071,1.34269,0.000935618,-13.5195,-4.42991,0.110364,0.250005,0.57306,1.22942,5.59727,0.547227,0.548769
198,1008.2,1,0.342526,0.695992,-0.0473521,0.939513,-0.0343124,-0.76984,1.32214,0.000932039,-13.7857,-4.44158,0.109266,0.243675,0.574835,1.22781,5.45554,0.542416,0.558819
199,1004.41,1,0.342264,0.696211,-0.0211643,0.938054,-0.0330694,-0.768322,1.34024,0.000931764,-13.7204,-4.44275,0.108816,0.253154,0.56028,1.20924,5.42442,0.535467,0.551193
200,986.849,1,0.337173,0.699417,-0.0590446,0.936564,0.00540703,-0.753657,1.37254,0.000902386,-13.6879,-4.45025,0.1086,0.250786,0.546094,1.19062,5.73854,0.533261,0.537237
201,991.888,1,0.340692,0.703228,-0.0387309,0.93565,0.0223156,-0.744124,1.36793,0.000889302,-13.4125,-4.45617,0.109191,0.254077,0.533382,1.17857,5.59324,0.527879,0.532695
202,982.965,1,0.33915,0.693049,-0.00471713,0.936,-0.0666629,-0.767288,1.30397,0.000886001,-13.4502,-4.45579,0.113525,0.247643,0.530878,1.17449,5.45161,0.527566,0.548124
203,999.629,1,0.343348,0.698077,-0.109713,0.937702,0.0184253,-0.788215,1.33792,0.000891004,-13.5674,-4.4582,0.112656,0.254518,0.536213,1.16846,5.39047,0.527816,0.563093
204,967.342,1,0.336812,0.707379,-0.0927437,0.935138,0.0477425,-0.814944,1.32971,0.00088615,-13.482,-4.45025,0.110194,0.248074,0.55693,1.18245,5.25398,0.540285,0.548835
205,957.532,1,0.334573,0.700474,-0.134342,0.935433,0.0301293,-0.794466,1.34439,0.000858522,-13.6907,-4.46601,0.109908,0.246949,0.552797,1.15251,5.49347,0.526605,0.541622
206,977.582,1,0.338585,0.69765,-0.0634718,0.934676,-0.0469441,-0.788126,1.35476,0.000855052,-13.7141,-4.4674,0.111546,0.245981,0.559409,1.12333,5.64783,0.51711,0.53214
207,977.53,1,0.338964,0.702643,-0.128692,0.940216,-0.00244027,-0.797625,1.3411,0.000868442,-13.5162,-4.46409,0.111384,0.247832,0.555055,1.11229,5.725,0.518269,0.560206
208,980.312,1,0.336918,0.710253,-0.130369,0.933144,0.0226635,-0.784924,1.34959,0.000867249,-13.7041,-4.46867,0.110827,0.246941,0.547954,1.1294,5.78123,0.517659,0.567379
209,978.724,1,0.336042,0.713812,-0.126829,0.936199,0.0552096,-0.783028,1.35251,0.000858519,-13.6752,-4.47386,0.110851,0.244056,0.55222,1.13555,5.86583,0.522678,0.570119
210,982.677,1,0.33836,0.717755,-0.122642,0.940381,0.0401346,-0.800327,1.34051,0.000860855,-13.4356,-4.47444,0.112616,0.247864,0.560108,1.1333,5.7173,0.525115,0.589702
211,970.632,1,0.337522,0.720393,-0.139575,0.940765,0.0514415,-0.825963,1.34917,0.000864705,-13.44,-4.46766,0.111804,0.248078,0.548408,1.12288,5.66912,0.525205,0.587925
212,948.142,1,0.331316,0.721052,-0.0425598,0.945067,0.00530007,-0.813377,1.36033,0.000861179,-13.3991,-4.46969,0.110783,0.247481,0.548864,1.13125,5.8523,0.519963,0.575162
213,958.214,1,0.332645,0.723011,-0.0296375,0.945307,0.0379123,-0.764692,1.36659,0.000852059,-13.4945,-4.4759,0.107541,0.241806,0.534967,1.14612,5.98759,0.518069,0.570571
214,953.911,1,0.328872,0.736587,-0.091846,0.944795,0.124073,-0.731867,1.38035,0.000884904,-13.2436,-4.46468,0.105587,0.243423,0.534091,1.18521,5.83598,0.531689,0.569291
215,970.582,1,0.332845,0.73575,-0.11314,0.937388,0.139071,-0.70237,1.38575,0.000855635,-13.1385,-4.46994,0.108038,0.23726,0.537762,1.15887,5.68821,0.527373,0.565553
216,966.637,1,0.332417,0.732303,-0.129592,0.935279,0.155152,-0.700194,1.38911,0.00086093,-13.4528,-4.47427,0.108404,0.237694,0.524145,1.15662,5.78975,0.525214,0.553019
217,976.993,1,0.336437,0.729596,-0.0997789,0.933749,0.0823056,-0.73724,1.38055,0.000846555,-13.0779,-4.47294,0.109474,0.234039,0.533122,1.13407,5.64315,0.523594,0.572689
218,948.236,1,0.332144,0.731258,-0.0475279,0.934606,0.0588782,-0.73344,1.37472,0.00084394,-13.0029,-4.48012,0.110354,0.236706,0.533813,1.12381,5.50026,0.520774,0.558188
219,945.118,1,0.334181,0.726962,-0.0734767,0.939292,0.0192521,-0.746594,1.33655,0.000821049,-13.0526,-4.49565,0.111463,0.230713,0.530986,1.10948,5.36099,0.513479,0.549053
220,960.493,1,0.338783,0.717835,-0.0897539,0.937872,0.00266339,-0.785615,1.32546,0.000832206,-13.2703,-4.48759,0.109639,0.224871,0.533765,1.10354,5.68365,0.511873,0.535151
221,945.821,1,0.335206,0.719996,-0.120896,0.93873,0.00943443,-0.789125,1.33071,0.00083074,-13.2598,-4.48431,0.110567,0.222921,0.54141,1.10786,5.69366,0.513815,0.525161
222,951.584,1,0.334648,0.722097,-0.0404009,0.935985,-0.000222679,-0.781139,1.33904,0.000830147,-13.0423,-4.48451,0.110957,0.230869,0.527701,1.1064,5.76519,0.507246,0.538958
223,969.328,1,0.337687,0.725506,-0.0360065,0.934531,-0.0384052,-0.773576,1.33429,0.00082881,-13.1058,-4.48544,0.110611,0.236113,0.534901,1.10438,5.88641,0.507725,0.527616
224,963.971,1,0.336021,0.72502,-0.0219607,0.938347,-0.0679897,-0.761308,1.34911,0.000805804,-12.9178,-4.49063,0.111636,0.231112,0.548745,1.09725,5.86323,0.503768,0.545522
225,964.78,1,0.33686,0.718493,0.0167251,0.940786,-0.0786389,-0.716057,1.34316,0.000800725,-12.6838,-4.49406,0.111885,0.228604,0.560543,1.11946,5.71477,0.50664,0.531709
226,977.691,1,0.338346,0.71729,0.02192,0.936583,-0.0880287,-0.689692,1.34237,0.000806864,-13.2153,-4.49172,0.113204,0.228119,0.552207,1.1113,5.60659,0.497416,0.531038
227,1005.32,1,0.344895,0.719476,0.105722,0.936875,-0.10299,-0.708315,1.34014,0.000805805,-13.4304,-4.4911,0.114564,0.229163,0.54961,1.09904,5.90697,0.502227,0.535211
228,988.711,1,0.339526,0.719453,0.0732543,0.938782,-0.107321,-0.71121,1.33849,0.000828305,-13.4032,-4.4839,0.11347,0.228046,0.578422,1.1193,5.8029,0.511189,0.530391
229,994.753,1,0.342413,0.714404,0.112399,0.935805,-0.147724,-0.71629,1.32892,0.000861346,-13.4793,-4.47442,0.114111,0.228005,0.577052,1.11578,5.65597,0.500683,0.53904
230,961.371,1,0.334655,0.721307,0.0939722,0.935899,-0.144548,-0.731209,1.34662,0.000867111,-13.602,-4.47623,0.109907,0.225741,0.579387,1.11633,5.5693,0.508268,0.525391
231,962.955,1,0.333241,0.717769,0.114532,0.936291,-0.102741,-0.707747,1.34185,0.000873341,-13.4182,-4.46964,0.108803,0.226836,0.587123,1.13545,5.42828,0.522006,0.528943
232,958.081,1,0.334105,0.722676,0.125471,0.934847,-0.0907716,-0.742439,1.3524,0.000867459,-13.1509,-4.47228,0.108942,0.232896,0.578334,1.13169,5.29084,0.522317,0.532832
233,954.675,1,0.332226,0.71186,0.152564,0.934653,-0.113195,-0.764829,1.33149,0.00085614,-13.4507,-4.47177,0.111271,0.233443,0.582479,1.12379,5.53381,0.521577,0.526949
234,957.215,1,0.331062,0.710647,0.156712,0.938086,-0.123962,-0.759876,1.32977,0.000861367,-13.5661,-4.46906,0.109794,0.243303,0.603469,1.12094,5.5227,0.526412,0.531405
235,954.584,1,0.332615,0.708628,0.209585,0.941007,-0.190686,-0.739199,1.33581,0.000882702,-13.711,-4.4643,0.108577,0.237142,0.588189,1.11536,5.57257,0.524388,0.52799
236,962.592,1,0.33207,0.704163,0.229417,0.941176,-0.19113,-0.729834,1.33291,0.000883907,-13.573,-4.45443,0.110105,0.236377,0.597356,1.12255,5.70412,0.53056,0.53246
237,957.69,1,0.334232,0.7006,0.22611,0.950725,-0.155397,-0.752706,1.34004,0.000887013,-13.4377,-4.45209,0.109715,0.236569,0.58759,1.14907,5.55969,0.540906,0.532665
238,945.843,1,0.329589,0.703885,0.209592,0.947664,-0.0689419,-0.730807,1.32618,0.000886136,-13.4234,-4.45353,0.109319,0.235247,0.586843,1.16679,5.41892,0.54299,0.539818
239,947.66,1,0.330273,0.700848,0.26948,0.952156,-0.113865,-0.714976,1.3318,0.000882735,-13.5114,-4.45421,0.110389,0.229291,0.595166,1.18318,5.37898,0.548456,0.545109
240,935.293,1,0.328388,0.696252,0.238792,0.953897,-0.102049,-0.720692,1.33237,0.000870564,-13.6077,-4.4613,0.109691,0.233179,0.580096,1.17336,5.55388,0.54447,0.531307
241,953.332,1,0.331638,0.703772,0.143006,0.952493,-0.0541151,-0.759986,1.35955,0.00085321,-13.9053,-4.46511,0.107356,0.237529,0.565407,1.16989,6.00295,0.545536,0.537712
242,951.762,1,0.333702,0.704399,0.192629,0.953471,-0.0203021,-0.751572,1.36981,0.000828172,-14.1116,-4.48452,0.103687,0.235208,0.551091,1.17914,6.20229,0.533896,0.524097
243,959.976,1,0.33515,0.696758,0.198791,0.956529,-0.0673152,-0.720069,1.37576,0.000840642,-14.2735,-4.47968,0.103479,0.229252,0.537137,1.16383,6.5951,0.534362,0.51713
244,978.125,1,0.33719,0.706896,0.175727,0.955649,-0.0528213,-0.727846,1.39086,0.000838049,-14.8976,-4.48435,0.104251,0.224595,0.536137,1.17081,7.10311,0.539558,0.515041
245,940.051,1,0.329557,0.700591,0.188055,0.957499,-0.0783187,-0.768148,1.37078,0.000839602,-14.7373,-4.48271,0.102768,0.235726,0.532895,1.18043,7.0874,0.544774,0.502
246,926.92,1,0.327984,0.70381,0.178797,0.95649,-0.0382176,-0.74576,1.37418,0.000829942,-14.6089,-4.49213,0.103291,0.232484,0.519401,1.15695,7.03056,0.53098,0.489289
247,937.067,1,0.332295,0.701434,0.191047,0.954424,-0.0526496,-0.741592,1.40104,0.000817717,-14.2595,-4.49239,0.101587,0.22667,0.50625,1.18123,6.85255,0.529593,0.484507
248,937.717,1,0.333221,0.701946,0.222035,0.952403,-0.00378535,-0.716932,1.41519,0.000787559,-14.379,-4.50585,0.101224,0.225071,0.498221,1.16209,6.67904,0.526123,0.480739
249,948.164,1,0.335105,0.728068,0.255083,0.949608,0.0314972,-0.715087,1.44034,0.000793172,-14.4172,-4.51537,0.0993269,0.244976,0.485954,1.13535,6.50992,0.513584,0.495143
250,968.408,1,0.340022,0.731497,0.284912,0.954513,0.0135639,-0.711235,1.42182,0.000783959,-14.5067,-4.52428,0.0986984,0.238912,0.513118,1.14393,6.60559,0.513573,0.492683
251,963.835,1,0.337077,0.728787,0.289095,0.955567,0.044424,-0.700072,1.42435,0.000791146,-14.5981,-4.52014,0.0995893,0.241986,0.505898,1.15454,6.87659,0.515018,0.50747
252,963.396,1,0.340134,0.728226,0.305911,0.959632,0.0182418,-0.729669,1.41023,0.000802031,-14.4556,-4.51664,0.100352,0.245184,0.500697,1.16403,6.80317,0.517313,0.49462
253,967.433,1,0.342267,0.724672,0.370335,0.962713,-0.0381229,-0.697363,1.42049,0.000801744,-14.5802,-4.51501,0.100868,0.253921,0.493483,1.15776,6.76037,0.520199,0.482096
254,959.162,1,0.340487,0.72294,0.350914,0.964722,-0.0609839,-0.734286,1.44652,0.000796153,-14.4649,-4.51753,0.100314,0.256092,0.487629,1.17063,6.75416,0.522759,0.485289
255,951.624,1,0.336341,0.728626,0.367648,0.963408,-0.0418339,-0.727561,1.41253,0.000792134,-14.4437,-4.52057,0.101319,0.250379,0.505048,1.171,6.84752,0.520824,0.513447
256,968.578,1,0.342097,0.734157,0.377924,0.964167,-0.0132797,-0.734969,1.41187,0.000789688,-14.4427,-4.5242,0.100505,0.259457,0.505293,1.16667,6.67414,0.520568,0.51917
257,949.122,1,0.335882,0.742895,0.357591,0.965151,-0.0832777,-0.73812,1.4191,0.000789875,-14.5225,-4.52788,0.100811,0.252888,0.498264,1.16321,6.90138,0.518708,0.528037
258,958.414,1,0.338692,0.747076,0.397428,0.966476,-0.102412,-0.709554,1.40967,0.000813279,-14.3605,-4.51966,0.101603,0.250328,0.50102,1.19345,6.72663,0.527859,0.514667
259,968.125,1,0.341868,0.748955,0.391983,0.968939,-0.196419,-0.760618,1.42677,0.000796326,-14.2521,-4.52771,0.0993302,0.257446,0.488334,1.18222,6.976,0.523528,0.525723
260,971.652,1,0.34029,0.75053,0.419974,0.965227,-0.204713,-0.760235,1.41049,0.000797879,-14.6953,-4.52833,0.0995345,0.250927,0.496371,1.17889,7.53337,0.523197,0.52341
261,987.075,1,0.345849,0.747013,0.415419,0.96783,-0.22337,-0.746741,1.42592,0.000818445,-14.5846,-4.51432,0.0979124,0.244574,0.485598,1.17985,7.34262,0.535657,0.53779
262,968.038,1,0.33966,0.745889,0.405866,0.967609,-0.186873,-0.714736,1.47046,0.000807223,-14.4339,-4.51645,0.0991068,0.251782,0.473302,1.18287,7.15671,0.536554,0.541577
263,961.99,1,0.339674,0.749328,0.437362,0.969358,-0.234939,-0.684805,1.51078,0.000805473,-14.2118,-4.51016,0.0983331,0.245407,0.473401,1.17687,6.97549,0.534234,0.532497
264,967.954,1,0.338091,0.748943,0.393459,0.964006,-0.174377,-0.728576,1.5121,0.00082252,-14.3883,-4.50323,0.0977332,0.250645,0.486451,1.17016,6.86312,0.534162,0.555325
265,953.378,1,0.336101,0.746401,0.386881,0.964631,-0.107038,-0.715647,1.498,0.000812271,-14.0737,-4.50597,0.096696,0.249361,0.474134,1.19182,6.68934,0.534377,0.547688
266,942.289,1,0.334923,0.753053,0.397498,0.964789,-0.10491,-0.730583,1.50032,0.000811107,-13.7625,-4.50636,0.0955832,0.247503,0.467171,1.18645,6.51996,0.533723,0.558346
267,924.051,1,0.329957,0.756578,0.334614,0.961436,-0.0443855,-0.738128,1.50779,0.000841964,-14.1195,-4.49316,0.0939269,0.241236,0.469493,1.19291,6.8344,0.538776,0.544208
268,928.664,1,0.330893,0.757151,0.381945,0.961498,-0.0822764,-0.735837,1.47967,0.00085679,-14.2311,-4.49018,0.0956245,0.235128,0.48841,1.19512,7.41651,0.53668,0.530429
269,936.793,1,0.333107,0.763729,0.360478,0.964176,-0.0421848,-0.705568,1.49599,0.000864259,-14.3996,-4.49189,0.0963315,0.229174,0.480825,1.20849,7.30498,0.538678,0.516998
270,933.803,1,0.333198,0.766567,0.373027,0.964481,-0.0543075,-0.738424,1.5297,0.000844063,-14.4513,-4.49647,0.094997,0.223372,0.477228,1.23528,7.18441,0.55037,0.517119
271,924.202,1,0.330727,0.760896,0.416752,0.964436,-0.0952069,-0.739754,1.51187,0.000845513,-14.4491,-4.49898,0.0956699,0.217716,0.48453,1.24458,7.09194,0.548476,0.532292
272,926.662,1,0.33121,0.764502,0.389314,0.962987,-0.0493793,-0.728064,1.51978,0.000838139,-14.4935,-4.50006,0.0955478,0.216906,0.472261,1.24604,7.11758,0.548508,0.53317
273,911.498,1,0.32877,0.76647,0.405009,0.963378,-0.0533624,-0.73749,1.49455,0.000828115,-14.7899,-4.50882,0.0957412,0.213603,0.472921,1.23583,7.20367,0.544781,0.522056
274,894.01,1,0.326038,0.752923,0.463954,0.964462,-0.132558,-0.741858,1.45918,0.00082499,-14.9488,-4.51117,0.0958666,0.212893,0.473041,1.23982,7.5136,0.53679,0.508837
275,891.64,1,0.327372,0.756208,0.519994,0.970722,-0.156315,-0.723599,1.47394,0.000785268,-14.5596,-4.53284,0.0937031,0.218738,0.467486,1.25512,7.34805,0.544691,0.497313
276,883.283,1,0.326321,0.757407,0.498228,0.969952,-0.133453,-0.728701,1.47929,0.00078205,-14.4238,-4.53429,0.0941992,0.223052,0.462281,1.25529,7.16199,0.546309,0.484721
277,883.277,1,0.324451,0.763084,0.520162,0.968906,-0.166529,-0.742936,1.46249,0.000811604,-14.5102,-4.51887,0.09633,0.227277,0.471507,1.24683,7.52693,0.540949,0.488216
278,876.988,1,0.323155,0.762966,0.577461,0.969151,-0.174808,-0.743698,1.49349,0.000797788,-14.292,-4.51861,0.0967852,0.234871,0.480029,1.2545,7.40382,0.541495,0.508148
279,883.66,1,0.32479,0.767749,0.5482,0.970523,-0.129132,-0.762141,1.46254,0.000806352,-14.6506,-4.52047,0.0960111,0.24508,0.500646,1.25467,7.73346,0.536738,0.495281
280,891.64,1,0.324789,0.759821,0.568386,0.969038,-0.146757,-0.75441,1.45897,0.000819562,-14.6956,-4.51048,0.0981601,0.244084,0.501029,1.25928,7.66783,0.537246,0.516383
281,894.031,1,0.326658,0.75123,0.560423,0.969833,-0.167302,-0.780018,1.43821,0.00084156,-14.6882,-4.49649,0.0978774,0.238279,0.490694,1.27129,7.78834,0.547639,0.517631
282,938.133,1,0.33913,0.749849,0.631728,0.972782,-0.213106,-0.761448,1.44379,0.000855007,-14.7765,-4.49328,0.0984015,0.251804,0.487198,1.29198,7.59113,0.553385,0.517007
283,936.485,1,0.337236,0.751084,0.619686,0.97564,-0.226528,-0.7807,1.42971,0.000862911,-14.6504,-4.48358,0.0989297,0.260524,0.524554,1.30506,7.39892,0.561687,0.535186
284,920.768,1,0.334499,0.755196,0.620984,0.976824,-0.260719,-0.784503,1.41101,0.000875075,-14.3629,-4.48457,0.10088,0.253928,0.522456,1.31305,7.21158,0.562336,0.533376
285,924.834,1,0.336613,0.757278,0.596791,0.978081,-0.24061,-0.784064,1.40237,0.000888335,-14.4742,-4.48098,0.100127,0.253755,0.509227,1.29032,7.13403,0.563743,0.528828
