iteration,convergenceIndicator,phase,a,aS_pop,corr_dI_aS,corr_lBt0_dS,corr_n_aS,corr_n_dI,dI_pop,dS_pop,initT_pop,lBt0_pop,n_pop,omega_aS,omega_dI,omega_dS,omega_initT,omega_lBt0,omega_n
37,1283.1,1,0.382391,0.723282,0,0,0,0,1.39107,0.000828483,-14.1243,-4.42167,0.12486,0.363551,0.722162,0.767956,6.18453,0.398219,0.523542
38,1273.05,1,0.378547,0.721362,0,0,0,0,1.39671,0.000833952,-14.3142,-4.4294,0.125141,0.354346,0.721114,0.761685,6.04332,0.396058,0.525576
39,1290.58,1,0.389112,0.72649,0,0,0,0,1.39287,0.000846312,-14.1624,-4.43474,0.120064,0.345374,0.711322,0.742399,5.91369,0.396148,0.512268
40,1276.17,1,0.381287,0.730766,0,0,0,0,1.38039,0.000835777,-14.6415,-4.43533,0.120165,0.336628,0.713615,0.739067,6.60274,0.405819,0.499297
41,1304.23,1,0.388767,0.726379,0,0,0,0,1.39156,0.000842667,-14.6013,-4.4358,0.119156,0.334331,0.720507,0.739942,6.43556,0.408849,0.509872
42,1283.7,1,0.382039,0.728762,0,0,0,0,1.36664,0.000849207,-14.6384,-4.42844,0.122152,0.346016,0.724122,0.752023,6.27261,0.415115,0.506332
43,1304.31,1,0.385107,0.718374,0,0,0,0,1.37463,0.000834013,-14.2458,-4.42947,0.123173,0.359517,0.705787,0.790102,6.11378,0.417073,0.538709
44,1283.38,1,0.380351,0.708059,0,0,0,0,1.32107,0.000809951,-13.7183,-4.42508,0.122234,0.369736,0.696027,0.770096,5.95898,0.406512,0.544063
45,1286.41,1,0.378729,0.70083,0,0,0,0,1.31708,0.000818908,-14.1822,-4.42262,0.127685,0.363774,0.704449,0.783387,5.8994,0.412147,0.567219
46,1303.58,1,0.385181,0.707165,0,0,0,0,1.34897,0.000796014,-14.1145,-4.43335,0.126264,0.374495,0.686612,0.775739,5.87996,0.407989,0.566405
47,1267.39,1,0.375428,0.697665,0,0,0,0,1.35905,0.000824018,-14.4842,-4.4258,0.12748,0.380159,0.669226,0.756096,6.355,0.403941,0.568525
48,1251.42,1,0.371085,0.690053,0,0,0,0,1.38094,0.000819736,-14.2424,-4.42031,0.127644,0.370533,0.654963,0.771195,6.31378,0.408034,0.55413
49,1248.31,1,0.368791,0.700737,0,0,0,0,1.37791,0.000785805,-14.1241,-4.43227,0.124144,0.363489,0.663963,0.789673,6.21768,0.417825,0.540099
50,1264.1,1,0.3749,0.710503,0,0,0,0,1.40153,0.000782436,-14.0645,-4.42751,0.124977,0.354285,0.668784,0.783304,6.06025,0.420407,0.548098
51,1272.47,1,0.373748,0.706681,0,0,0,0,1.38142,0.000786004,-14.0978,-4.42535,0.125591,0.352485,0.688174,0.798219,5.97116,0.426921,0.579181
52,1239.28,1,0.367217,0.716092,0,0,0,0,1.37507,0.000785637,-14.08,-4.43048,0.124285,0.346797,0.679076,0.778008,5.92537,0.431581,0.564516
53,1250.89,1,0.369918,0.710578,0,0,0,0,1.36879,0.000778247,-14.2927,-4.43027,0.122992,0.356643,0.661881,0.774813,6.11677,0.43277,0.550222
54,1275.39,1,0.375448,0.723846,0,0,0,0,1.36343,0.000786236,-14.453,-4.42325,0.120132,0.363855,0.670419,0.755194,6.36947,0.438814,0.547566
55,1242.11,1,0.36663,0.703939,0,0,0,0,1.4142,0.000771918,-14.6977,-4.40628,0.12173,0.354642,0.686411,0.737309,6.26966,0.43886,0.560809
56,1233.96,1,0.361939,0.69014,0,0,0,0,1.43728,0.000774165,-14.4659,-4.40307,0.120126,0.354508,0.708289,0.734634,6.26485,0.442539,0.575828
57,1228.55,1,0.363619,0.70414,0,0,0,0,1.44922,0.000774952,-14.1481,-4.40194,0.121736,0.352326,0.690355,0.716033,6.10622,0.438604,0.582271
58,1230.21,1,0.362423,0.71084,0,0,0,0,1.47276,0.00077328,-13.9624,-4.40049,0.121165,0.344007,0.680957,0.729269,5.95184,0.448877,0.610172
59,1257.38,1,0.370288,0.707172,0,0,0,0,1.46733,0.000758286,-13.538,-4.40319,0.121334,0.361614,0.671579,0.72194,5.89675,0.448316,0.597676
60,1257.59,1,0.368003,0.709106,0,0,0,0,1.45482,0.000749759,-13.4985,-4.41347,0.126996,0.371247,0.654574,0.780428,5.88868,0.44393,0.619501
61,1245.99,1,0.363506,0.698937,0,0,0,0,1.43911,0.000741974,-13.437,-4.40776,0.130333,0.377585,0.64643,0.782501,5.95616,0.447561,0.617797
62,1255.11,1,0.366049,0.703454,0,0,0,0,1.45801,0.000711573,-13.4789,-4.42039,0.132037,0.368237,0.675378,0.767402,6.30998,0.44155,0.602154
63,1259.13,1,0.368348,0.710408,0,0,0,0,1.4465,0.000710206,-13.7183,-4.42986,0.130437,0.371559,0.716181,0.769976,6.15021,0.434171,0.586907
64,1260.58,1,0.368954,0.708059,0,0,0,0,1.48969,0.000709154,-13.4687,-4.42017,0.132949,0.373389,0.73054,0.767009,5.99448,0.42975,0.572046
