rep,id,eta_initT,eta_aS,eta_dS,eta_tau,eta_lBt0,eta_lp,eta_dI,eta_lk,eta_lae,eta_lw,eta_dE,eta_lE50,data
5,39,-0.361792,0.000657,0.019944,0.000000,-0.016336,0.000000,0.000000,0.944953,0.227214,-0.218770,-0.420993,0.000000,thai
6,39,4.901108,0.006998,0.008196,0.000000,0.008638,0.000000,0.000000,0.234415,-0.049549,-0.875033,-0.228206,0.000000,thai
7,39,-0.133947,-0.010470,-0.022732,0.000000,0.004666,0.000000,0.000000,0.844804,0.276346,-0.543775,-1.116644,0.000000,thai
8,39,0.437687,-0.029151,-0.027030,0.000000,0.002881,0.000000,0.000000,0.876199,0.275256,-0.606616,-1.010586,0.000000,thai
9,39,-4.224041,0.000088,-0.013956,0.000000,-0.010737,0.000000,0.000000,1.113951,0.391022,-0.693125,-0.440574,0.000000,thai
10,39,-0.285610,0.023984,0.000100,0.000000,-0.003121,0.000000,0.000000,1.037046,0.145181,-0.635780,-1.013627,0.000000,thai
1,40,-1.672406,0.006612,-0.056057,0.000000,0.002266,0.000000,0.000000,0.078954,0.077394,0.313215,1.535243,0.000000,thai
2,40,-1.265870,0.006142,-0.000010,0.000000,-0.008712,0.000000,0.000000,0.331539,0.120908,0.022008,1.801603,0.000000,thai
3,40,-2.991470,-0.038153,0.032694,0.000000,0.008223,0.000000,0.000000,-0.046043,-0.280335,0.078044,1.580043,0.000000,thai
4,40,-3.586650,-0.005981,0.006921,0.000000,-0.003568,0.000000,0.000000,0.562262,-0.014860,-0.137673,1.812153,0.000000,thai
5,40,-2.108427,-0.013341,0.008219,0.000000,0.009901,0.000000,0.000000,0.401177,-0.014863,-0.356971,1.323740,0.000000,thai
6,40,-1.338614,0.029762,0.010156,0.000000,0.004893,0.000000,0.000000,0.099559,-0.174981,0.196669,2.459934,0.000000,thai
7,40,-4.513793,-0.008833,0.064080,0.000000,-0.002638,0.000000,0.000000,0.182959,0.014331,0.007200,1.398328,0.000000,thai
8,40,-4.928266,-0.007233,0.010566,0.000000,-0.011396,0.000000,0.000000,0.555573,0.000158,-0.052573,1.973597,0.000000,thai
9,40,-2.073637,-0.000378,0.006096,0.000000,0.005040,0.000000,0.000000,-0.142552,0.309692,0.101949,0.927972,0.000000,thai
10,40,-0.257575,-0.017112,-0.023858,0.000000,0.000824,0.000000,0.000000,0.041132,0.016696,0.525742,2.590116,0.000000,thai
1,41,2.180675,-0.001333,-0.031282,0.000000,0.006413,0.000000,0.000000,0.220209,-0.146587,-1.013949,0.684046,0.000000,thai
2,41,2.961114,-0.011023,-0.019626,0.000000,0.011625,0.000000,0.000000,-0.166461,0.057610,-0.358044,-0.278428,0.000000,thai
3,41,3.729314,0.006796,-0.017150,0.000000,-0.008452,0.000000,0.000000,-0.376231,0.002341,-0.438179,0.116911,0.000000,thai
4,41,4.428023,0.007485,-0.066260,0.000000,0.014020,0.000000,0.000000,-0.519451,-0.064029,-0.253495,-0.101782,0.000000,thai
5,41,2.084110,0.007091,0.001011,0.000000,-0.002597,0.000000,0.000000,-0.186731,-0.037136,-0.393056,0.096108,0.000000,thai
6,41,2.614228,-0.015745,0.002595,0.000000,0.011113,0.000000,0.000000,-0.673060,0.033678,0.229237,-0.243055,0.000000,thai
7,41,1.173634,-0.006890,-0.035233,0.000000,-0.003629,0.000000,0.000000,-0.001221,-0.029186,-0.862649,0.893051,0.000000,thai
