rep,id,eta_initT,eta_aS,eta_dS,eta_tau,eta_lBt0,eta_lp,eta_dI,eta_lk,eta_lae,eta_lw,eta_dE,eta_lE50,data
2,3,0.712556,-0.025452,-0.011363,0.000000,-0.003443,0.000000,0.000000,0.380449,-0.258780,-1.008118,0.611808,0.000000,africa
3,3,-0.641229,-0.008763,0.043097,0.000000,0.002542,0.000000,0.000000,0.162422,-0.105630,-0.562843,1.576687,0.000000,africa
4,3,2.616453,0.005478,0.011203,0.000000,0.006473,0.000000,0.000000,0.029619,-0.062802,-0.343718,1.871369,0.000000,africa
5,3,2.892798,0.005424,-0.012613,0.000000,0.004046,0.000000,0.000000,-0.006505,0.252113,-0.714892,0.627841,0.000000,africa
6,3,-0.395991,0.007652,0.012027,0.000000,-0.008137,0.000000,0.000000,0.491046,0.107675,-0.766109,0.218077,0.000000,africa
7,3,2.861761,0.014916,-0.024952,0.000000,-0.011981,0.000000,0.000000,-0.258460,0.158092,-0.625825,0.390993,0.000000,africa
8,3,1.153373,0.006952,-0.003955,0.000000,-0.006901,0.000000,0.000000,-0.281602,0.091088,-0.253123,0.218112,0.000000,africa
9,3,0.160900,0.027445,0.025970,0.000000,-0.005512,0.000000,0.000000,-0.573097,-0.221391,0.093475,0.670063,0.000000,africa
10,3,0.602650,0.036853,0.045352,0.000000,-0.002772,0.000000,0.000000,-0.361460,-0.053292,-0.324693,-0.223970,0.000000,africa
1,4,-2.199577,-0.038275,0.023451,0.000000,0.002515,0.000000,0.000000,0.396377,0.103792,0.324082,-1.395333,0.000000,africa
2,4,-0.074165,0.003734,-0.006311,0.000000,-0.003411,0.000000,0.000000,-0.180230,-0.132323,0.168404,-1.291931,0.000000,africa
3,4,1.257109,0.008622,-0.040299,0.000000,0.006499,0.000000,0.000000,0.486460,0.203942,-0.346753,-1.331785,0.000000,africa
4,4,-0.326426,-0.003904,-0.038036,0.000000,-0.006052,0.000000,0.000000,-0.078597,0.195749,-0.309562,-1.038408,0.000000,africa
5,4,1.925141,0.007401,0.023304,0.000000,0.004636,0.000000,0.000000,0.279098,-0.042413,0.224654,-1.406923,0.000000,africa
6,4,1.600981,0.023436,-0.000295,0.000000,0.010620,0.000000,0.000000,0.378796,0.157342,0.018920,-1.360635,0.000000,africa
7,4,-0.156651,-0.005981,0.004960,0.000000,-0.006638,0.000000,0.000000,-0.213672,0.180739,0.475832,-1.318870,0.000000,africa
8,4,-4.196973,-0.003009,0.007910,0.000000,0.000797,0.000000,0.000000,0.418824,0.097511,0.107103,-1.393824,0.000000,africa
9,4,1.808372,-0.011988,0.010652,0.000000,0.000227,0.000000,0.000000,-0.011039,-0.115800,0.137609,-1.456741,0.000000,africa
10,4,0.884332,0.013727,-0.035582,0.000000,0.005941,0.000000,0.000000,0.749162,0.010184,-0.322114,-1.317345,0.000000,africa
1,5,-0.796588,0.009683,0.009878,0.000000,-0.002618,0.000000,0.000000,-0.780096,0.089756,0.144654,-0.175859,0.000000,africa
2,5,0.325196,-0.009096,-0.013391,0.000000,-0.008552,0.000000,0.000000,-0.211058,-0.298262,-0.266161,-0.069039,0.000000,africa
3,5,2.093048,-0.004345,-0.044402,0.000000,0.015612,0.000000,0.000000,-0.015353,0.213633,0.006137,1.932342,0.000000,africa
4,5,-0.104231,0.000073,-0.010329,0.000000,0.005112,0.000000,0.000000,0.187314,0.375765,-0.399013,-0.389734,0.000000,africa
5,5,0.102497,0.019264,0.014326,0.000000,-0.002945,0.000000,0.000000,0.212910,0.112014,0.296646,-0.737337,0.000000,africa
6,5,-2.207198,-0.009327,-0.029264,0.000000,-0.002841,0.000000,0.000000,-0.316045,0.292122,0.124129,-0.189625,0.000000,africa
7,5,0.282500,0.006964,-0.001271,0.000000,-0.007173,0.000000,0.000000,0.103589,-0.087710,-0.713296,0.117020,0.000000,africa
8,5,0.672272,-0.001097,-0.002844,0.000000,-0.001360,0.000000,0.000000,0.298314,-0.225204,-0.241270,-0.367917,0.000000,africa
9,5,-0.912706,-0.007897,0.024618,0.000000,0.001284,0.000000,0.000000,0.091069,-0.105675,-0.506407,-0.136283,0.000000,africa
10,5,-3.633188,-0.005294,0.040873,0.000000,-0.003256,0.000000,0.000000,-0.119541,-0.011988,-0.593118,-0.025052,0.000000,africa
1,6,-2.784315,-0.004619,0.021530,0.000000,-0.006391,0.000000,0.000000,0.422516,-0.261278,0.832902,0.109648,0.000000,africa
2,6,-5.573692,-0.015614,0.004001,0.000000,-0.006281,0.000000,0.000000,1.170489,0.069924,-0.279696,-0.239197,0.000000,africa
3,6,-3.048195,0.000562,-0.037895,0.000000,-0.009726,0.000000,0.000000,0.456111,-0.019622,0.498129,-0.651566,0.000000,africa
4,6,-2.727324,-0.002793,-0.046333,0.000000,-0.007839,0.000000,0.000000,0.347540,-0.155030,0.316616,-0.343973,0.000000,africa
5,6,-1.037407,0.011212,0.013926,0.000000,0.006608,0.000000,0.000000,0.367033,0.110155,0.670021,-0.327254,0.000000,africa
6,6,-2.113299,0.033390,-0.056084,0.000000,-0.002370,0.000000,0.000000,0.217243,-0.326688,0.673032,-0.467199,0.000000,africa
7,6,-3.929603,-0.027321,-0.008308,0.000000,0.009967,0.000000,0.000000,0.062111,0.036931,0.785213,-0.416152,0.000000,africa
8,6,-3.184709,0.010229,0.009788,0.000000,-0.007908,0.000000,0.000000,0.648652,0.090587,0.522667,-0.476369,0.000000,africa
9,6,-4.576948,0.020521,-0.008008,0.000000,0.011214,0.000000,0.000000,0.085345,-0.091544,0.225748,-0.349985,0.000000,africa
10,6,-2.139370,0.014372,0.030331,0.000000,0.000019,0.000000,0.000000,0.229081,-0.065897,1.025235,0.008337,0.000000,africa
1,7,0.428484,-0.007591,-0.027430,0.000000,-0.000789,0.000000,0.000000,0.719823,0.335071,1.235957,-1.584021,0.000000,africa
2,7,-1.421902,-0.019399,-0.004436,0.000000,0.002317,0.000000,0.000000,0.942060,0.347266,1.649053,-0.791556,0.000000,africa
3,7,-3.746933,-0.003405,0.006680,0.000000,0.001110,0.000000,0.000000,0.915916,0.110237,1.017930,-1.612727,0.000000,africa
4,7,-5.643419,-0.022096,-0.001318,0.000000,-0.008093,0.000000,0.000000,0.905131,0.020909,0.961405,-1.708943,0.000000,africa
5,7,-3.059541,0.013580,0.021479,0.000000,-0.000809,0.000000,0.000000,0.738362,0.145544,0.910911,-1.922955,0.000000,africa
6,7,-4.818513,-0.013484,0.006893,0.000000,-0.001997,0.000000,0.000000,0.936056,0.095907,0.959424,-1.527293,0.000000,africa
7,7,-6.536180,0.006542,0.040322,0.000000,0.004860,0.000000,0.000000,0.691433,0.299779,1.432283,-1.805103,0.000000,africa
8,7,-2.350820,0.004412,0.001280,0.000000,0.004791,0.000000,0.000000,0.686987,0.247180,1.110487,-1.844992,0.000000,africa
9,7,-5.506657,-0.009583,-0.009148,0.000000,0.001733,0.000000,0.000000,0.780808,0.118661,0.734711,-1.951634,0.000000,africa
10,7,-4.769780,-0.010458,0.024831,0.000000,-0.009559,0.000000,0.000000,0.672616,0.242165,1.209686,-1.767396,0.000000,africa
1,8,-2.616426,-0.000303,0.010323,0.000000,0.001253,0.000000,0.000000,0.427968,0.142293,-1.212817,1.544009,0.000000,africa
2,8,-1.215429,-0.019197,-0.008728,0.000000,0.004708,0.000000,0.000000,-0.670076,-0.041987,-0.443312,1.018670,0.000000,africa
3,8,-1.108089,0.009461,0.014408,0.000000,-0.003014,0.000000,0.000000,-0.722098,0.019944,-0.584914,0.217417,0.000000,africa
4,8,0.083241,-0.014857,-0.023317,0.000000,0.011815,0.000000,0.000000,0.726678,0.056967,-1.370381,1.257889,0.000000,africa
5,8,-0.764383,-0.018383,0.005881,0.000000,0.011708,0.000000,0.000000,0.064258,0.380165,-0.838556,1.328899,0.000000,africa
6,8,-0.783177,-0.003682,0.000356,0.000000,0.005716,0.000000,0.000000,-0.165028,0.307996,-0.622970,1.706581,0.000000,africa
7,8,-1.256887,-0.006073,-0.012938,0.000000,-0.006037,0.000000,0.000000,-0.266442,0.309799,-0.782006,0.725975,0.000000,africa
8,8,-0.995213,0.002220,-0.011531,0.000000,-0.012496,0.000000,0.000000,-0.736430,-0.140364,-0.331045,0.059476,0.000000,africa
9,8,-1.596753,-0.006710,-0.015593,0.000000,-0.004806,0.000000,0.000000,-0.778426,0.061380,-0.023658,1.773447,0.000000,africa
10,8,-1.007175,0.055875,0.015105,0.000000,-0.002988,0.000000,0.000000,-0.981158,0.089404,-0.119094,1.776248,0.000000,africa
1,9,-6.325836,0.024208,0.011377,0.000000,0.002108,0.000000,0.000000,0.657619,0.102729,0.020602,-1.928589,0.000000,africa
2,9,-2.537901,0.020437,0.020389,0.000000,-0.005925,0.000000,0.000000,0.318676,-0.026328,0.033941,-1.851306,0.000000,africa
3,9,-0.705448,-0.003297,-0.001396,0.000000,-0.006553,0.000000,0.000000,0.027664,0.272092,0.473486,-1.863567,0.000000,africa
4,9,-5.769757,-0.004528,0.055675,0.000000,-0.012199,0.000000,0.000000,0.094958,0.157815,0.338108,-1.850270,0.000000,africa
5,9,-0.496483,0.002836,-0.005843,0.000000,0.004839,0.000000,0.000000,0.278973,0.270275,0.280206,-1.701809,0.000000,africa
6,9,-3.546198,-0.015630,0.015486,0.000000,0.009476,0.000000,0.000000,0.432066,-0.015589,-0.174448,-1.838124,0.000000,africa
7,9,-1.540836,0.011497,0.006377,0.000000,-0.003186,0.000000,0.000000,0.168821,0.180867,0.581444,-1.755295,0.000000,africa
8,9,-2.286020,0.002875,0.010945,0.000000,-0.010508,0.000000,0.000000,0.477410,-0.092557,0.332480,-1.788680,0.000000,africa
9,9,1.097598,-0.003285,-0.042205,0.000000,0.011306,0.000000,0.000000,0.036392,-0.191977,0.263653,-1.687166,0.000000,africa
10,9,-1.115872,0.002299,0.030618,0.000000,0.001931,0.000000,0.000000,0.059361,0.191794,0.534458,-1.852816,0.000000,africa
1,10,-1.844140,0.012837,-0.026671,0.000000,-0.004667,0.000000,0.000000,-0.372621,-0.083129,-0.429057,-0.866325,0.000000,africa
2,10,-0.569219,0.014315,-0.027156,0.000000,-0.003368,0.000000,0.000000,-0.355907,-0.113019,-0.794117,-0.363429,0.000000,africa
3,10,-2.023136,-0.006432,-0.002646,0.000000,0.009739,0.000000,0.000000,0.255567,0.235965,-1.316470,0.509789,0.000000,africa
4,10,-2.741607,0.002182,-0.024766,0.000000,-0.007801,0.000000,0.000000,-0.434601,-0.217461,-0.772544,-0.755052,0.000000,africa
5,10,-0.972677,-0.017305,-0.017237,0.000000,0.005993,0.000000,0.000000,-0.627569,-0.121772,-0.201516,-0.484286,0.000000,africa
6,10,-1.654708,0.008309,-0.036951,0.000000,0.003593,0.000000,0.000000,-0.058047,-0.166003,-0.922756,0.671829,0.000000,africa
7,10,-1.817512,0.015510,-0.018816,0.000000,-0.001170,0.000000,0.000000,-0.126165,0.109998,-0.751525,-0.835608,0.000000,africa
8,10,-2.088210,0.012101,-0.015894,0.000000,0.009668,0.000000,0.000000,-0.379196,-0.027533,-1.415254,0.691233,0.000000,africa
9,10,-1.861987,0.013959,-0.009510,0.000000,0.004423,0.000000,0.000000,-0.304199,-0.357305,-0.958903,-0.260086,0.000000,africa
10,10,-0.724482,-0.007560,-0.035890,0.000000,0.000516,0.000000,0.000000,-0.749492,-0.036233,-0.197581,0.214478,0.000000,africa
1,11,2.673490,-0.039550,-0.049495,0.000000,-0.003675,0.000000,0.000000,-0.542089,0.337059,-0.216541,-0.443817,0.000000,africa
2,11,3.387014,0.023903,-0.013571,0.000000,0.000388,0.000000,0.000000,-0.376488,0.013504,-0.453660,0.836902,0.000000,africa
3,11,2.741557,-0.001326,-0.014990,0.000000,-0.010810,0.000000,0.000000,-0.337673,0.030433,-0.182737,-0.516752,0.000000,africa
4,11,3.290755,0.014533,-0.024411,0.000000,-0.005859,0.000000,0.000000,-0.205124,0.082491,-0.636192,-0.349179,0.000000,africa
5,11,1.346635,-0.004926,0.011312,0.000000,-0.001094,0.000000,0.000000,-0.621636,0.151400,0.372283,2.035908,0.000000,africa
6,11,3.988090,0.009636,0.005236,0.000000,-0.004250,0.000000,0.000000,-0.886671,0.142027,0.118996,0.380884,0.000000,africa
7,11,2.609176,-0.000199,-0.005156,0.000000,0.005143,0.000000,0.000000,-0.420232,-0.072058,-0.173259,-0.060048,0.000000,africa
8,11,2.845811,0.023185,0.024380,0.000000,0.005567,0.000000,0.000000,-0.567772,0.170486,-0.211317,-0.080374,0.000000,africa
9,11,2.234770,-0.013055,-0.010176,0.000000,-0.002624,0.000000,0.000000,-0.260152,-0.154464,-0.225500,-0.835245,0.000000,africa
10,11,2.271279,-0.023573,0.014425,0.000000,0.005575,0.000000,0.000000,-0.764818,0.218703,0.245697,0.550899,0.000000,africa
1,12,-0.808736,0.007682,0.066893,0.000000,0.003197,0.000000,0.000000,-0.481312,-0.017572,0.569129,-1.490342,0.000000,africa
2,12,-2.333219,-0.003407,0.019509,0.000000,-0.012557,0.000000,0.000000,-0.305884,-0.261947,0.709131,-1.533338,0.000000,africa
3,12,-4.148837,-0.011046,0.015245,0.000000,-0.011655,0.000000,0.000000,0.441907,-0.194790,-0.380765,-1.406855,0.000000,africa
4,12,2.121815,-0.003328,-0.029817,0.000000,0.014364,0.000000,0.000000,0.633375,0.040246,0.204654,-1.478583,0.000000,africa
5,12,-3.347896,-0.008449,0.003798,0.000000,-0.003559,0.000000,0.000000,0.533357,-0.069467,-0.373548,-1.368179,0.000000,africa
6,12,0.621558,0.002366,0.002041,0.000000,-0.003733,0.000000,0.000000,0.280539,-0.086890,0.289025,-1.273523,0.000000,africa
7,12,-1.139865,-0.002658,-0.037240,0.000000,-0.001286,0.000000,0.000000,-0.797455,0.013993,0.440900,-1.108329,0.000000,africa
8,12,0.728229,0.016630,0.003423,0.000000,0.012331,0.000000,0.000000,0.198210,-0.052190,-0.371041,-1.277731,0.000000,africa
9,12,-2.542387,-0.014595,-0.017269,0.000000,-0.000966,0.000000,0.000000,0.645141,-0.022704,-0.888946,-1.155966,0.000000,africa
10,12,-0.558153,0.026592,0.012029,0.000000,-0.007653,0.000000,0.000000,0.461191,-0.024393,-0.284493,-1.251820,0.000000,africa
1,13,-0.886342,-0.008019,0.033835,0.000000,0.004212,0.000000,0.000000,0.662301,-0.056596,0.077582,-1.285602,0.000000,africa
2,13,1.362808,-0.011315,-0.035766,0.000000,0.000311,0.000000,0.000000,0.860316,0.225931,-0.236717,-1.232902,0.000000,africa
3,13,-3.750156,0.018273,0.046512,0.000000,-0.006996,0.000000,0.000000,0.695872,0.177986,-0.016302,-1.375008,0.000000,africa
4,13,-0.155295,0.030623,0.045921,0.000000,-0.003211,0.000000,0.000000,0.899182,0.174156,0.338264,-0.929835,0.000000,africa
5,13,-1.889886,-0.026275,0.026224,0.000000,-0.009355,0.000000,0.000000,0.628104,0.087198,-0.025217,-1.419016,0.000000,africa
6,13,-2.031446,-0.017035,-0.004560,0.000000,0.006541,0.000000,0.000000,1.339743,0.067811,0.216419,-0.395769,0.000000,africa
7,13,-2.888725,-0.002824,-0.015597,0.000000,0.003953,0.000000,0.000000,0.736972,0.345462,0.169399,-1.462741,0.000000,africa
8,13,1.113063,0.021766,0.010446,0.000000,-0.007885,0.000000,0.000000,0.721281,0.054229,-0.589741,-1.106109,0.000000,africa
9,13,3.425549,0.002521,-0.015341,0.000000,-0.010959,0.000000,0.000000,-0.213702,0.021278,0.709311,-1.201152,0.000000,africa
10,13,-4.855458,0.008622,0.033424,0.000000,0.004247,0.000000,0.000000,0.865027,0.117024,-0.024389,-1.506678,0.000000,africa
1,14,1.481619,0.005562,0.027585,0.000000,0.001037,0.000000,0.000000,0.980431,-0.202108,0.302517,-0.979198,0.000000,africa
2,14,2.827001,0.003743,0.003841,0.000000,0.016501,0.000000,0.000000,1.367402,-0.235559,-0.210975,-0.626123,0.000000,africa
3,14,3.125679,0.019324,0.001962,0.000000,-0.013963,0.000000,0.000000,0.885469,0.061562,0.596264,-0.887859,0.000000,africa
4,14,3.283858,0.007808,0.022558,0.000000,0.002085,0.000000,0.000000,0.712619,0.011819,0.578584,-0.881373,0.000000,africa
5,14,3.357251,-0.002508,-0.009279,0.000000,-0.002898,0.000000,0.000000,-0.179821,-0.092314,0.736153,-0.657931,0.000000,africa
6,14,2.006140,-0.015479,0.003828,0.000000,-0.000202,0.000000,0.000000,0.651674,0.214151,0.559399,-0.650975,0.000000,africa
7,14,5.467169,-0.008687,-0.077771,0.000000,0.003726,0.000000,0.000000,0.452717,-0.102449,0.414275,-0.929942,0.000000,africa
8,14,4.358478,-0.007821,-0.061184,0.000000,0.007143,0.000000,0.000000,0.581833,-0.317265,0.064456,-0.902599,0.000000,africa
9,14,4.634954,0.012296,0.028580,0.000000,0.005123,0.000000,0.000000,0.593184,0.190797,0.708603,-0.831068,0.000000,africa
10,14,3.165942,0.036495,-0.004502,0.000000,-0.003936,0.000000,0.000000,0.699226,-0.350280,0.028420,-1.090463,0.000000,africa
1,15,0.292181,0.008209,0.002528,0.000000,0.007763,0.000000,0.000000,-0.585457,-0.059745,0.231456,0.881425,0.000000,africa
2,15,1.236664,0.004735,0.023241,0.000000,-0.002770,0.000000,0.000000,-0.023664,0.051478,-0.197999,0.048044,0.000000,africa
3,15,1.275550,0.010280,0.018145,0.000000,0.000104,0.000000,0.000000,0.031541,-0.026878,-0.424918,0.807728,0.000000,africa
4,15,-0.155245,-0.015659,0.009439,0.000000,-0.004320,0.000000,0.000000,-0.465899,0.046342,0.157078,-0.351566,0.000000,africa
5,15,-1.147383,-0.008083,0.039721,0.000000,-0.002062,0.000000,0.000000,-0.735611,-0.033020,0.230662,1.003348,0.000000,africa
6,15,0.176286,0.002460,-0.030766,0.000000,-0.011631,0.000000,0.000000,-0.144476,0.157654,0.314948,2.509274,0.000000,africa
7,15,0.965816,-0.002655,0.011554,0.000000,0.005843,0.000000,0.000000,-0.344369,-0.133724,0.248830,1.769887,0.000000,africa
8,15,2.606366,-0.002506,-0.050910,0.000000,0.004702,0.000000,0.000000,-0.490269,0.013426,0.524335,2.517005,0.000000,africa
9,15,2.190627,0.003593,-0.025940,0.000000,-0.003941,0.000000,0.000000,0.002902,0.202807,-0.126867,1.347575,0.000000,africa
10,15,1.771013,-0.012742,-0.006132,0.000000,0.010719,0.000000,0.000000,-0.835555,0.276189,0.184654,0.745664,0.000000,africa
1,16,3.371043,-0.011011,0.010615,0.000000,0.014052,0.000000,0.000000,0.067255,0.061273,-0.161596,1.754463,0.000000,africa
2,16,2.721348,0.013199,0.028452,0.000000,-0.001137,0.000000,0.000000,0.067582,0.049515,-0.686475,-0.295067,0.000000,africa
3,16,4.701128,0.019642,-0.018980,0.000000,0.011139,0.000000,0.000000,-1.224055,0.122993,0.599869,-0.110204,0.000000,africa
4,16,2.716819,0.027732,0.032759,0.000000,-0.004614,0.000000,0.000000,-0.109514,-0.000079,-0.044905,-0.240621,0.000000,africa
5,16,1.321243,-0.000610,0.005866,0.000000,-0.000875,0.000000,0.000000,0.030188,0.004839,-0.148443,2.122362,0.000000,africa
6,16,4.696057,-0.005828,-0.005969,0.000000,0.017679,0.000000,0.000000,-0.596477,0.014205,0.417239,1.178856,0.000000,africa
7,16,3.941439,0.012810,-0.016708,0.000000,0.008363,0.000000,0.000000,0.110382,0.078634,0.298224,2.890157,0.000000,africa
8,16,0.432640,0.001716,0.042327,0.000000,-0.016315,0.000000,0.000000,-1.255234,-0.027142,1.113093,0.212880,0.000000,africa
9,16,0.414443,-0.026615,0.036168,0.000000,0.003706,0.000000,0.000000,0.034204,0.204980,-0.229028,1.040159,0.000000,africa
10,16,4.809822,0.015170,-0.001710,0.000000,0.006141,0.000000,0.000000,-0.055998,0.096198,-0.047269,-0.057048,0.000000,africa
1,17,-1.168298,-0.009295,0.054664,0.000000,0.015216,0.000000,0.000000,-0.091659,0.268358,-0.082418,1.954940,0.000000,africa
2,17,-0.033394,0.009846,-0.000850,0.000000,0.001837,0.000000,0.000000,0.430003,0.205576,-0.551978,-0.744301,0.000000,africa
3,17,0.447551,0.003728,0.005616,0.000000,-0.002432,0.000000,0.000000,-0.285216,0.319517,0.055051,1.239871,0.000000,africa
4,17,-0.510984,-0.008126,-0.000517,0.000000,0.002801,0.000000,0.000000,-0.645547,0.022980,0.414224,1.519974,0.000000,africa
5,17,-2.377955,0.021617,0.069635,0.000000,-0.007705,0.000000,0.000000,0.285431,0.219865,-1.051162,-0.274506,0.000000,africa
6,17,1.078563,-0.002518,-0.043079,0.000000,-0.003376,0.000000,0.000000,0.211274,0.013553,-0.381981,-0.765666,0.000000,africa
7,17,0.845091,0.021972,0.022934,0.000000,-0.004175,0.000000,0.000000,0.015510,-0.018182,-0.942175,0.931556,0.000000,africa
8,17,1.210094,-0.005961,-0.003127,0.000000,0.000557,0.000000,0.000000,-0.057960,0.014266,0.305129,-2.070220,0.000000,africa
9,17,-2.237608,-0.013990,-0.017512,0.000000,-0.000189,0.000000,0.000000,0.144760,-0.045982,0.101204,0.836674,0.000000,africa
10,17,1.894229,-0.007815,-0.052362,0.000000,-0.002310,0.000000,0.000000,-0.302626,0.082638,-0.847703,-1.227563,0.000000,africa
1,18,8.715539,-0.003236,0.036379,0.000000,0.002771,0.000000,0.000000,0.684811,-0.029397,0.492780,-1.261612,0.000000,africa
2,18,5.047269,0.016021,0.058100,0.000000,0.000010,0.000000,0.000000,0.730675,0.001520,0.359330,-1.690216,0.000000,africa
3,18,9.268729,0.019804,0.031706,0.000000,-0.012577,0.000000,0.000000,0.302030,-0.100794,0.646093,-1.295886,0.000000,africa
4,18,7.972547,-0.014100,0.007099,0.000000,0.002720,0.000000,0.000000,0.412528,0.094676,0.403393,-1.605431,0.000000,africa
5,18,9.810127,-0.000401,0.018251,0.000000,0.006836,0.000000,0.000000,-0.063527,0.069310,0.647431,-1.585557,0.000000,africa
6,18,10.163365,0.011298,-0.002122,0.000000,-0.005412,0.000000,0.000000,-0.134833,0.165619,0.852992,-1.473265,0.000000,africa
7,18,6.814144,-0.013309,-0.007736,0.000000,-0.003947,0.000000,0.000000,0.534746,0.127413,0.772354,-1.482931,0.000000,africa
8,18,8.419908,-0.042105,0.020834,0.000000,-0.001771,0.000000,0.000000,-0.522430,-0.094558,1.423320,-1.612247,0.000000,africa
9,18,6.906959,-0.006958,0.087669,0.000000,-0.002670,0.000000,0.000000,0.196826,0.003843,0.997969,-1.444622,0.000000,africa
10,18,8.809312,-0.014504,0.009406,0.000000,-0.006599,0.000000,0.000000,0.068702,-0.009886,0.494908,-1.536315,0.000000,africa
1,19,-4.136004,-0.034649,0.039254,0.000000,-0.003964,0.000000,0.000000,0.035953,-0.132587,0.238921,0.315215,0.000000,africa
2,19,-1.790393,0.001954,-0.038665,0.000000,0.003373,0.000000,0.000000,-0.520051,-0.235089,0.167561,0.995295,0.000000,africa
3,19,-2.652567,0.004541,-0.017218,0.000000,-0.004774,0.000000,0.000000,0.314533,0.016352,-0.729549,1.155163,0.000000,africa
4,19,-3.501428,0.007285,-0.041235,0.000000,-0.013499,0.000000,0.000000,-0.149481,-0.185776,-0.249316,0.545689,0.000000,africa
5,19,-3.617966,0.015770,0.005872,0.000000,0.000304,0.000000,0.000000,-0.424273,-0.355980,0.199195,0.573527,0.000000,africa
6,19,-6.071269,0.001944,0.011506,0.000000,-0.007067,0.000000,0.000000,-0.649707,-0.061491,0.292775,0.653911,0.000000,africa
7,19,-6.493259,0.007254,0.041151,0.000000,-0.005659,0.000000,0.000000,0.399673,-0.130618,-0.640003,0.530986,0.000000,africa
8,19,-4.013371,0.020238,-0.012788,0.000000,-0.010909,0.000000,0.000000,0.158817,0.052964,-0.242914,0.866573,0.000000,africa
9,19,-8.422092,-0.012218,0.010431,0.000000,-0.004373,0.000000,0.000000,-0.314689,-0.105597,0.069362,0.430236,0.000000,africa
10,19,-4.378010,-0.001609,0.029235,0.000000,0.002261,0.000000,0.000000,-0.318503,0.414681,0.121404,1.280100,0.000000,africa
1,20,1.321159,0.005494,-0.007838,0.000000,0.009191,0.000000,0.000000,-0.609454,-0.158953,-1.242431,-1.426144,0.000000,africa
2,20,2.731291,0.014526,-0.011548,0.000000,0.007425,0.000000,0.000000,-0.676653,-0.083825,-0.452767,-2.359147,0.000000,africa
3,20,0.027081,-0.039015,-0.010430,0.000000,0.008012,0.000000,0.000000,-0.454393,0.222018,-0.560109,0.711111,0.000000,africa
4,20,3.342621,-0.013714,-0.060512,0.000000,-0.005161,0.000000,0.000000,-0.111894,-0.033719,0.152931,1.416410,0.000000,africa
5,20,-0.261278,0.001954,0.027434,0.000000,0.005857,0.000000,0.000000,0.351095,-0.111530,-0.932500,-1.343122,0.000000,africa
6,20,1.017442,0.019448,0.006254,0.000000,-0.007400,0.000000,0.000000,0.123479,0.300411,-0.409053,1.097557,0.000000,africa
7,20,1.314099,-0.006672,-0.002952,0.000000,0.007738,0.000000,0.000000,-0.364146,0.076138,-0.395127,-0.945805,0.000000,africa
8,20,1.390931,0.036568,-0.018104,0.000000,-0.003919,0.000000,0.000000,0.421247,0.015862,-0.742166,0.892483,0.000000,africa
9,20,-0.372203,-0.033336,0.009213,0.000000,-0.007450,0.000000,0.000000,-0.296515,-0.001968,-0.277746,-0.428076,0.000000,africa
10,20,-1.544535,0.009433,0.035811,0.000000,-0.004193,0.000000,0.000000,-0.738270,0.051512,-0.610315,-0.224957,0.000000,africa
1,21,-0.401933,-0.000794,0.002623,0.000000,0.012263,0.000000,0.000000,0.663592,-0.242312,-0.851644,0.468096,0.000000,africa
2,21,1.575637,0.021738,-0.080694,0.000000,-0.004820,0.000000,0.000000,0.490986,0.061363,-0.353407,1.314450,0.000000,africa
3,21,-2.309567,-0.013269,-0.025080,0.000000,0.004854,0.000000,0.000000,-0.392467,0.062259,0.974148,1.228379,0.000000,africa
4,21,-0.748615,-0.014657,-0.016273,0.000000,0.005552,0.000000,0.000000,0.394843,-0.289240,-0.422972,0.531428,0.000000,africa
5,21,-0.073266,-0.015215,-0.065651,0.000000,0.000245,0.000000,0.000000,-0.597843,-0.019339,0.464046,0.701208,0.000000,africa
6,21,-4.747345,-0.016267,0.014937,0.000000,-0.004352,0.000000,0.000000,-0.087162,-0.215452,0.356571,1.610937,0.000000,africa
7,21,-2.530230,0.010182,0.003109,0.000000,-0.002054,0.000000,0.000000,1.186460,0.352920,-0.116569,2.431491,0.000000,africa
8,21,-2.409011,-0.009687,0.013578,0.000000,0.002789,0.000000,0.000000,0.550741,-0.209996,-0.161842,1.577880,0.000000,africa
9,21,-3.397067,-0.009988,-0.024099,0.000000,-0.000787,0.000000,0.000000,0.078307,0.101941,0.170999,1.120545,0.000000,africa
10,21,-1.735542,-0.001196,0.001533,0.000000,0.001695,0.000000,0.000000,0.166278,0.015067,0.302188,1.146123,0.000000,africa
1,22,-6.899856,0.041798,-0.006959,0.000000,-0.009348,0.000000,0.000000,0.538260,0.069355,0.096881,-0.893625,0.000000,africa
2,22,-4.340849,0.011813,0.023700,0.000000,-0.000248,0.000000,0.000000,0.037912,-0.150932,0.344720,-0.768538,0.000000,africa
3,22,-5.896655,0.007006,-0.063214,0.000000,-0.002288,0.000000,0.000000,0.630077,0.101100,-0.591134,-0.618841,0.000000,africa
4,22,-4.318888,0.010693,-0.032520,0.000000,0.000794,0.000000,0.000000,0.532699,-0.119025,-0.037258,-0.875957,0.000000,africa
5,22,-4.870893,0.008558,0.005261,0.000000,-0.000829,0.000000,0.000000,0.441440,0.267717,0.165005,-0.823464,0.000000,africa
6,22,-2.840981,0.014704,-0.051866,0.000000,0.002832,0.000000,0.000000,0.000541,0.052595,0.038615,-0.839424,0.000000,africa
7,22,-2.397590,-0.007273,-0.055135,0.000000,0.007476,0.000000,0.000000,0.879577,-0.111996,0.313713,-0.449372,0.000000,africa
