initT_abscissa,initT_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,lw_abscissa,lw_cdf,lI50_abscissa,lI50_cdf,split
-1.28311,0.1,-1.12909,0.1,-1.10387,0.1,-1.09127,0.1,-1.29307,0.1,All
-1.28167,0.101961,-1.11733,0.101961,-1.08662,0.101961,-1.09101,0.101961,-1.27408,0.101961,All
-1.27914,0.103922,-1.10792,0.103922,-1.08217,0.103922,-1.07854,0.103922,-1.25811,0.103922,All
-1.26795,0.105882,-1.10219,0.105882,-1.06042,0.105882,-1.053,0.105882,-1.25672,0.105882,All
-1.26086,0.107843,-1.10009,0.107843,-1.05201,0.107843,-1.05268,0.107843,-1.22392,0.107843,All
-1.25619,0.109804,-1.09575,0.109804,-1.0492,0.109804,-1.03926,0.109804,-1.20437,0.109804,All
-1.25189,0.111765,-1.08423,0.111765,-1.04037,0.111765,-1.03661,0.111765,-1.20108,0.111765,All
-1.24402,0.113725,-1.0603,0.113725,-1.03051,0.113725,-1.03548,0.113725,-1.19543,0.113725,All
-1.23321,0.115686,-1.05613,0.115686,-1.02837,0.115686,-1.03087,0.115686,-1.19389,0.115686,All
-1.23244,0.117647,-1.05004,0.117647,-1.02571,0.117647,-1.02857,0.117647,-1.19164,0.117647,All
-1.22186,0.119608,-1.04524,0.119608,-1.02426,0.119608,-1.0096,0.119608,-1.19044,0.119608,All
-1.19932,0.121569,-1.03351,0.121569,-1.02374,0.121569,-0.997998,0.121569,-1.17152,0.121569,All
-1.19582,0.123529,-1.02159,0.123529,-1.01337,0.123529,-0.991878,0.123529,-1.16491,0.123529,All
-1.19138,0.12549,-1.02158,0.12549,-1.0129,0.12549,-0.990362,0.12549,-1.16245,0.12549,All
-1.18687,0.127451,-1.01508,0.127451,-1.0116,0.127451,-0.96341,0.127451,-1.15767,0.127451,All
-1.18286,0.129412,-1.0076,0.129412,-0.982599,0.129412,-0.961963,0.129412,-1.14324,0.129412,All
-1.168,0.131373,-0.996277,0.131373,-0.981169,0.131373,-0.961433,0.131373,-1.14002,0.131373,All
-1.15951,0.133333,-0.983618,0.133333,-0.975365,0.133333,-0.955565,0.133333,-1.1394,0.133333,All
-1.15064,0.135294,-0.973419,0.135294,-0.97264,0.135294,-0.955128,0.135294,-1.13783,0.135294,All
-1.15055,0.137255,-0.96147,0.137255,-0.96856,0.137255,-0.945676,0.137255,-1.1375,0.137255,All
-1.14345,0.139216,-0.946271,0.139216,-0.967355,0.139216,-0.936134,0.139216,-1.11645,0.139216,All
-1.14296,0.141176,-0.945061,0.141176,-0.965647,0.141176,-0.930133,0.141176,-1.1148,0.141176,All
-1.13589,0.143137,-0.934214,0.143137,-0.955659,0.143137,-0.926841,0.143137,-1.1114,0.143137,All
-1.10609,0.145098,-0.921998,0.145098,-0.953331,0.145098,-0.925653,0.145098,-1.08993,0.145098,All
-1.0908,0.147059,-0.918379,0.147059,-0.948548,0.147059,-0.917855,0.147059,-1.08801,0.147059,All
-1.06872,0.14902,-0.916174,0.14902,-0.941368,0.14902,-0.91332,0.14902,-1.08157,0.14902,All
-1.04989,0.15098,-0.913822,0.15098,-0.94074,0.15098,-0.905535,0.15098,-1.07046,0.15098,All
-1.03334,0.152941,-0.913217,0.152941,-0.939688,0.152941,-0.90154,0.152941,-1.06609,0.152941,All
-1.0124,0.154902,-0.911992,0.154902,-0.934529,0.154902,-0.901311,0.154902,-1.06292,0.154902,All
-1.00441,0.156863,-0.89503,0.156863,-0.930331,0.156863,-0.899847,0.156863,-1.03257,0.156863,All
-0.987412,0.158824,-0.885157,0.158824,-0.911717,0.158824,-0.889155,0.158824,-1.02615,0.158824,All
-0.983486,0.160784,-0.884536,0.160784,-0.894803,0.160784,-0.888057,0.160784,-1.02608,0.160784,All
-0.982796,0.162745,-0.883797,0.162745,-0.8946,0.162745,-0.887517,0.162745,-1.00252,0.162745,All
-0.962126,0.164706,-0.879175,0.164706,-0.885853,0.164706,-0.886478,0.164706,-1.00069,0.164706,All
-0.96104,0.166667,-0.877645,0.166667,-0.867474,0.166667,-0.880651,0.166667,-0.998446,0.166667,All
-0.957302,0.168627,-0.855756,0.168627,-0.86719,0.168627,-0.875229,0.168627,-0.996515,0.168627,All
-0.929105,0.170588,-0.842485,0.170588,-0.862346,0.170588,-0.873734,0.170588,-0.993681,0.170588,All
-0.917523,0.172549,-0.842086,0.172549,-0.86162,0.172549,-0.872683,0.172549,-0.984581,0.172549,All
-0.91074,0.17451,-0.840295,0.17451,-0.856773,0.17451,-0.86944,0.17451,-0.984033,0.17451,All
-0.903848,0.176471,-0.82841,0.176471,-0.820427,0.176471,-0.862138,0.176471,-0.970793,0.176471,All
-0.897353,0.178431,-0.828172,0.178431,-0.818078,0.178431,-0.86037,0.178431,-0.963873,0.178431,All
-0.89694,0.180392,-0.818068,0.180392,-0.808968,0.180392,-0.844696,0.180392,-0.941234,0.180392,All
-0.889968,0.182353,-0.808616,0.182353,-0.804793,0.182353,-0.844245,0.182353,-0.940734,0.182353,All
-0.885454,0.184314,-0.807677,0.184314,-0.79628,0.184314,-0.832678,0.184314,-0.935967,0.184314,All
-0.861508,0.186275,-0.796436,0.186275,-0.775285,0.186275,-0.832113,0.186275,-0.922993,0.186275,All
-0.854056,0.188235,-0.789797,0.188235,-0.774844,0.188235,-0.831502,0.188235,-0.899928,0.188235,All
-0.846158,0.190196,-0.783824,0.190196,-0.772886,0.190196,-0.829959,0.190196,-0.89729,0.190196,All
