initT_abscissa,initT_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,lw_abscissa,lw_cdf,lI50_abscissa,lI50_cdf,split
-3.31714,0.101961,0.0465478,0.101961,-4.72656,0.101961,0.457236,0.101961,-1.11824,0.101961,All
-3.31293,0.103922,0.0465584,0.103922,-4.72601,0.103922,0.457366,0.103922,-1.1182,0.103922,All
-3.30829,0.105882,0.0465737,0.105882,-4.72601,0.105882,0.458863,0.105882,-1.11788,0.105882,All
-3.29381,0.107843,0.0466332,0.107843,-4.72567,0.107843,0.461754,0.107843,-1.11751,0.107843,All
-3.2938,0.109804,0.0466434,0.109804,-4.72523,0.109804,0.463548,0.109804,-1.11722,0.109804,All
-3.2854,0.111765,0.0466509,0.111765,-4.72497,0.111765,0.464156,0.111765,-1.11696,0.111765,All
-3.28052,0.113725,0.0467061,0.113725,-4.72415,0.113725,0.4643,0.113725,-1.11674,0.113725,All
-3.27993,0.115686,0.0467986,0.115686,-4.72408,0.115686,0.465882,0.115686,-1.11634,0.115686,All
-3.27632,0.117647,0.0468038,0.117647,-4.72371,0.117647,0.468837,0.117647,-1.11509,0.117647,All
-3.2742,0.119608,0.0468125,0.119608,-4.72358,0.119608,0.469539,0.119608,-1.11485,0.119608,All
-3.27294,0.121569,0.046832,0.121569,-4.72358,0.121569,0.470736,0.121569,-1.114,0.121569,All
-3.27111,0.123529,0.0468901,0.123529,-4.72246,0.123529,0.471138,0.123529,-1.11399,0.123529,All
-3.25644,0.12549,0.0469304,0.12549,-4.72165,0.12549,0.47158,0.12549,-1.11377,0.12549,All
-3.25636,0.127451,0.0470419,0.127451,-4.72066,0.127451,0.472723,0.127451,-1.11342,0.127451,All
-3.25537,0.129412,0.0471324,0.129412,-4.7201,0.129412,0.474101,0.129412,-1.11194,0.129412,All
-3.24745,0.131373,0.0471448,0.131373,-4.71998,0.131373,0.475663,0.131373,-1.11174,0.131373,All
-3.23369,0.133333,0.0471582,0.133333,-4.71993,0.133333,0.475699,0.133333,-1.11145,0.133333,All
-3.23259,0.135294,0.0472334,0.135294,-4.71976,0.135294,0.477828,0.135294,-1.11117,0.135294,All
-3.22961,0.137255,0.0472382,0.137255,-4.71949,0.137255,0.479095,0.137255,-1.11091,0.137255,All
-3.22258,0.139216,0.0472609,0.139216,-4.71928,0.139216,0.47983,0.139216,-1.11018,0.139216,All
-3.22209,0.141176,0.0472676,0.141176,-4.71908,0.141176,0.480705,0.141176,-1.11007,0.141176,All
-3.21871,0.143137,0.0472749,0.143137,-4.71903,0.143137,0.481893,0.143137,-1.1099,0.143137,All
-3.21769,0.145098,0.047309,0.145098,-4.71877,0.145098,0.482581,0.145098,-1.10903,0.145098,All
-3.21339,0.147059,0.0473445,0.147059,-4.71782,0.147059,0.484884,0.147059,-1.10834,0.147059,All
-3.19169,0.14902,0.0474008,0.14902,-4.7176,0.14902,0.486608,0.14902,-1.10822,0.14902,All
-3.18702,0.15098,0.0474609,0.15098,-4.71641,0.15098,0.486731,0.15098,-1.10713,0.15098,All
-3.18695,0.152941,0.0475251,0.152941,-4.71444,0.152941,0.489172,0.152941,-1.10695,0.152941,All
-3.18292,0.154902,0.0475487,0.154902,-4.71357,0.154902,0.489485,0.154902,-1.10668,0.154902,All
-3.18016,0.156863,0.0475806,0.156863,-4.7133,0.156863,0.490282,0.156863,-1.10597,0.156863,All
-3.16618,0.158824,0.0476721,0.158824,-4.71281,0.158824,0.490418,0.158824,-1.10552,0.158824,All
-3.15762,0.160784,0.0477043,0.160784,-4.71269,0.160784,0.492198,0.160784,-1.10547,0.160784,All
-3.15639,0.162745,0.0478023,0.162745,-4.71227,0.162745,0.493346,0.162745,-1.10535,0.162745,All
-3.15521,0.164706,0.0478254,0.164706,-4.71172,0.164706,0.493394,0.164706,-1.10498,0.164706,All
-3.1517,0.166667,0.0478372,0.166667,-4.71115,0.166667,0.493632,0.166667,-1.10496,0.166667,All
-3.1473,0.168627,0.0478448,0.168627,-4.71105,0.168627,0.494579,0.168627,-1.10438,0.168627,All
-3.14489,0.170588,0.0478928,0.170588,-4.70984,0.170588,0.494869,0.170588,-1.1042,0.170588,All
-3.14164,0.172549,0.0479138,0.172549,-4.70963,0.172549,0.495049,0.172549,-1.10383,0.172549,All
-3.13984,0.17451,0.0479166,0.17451,-4.70944,0.17451,0.495168,0.17451,-1.10344,0.17451,All
-3.13526,0.176471,0.0479952,0.176471,-4.70882,0.176471,0.495361,0.176471,-1.10325,0.176471,All
-3.12678,0.178431,0.0480694,0.178431,-4.70858,0.178431,0.495372,0.178431,-1.10324,0.178431,All
-3.12512,0.180392,0.0481103,0.180392,-4.70771,0.180392,0.496234,0.180392,-1.10256,0.180392,All
