rep,id_var,eta_initT_simulated,eta_dS_simulated,eta_lBt0_simulated,eta_lw_simulated,eta_lI50_simulated,split,color,filter
8,27,0.00297771,0,0.0610368,0,0.0423196,All,#4682B4,0
9,27,-0.19146,0,0.0686257,0,0.0427656,All,#4682B4,0
10,27,-0.594745,0,0.00154105,0,0.00153109,All,#4682B4,0
1,28,-0.0177636,0,-0.113854,0,-0.0779369,All,#4682B4,0
2,28,0.181325,0,-0.272384,0,-0.179436,All,#4682B4,0
3,28,-0.206668,0,-0.274116,0,-0.187445,All,#4682B4,0
4,28,0.371343,0,-0.14116,0,-0.0902214,All,#4682B4,0
5,28,-0.0946733,0,-0.129275,0,-0.076769,All,#4682B4,0
6,28,-0.179388,0,-0.0696446,0,-0.0518907,All,#4682B4,0
7,28,-0.0876613,0,-0.335685,0,-0.205734,All,#4682B4,0
8,28,-0.0981811,0,-0.337363,0,-0.206696,All,#4682B4,0
9,28,0.0914809,0,-0.209246,0,-0.137842,All,#4682B4,0
10,28,0.069217,0,-0.263163,0,-0.173938,All,#4682B4,0
1,29,-0.0846309,0,0.284801,0,0.195449,All,#4682B4,0
2,29,0.189594,0,0.300848,0,0.208871,All,#4682B4,0
3,29,-0.0636684,0,0.419756,0,0.275195,All,#4682B4,0
4,29,0.352057,0,0.413204,0,0.262885,All,#4682B4,0
5,29,0.106962,0,0.442505,0,0.299745,All,#4682B4,0
6,29,-0.0078285,0,0.44176,0,0.304979,All,#4682B4,0
7,29,-0.263587,0,0.403679,0,0.256964,All,#4682B4,0
8,29,-0.306247,0,0.438405,0,0.296151,All,#4682B4,0
9,29,0.0956415,0,0.467919,0,0.320471,All,#4682B4,0
10,29,0.352959,0,0.512526,0,0.338302,All,#4682B4,0
1,30,0.0100666,0,-0.183659,0,-0.130904,All,#4682B4,0
2,30,-0.0422306,0,-0.299567,0,-0.191683,All,#4682B4,0
3,30,-0.436409,0,-0.370835,0,-0.246888,All,#4682B4,0
4,30,0.0665717,0,0.152174,0,0.0858045,All,#4682B4,0
5,30,0.200793,0,-0.0789252,0,-0.0319374,All,#4682B4,0
6,30,0.305444,0,0.136341,0,0.0881934,All,#4682B4,0
7,30,-0.0589121,0,-0.416615,0,-0.267609,All,#4682B4,0
8,30,-0.157145,0,-0.384285,0,-0.247421,All,#4682B4,0
9,30,-0.129901,0,-0.139297,0,-0.0757847,All,#4682B4,0
10,30,-0.0192783,0,-0.0691181,0,-0.0526454,All,#4682B4,0
1,31,-0.0470317,0,-0.0695946,0,-0.0438189,All,#4682B4,0
2,31,0.0197847,0,-0.0360131,0,-0.010015,All,#4682B4,0
3,31,-0.126769,0,-0.054113,0,-0.0218803,All,#4682B4,0
4,31,0.161328,0,0.00238324,0,-0.00860141,All,#4682B4,0
5,31,-0.0248177,0,-0.0301095,0,-0.0224107,All,#4682B4,0
6,31,0.108978,0,-0.356763,0,-0.234492,All,#4682B4,0
7,31,-0.169232,0,-0.178187,0,-0.124172,All,#4682B4,0
8,31,0.194032,0,-0.164957,0,-0.114183,All,#4682B4,0
9,31,-0.0193741,0,0.0211304,0,0.0256105,All,#4682B4,0
10,31,0.011611,0,0.161734,0,0.111419,All,#4682B4,0
1,32,-0.130807,0,0.757913,0,0.502522,All,#4682B4,0
2,32,0.033895,0,0.66559,0,0.43804,All,#4682B4,0
3,32,-0.0263005,0,0.680939,0,0.45434,All,#4682B4,0
4,32,-0.146473,0,0.607226,0,0.431184,All,#4682B4,0
5,32,-0.0484359,0,0.528082,0,0.349336,All,#4682B4,0
6,32,-0.0808414,0,0.476397,0,0.328133,All,#4682B4,0
7,32,-0.154481,0,0.494035,0,0.332708,All,#4682B4,0
8,32,-0.270979,0,0.471288,0,0.321088,All,#4682B4,0
9,32,-0.306934,0,0.527542,0,0.363864,All,#4682B4,0
10,32,-0.200881,0,0.576204,0,0.394103,All,#4682B4,0
1,33,0.260487,0,0.102698,0,0.0698863,All,#4682B4,0
2,33,0.0108233,0,0.126498,0,0.0809027,All,#4682B4,0
3,33,0.165062,0,0.0850316,0,0.0500094,All,#4682B4,0
4,33,0.0258853,0,0.0153504,0,0.0069098,All,#4682B4,0
5,33,0.122803,0,-0.0201084,0,-0.0135027,All,#4682B4,0
6,33,-0.0388992,0,0.0245714,0,0.00131218,All,#4682B4,0
7,33,-0.256979,0,0.0112245,0,0.00446655,All,#4682B4,0
8,33,-0.129993,0,-0.0826176,0,-0.0760803,All,#4682B4,0
9,33,-0.246488,0,-0.0998478,0,-0.0702482,All,#4682B4,0
10,33,-0.000617448,0,0.116051,0,0.0670612,All,#4682B4,0
1,34,0.232496,0,0.273777,0,0.177157,All,#4682B4,0
2,34,0.0839685,0,0.157945,0,0.122985,All,#4682B4,0
3,34,-0.12917,0,0.116578,0,0.0536149,All,#4682B4,0
4,34,-0.230111,0,0.232798,0,0.166908,All,#4682B4,0
5,34,-0.0533304,0,0.188778,0,0.141483,All,#4682B4,0
6,34,0.207818,0,0.249633,0,0.162692,All,#4682B4,0
7,34,-0.239165,0,0.0882049,0,0.066389,All,#4682B4,0
8,34,0.123817,0,0.299532,0,0.200127,All,#4682B4,0
9,34,0.143136,0,0.216117,0,0.174465,All,#4682B4,0
10,34,0.0723247,0,0.292796,0,0.180504,All,#4682B4,0
