dS_vs_initT_abscissa,dS_vs_initT_spline,dS_vs_initT_regression,dS_vs_lBt0_abscissa,dS_vs_lBt0_spline,dS_vs_lBt0_regression,dS_vs_lI50_abscissa,dS_vs_lI50_spline,dS_vs_lI50_regression,dS_vs_lw_abscissa,dS_vs_lw_spline,dS_vs_lw_regression,initT_vs_dS_abscissa,initT_vs_dS_spline,initT_vs_dS_regression,initT_vs_lBt0_abscissa,initT_vs_lBt0_spline,initT_vs_lBt0_regression,initT_vs_lI50_abscissa,initT_vs_lI50_spline,initT_vs_lI50_regression,initT_vs_lw_abscissa,initT_vs_lw_spline,initT_vs_lw_regression,lBt0_vs_dS_abscissa,lBt0_vs_dS_spline,lBt0_vs_dS_regression,lBt0_vs_initT_abscissa,lBt0_vs_initT_spline,lBt0_vs_initT_regression,lBt0_vs_lI50_abscissa,lBt0_vs_lI50_spline,lBt0_vs_lI50_regression,lBt0_vs_lw_abscissa,lBt0_vs_lw_spline,lBt0_vs_lw_regression,lI50_vs_dS_abscissa,lI50_vs_dS_spline,lI50_vs_dS_regression,lI50_vs_initT_abscissa,lI50_vs_initT_spline,lI50_vs_initT_regression,lI50_vs_lBt0_abscissa,lI50_vs_lBt0_spline,lI50_vs_lBt0_regression,lI50_vs_lw_abscissa,lI50_vs_lw_spline,lI50_vs_lw_regression,lw_vs_dS_abscissa,lw_vs_dS_spline,lw_vs_dS_regression,lw_vs_initT_abscissa,lw_vs_initT_spline,lw_vs_initT_regression,lw_vs_lBt0_abscissa,lw_vs_lBt0_spline,lw_vs_lBt0_regression,lw_vs_lI50_abscissa,lw_vs_lI50_spline,lw_vs_lI50_regression
-0.48524,0.104687,0.0590316,-0.305847,-0.450196,-0.453129,-0.0535521,-0.0147964,0.00168596,-0.272424,-0.112502,-0.0749155,-0.458132,0.0130343,0.0196981,-0.305847,0.0205404,0.0202754,-0.0535521,-0.0141761,-0.0135025,-0.272424,0.0627918,0.00211725,-0.458132,-0.308145,-0.30823,-0.48524,0.0707008,0.04087,-0.0535521,-0.0111493,0.000383034,-0.272424,-0.0756347,-0.0493319,-0.458132,-0.00996705,-0.00207679,-0.48524,-0.00311372,-0.00449677,-0.305847,-0.0117733,-0.00216838,-0.272424,-0.00384417,-0.00216684,-0.458132,0.00165384,-0.0642015,-0.48524,0.00935818,-0.00422247,-0.305847,0.0104926,-0.0624815,-0.0535521,0.00083408,-0.0147575
-0.471589,0.110016,0.0581916,-0.293186,-0.432013,-0.434367,-0.0514149,-0.0121737,0.00274785,-0.259216,-0.108254,-0.0699523,-0.439372,0.0105823,0.0192097,-0.293186,0.0158308,0.0197594,-0.0514149,-0.0158243,-0.0126968,-0.259216,0.0705863,0.00235217,-0.439372,-0.295076,-0.295608,-0.471589,0.0745217,0.040273,-0.0514149,-0.00963582,0.00112711,-0.259216,-0.0717604,-0.0460437,-0.439372,-0.00911519,-0.00196213,-0.471589,-0.00282078,-0.00434714,-0.293186,-0.0104725,-0.00204895,-0.259216,-0.00447904,-0.00202004,-0.439372,-0.00889277,-0.0615956,-0.471589,0.010386,-0.00401032,-0.293186,0.000408403,-0.0599153,-0.0514149,0.00638466,-0.0140437
-0.457938,0.115104,0.0573516,-0.280524,-0.41405,-0.415605,-0.0492777,-0.0117368,0.00380974,-0.246008,-0.0972885,-0.064989,-0.420612,0.00790136,0.0187214,-0.280524,0.00996786,0.0192434,-0.0492777,-0.0188371,-0.0118912,-0.246008,0.0714318,0.0025871,-0.420612,-0.281968,-0.282986,-0.457938,0.0781723,0.039676,-0.0492777,-0.00923166,0.00187119,-0.246008,-0.0634312,-0.0427555,-0.420612,-0.0074438,-0.00184747,-0.457938,-0.00255479,-0.00419752,-0.280524,-0.00800809,-0.00192952,-0.246008,-0.00512289,-0.00187325,-0.420612,-0.023202,-0.0589896,-0.457938,0.0108275,-0.00379817,-0.280524,-0.0138496,-0.057349,-0.0492777,0.0111,-0.0133299
-0.444287,0.120142,0.0565116,-0.267862,-0.396269,-0.396843,-0.0471405,-0.0133137,0.00487163,-0.232799,-0.0852508,-0.0600257,-0.401851,0.00512281,0.018233,-0.267862,0.00358117,0.0187275,-0.0471405,-0.0231726,-0.0110855,-0.232799,0.0596483,0.00282203,-0.401851,-0.268835,-0.270364,-0.444287,0.0817883,0.0390789,-0.0471405,-0.00976283,0.00261527,-0.232799,-0.0547524,-0.0394673,-0.401851,-0.00502357,-0.00173281,-0.444287,-0.0022897,-0.00404789,-0.267862,-0.00474529,-0.0018101,-0.232799,-0.00515006,-0.00172645,-0.401851,-0.0408427,-0.0563837,-0.444287,0.0112082,-0.00358601,-0.267862,-0.0310248,-0.0547827,-0.0471405,0.0138802,-0.0126162
-0.430637,0.124348,0.0556716,-0.255201,-0.37883,-0.378081,-0.0450033,-0.0132201,0.00593351,-0.219591,-0.0783094,-0.0550624,-0.383091,0.00320655,0.0177446,-0.255201,-0.000321857,0.0182115,-0.0450033,-0.0265715,-0.0102799,-0.219591,0.0283996,0.00305696,-0.383091,-0.255781,-0.257742,-0.430637,0.0848222,0.0384819,-0.0450033,-0.00907898,0.00335935,-0.219591,-0.0502412,-0.0361792,-0.383091,-0.00251214,-0.00161815,-0.430637,-0.00203209,-0.00389826,-0.255201,-0.0015587,-0.00169067,-0.219591,-0.00384014,-0.00157966,-0.383091,-0.0584983,-0.0537778,-0.430637,0.0106603,-0.00337386,-0.255201,-0.0490314,-0.0522165,-0.0450033,0.0132138,-0.0119024
-0.416986,0.127739,0.0548316,-0.242539,-0.36184,-0.359318,-0.0428661,-0.00704099,0.0069954,-0.206382,-0.0774937,-0.0500992,-0.364331,0.00420282,0.0172562,-0.242539,0.0032558,0.0176955,-0.0428661,-0.0263172,-0.00947424,-0.206382,-0.0103673,0.00329188,-0.364331,-0.243023,-0.24512,-0.416986,0.0872853,0.0378848,-0.0428661,-0.00459835,0.00410343,-0.206382,-0.0506443,-0.032891,-0.364331,-0.00142462,-0.00150349,-0.416986,-0.00176401,-0.00374864,-0.242539,-0.000396741,-0.00157124,-0.206382,-0.00167,-0.00143286,-0.364331,-0.0686545,-0.0511719,-0.416986,0.00942843,-0.0031617,-0.242539,-0.0624878,-0.0496502,-0.0428661,0.00729036,-0.0111886
-0.403335,0.129612,0.0539916,-0.229878,-0.345196,-0.340556,-0.0407288,0.00842605,0.00805729,-0.193174,-0.0774046,-0.0451359,-0.345571,0.00986028,0.0167678,-0.229878,0.0170388,0.0171795,-0.0407288,-0.0204032,-0.00866858,-0.193174,-0.0257259,0.00352681,-0.345571,-0.230749,-0.232498,-0.403335,0.0886875,0.0372878,-0.0407288,0.00552031,0.00484751,-0.193174,-0.0519976,-0.0296028,-0.345571,-0.00308367,-0.00138883,-0.403335,-0.00146143,-0.00359901,-0.229878,-0.00250562,-0.00145181,-0.193174,-0.000407472,-0.00128607,-0.345571,-0.064663,-0.048566,-0.403335,0.00711607,-0.00294955,-0.229878,-0.0672455,-0.0470839,-0.0407288,-0.00490569,-0.0104748
-0.389684,0.130833,0.0531516,-0.217216,-0.327311,-0.321794,-0.0385916,0.0302407,0.00911918,-0.179965,-0.0734775,-0.0401726,-0.32681,0.0191087,0.0162795,-0.217216,0.0306508,0.0166636,-0.0385916,-0.00886397,-0.00786293,-0.179965,0.00680085,0.00376174,-0.32681,-0.21885,-0.219876,-0.389684,0.0896345,0.0366908,-0.0385916,0.0191061,0.00559159,-0.179965,-0.0507191,-0.0263146,-0.32681,-0.00593508,-0.00127417,-0.389684,-0.0011424,-0.00344938,-0.217216,-0.00561903,-0.00133238,-0.179965,-0.00173398,-0.00113927,-0.32681,-0.0520461,-0.0459601,-0.389684,0.00436101,-0.00273739,-0.217216,-0.0637827,-0.0445176,-0.0385916,-0.0212516,-0.00976103
-0.376033,0.130707,0.0523116,-0.204554,-0.30599,-0.303032,-0.0364544,0.0384913,0.0101811,-0.166757,-0.0698143,-0.0352094,-0.30805,0.0286445,0.0157911,-0.204554,0.0281253,0.0161476,-0.0364544,0.00168405,-0.00705728,-0.166757,0.0290159,0.00399667,-0.30805,-0.206988,-0.207254,-0.376033,0.08964,0.0360937,-0.0364544,0.0230444,0.00633566,-0.166757,-0.0476251,-0.0230264,-0.30805,-0.00620555,-0.00115951,-0.376033,-0.000781968,-0.00329976,-0.204554,-0.00595664,-0.00121295,-0.166757,-0.0048319,-0.00099248,-0.30805,-0.0457355,-0.0433541,-0.376033,0.000784143,-0.00252524,-0.204554,-0.0546832,-0.0419514,-0.0364544,-0.0302252,-0.00904724
-0.362382,0.12777,0.0514716,-0.191893,-0.281788,-0.284269,-0.0343172,0.0240085,0.011243,-0.153549,-0.0617188,-0.0302461,-0.28929,0.0353475,0.0153027,-0.191893,0.00882091,0.0156316,-0.0343172,0.00591247,-0.00625162,-0.153549,-0.0222185,0.00423159,-0.28929,-0.194965,-0.194632,-0.362382,0.0876826,0.0354967,-0.0343172,0.0116483,0.00707974,-0.153549,-0.0389717,-0.0197383,-0.28929,-0.00291373,-0.00104485,-0.362382,-0.000330971,-0.00315013,-0.191893,-0.00237083,-0.00109352,-0.153549,-0.00677906,-0.000845685,-0.28929,-0.0513085,-0.0407482,-0.362382,-0.00445199,-0.00231309,-0.191893,-0.0465293,-0.0393851,-0.0343172,-0.0257331,-0.00833346
