,0
0,-13.066406182101034
1,-22.428461777746975
2,-31.953280396955172
3,-13.361349383105793
4,-26.045275684102386
5,-21.666878680110457
6,-28.39798103869991
7,-22.709782189740185
8,-27.51609025633489
9,-10.69568708569264
10,-19.91808723031861
11,15.700816623384544
12,-16.06718553363975
13,-24.820436994715497
14,22.52545079325109
15,-14.84551440155473
16,-31.142527016038827
17,-26.967141213378326
18,-22.45848235685797
19,-14.778382712417159
20,-27.45789791733702
21,-22.414190639262625
22,-24.52900630285223
23,-4.01377545545186
24,-14.052762918038834
25,-28.263767925999296
26,-30.205562354646105
27,-16.978402189774304
28,-34.90895918958718
29,3.7651955414668636
30,-35.38860149465435
31,-14.157952544726125
32,-21.190928481276764
33,-26.992546708470858
34,-13.23210080026687
35,-23.770554711174885
36,-25.20433721874212
37,-21.578023041051555
38,-31.18129896113467
39,-31.420580454206352
40,-19.048878888501676
41,-20.763408986134746
42,4.641843799502332
43,-15.184382056952138
44,-17.757828935064918
45,-17.215481337978385
46,5.17304555648563
47,-20.817541419862664
48,-26.25636993074407
49,-21.71589682018943
50,-20.86857734937728
51,-17.52921633626781
52,-11.648497291931328
53,-16.079061220856342
54,10.295837843166597
55,24.478142302918336
56,-35.39278095940201
57,-25.567988752529935
58,-23.27009042484478
59,-30.669518585372618
60,-34.433157335278466
61,-31.337667902880582
62,-20.468830674227938
63,-17.921172796535537
64,-29.667625384109066
65,-18.105088932311162
66,-17.720358732589762
67,-24.536473638480977
68,-17.6170275001113
69,-27.099701360462888
70,-21.117261807849474
71,-37.89892788087927
72,-31.700375106297027
73,-27.813659135951923
74,-12.476277536086638
75,-28.98145574512305
76,14.300015380286265
77,-26.30000602513523
78,-31.16028850897483
79,-32.69471273502184
80,-9.665189083406379
81,-17.732490427904814
82,-8.856769951061818
83,-35.726161708774654
84,-16.35121228921939
85,4.151613598550368
86,-17.44387123726482
87,-38.419015297954296
88,-22.302113761217903
89,-20.07107463094833
90,-25.76118820421722
91,-15.023736922379165
92,-26.17816410072461
93,-21.798399616116214
94,-9.45586587972019
95,-32.20749448863172
96,-33.586960455111026
97,-40.28299704050744
98,-18.389997464638363
99,-30.0283917108297
100,-10.558952380967991
101,0.052382395229167766
102,-25.50550352932839
103,-36.3922865711298
104,-30.10344170092921
105,-17.552230176997508
106,-25.536675214987703
107,-24.171047721979143
108,-13.849159762416425
109,-28.036940866952254
110,-34.78229539533574
111,-14.733103232471876
112,-24.54806061330812
113,-22.690317789737897
114,-15.118093955895946
115,-7.470637892712183
116,8.94137488001441
117,-22.882076607760435
118,-30.723684876234525
119,-29.637100658725455
120,-28.726451240313857
121,10.766689316204054
122,-36.94772576925165
123,-8.262566323402027
124,-12.437578951234354
125,-7.906496297384635
126,6.242943911188124
127,-39.11708700820904
128,-26.20390963294817
129,-32.52817558675264
130,-10.539548915191062
131,19.266377547353855
132,-26.603979416597255
133,-24.796212652761575
134,-30.395891052623842
135,-25.53737425022231
136,-19.993677126574568
137,-27.15653658122248
138,-17.023130988939624
139,-4.3189199104842615
140,-6.636885488893338
141,-28.541005943009083
142,-30.75863004377321
143,-31.90717971203447
144,-34.652835093457725
145,-10.073269860066631
146,-21.42206764628665
147,-11.15027590224004
148,24.63520987644559
149,-36.15949681620684
150,-26.51046492351937
151,26.15339262059234
152,-29.903306790822807
153,-8.851940345041406
154,-38.28862881381504
155,-28.510684610158027
156,-20.935806091937188
157,-22.966850789080155
158,-25.658946118116695
159,-9.040401175294004
160,-18.497021445853065
161,-29.87124565327125
162,-22.13098740117643
163,-9.952931345123972
164,-29.033881396293285
165,-12.115233521053824
166,-27.720170791129828
167,3.8952432948763254
168,-26.614281926125983
169,-22.793710792700917
170,22.237382046024535
171,-14.734573029142464
172,-7.955741151710765
173,-9.065349198701306
174,-12.62550027312626
175,-13.67762489663294
176,-24.88486889903923
177,-8.18275787475158
178,-27.07621345913503
179,-29.835630248398733
180,-14.78935949063688
181,-4.108784878299733
182,-30.253048763476666
183,-31.10248177775866
184,-32.6420210094567
185,-2.7658352781124016
186,-18.112370887612258
187,-13.13367502670724
188,-39.41685725492272
189,-14.147646272547094
190,-31.97831244128943
191,-24.704646839336426
192,-30.152667340141836
193,-29.74723580523891
194,-38.86812171076208
195,-14.639905916599169
196,-29.573489135095762
197,-3.6206135953796306
198,-33.59272707198026
199,17.857352762150708
200,-14.559481587227504
201,-11.71666503091059
202,-13.241073572977887
203,-33.73901981476374
204,11.18975442087131
205,-22.011034578540208
206,-5.488360806406828
207,-24.07043460656558
208,-19.52123432053623
209,-28.27367380471098
210,-18.177484730730225
211,-17.183219798807826
212,-11.085550650367484
213,10.616333983763102
214,-33.291433198882444
215,-21.47741990593824
216,-24.26404922259193
217,-8.722419528422368
218,-33.99778246639154
219,-10.524683769807218
220,20.010148666843286
221,23.230318894479044
222,-33.35978164723577
223,-33.4113827873099
224,-7.977415908650528
225,-31.615576036734986
226,-16.957516473898906
227,-20.685766414271722
228,-23.24895105661249
229,-16.060283873264694
230,-3.963487745059499
231,-21.75411569213876
232,-17.992024527862668
233,-20.029206819625678
234,15.834976502973579
235,12.979161131065636
236,-22.516679507739735
237,-22.608427863543632
238,-14.206582769998501
239,-34.62273509914705
240,-39.8701289303051
241,-19.164690386605734
242,-28.36283960172468
243,-12.361714540702605
244,-20.65072031659129
245,8.150566013738565
246,-27.478315929382912
247,-15.22975608476813
248,19.506913220394807
249,-42.44018852256341
250,-23.86876902156159
251,-25.182932152594525
252,-14.426859475467765
253,-23.817228346368847
254,-19.93379392547025
255,25.663837334817927
256,10.569840907641487
257,-28.60572769057415
258,-10.584513730308114
259,-29.482022682777366
260,-12.47324998078831
261,-19.018043549233486
262,-26.945854914211452
263,-17.348310472173857
264,-27.476175496253603
265,-23.431806218075483
266,-22.128416419140834
267,-14.63409144693048
268,-14.138235820531515
269,-9.13249512124451
270,-30.128448356979348
271,-32.42672754204465
272,-15.819614902338849
273,-32.508414230363286
274,-31.4373382705511
275,-32.115810573485405
276,-5.086793326522226
277,14.848630414401327
278,-19.41223405595693
279,-17.432052120892397
280,-21.476753951858264
281,1.5799276717276078
282,-23.43110270506611
283,-19.388667018554237
284,-27.102979756598646
285,-27.988247396659666
286,-12.779894297675552
287,1.6457868750498248
288,-11.433599422563923
289,-30.402521790438122
290,-20.711555963382455
291,-9.534123449268101
292,-26.018750352527572
293,-11.374813952149207
294,-34.884914729346875
295,-29.916314909832685
296,-27.30859108938612
297,20.156007791962264
298,-27.258115369144875
299,-17.31198550724888
300,13.706453931245575
301,-25.979559036218426
302,-29.74413962837955
303,-33.31926444524883
304,-23.79750669120716
305,-28.511077939705444
306,-13.35665622695932
307,-11.046552027638871
308,-29.316270795311365
309,-41.711817439271144
310,-32.704774164347796
311,-25.575487373690606
312,-17.734716196032203
313,-15.955864244284019
314,-10.547058071006791
315,21.53276308303728
316,-38.98357684281788
317,19.87893643422201
318,-15.912469246766738
319,-21.138687731851807
320,-24.569936146407244
321,-12.225138728313865
322,13.643215599900511
323,27.716774291734325
324,-26.191758630508307
325,-17.978049366060446
326,-20.511283279702287
327,-7.698977434200366
328,-26.803170610239544
329,-19.82775095131161
330,-31.373863531935875
331,-10.114743696516868
332,-30.573665308572853
333,-28.377601569262808
334,-19.514366897258448
335,5.210764857342412
336,-21.225437803549703
337,-28.95765647614701
338,11.70473681910432
339,-32.88759597351812
340,18.877067869865726
341,-25.414862043134455
342,-30.09321313358679
343,-23.74599952362124
344,-22.809924775104562
345,-26.27036278104899
346,-17.356441103652283
347,-19.23041799445442
348,-4.412926416788803
349,-24.768950348836356
350,-20.0148609263377
351,-13.596693378129864
352,-30.697912422416422
353,-19.322851703886375
354,23.093266578002343
355,-13.311519625116139
356,-26.642763966973458
357,-24.328842931762576
358,11.572803672124678
359,-29.33049717049727
360,12.316335518589788
361,-20.841993536527873
362,-34.57487907571797
363,14.948328903288726
364,-24.07729224104288
365,-27.33368174356294
366,-21.006413195266497
367,-19.385366809667453
368,-31.398695680845993
369,-27.284055142180616
370,-33.66183043360799
371,-12.184583489070768
372,-10.361679641982306
373,-5.242807726267515
374,-16.842726123912335
375,14.298219869729603
376,24.576668731605416
377,26.08714655448893
378,-25.782066309006794
379,-28.299954163988744
380,-17.781223674350503
