iteration,convergenceIndicator,phase,a,aS_pop,b,dE_pop,dS_pop,initT_pop,lBt0_pop,lae_pop,lk_pop,lw_pop,omega_aS,omega_dE,omega_dS,omega_initT,omega_lBt0,omega_lae,omega_lk,omega_lw
30,700.051,1,0.358152,14.4914,0.0325329,0.197081,0.0131174,-10.1531,-4.73529,1.43596,-4.29267,1.79001,0.038886,1.29309,0.0295832,2.96235,0.00597632,0.591584,0.622056,0.740307
31,678.648,1,0.330779,14.555,0.0365471,0.20909,0.0131291,-9.81431,-4.73448,1.43265,-4.2879,1.83877,0.0379013,1.33827,0.0288341,3.00697,0.005825,0.576605,0.606306,0.721562
32,697.56,1,0.385974,14.6134,0.027402,0.166436,0.0130984,-9.67284,-4.73341,1.45977,-4.20856,1.76973,0.0373616,1.30439,0.0281041,2.93083,0.00603301,0.562005,0.590954,0.703292
33,701.267,1,0.405862,14.5851,0.0247078,0.158197,0.0131109,-9.3801,-4.73368,1.36098,-4.20708,1.77091,0.0364156,1.27136,0.0273924,2.85662,0.00637312,0.570437,0.57599,0.715007
34,711.496,1,0.391615,14.5152,0.0276472,0.161736,0.0131309,-9.51761,-4.73416,1.33113,-4.24634,1.74588,0.035723,1.23917,0.0286659,2.78429,0.00621174,0.555994,0.561406,0.799339
35,714.011,1,0.428295,14.55,0.0205912,0.182975,0.013079,-9.31069,-4.73342,1.38742,-4.27743,1.83689,0.0348185,1.41589,0.0298808,2.71379,0.00605446,0.541916,0.551834,0.779099
36,734.426,1,0.428087,14.4659,0.0193514,0.196257,0.0130984,-9.41273,-4.73321,1.39775,-4.27493,1.8832,0.0348413,1.44756,0.0337311,2.75515,0.00590116,0.599549,0.537861,0.759372
37,686.773,1,0.364013,14.4994,0.0291192,0.193865,0.0131519,-9.66799,-4.73205,1.47468,-4.27506,1.86521,0.0425008,1.41091,0.032877,2.89458,0.00575174,0.584368,0.524242,0.740144
38,711.866,1,0.364302,14.4741,0.0305263,0.187494,0.0131624,-9.61878,-4.73177,1.42453,-4.26656,1.82662,0.0443547,1.37518,0.035305,2.82129,0.00588032,0.569572,0.510968,0.721404
39,705.656,1,0.451893,14.4139,0.0137655,0.192401,0.0131131,-9.87748,-4.73209,1.43563,-4.18765,1.80136,0.0442226,1.42781,0.0376282,2.74985,0.00573142,0.55515,0.49803,0.703137
40,737.557,1,0.404325,14.3989,0.0227234,0.202823,0.0131138,-9.74275,-4.73202,1.38592,-4.17466,1.85189,0.0472986,1.4595,0.0366754,2.97728,0.0055863,0.541093,0.505469,0.685333
41,732.783,1,0.467231,14.4018,0.0105388,0.1869,0.0131365,-10.1652,-4.73162,1.29217,-4.20943,1.82767,0.046101,1.42254,0.0357468,3.09325,0.00544485,0.527392,0.532585,0.712253
42,707.979,1,0.40354,14.4658,0.0198903,0.192781,0.0131326,-9.89467,-4.73103,1.32295,-4.19932,1.85296,0.0486984,1.43518,0.0348416,3.10864,0.00530699,0.514039,0.605856,0.694218
43,739.123,1,0.36525,14.4575,0.0295471,0.202377,0.013091,-9.60103,-4.73144,1.31379,-4.2091,1.90508,0.0516278,1.39884,0.0339594,3.3833,0.00517261,0.50573,0.590515,0.756768
44,770.464,1,0.384703,14.4984,0.0260478,0.225546,0.0131331,-9.52235,-4.73041,1.29869,-4.25045,1.90885,0.0503206,1.42403,0.0361058,3.29763,0.00504164,0.533928,0.575563,0.791646
45,793.303,1,0.426204,14.5556,0.0206031,0.243382,0.0131443,-9.26968,-4.73028,1.24333,-4.25458,1.92727,0.0490464,1.53265,0.0351915,3.21414,0.00605374,0.526348,0.560989,0.771601
46,777.175,1,0.459594,14.6608,0.0127248,0.202194,0.0131591,-9.18887,-4.73092,1.30766,-4.25968,1.95653,0.0478046,1.49384,0.0343005,3.13275,0.00681698,0.51302,0.603957,0.771627
47,805.229,1,0.469926,14.7696,0.0103949,0.196364,0.0131526,-9.49036,-4.73262,1.31588,-4.2439,1.92551,0.0465941,1.45602,0.033432,3.26712,0.00700435,0.512062,0.625516,0.789137
48,788.116,1,0.469815,14.7036,0.00992197,0.223645,0.0131486,-9.45375,-4.7348,1.26305,-4.21645,1.84969,0.0459591,1.47316,0.0340625,3.18439,0.006827,0.519629,0.609678,0.769155
49,848.547,1,0.420313,14.7202,0.0233337,0.17147,0.013133,-9.55175,-4.73378,1.36714,-4.19706,1.81996,0.0447954,1.43586,0.0387347,3.10376,0.00785358,0.585387,0.59424,0.74968
50,808.133,1,0.39965,14.671,0.0227333,0.199977,0.0131609,-10.1309,-4.73512,1.39444,-4.1737,1.80052,0.0500897,1.3995,0.037754,3.33793,0.00765472,0.570564,0.579194,0.803471
51,838.389,1,0.423727,14.6427,0.0173229,0.197587,0.013224,-10.1668,-4.73477,1.37151,-4.23227,1.95061,0.0504271,1.43651,0.0371577,3.58442,0.00828209,0.588602,0.575246,0.783127
52,827.578,1,0.424019,14.6906,0.01871,0.186896,0.0132521,-10.3399,-4.73491,1.4441,-4.22957,1.96061,0.0503993,1.48995,0.0362169,3.49366,0.00807238,0.573698,0.560681,0.763298
53,828.919,1,0.363468,14.7162,0.0306806,0.213794,0.0133424,-10.6676,-4.73531,1.41234,-4.21057,1.94109,0.0491231,1.55823,0.0360012,3.82476,0.0085377,0.571167,0.546484,0.74397
54,784.644,1,0.397237,14.6684,0.0230442,0.213652,0.0134583,-10.9478,-4.7344,1.33044,-4.15956,1.84578,0.0478793,1.51878,0.0350896,3.7978,0.00840725,0.556705,0.532647,0.725133
55,837.429,1,0.3977,14.6058,0.0255808,0.249605,0.0134837,-11.0142,-4.7328,1.41042,-4.09705,1.88097,0.046667,1.74722,0.0342011,3.81051,0.00894365,0.553684,0.535531,0.706772
56,807.327,1,0.397566,14.6475,0.024774,0.21244,0.0134439,-10.5167,-4.7326,1.41466,-4.14426,1.86868,0.0484103,1.70298,0.0333351,3.71403,0.00933305,0.539664,0.521971,0.688876
57,790.395,1,0.346516,14.5801,0.0318753,0.205064,0.0133692,-10.4799,-4.73124,1.33693,-4.1588,1.90448,0.049398,1.65986,0.032491,4.12652,0.00909673,0.533181,0.508755,0.671433
58,763.025,1,0.413077,14.6037,0.0184437,0.214111,0.0134095,-10.3939,-4.73105,1.3117,-4.1482,1.86771,0.0481472,1.61783,0.0319078,4.02203,0.0095342,0.519681,0.495873,0.654432
59,776.235,1,0.364592,14.6426,0.029072,0.21547,0.0133818,-10.4209,-4.73178,1.26766,-4.091,1.79273,0.0469281,1.57686,0.0367036,3.92019,0.00929279,0.506522,0.483317,0.667278
60,804.248,1,0.389891,14.6597,0.0235311,0.223026,0.0134148,-10.5858,-4.7311,1.28612,-4.17585,1.83901,0.0463838,1.57197,0.0378423,3.96323,0.00934855,0.493697,0.483881,0.704004
61,782.78,1,0.345014,14.6745,0.0328299,0.216546,0.0134549,-10.774,-4.73177,1.30084,-4.18216,1.87455,0.0467071,1.62088,0.0368841,3.86287,0.00911184,0.481196,0.471629,0.686178
62,770.21,1,0.345544,14.5674,0.0356307,0.206122,0.0134626,-10.7382,-4.73039,1.36236,-4.21546,1.82998,0.0455244,1.57984,0.0359502,3.76506,0.00888113,0.469012,0.466813,0.728108
63,784.575,1,0.345275,14.5753,0.0342544,0.201524,0.013465,-10.8025,-4.73212,1.40562,-4.21783,1.82009,0.0443717,1.53984,0.0366383,3.8177,0.00865625,0.457136,0.515561,0.709672
