iteration,convergenceIndicator,phase,a,aS_pop,dI_pop,dS_pop,initT_pop,lBt0_pop,n_pop,omega_dI,omega_dS,omega_initT,omega_lBt0,omega_n
185,1113.96,1,0.358514,1.59665,2.2638,0.00105273,-11.8283,-4.59314,0.0957314,0.774144,0.570501,4.90344,0.30136,0.621175
186,1113.08,1,0.35887,1.59906,2.2544,0.00104366,-11.5506,-4.59008,0.0941371,0.77894,0.567388,4.77928,0.303336,0.642019
187,1111.99,1,0.358726,1.60405,2.30108,0.00105663,-11.3241,-4.58316,0.0962943,0.780867,0.564172,4.65826,0.30472,0.633152
188,1124.89,1,0.362228,1.60168,2.27366,0.00104274,-11.1898,-4.58462,0.0973045,0.785002,0.579421,4.54031,0.306646,0.630313
189,1099.5,1,0.355454,1.60152,2.32993,0.00103628,-11.2504,-4.58592,0.098137,0.788667,0.586637,4.42714,0.308069,0.620526
190,1092.01,1,0.356239,1.60049,2.32814,0.00103517,-11.275,-4.58304,0.0956457,0.768697,0.591762,4.31504,0.308529,0.604814
191,1113.72,1,0.359491,1.60771,2.33823,0.0010304,-11.3039,-4.58032,0.0976115,0.784236,0.58452,4.31561,0.313858,0.628373
192,1090.36,1,0.354802,1.60328,2.32342,0.0010252,-11.0561,-4.57901,0.0972798,0.795685,0.584306,4.20633,0.315301,0.619343
193,1086.05,1,0.354282,1.60402,2.30656,0.00101494,-10.9208,-4.58863,0.0973941,0.806384,0.571616,4.09982,0.311618,0.640773
194,1088.82,1,0.355213,1.60195,2.29315,0.000988173,-10.8076,-4.59267,0.097941,0.817647,0.569515,3.99601,0.30892,0.644291
195,1107.89,1,0.360473,1.60158,2.34629,0.000971528,-10.7187,-4.60087,0.0965924,0.838944,0.594876,3.89483,0.307443,0.642265
196,1110.15,1,0.36075,1.59738,2.34747,0.000965312,-10.8467,-4.59845,0.0986441,0.817701,0.598437,3.79621,0.31166,0.648386
197,1100.42,1,0.358012,1.59395,2.25049,0.000972887,-10.7463,-4.5965,0.100235,0.800115,0.606651,3.84208,0.303768,0.635543
198,1093.05,1,0.356635,1.59163,2.29205,0.000979435,-10.7474,-4.59099,0.0978898,0.81961,0.601301,3.7448,0.300091,0.643134
199,1094.55,1,0.356626,1.59467,2.28602,0.000980142,-10.6788,-4.59302,0.0990335,0.798857,0.603043,3.91206,0.294603,0.645747
200,1084.85,1,0.354672,1.59991,2.35126,0.00101054,-10.7699,-4.58138,0.0964783,0.793314,0.587773,3.84723,0.29538,0.657471
201,1106.53,1,0.360478,1.59877,2.32071,0.00100395,-10.5676,-4.58166,0.0974615,0.793942,0.585032,3.8053,0.301759,0.655703
202,1111.41,1,0.363807,1.59775,2.39161,0.00100695,-10.5438,-4.5815,0.0970849,0.773838,0.588764,3.72802,0.295987,0.648455
203,1108.84,1,0.363851,1.59738,2.31946,0.00101901,-10.6172,-4.57984,0.0982266,0.777399,0.573856,3.63362,0.294746,0.682076
204,1097.12,1,0.361171,1.59347,2.34967,0.00101422,-10.346,-4.58091,0.0961058,0.779755,0.573197,3.54162,0.298955,0.664806
205,1097.42,1,0.362059,1.59361,2.30039,0.00102229,-10.4074,-4.57052,0.0952117,0.793776,0.571866,3.45194,0.302034,0.677657
206,1094.56,1,0.359269,1.59101,2.30567,0.00104921,-10.625,-4.56443,0.0971984,0.778998,0.571905,3.36454,0.317464,0.713953
207,1085.1,1,0.359081,1.58544,2.30666,0.00105604,-10.5477,-4.56783,0.0987928,0.759273,0.578839,3.27934,0.309426,0.695876
208,1097.14,1,0.362302,1.58088,2.36826,0.00106863,-10.5582,-4.56547,0.098222,0.751447,0.572325,3.26969,0.304143,0.695243
209,1088.94,1,0.359095,1.59113,2.34481,0.00107277,-10.6385,-4.56264,0.0984356,0.754014,0.571534,3.34517,0.305692,0.697614
210,1098.47,1,0.36437,1.59417,2.34803,0.00110755,-10.6296,-4.56004,0.0980879,0.741522,0.565331,3.26047,0.307389,0.704368
211,1110.75,1,0.365103,1.60137,2.40526,0.00107493,-10.7773,-4.55729,0.097796,0.775798,0.577049,3.22924,0.310585,0.687548
212,1103.81,1,0.363942,1.59821,2.40359,0.00106775,-10.6299,-4.55228,0.0983506,0.792166,0.56934,3.14747,0.314483,0.681114
213,1085.92,1,0.357311,1.59441,2.41094,0.00106028,-10.6202,-4.55172,0.0977739,0.772108,0.557109,3.22745,0.314493,0.731732
214,1079.44,1,0.356806,1.59739,2.4631,0.00106231,-10.4077,-4.54679,0.0943083,0.767054,0.551697,3.20097,0.323235,0.713204
215,1077.38,1,0.355967,1.59841,2.41099,0.0010738,-10.3587,-4.54641,0.0971709,0.771552,0.544342,3.13313,0.325856,0.714978
216,1068.88,1,0.353301,1.59673,2.36125,0.00108161,-10.5305,-4.5529,0.101466,0.757046,0.551015,3.17557,0.323724,0.723673
217,1078.49,1,0.357962,1.58945,2.34561,0.00108989,-10.4221,-4.55295,0.101939,0.737877,0.561003,3.09516,0.319653,0.71709
218,1089.85,1,0.360148,1.58844,2.3642,0.00108133,-10.6305,-4.55755,0.10144,0.722168,0.570374,3.22088,0.313626,0.71754
219,1098.04,1,0.363475,1.5888,2.32657,0.0010855,-10.823,-4.56386,0.0959208,0.728008,0.555932,3.32526,0.313287,0.699371
220,1089.81,1,0.359033,1.5906,2.36448,0.00105823,-10.6881,-4.56943,0.0963548,0.746705,0.55287,3.43625,0.318653,0.687709
221,1087.36,1,0.358434,1.5847,2.28991,0.00105941,-10.9487,-4.57352,0.0944855,0.764113,0.542969,3.44642,0.317493,0.682727
222,1102.18,1,0.360349,1.58527,2.32039,0.00103112,-11.1511,-4.57695,0.0949563,0.773661,0.561715,3.68508,0.313817,0.668763
223,1087.86,1,0.359792,1.58335,2.33426,0.00101326,-10.982,-4.5802,0.0941601,0.754071,0.547492,3.59177,0.310855,0.673855
224,1088.18,1,0.358775,1.58598,2.35817,0.00101527,-10.8508,-4.57821,0.0936392,0.777593,0.543491,3.50083,0.314373,0.686173
225,1081.17,1,0.353491,1.5859,2.29832,0.0010238,-10.8358,-4.58334,0.0975402,0.780011,0.542338,3.64806,0.32247,0.701911
226,1092.68,1,0.359119,1.58574,2.22098,0.00102677,-10.9118,-4.5927,0.097137,0.760261,0.528606,3.945,0.314305,0.684138
227,1073.93,1,0.358514,1.59089,2.28721,0.00102955,-10.6875,-4.59873,0.0950462,0.741011,0.515221,3.84511,0.308449,0.666815
228,1110.28,1,0.367896,1.58636,2.31884,0.00102982,-10.75,-4.59943,0.0966806,0.727953,0.530042,3.74775,0.312086,0.663103
229,1092.16,1,0.363363,1.58107,2.31402,0.00101126,-10.8935,-4.5987,0.0934159,0.728507,0.534435,3.68328,0.304184,0.646313
230,1089.33,1,0.361835,1.58525,2.29697,0.000978948,-10.6898,-4.61136,0.0956711,0.742456,0.549217,3.59002,0.305594,0.642591
231,1090.62,1,0.363606,1.58354,2.27444,0.00096353,-10.7203,-4.60748,0.0958558,0.734522,0.547424,3.49912,0.312654,0.62632
232,1101.55,1,0.365662,1.58162,2.2994,0.000958362,-10.8492,-4.60618,0.0952559,0.742375,0.553061,3.50466,0.308281,0.620934
233,1085.99,1,0.360856,1.57745,2.29645,0.000932801,-10.7383,-4.6064,0.0961529,0.744073,0.561977,3.54192,0.304398,0.620454
234,1073.42,1,0.35555,1.57436,2.31063,0.000929404,-10.7229,-4.60872,0.0948535,0.736717,0.57037,3.59183,0.312697,0.633578
235,1086.56,1,0.359358,1.57018,2.30233,0.000942799,-10.6816,-4.61046,0.0943641,0.739786,0.57521,3.64141,0.309052,0.62053
236,1096.6,1,0.359039,1.5688,2.2306,0.000943504,-10.863,-4.60964,0.0948603,0.745479,0.585338,3.97342,0.308841,0.622081
237,1105.25,1,0.364168,1.57156,2.25881,0.000945767,-10.7355,-4.60443,0.0944661,0.75498,0.570517,3.89524,0.306469,0.60633
238,1090.09,1,0.362342,1.57434,2.22392,0.000937014,-10.4447,-4.60827,0.0954042,0.755952,0.556071,3.79661,0.307854,0.60223
239,1086.19,1,0.36277,1.56793,2.20974,0.00092653,-10.1652,-4.60988,0.0973697,0.791279,0.55011,3.70048,0.307891,0.586981
240,1080.78,1,0.361027,1.56408,2.20564,0.000936463,-10.3842,-4.61235,0.0974457,0.775528,0.54673,3.60678,0.30972,0.582678
241,1098.8,1,0.364296,1.566,2.19059,0.000947236,-10.6819,-4.60924,0.0964416,0.781586,0.554405,3.51546,0.312307,0.59372
242,1078.65,1,0.358543,1.56627,2.28496,0.000956629,-10.734,-4.60164,0.0963395,0.761796,0.546377,3.68878,0.313524,0.598026
243,1056.62,1,0.35397,1.56792,2.28772,0.000956932,-10.617,-4.60295,0.0947083,0.751518,0.532542,3.62602,0.315595,0.584161
244,1071.33,1,0.354974,1.5651,2.24828,0.000946192,-10.6719,-4.60971,0.096812,0.783013,0.541091,3.72963,0.316837,0.597257
245,1055.11,1,0.351021,1.56435,2.2646,0.000945579,-10.6455,-4.61173,0.0986181,0.763186,0.53459,3.70825,0.315887,0.617604
246,1048.01,1,0.349281,1.5638,2.24268,0.000942859,-10.6067,-4.60822,0.0996615,0.743862,0.551651,3.78897,0.315621,0.601966
247,1054.08,1,0.350058,1.56308,2.28226,0.000930838,-10.6636,-4.60509,0.0981893,0.745114,0.545382,3.73044,0.319628,0.621785
248,1050.54,1,0.349721,1.56288,2.30139,0.000955306,-10.4248,-4.60546,0.0973258,0.775564,0.543106,3.65601,0.316095,0.606041
249,1065.18,1,0.354839,1.56561,2.32185,0.000941991,-10.7043,-4.60421,0.0947338,0.755927,0.552603,3.81783,0.308882,0.590696
250,1052.58,1,0.35174,1.56846,2.34993,0.000946902,-10.5773,-4.60005,0.0963099,0.736786,0.555805,3.72116,0.30681,0.630884
251,1047.85,1,0.350207,1.56729,2.30877,0.000959766,-10.4942,-4.59885,0.0953118,0.746462,0.552451,3.62694,0.3036,0.632679
252,1054.43,1,0.350523,1.57059,2.31154,0.000956735,-10.6513,-4.60472,0.0952892,0.753148,0.574956,3.58133,0.306001,0.626096
253,1059.86,1,0.35069,1.56368,2.41818,0.000960964,-10.7185,-4.6011,0.0968836,0.753607,0.57601,3.64808,0.307338,0.641232
254,1071.02,1,0.354596,1.56655,2.37551,0.000964154,-10.4507,-4.59415,0.0949633,0.743023,0.585194,3.55571,0.306233,0.660936
255,1096.25,1,0.361151,1.56442,2.39099,0.000957165,-10.5041,-4.59728,0.0936849,0.752464,0.588167,3.46568,0.300385,0.674268
256,1094.53,1,0.358638,1.55883,2.42835,0.000941512,-10.6694,-4.59909,0.0939739,0.766085,0.590201,3.45823,0.301359,0.702422
257,1086.81,1,0.356899,1.56092,2.39495,0.000946875,-10.447,-4.58929,0.095536,0.785022,0.601101,3.37066,0.301374,0.686608
258,1103.39,1,0.364459,1.55327,2.36828,0.000951339,-10.5082,-4.59197,0.0951478,0.7732,0.585881,3.28532,0.300743,0.673745
259,1086.89,1,0.362138,1.55164,2.35403,0.000960328,-10.4601,-4.59056,0.0947575,0.753622,0.571046,3.20213,0.301303,0.683578
260,1080.07,1,0.361705,1.55197,2.32686,0.000959118,-10.3334,-4.58705,0.0941892,0.73619,0.556587,3.12105,0.301533,0.67875
261,1077.76,1,0.361729,1.5553,2.35009,0.000950588,-10.1933,-4.59001,0.0937263,0.73112,0.542494,3.27267,0.301213,0.661564
262,1069.29,1,0.36132,1.55611,2.3484,0.00095145,-10.134,-4.58983,0.0928571,0.712608,0.549767,3.1898,0.304967,0.652375
263,1061.38,1,0.35983,1.5481,2.3658,0.0009382,-10.1664,-4.58926,0.0938937,0.694564,0.548194,3.10903,0.300921,0.661009
264,1068.52,1,0.363815,1.54439,2.39378,0.000933381,-10.2302,-4.5905,0.0935317,0.692767,0.547225,3.03374,0.299581,0.644272
265,1071.61,1,0.364819,1.54622,2.39058,0.000963464,-10.3425,-4.57458,0.0945718,0.697963,0.534577,3.11376,0.29845,0.627959
266,1057.58,1,0.360768,1.54254,2.39709,0.000960006,-10.0915,-4.57503,0.0931908,0.710206,0.526335,3.11844,0.296537,0.612059
267,1083.07,1,0.364969,1.54333,2.39051,0.000987309,-10.3726,-4.57419,0.0940966,0.704713,0.539809,3.37551,0.298763,0.609606
268,1071.15,1,0.362733,1.5368,2.41361,0.000986745,-10.3731,-4.57236,0.0911208,0.694576,0.538644,3.36205,0.303114,0.59417
269,1064.18,1,0.36123,1.53616,2.34256,0.000988127,-10.4033,-4.57837,0.0923416,0.676989,0.537383,3.29144,0.302633,0.610466
270,1044.73,1,0.355972,1.53919,2.34988,0.00101403,-10.3628,-4.57684,0.0919825,0.693834,0.532324,3.3116,0.305347,0.595009
271,1036.6,1,0.352798,1.53491,2.34585,0.00100725,-10.4653,-4.57693,0.0915829,0.718843,0.537738,3.25886,0.305688,0.590691
272,1030.48,1,0.34988,1.54704,2.31645,0.00100164,-10.3819,-4.57632,0.0922485,0.718171,0.530163,3.52469,0.305451,0.581529
273,1060.93,1,0.357406,1.54611,2.33041,0.00101098,-10.5212,-4.57341,0.0906172,0.718822,0.527802,3.4952,0.308717,0.600387
274,1069.15,1,0.358051,1.54875,2.34235,0.00100526,-10.2923,-4.58169,0.09515,0.71523,0.534908,3.57975,0.30975,0.615318
275,1045.17,1,0.350895,1.55153,2.3429,0.000942077,-10.5451,-4.59644,0.0941238,0.720782,0.55093,3.61553,0.30478,0.609227
276,1051.8,1,0.353715,1.55073,2.35041,0.000944825,-10.5204,-4.59201,0.0923091,0.726349,0.540627,3.52398,0.305668,0.618937
277,1047.9,1,0.350578,1.55193,2.33581,0.000953196,-10.8914,-4.59625,0.0944486,0.707957,0.542152,3.74639,0.311277,0.623625
278,1064.48,1,0.355431,1.55123,2.32466,0.000936261,-10.6461,-4.59846,0.0941535,0.713415,0.581509,3.65153,0.311284,0.615002
279,1051.39,1,0.351629,1.55856,2.36896,0.000933309,-10.6378,-4.59884,0.0914343,0.720338,0.601146,3.57584,0.311115,0.59943
280,1052.19,1,0.350469,1.56005,2.35929,0.000938905,-10.5102,-4.59207,0.0905145,0.739438,0.59926,3.53043,0.312559,0.595146
281,1045.38,1,0.348222,1.57118,2.38014,0.00095043,-10.711,-4.59305,0.0907562,0.720715,0.587459,3.71976,0.312011,0.604942
282,1032.61,1,0.345386,1.57157,2.41063,0.000933585,-10.4773,-4.5896,0.090054,0.719288,0.611239,3.62557,0.317154,0.613877
283,1041.88,1,0.347018,1.5731,2.40799,0.000935873,-10.3717,-4.58566,0.0922582,0.736934,0.618895,3.53377,0.313964,0.629569
284,1043.72,1,0.346524,1.57936,2.39476,0.000931741,-10.4892,-4.58869,0.092327,0.745625,0.628272,3.44429,0.317067,0.627644
285,1039.33,1,0.343807,1.57885,2.35125,0.000931605,-10.6427,-4.5875,0.0934316,0.761339,0.616945,3.35708,0.32199,0.650487
286,1059.08,1,0.349713,1.58527,2.32246,0.000953999,-10.7114,-4.59006,0.093753,0.742062,0.604742,3.39166,0.325743,0.651995
287,1044,1,0.346935,1.58206,2.32537,0.000956401,-10.7674,-4.58633,0.093359,0.732722,0.616157,3.30578,0.328713,0.635486
288,1051.1,1,0.349427,1.5835,2.32635,0.000955521,-10.6759,-4.58606,0.0939375,0.735153,0.622904,3.22207,0.329277,0.639024
289,1057.99,1,0.350363,1.58038,2.34734,0.000952489,-10.6514,-4.59504,0.0967623,0.750755,0.619767,3.17729,0.321264,0.652657
290,1048.54,1,0.348434,1.58916,2.27492,0.00095342,-10.6512,-4.60566,0.0962189,0.744889,0.616721,3.17972,0.314493,0.65892
291,1050.06,1,0.346815,1.58909,2.29886,0.000948324,-10.8624,-4.59802,0.0958437,0.760628,0.620511,3.24943,0.322067,0.661741
292,1065.09,1,0.348071,1.59083,2.29594,0.00094182,-10.5667,-4.61304,0.0931164,0.786211,0.632971,3.29245,0.325864,0.68049
293,1045.56,1,0.343776,1.59162,2.31385,0.000944436,-10.4464,-4.60787,0.0926134,0.820593,0.627519,3.20908,0.329057,0.66326
294,1067.61,1,0.349174,1.59256,2.32679,0.000949862,-10.4815,-4.6152,0.091278,0.813279,0.627256,3.12783,0.325172,0.690904
295,1081.96,1,0.35109,1.58794,2.27221,0.000950461,-10.8436,-4.61466,0.092384,0.830792,0.63053,3.29208,0.328201,0.680577
296,1077.89,1,0.350779,1.58869,2.26851,0.000941546,-10.7126,-4.61373,0.0933581,0.82884,0.625206,3.20873,0.329516,0.685134
297,1070.17,1,0.349619,1.58683,2.25012,0.000977261,-10.9748,-4.60609,0.0929088,0.807853,0.610091,3.26878,0.325741,0.688637
298,1062.08,1,0.347445,1.58797,2.26606,0.000970726,-10.8255,-4.59685,0.0956921,0.824679,0.60749,3.18601,0.327211,0.702317
299,1069.61,1,0.34747,1.59174,2.22388,0.000990265,-10.8654,-4.59582,0.0961228,0.828048,0.605576,3.36459,0.333341,0.692087
300,1070.94,1,0.347052,1.58965,2.22512,0.000985114,-10.8818,-4.59486,0.0946132,0.813118,0.601331,3.47757,0.329157,0.716247
301,1099.07,1,0.352833,1.58562,2.25508,0.000988372,-10.8746,-4.59602,0.0931698,0.8416,0.597607,3.51872,0.331006,0.73355
302,1111.68,1,0.355504,1.58573,2.30383,0.000983079,-11.0476,-4.59568,0.0941024,0.821215,0.600284,3.74633,0.333541,0.718414
303,1069.88,1,0.346594,1.58566,2.2734,0.00100896,-11.0759,-4.59911,0.0922229,0.800421,0.597876,3.92205,0.329966,0.700223
304,1085.68,1,0.351078,1.58227,2.28344,0.00101189,-11.0678,-4.5948,0.0948549,0.780154,0.589448,3.82698,0.335799,0.694656
305,1082.74,1,0.351139,1.5808,2.25272,0.00101891,-11.0139,-4.59475,0.0939229,0.780438,0.595274,3.73007,0.33036,0.67988
306,1079.32,1,0.350064,1.57713,2.26585,0.00101681,-11.1984,-4.59385,0.0962646,0.791068,0.597077,3.63563,0.329075,0.693873
307,1077.95,1,0.349542,1.57562,2.26896,0.00100846,-11.087,-4.59371,0.0937021,0.823219,0.604765,3.55757,0.328432,0.676303
308,1061.21,1,0.343255,1.57471,2.27145,0.00102727,-11.1173,-4.59084,0.0952182,0.821521,0.605822,3.72037,0.326545,0.693798
309,1079.9,1,0.34839,1.57583,2.25089,0.00105917,-11.0868,-4.58871,0.0945945,0.833077,0.590794,3.69811,0.323801,0.708477
310,1086.08,1,0.351821,1.57996,2.27672,0.00104085,-10.9644,-4.5838,0.0941644,0.811983,0.583065,3.69898,0.321507,0.706122
311,1084.7,1,0.352145,1.57876,2.28742,0.00104237,-10.8748,-4.58138,0.0961846,0.791423,0.586067,3.6319,0.323639,0.704254
312,1072.25,1,0.348621,1.57493,2.26611,0.00104488,-10.928,-4.58173,0.0951134,0.781149,0.581965,3.69284,0.32361,0.7047
313,1067.62,1,0.34659,1.57465,2.23446,0.00103312,-11.2093,-4.58432,0.0926741,0.776106,0.571868,4.01318,0.324644,0.686857
314,1083.38,1,0.350093,1.57479,2.19893,0.00102625,-11.4674,-4.58172,0.091887,0.775253,0.567253,4.0336,0.324168,0.705562
315,1058.98,1,0.344778,1.57298,2.20081,0.00101514,-11.2058,-4.58399,0.0938801,0.775914,0.556865,3.93146,0.327279,0.701343
316,1077.04,1,0.350478,1.57414,2.19737,0.00101448,-11.1959,-4.58791,0.0947558,0.769251,0.559341,3.83192,0.327147,0.707758
317,1078.23,1,0.347808,1.57247,2.16496,0.000991063,-11.1698,-4.59157,0.0959311,0.772245,0.577304,3.92258,0.325005,0.738319
318,1072.89,1,0.347968,1.5683,2.26918,0.00100511,-10.9644,-4.5894,0.0968333,0.760371,0.584797,3.84516,0.318978,0.724169
319,1069.23,1,0.345834,1.5672,2.27734,0.000996229,-11.1648,-4.58222,0.0970998,0.778722,0.580095,3.83669,0.329884,0.721591
320,1067.18,1,0.346814,1.56294,2.31257,0.000999179,-10.9249,-4.57662,0.0965348,0.785106,0.586441,3.73954,0.332226,0.70332
321,1072.99,1,0.349795,1.56431,2.37598,0.000977942,-10.5965,-4.57587,0.0934189,0.765329,0.598179,3.64485,0.33006,0.685511
322,1057.23,1,0.34702,1.5597,2.35621,0.000965024,-10.525,-4.58536,0.0931385,0.751174,0.611471,3.55256,0.325449,0.671819
323,1055.53,1,0.346764,1.5548,2.40471,0.000971829,-10.4916,-4.58695,0.0923355,0.751828,0.620456,3.53879,0.318652,0.658363
324,1060.68,1,0.349318,1.55816,2.43257,0.000978548,-10.4749,-4.5868,0.0914971,0.732792,0.609624,3.52063,0.321448,0.661842
325,1065.49,1,0.347376,1.55681,2.40336,0.000974033,-10.8248,-4.5884,0.0918884,0.716132,0.624583,3.78363,0.330519,0.669547
326,1075.6,1,0.352645,1.55214,2.40529,0.000968204,-10.8045,-4.59597,0.0909734,0.712123,0.6285,3.68782,0.32355,0.656287
327,1081.28,1,0.352429,1.54715,2.38601,0.000963611,-10.7864,-4.59085,0.0915668,0.71338,0.657235,3.59445,0.323446,0.670757
328,1071.11,1,0.348833,1.5515,2.40148,0.000960283,-11.0644,-4.59169,0.0914167,0.698056,0.661706,3.63629,0.32823,0.680858
329,1083.48,1,0.350852,1.54566,2.46965,0.000910418,-10.8025,-4.59913,0.0922715,0.720406,0.650305,3.62371,0.326852,0.711349
330,1080.53,1,0.351104,1.53949,2.42263,0.00091008,-10.8489,-4.59643,0.0900552,0.726488,0.645134,3.58159,0.331996,0.693337
331,1102.28,1,0.356049,1.54586,2.43161,0.000905528,-10.8395,-4.59458,0.0921477,0.746358,0.641794,3.57308,0.331984,0.693542
332,1089.9,1,0.354255,1.54764,2.43513,0.000909897,-10.7449,-4.60226,0.0914378,0.753711,0.640797,3.59531,0.323578,0.675981
333,1076.97,1,0.350413,1.54414,2.48591,0.000917014,-10.7411,-4.59323,0.0919872,0.745258,0.650521,3.52536,0.327113,0.67166
334,1090.16,1,0.354194,1.54009,2.43167,0.000915243,-10.953,-4.59255,0.092651,0.761279,0.638364,3.4588,0.328079,0.676366
335,1087.8,1,0.354407,1.53714,2.40265,0.000919433,-10.8909,-4.59345,0.0910108,0.759469,0.633441,3.40634,0.333892,0.660231
336,1074.36,1,0.34995,1.53878,2.4372,0.000926334,-10.8347,-4.58872,0.0906106,0.740239,0.634215,3.52198,0.334588,0.673897
337,1077.25,1,0.34876,1.53894,2.36581,0.000909528,-10.8431,-4.59888,0.0889359,0.739233,0.643387,3.70192,0.336388,0.67664
338,1085.85,1,0.3501,1.53661,2.37992,0.000912054,-11.1451,-4.6044,0.0873974,0.737933,0.643991,3.84411,0.339826,0.670096
339,1097.49,1,0.350761,1.53723,2.38774,0.000904211,-11.0892,-4.60226,0.0914984,0.740458,0.651738,4.02568,0.340979,0.68978
340,1108.56,1,0.352973,1.53386,2.35194,0.000894637,-11.1278,-4.60822,0.0915376,0.753568,0.66601,4.00465,0.341451,0.686258
341,1104.53,1,0.352885,1.53424,2.34588,0.000910866,-11.101,-4.60419,0.0937867,0.768444,0.649147,3.93805,0.33633,0.691373
342,1095.31,1,0.350553,1.53219,2.29298,0.000918682,-10.9892,-4.60269,0.0945147,0.77944,0.648604,3.86153,0.338476,0.681618
343,1077.96,1,0.347392,1.53206,2.30649,0.000947539,-10.838,-4.59291,0.0950408,0.770218,0.645091,3.77615,0.334104,0.678171
344,1060.65,1,0.344081,1.53264,2.26272,0.000932488,-10.8489,-4.59431,0.0936963,0.786102,0.644778,3.68054,0.332678,0.661
345,1072.13,1,0.34513,1.53539,2.29316,0.000921586,-11.0484,-4.59807,0.092586,0.766198,0.660794,3.81284,0.338499,0.66881
346,1054.2,1,0.342987,1.53372,2.27608,0.000920187,-10.8856,-4.5997,0.0919665,0.756384,0.644553,3.7163,0.336269,0.654008
347,1069.34,1,0.346744,1.53652,2.27299,0.000925002,-10.8091,-4.59995,0.0925707,0.766034,0.642879,3.65179,0.333966,0.664356
348,1066.31,1,0.345588,1.53131,2.2397,0.000922833,-10.8244,-4.5988,0.0922259,0.767742,0.642527,3.73529,0.329542,0.665741
349,1082.4,1,0.350066,1.52996,2.24635,0.000908525,-10.8104,-4.59767,0.0932556,0.752489,0.651281,3.7736,0.333698,0.651545
350,1061.03,1,0.341757,1.52869,2.25147,0.000889834,-11.0777,-4.60762,0.0910509,0.780352,0.668727,3.93895,0.3348,0.644507
351,1086.59,1,0.346474,1.52691,2.33906,0.000902822,-11.037,-4.59749,0.0950954,0.800801,0.702624,3.96093,0.328539,0.656492
352,1075.87,1,0.343227,1.51898,2.34893,0.000897926,-11.3345,-4.60104,0.0934531,0.807969,0.705435,4.17931,0.322781,0.639869
353,1089.2,1,0.347049,1.5149,2.36522,0.000884742,-11.1962,-4.60566,0.0925289,0.795536,0.706799,4.09353,0.329781,0.636329
354,1080.01,1,0.346118,1.51336,2.35749,0.000885339,-11.1289,-4.59727,0.0930802,0.803362,0.704794,3.98988,0.323209,0.625312
355,1095.24,1,0.347759,1.50786,2.36631,0.000880993,-11.1588,-4.60009,0.0954996,0.83143,0.699136,3.94944,0.321791,0.676916
356,1064.19,1,0.340215,1.50665,2.36622,0.000882465,-11.1566,-4.60176,0.0945637,0.817086,0.70514,3.96545,0.31666,0.672017
357,1080.33,1,0.346096,1.50804,2.34846,0.000875736,-11.2485,-4.61003,0.0902528,0.81938,0.694676,3.86504,0.321661,0.655001
358,1121.92,1,0.355029,1.50985,2.30537,0.000865348,-11.4734,-4.60754,0.0913069,0.809427,0.70415,3.96239,0.326727,0.677645
359,1104.28,1,0.350885,1.51262,2.28574,0.000861377,-11.4278,-4.60304,0.0892161,0.799117,0.715735,3.98557,0.31921,0.669906
360,1096.96,1,0.350722,1.51611,2.27444,0.000861466,-11.0674,-4.60395,0.0910672,0.797433,0.715173,3.88466,0.317025,0.678576
361,1104.14,1,0.350859,1.51219,2.23086,0.000872471,-11.1293,-4.59202,0.0884878,0.827185,0.718156,3.78629,0.332166,0.670216
362,1113.33,1,0.352944,1.51209,2.23991,0.000865334,-11.0955,-4.59981,0.0886852,0.85257,0.720036,3.74638,0.335693,0.653245
363,1094.86,1,0.348455,1.51797,2.23198,0.000866189,-11.0242,-4.59445,0.0895318,0.853031,0.701805,3.69225,0.343141,0.651005
364,1102.24,1,0.351911,1.51692,2.30334,0.000877865,-10.7566,-4.58714,0.0902005,0.838823,0.695283,3.59876,0.341577,0.654991
365,1113.95,1,0.354299,1.52354,2.3003,0.000884973,-10.7211,-4.58202,0.0888756,0.859175,0.701006,3.50763,0.343745,0.671001
366,1119.8,1,0.356203,1.52153,2.2653,0.000889879,-10.8665,-4.59088,0.0912569,0.858081,0.683256,3.51718,0.341535,0.669693
367,1118.36,1,0.35608,1.5234,2.28689,0.00088332,-11.0158,-4.61478,0.0905767,0.839236,0.690765,3.72091,0.332887,0.652736
368,1119.59,1,0.358079,1.52783,2.30932,0.00088319,-10.9668,-4.61037,0.0902135,0.823296,0.695172,3.62669,0.330959,0.658931
369,1097.2,1,0.351096,1.52915,2.32304,0.000884418,-11.0482,-4.60695,0.0894339,0.820236,0.70268,3.53486,0.33118,0.667968
370,1097.59,1,0.349643,1.52798,2.30075,0.000857036,-10.733,-4.61112,0.0884129,0.805831,0.700961,3.7157,0.333082,0.682425
371,1103.11,1,0.351444,1.52571,2.27203,0.000857386,-10.5501,-4.60869,0.0926,0.821982,0.705835,3.62162,0.34424,0.665145
372,1100.48,1,0.350319,1.52018,2.2815,0.00085222,-10.803,-4.60912,0.0919095,0.834635,0.718394,3.70305,0.341772,0.648304
373,1087.45,1,0.346313,1.51689,2.29329,0.000840065,-11.0122,-4.61413,0.0910301,0.821818,0.712835,3.85102,0.337133,0.641501
374,1093.55,1,0.349459,1.51343,2.2442,0.000834363,-11.0055,-4.61213,0.0906908,0.801009,0.709881,3.80111,0.328597,0.650886
375,1101.76,1,0.35431,1.5146,2.35541,0.00082716,-10.7931,-4.60887,0.0913226,0.780727,0.733901,3.70486,0.332778,0.634405
