rep,id_var,eta_initT_simulated,eta_aS_simulated,eta_dS_simulated,eta_lBt0_simulated,eta_dI_simulated,eta_w_simulated,split,color,filter
4,42,2.59383,-0.0420913,-0.148379,0,0.0142357,0,All,#4682B4,0
5,42,1.21321,-0.08174,-0.114491,0,-0.0445023,0,All,#4682B4,0
6,42,0.565411,-0.0150419,-0.0119243,0,-0.0427215,0,All,#4682B4,0
7,42,2.28325,0.101257,-0.126916,0,-0.0549333,0,All,#4682B4,0
8,42,-0.880361,-0.00345907,0.0916346,0,-0.0403611,0,All,#4682B4,0
9,42,0.421225,-0.0775073,-0.0310703,0,-0.0856615,0,All,#4682B4,0
10,42,-1.69944,0.0233472,0.0201369,0,-0.14152,0,All,#4682B4,0
1,43,1.83608,-0.0204403,0.0736139,0,-0.096172,0,All,#4682B4,0
2,43,0.752676,0.016761,0.149027,0,-0.0306859,0,All,#4682B4,0
3,43,1.51079,-0.0307395,0.040523,0,-0.0305323,0,All,#4682B4,0
4,43,0.900827,0.00488847,-0.000168218,0,-0.10209,0,All,#4682B4,0
5,43,0.696857,0.0188755,0.094295,0,-0.162803,0,All,#4682B4,0
6,43,1.43314,-0.0302624,0.0307397,0,-0.11406,0,All,#4682B4,0
7,43,1.34897,0.00911392,0.117714,0,-0.0324142,0,All,#4682B4,0
8,43,0.726318,-0.0813701,0.155241,0,-0.068125,0,All,#4682B4,0
9,43,3.14359,-0.0971979,0.00701142,0,0.0982591,0,All,#4682B4,0
10,43,3.244,-0.0419952,-0.117242,0,0.00810262,0,All,#4682B4,0
1,44,-0.947232,0.0861956,-0.0549791,0,0.090217,0,All,#4682B4,0
2,44,-4.02982,0.017469,0.030287,0,0.0545707,0,All,#4682B4,0
3,44,0.188639,-0.0948724,0.0330345,0,0.113589,0,All,#4682B4,0
4,44,-2.01057,0.065661,0.0711465,0,0.0372936,0,All,#4682B4,0
5,44,-5.27997,0.039031,-0.000156042,0,-0.0201576,0,All,#4682B4,0
6,44,0.818003,0.0580268,0.087442,0,0.110411,0,All,#4682B4,0
7,44,-1.3848,0.0283218,-0.139102,0,0.131431,0,All,#4682B4,0
8,44,1.38839,-0.00171247,-0.0614859,0,0.143687,0,All,#4682B4,0
9,44,-1.02142,0.10372,0.0884436,0,0.0300232,0,All,#4682B4,0
10,44,2.19709,0.0519872,-0.0521711,0,0.105894,0,All,#4682B4,0
1,45,2.18641,-0.0486042,0.0656866,0,-0.0156795,0,All,#4682B4,0
2,45,2.7818,-0.0237609,0.0915638,0,0.0441576,0,All,#4682B4,0
3,45,2.72165,0.0747358,0.0384894,0,-0.0393304,0,All,#4682B4,0
4,45,2.29824,-0.0921511,0.0906405,0,-0.00626498,0,All,#4682B4,0
5,45,2.12208,0.0346317,-0.00209385,0,-0.0245351,0,All,#4682B4,0
6,45,2.04517,-0.0186494,0.0336369,0,0.0131279,0,All,#4682B4,0
7,45,1.89671,0.0540384,-0.115037,0,-0.0694673,0,All,#4682B4,0
8,45,1.63639,-0.0640477,0.119861,0,0.0609979,0,All,#4682B4,0
9,45,2.66228,-0.0662115,0.075754,0,0.00198123,0,All,#4682B4,0
10,45,1.209,0.00126084,0.269718,0,0.0143219,0,All,#4682B4,0
1,46,-1.41275,-0.0664721,-0.138161,0,-0.0617052,0,All,#4682B4,0
2,46,-1.37197,0.0128908,-0.150885,0,-0.193517,0,All,#4682B4,0
3,46,-1.3326,0.0403567,0.0860842,0,-0.0295433,0,All,#4682B4,0
4,46,0.74694,0.00745224,0.262039,0,0.0914381,0,All,#4682B4,0
5,46,-0.121549,-0.0589485,0.162985,0,0.0970783,0,All,#4682B4,0
6,46,1.01201,0.123255,0.0711087,0,0.0799808,0,All,#4682B4,0
7,46,0.518025,0.0360604,-0.146899,0,-0.0567653,0,All,#4682B4,0
8,46,0.571083,-0.0156695,-0.13239,0,0.039375,0,All,#4682B4,0
9,46,2.61809,0.104824,-0.120616,0,0.0596467,0,All,#4682B4,0
10,46,-1.9876,0.0293762,-0.0893299,0,-0.0311168,0,All,#4682B4,0
1,47,2.07862,-0.00497024,0.0311692,0,-0.00286048,0,All,#4682B4,0
2,47,2.96441,-0.0703406,0.127534,0,0.08904,0,All,#4682B4,0
3,47,2.20424,0.0309332,0.233195,0,0.0712517,0,All,#4682B4,0
4,47,2.49187,0.00179571,-0.012934,0,0.0208231,0,All,#4682B4,0
5,47,1.49914,-0.10396,0.208344,0,0.0589694,0,All,#4682B4,0
6,47,0.631305,0.0971967,0.000758324,0,-0.0916008,0,All,#4682B4,0
7,47,1.93076,0.0444055,-0.04163,0,-0.117991,0,All,#4682B4,0
8,47,2.29829,0.0232531,-0.0492494,0,-0.0718132,0,All,#4682B4,0
9,47,1.39711,-0.0414519,-0.0595534,0,-0.0817634,0,All,#4682B4,0
10,47,2.02941,0.0243252,-0.0843631,0,-0.0504467,0,All,#4682B4,0
1,48,3.05747,-0.0144573,-0.0494349,0,-0.00714879,0,All,#4682B4,0
2,48,-0.716076,-0.0359998,-0.0869923,0,-0.0655976,0,All,#4682B4,0
3,48,0.224365,0.0213885,0.274751,0,-0.0117148,0,All,#4682B4,0
4,48,-0.60451,-0.0483811,0.0716037,0,-0.0684235,0,All,#4682B4,0
5,48,-1.97973,0.0164705,0.0320427,0,-0.156342,0,All,#4682B4,0
6,48,1.37883,0.00472745,0.0664934,0,-0.0842627,0,All,#4682B4,0
7,48,2.13687,-0.0384882,-0.00921854,0,-0.0342199,0,All,#4682B4,0
8,48,0.885585,0.00101307,0.119391,0,-0.0711811,0,All,#4682B4,0
9,48,0.206689,-0.134833,-0.00470148,0,-0.0645042,0,All,#4682B4,0
10,48,1.73649,0.0149282,-0.0205712,0,-0.0405067,0,All,#4682B4,0
1,49,4.26585,0.116226,0.0589713,0,0.0117701,0,All,#4682B4,0
2,49,3.98117,-0.00404413,-0.0057682,0,0.0325673,0,All,#4682B4,0
3,49,3.54657,-0.031433,0.0373782,0,0.0253282,0,All,#4682B4,0
4,49,4.71221,0.0555737,0.035147,0,0.0236876,0,All,#4682B4,0
5,49,4.04058,0.11804,0.122494,0,0.0242232,0,All,#4682B4,0
6,49,4.22012,-0.0617747,0.143128,0,0.0888605,0,All,#4682B4,0
7,49,3.92332,0.0148608,0.0162216,0,-0.000312345,0,All,#4682B4,0
8,49,3.49383,-0.00324108,0.0697482,0,0.0350188,0,All,#4682B4,0
9,49,4.29027,-0.0439913,0.104397,0,0.103214,0,All,#4682B4,0
10,49,4.25142,-0.0475904,-0.188747,0,-0.0400622,0,All,#4682B4,0
1,50,3.80279,0.0291857,0.130122,0,0.04499,0,All,#4682B4,0
2,50,3.77414,0.00282154,0.141727,0,0.0626717,0,All,#4682B4,0
3,50,3.21173,0.0436869,0.0486283,0,-0.037944,0,All,#4682B4,0
4,50,4.26359,-0.01834,-0.0490573,0,0.0464055,0,All,#4682B4,0
5,50,3.81648,0.00555791,0.173609,0,-0.00272381,0,All,#4682B4,0
6,50,3.13003,0.0249954,-0.0160866,0,-0.112253,0,All,#4682B4,0
7,50,3.84084,-0.0230333,-0.00248777,0,-0.01191,0,All,#4682B4,0
8,50,4.45105,-0.0326266,-0.0831705,0,0.099601,0,All,#4682B4,0
9,50,3.89618,0.0437542,0.0138436,0,0.0554219,0,All,#4682B4,0
10,50,3.64247,-0.050479,0.0255942,0,0.0285113,0,All,#4682B4,0
1,51,1.07645,-0.0553649,-0.055405,0,-0.0333715,0,All,#4682B4,0
2,51,-3.84541,-0.103192,0.215563,0,-0.0132416,0,All,#4682B4,0
3,51,-0.923303,-0.0216046,0.0354324,0,-0.108363,0,All,#4682B4,0
4,51,-1.71828,0.0566658,-0.0915572,0,-0.0999653,0,All,#4682B4,0
5,51,0.627677,-0.00414914,0.0269937,0,0.00123398,0,All,#4682B4,0
6,51,-1.03086,0.0477863,0.118623,0,-0.0189049,0,All,#4682B4,0
7,51,-1.08587,0.0439253,0.121604,0,-0.0769895,0,All,#4682B4,0
8,51,-3.06394,-0.0175927,0.0322457,0,-0.0737167,0,All,#4682B4,0
9,51,-1.1274,-0.0786634,0.00303488,0,-0.0406066,0,All,#4682B4,0
10,51,-1.41456,0.138445,0.153434,0,-0.0700461,0,All,#4682B4,0
1,1,-0.00329568,-0.0984864,-0.017111,0,-0.032032,0,All,#4682B4,0
2,1,-3.43219,0.00301133,0.139382,0,-0.0195568,0,All,#4682B4,0
3,1,-1.42248,-0.0486776,0.297228,0,0.0369606,0,All,#4682B4,0
4,1,-2.44795,-0.0427787,0.374768,0,0.0135909,0,All,#4682B4,0
5,1,-3.50041,-0.0162261,0.0407573,0,-0.06789,0,All,#4682B4,0
6,1,1.55435,0.00726612,-0.0395773,0,-0.00310172,0,All,#4682B4,0
7,1,-1.94663,-0.027892,0.0209776,0,-0.0737006,0,All,#4682B4,0
8,1,-1.711,0.04603,-0.0213406,0,-0.0904826,0,All,#4682B4,0
9,1,-0.267145,-0.044406,0.339131,0,0.0832639,0,All,#4682B4,0
10,1,-1.36372,-0.0923715,0.00154709,0,-0.0120675,0,All,#4682B4,0
1,2,0.476796,-0.132794,0.0229419,0,-0.0164476,0,All,#4682B4,0
2,2,1.68086,-0.123847,-0.0775077,0,0.0231698,0,All,#4682B4,0
3,2,1.17643,-0.108045,0.0831692,0,-0.00629157,0,All,#4682B4,0
4,2,0.696812,-0.0329075,0.0107148,0,-0.0518666,0,All,#4682B4,0
5,2,1.23129,-0.0638627,0.148686,0,-0.0214583,0,All,#4682B4,0
6,2,1.26556,-0.0769237,0.0391315,0,0.00590905,0,All,#4682B4,0
7,2,1.08303,-0.0271572,0.00288095,0,-0.0232646,0,All,#4682B4,0
8,2,0.854558,0.0110842,-0.051058,0,-0.0667557,0,All,#4682B4,0
9,2,1.44967,-0.0253859,0.00305551,0,-0.0310997,0,All,#4682B4,0
10,2,0.593669,-0.0423931,-0.0507313,0,-0.0447847,0,All,#4682B4,0
1,3,-0.906715,-0.0657966,-0.00189584,0,-0.120562,0,All,#4682B4,0
2,3,2.70544,-0.018627,-0.0459681,0,0.0264078,0,All,#4682B4,0
3,3,1.99544,-0.0184808,0.143983,0,0.0340716,0,All,#4682B4,0
4,3,0.623775,0.00956537,-0.118966,0,-0.095325,0,All,#4682B4,0
5,3,2.11732,-0.00397119,-0.00148968,0,-0.101523,0,All,#4682B4,0
6,3,0.315465,-0.0304465,0.25397,0,0.013599,0,All,#4682B4,0
7,3,3.10284,-0.101235,-0.0202712,0,0.094102,0,All,#4682B4,0
8,3,-0.511343,0.0309239,-0.0631478,0,-0.0550011,0,All,#4682B4,0
9,3,-0.602931,0.0229921,0.0277584,0,-0.105231,0,All,#4682B4,0
10,3,-0.68382,-0.0273542,0.139593,0,-0.0270829,0,All,#4682B4,0
1,4,3.61504,-0.0141113,-0.0625756,0,0.102433,0,All,#4682B4,0
2,4,2.9987,0.0365104,-0.169663,0,0.0729225,0,All,#4682B4,0
3,4,-2.881,0.0639071,0.0988089,0,0.0108175,0,All,#4682B4,0
4,4,-1.18777,0.0261592,0.0211483,0,0.0303151,0,All,#4682B4,0
5,4,2.96998,0.0386338,-0.117344,0,0.0552795,0,All,#4682B4,0
6,4,2.56917,0.0841665,-0.0407309,0,0.0533618,0,All,#4682B4,0
7,4,-1.04756,0.0171798,-0.081096,0,0.0190527,0,All,#4682B4,0
8,4,-3.96167,0.00825665,-0.0166608,0,0.0148984,0,All,#4682B4,0
9,4,2.87868,0.067984,-0.0175141,0,0.106243,0,All,#4682B4,0
10,4,-2.28016,-0.00719276,0.0229439,0,0.0629245,0,All,#4682B4,0
1,5,-2.08337,-0.0371213,-0.126398,0,0.00443449,0,All,#4682B4,0
2,5,1.13115,-0.0184151,0.0392344,0,0.184351,0,All,#4682B4,0
3,5,-2.0756,0.0879202,-0.00433878,0,-0.102411,0,All,#4682B4,0
4,5,-0.276337,0.0707434,0.250448,0,0.038559,0,All,#4682B4,0
5,5,-0.409166,-0.101161,-0.0303378,0,-0.0153419,0,All,#4682B4,0
6,5,-0.743697,0.0353646,-0.0615738,0,-0.0592685,0,All,#4682B4,0
