rep,id_var,eta_initT_simulated,eta_aS_simulated,eta_dS_simulated,eta_lBt0_simulated,eta_dI_simulated,eta_w_simulated,split,color,filter
3,16,4.03842,-0.082433,-0.0423621,0,-0.0137816,0,All,#4682B4,0
4,16,2.25651,0.00394757,-0.0486649,0,-0.0958679,0,All,#4682B4,0
5,16,1.08009,-0.021726,-0.0715615,0,-0.103179,0,All,#4682B4,0
6,16,0.218289,-0.013096,0.201611,0,0.00826451,0,All,#4682B4,0
7,16,-0.513247,-0.0267925,-0.0041279,0,-0.140446,0,All,#4682B4,0
8,16,1.22105,-0.088599,0.147945,0,-0.051881,0,All,#4682B4,0
9,16,1.91846,-0.000692508,0.0705906,0,-0.0274067,0,All,#4682B4,0
10,16,-0.355309,-0.0204134,0.0624532,0,-0.14757,0,All,#4682B4,0
1,17,1.93091,-0.0441871,0.0524382,0,0.0847237,0,All,#4682B4,0
2,17,2.27668,0.0641482,-0.032321,0,0.0522843,0,All,#4682B4,0
3,17,0.496401,-0.0682169,-0.141359,0,-0.0705675,0,All,#4682B4,0
4,17,2.15026,-0.0576819,-0.101962,0,0.0458173,0,All,#4682B4,0
5,17,-4.03184,0.0138662,0.0348442,0,-0.0815972,0,All,#4682B4,0
6,17,-2.40873,-0.0737724,0.136839,0,-0.0147274,0,All,#4682B4,0
7,17,-1.49323,-0.0240702,0.115998,0,-0.034156,0,All,#4682B4,0
8,17,1.06281,-0.0605145,-0.108179,0,-0.113258,0,All,#4682B4,0
9,17,0.00938524,-0.0181708,-0.0159845,0,0.0361393,0,All,#4682B4,0
10,17,-0.980044,-0.0485864,-0.111807,0,0.0670754,0,All,#4682B4,0
1,18,4.16713,0.00683731,0.197515,0,0.0814211,0,All,#4682B4,0
2,18,4.63544,0.0528574,0.176956,0,0.0422672,0,All,#4682B4,0
3,18,4.31304,0.0166324,0.193457,0,0.0544862,0,All,#4682B4,0
4,18,4.443,0.0142367,0.195212,0,0.0597683,0,All,#4682B4,0
5,18,4.65501,-0.0514845,0.115409,0,0.0538512,0,All,#4682B4,0
6,18,4.34961,-0.00882894,0.262184,0,0.0947572,0,All,#4682B4,0
7,18,4.10592,-0.107813,0.128116,0,0.0572108,0,All,#4682B4,0
8,18,4.04202,0.087879,0.161436,0,-0.00619,0,All,#4682B4,0
9,18,4.25776,-0.00531419,0.0643883,0,0.0197952,0,All,#4682B4,0
10,18,3.92387,-0.0441611,0.0487726,0,0.0222152,0,All,#4682B4,0
1,19,-1.25094,0.0554681,0.0755085,0,-0.0690594,0,All,#4682B4,0
2,19,-0.27497,-0.0129003,-0.0430152,0,-0.00915352,0,All,#4682B4,0
3,19,-0.708914,0.106318,-0.0878793,0,0.0651213,0,All,#4682B4,0
4,19,-2.90304,-0.0383551,-0.0555989,0,-0.0407064,0,All,#4682B4,0
5,19,-0.197421,-0.0683452,0.0122675,0,0.0130684,0,All,#4682B4,0
6,19,1.31467,0.00915022,0.0228786,0,0.0554781,0,All,#4682B4,0
7,19,-2.27082,0.00582203,0.179552,0,0.0457158,0,All,#4682B4,0
8,19,-1.3282,-0.0120701,0.179443,0,0.109104,0,All,#4682B4,0
9,19,-1.94083,0.128936,0.0446049,0,0.0449789,0,All,#4682B4,0
10,19,-3.05448,0.144521,-0.122938,0,-0.014,0,All,#4682B4,0
1,20,1.77894,0.0265396,-0.1474,0,-0.0472843,0,All,#4682B4,0
2,20,1.81464,0.0504552,0.205221,0,-0.0384436,0,All,#4682B4,0
3,20,-0.454153,-0.0338398,0.0469309,0,-0.00385772,0,All,#4682B4,0
4,20,1.24758,0.0925697,-0.0369364,0,0.0162308,0,All,#4682B4,0
5,20,3.88068,0.0436248,-0.0475799,0,0.0684873,0,All,#4682B4,0
6,20,1.32768,-0.05029,-0.162347,0,-0.0604188,0,All,#4682B4,0
7,20,1.28585,-0.0255727,0.0555387,0,-0.0328979,0,All,#4682B4,0
8,20,-0.559586,0.0351915,-0.0593442,0,-0.123029,0,All,#4682B4,0
9,20,0.108236,-0.102404,0.0617275,0,-0.0374648,0,All,#4682B4,0
10,20,-0.631767,0.0613319,0.00722769,0,-0.0989038,0,All,#4682B4,0
1,21,-0.267927,0.00950587,0.235916,0,0.132041,0,All,#4682B4,0
2,21,1.86166,0.0284898,0.0956778,0,0.14397,0,All,#4682B4,0
3,21,0.363091,0.08253,0.0492425,0,0.0281068,0,All,#4682B4,0
4,21,0.585123,-0.0435858,-0.0395392,0,-0.0370492,0,All,#4682B4,0
5,21,1.6823,0.02092,-0.150851,0,-0.00776858,0,All,#4682B4,0
6,21,1.01094,-0.0591264,0.111422,0,0.105452,0,All,#4682B4,0
7,21,-0.502061,0.0254639,0.314994,0,-0.0151948,0,All,#4682B4,0
8,21,0.366427,0.0978886,0.0308323,0,-0.0449622,0,All,#4682B4,0
9,21,0.233644,-0.0107024,0.00330026,0,-0.0377536,0,All,#4682B4,0
10,21,-1.38187,0.00769578,0.167541,0,-0.0407139,0,All,#4682B4,0
1,22,-1.89854,-0.0337325,-0.0187119,0,0.0715531,0,All,#4682B4,0
2,22,-0.684677,0.0676866,-0.0986108,0,0.103972,0,All,#4682B4,0
3,22,-0.997257,0.030342,0.0902385,0,0.118696,0,All,#4682B4,0
4,22,-0.776052,0.0125371,-0.156138,0,0.0939164,0,All,#4682B4,0
5,22,-3.28864,0.00868282,-0.167744,0,0.0232711,0,All,#4682B4,0
6,22,-2.98897,0.00807005,0.116001,0,0.114198,0,All,#4682B4,0
7,22,-1.61513,-0.0508494,-0.0725603,0,0.067566,0,All,#4682B4,0
8,22,-1.20224,-0.0355747,-0.165988,0,0.068028,0,All,#4682B4,0
9,22,-2.05057,-0.133047,-0.242905,0,0.0389452,0,All,#4682B4,0
10,22,-4.21615,-0.0126915,-0.347947,0,-0.0393521,0,All,#4682B4,0
1,23,-0.925387,0.0592005,0.0976173,0,-0.00223105,0,All,#4682B4,0
2,23,-0.252655,0.0411393,-0.0268222,0,-0.0663322,0,All,#4682B4,0
3,23,-4.5022,0.0300939,-0.0612329,0,-0.074592,0,All,#4682B4,0
4,23,-2.67391,-0.033032,-0.0538671,0,-0.0713358,0,All,#4682B4,0
5,23,-0.874533,-0.00665865,-0.270055,0,-0.0898697,0,All,#4682B4,0
6,23,-1.78954,0.0175414,-0.117977,0,-0.113827,0,All,#4682B4,0
7,23,-0.386031,-0.0776536,-0.00975456,0,0.00790143,0,All,#4682B4,0
8,23,-2.05625,-0.0424261,0.0529221,0,-0.017566,0,All,#4682B4,0
9,23,-3.30326,0.0664842,-0.0244551,0,-0.137233,0,All,#4682B4,0
10,23,-3.13992,0.0318809,0.115513,0,-0.0645918,0,All,#4682B4,0
1,24,3.72496,0.0307561,-0.147505,0,-0.0151834,0,All,#4682B4,0
2,24,1.23439,0.0279431,0.154137,0,0.106719,0,All,#4682B4,0
3,24,0.333038,-0.00822576,-0.0860665,0,-0.102149,0,All,#4682B4,0
4,24,-1.06768,0.052681,0.198494,0,0.00473511,0,All,#4682B4,0
5,24,-0.861393,-0.0662537,0.157497,0,-0.00838473,0,All,#4682B4,0
6,24,0.717646,-0.0235272,0.0974139,0,-0.0498766,0,All,#4682B4,0
7,24,2.32158,0.096146,0.117685,0,-0.000259829,0,All,#4682B4,0
8,24,-0.433608,-0.0782353,0.0755657,0,-0.0448238,0,All,#4682B4,0
9,24,0.432526,-0.075922,0.0796201,0,-0.0136072,0,All,#4682B4,0
10,24,1.41038,-0.0440924,-0.0883189,0,-0.0763492,0,All,#4682B4,0
1,25,1.06032,0.126782,-0.108785,0,0.0236084,0,All,#4682B4,0
2,25,-1.24581,-0.0405612,-0.125328,0,0.0475116,0,All,#4682B4,0
3,25,1.2403,-0.0336285,-0.0762507,0,0.0695072,0,All,#4682B4,0
4,25,1.81307,0.121998,-0.0505871,0,0.0830549,0,All,#4682B4,0
5,25,2.41244,-0.0265198,-0.0876804,0,0.103829,0,All,#4682B4,0
6,25,0.718882,0.00939513,-0.0203119,0,0.0919329,0,All,#4682B4,0
7,25,-1.23442,0.0905252,0.313905,0,0.119799,0,All,#4682B4,0
8,25,-0.165703,0.0246532,0.042069,0,0.0641993,0,All,#4682B4,0
9,25,-2.75468,0.0154924,0.126352,0,0.0105627,0,All,#4682B4,0
10,25,1.68696,0.0752286,0.115551,0,0.136512,0,All,#4682B4,0
1,26,0.947614,0.0101553,0.0639372,0,0.242429,0,All,#4682B4,0
2,26,-2.40797,-0.0426787,0.041011,0,0.233578,0,All,#4682B4,0
3,26,-2.02359,-0.0684741,-0.12059,0,0.233589,0,All,#4682B4,0
4,26,-4.9088,0.0644794,-0.0550532,0,0.137739,0,All,#4682B4,0
5,26,-5.84836,-0.0886089,0.0223729,0,0.226881,0,All,#4682B4,0
6,26,-3.52623,-0.0843876,-0.187051,0,0.175853,0,All,#4682B4,0
7,26,-5.3349,0.0292166,-0.247907,0,0.0937402,0,All,#4682B4,0
8,26,-4.32207,-0.0140872,-0.113698,0,0.12,0,All,#4682B4,0
9,26,-4.67746,0.15676,-0.107604,0,0.0932808,0,All,#4682B4,0
10,26,-4.31999,0.037334,-0.149605,0,0.141227,0,All,#4682B4,0
1,27,0.904436,0.070001,-0.0988218,0,-0.065623,0,All,#4682B4,0
2,27,-1.436,-0.132279,-0.0804285,0,-0.0296415,0,All,#4682B4,0
3,27,-1.5638,-0.0387107,-0.0899211,0,-0.0759159,0,All,#4682B4,0
4,27,-0.624759,0.0478392,0.019701,0,-0.0340534,0,All,#4682B4,0
5,27,-1.47651,-0.0186317,-0.000534041,0,-0.0669562,0,All,#4682B4,0
6,27,-1.62488,-0.054794,0.0550676,0,0.0159219,0,All,#4682B4,0
7,27,0.0397643,0.0314742,-0.037979,0,0.0352282,0,All,#4682B4,0
8,27,0.938377,0.0487497,-0.195555,0,-0.0693711,0,All,#4682B4,0
9,27,-0.00575422,0.00120217,0.0472297,0,-0.0263476,0,All,#4682B4,0
10,27,-2.44736,0.00610274,-0.0970732,0,-0.165258,0,All,#4682B4,0
1,28,-2.5932,0.0386086,-0.0371446,0,-0.157624,0,All,#4682B4,0
2,28,0.253935,0.151744,0.0780544,0,-0.0922791,0,All,#4682B4,0
3,28,-0.949105,-0.00188754,0.0219041,0,-0.13241,0,All,#4682B4,0
4,28,0.280839,-0.114284,-0.00326597,0,-0.036314,0,All,#4682B4,0
5,28,-2.42151,0.0351855,-0.0664642,0,-0.160674,0,All,#4682B4,0
6,28,-0.0909752,0.0787261,0.00584047,0,-0.159237,0,All,#4682B4,0
7,28,0.795638,0.106201,-0.0960587,0,-0.159316,0,All,#4682B4,0
8,28,-2.74818,-0.02635,-0.0417269,0,-0.129783,0,All,#4682B4,0
9,28,-2.11548,0.0427553,-0.0245058,0,-0.162924,0,All,#4682B4,0
10,28,0.594239,-0.0847742,-0.082933,0,-0.0296976,0,All,#4682B4,0
1,29,-0.585643,0.0521097,-0.118167,0,-0.00746855,0,All,#4682B4,0
2,29,-0.925473,0.0725272,-0.0821157,0,0.0556222,0,All,#4682B4,0
3,29,-2.40263,-0.0444743,-0.168945,0,-0.0990018,0,All,#4682B4,0
4,29,-0.493725,-0.000607277,0.129723,0,0.135536,0,All,#4682B4,0
5,29,-0.902395,-0.0496055,0.0337407,0,0.139154,0,All,#4682B4,0
6,29,-0.669478,0.0153646,0.0661834,0,0.0132884,0,All,#4682B4,0
7,29,-2.12052,-0.0228539,0.0282335,0,-0.0372245,0,All,#4682B4,0
8,29,-2.9494,-0.114687,0.0421287,0,-0.0288279,0,All,#4682B4,0
9,29,-1.21098,-0.0248824,-0.0557261,0,-0.0842396,0,All,#4682B4,0
10,29,-1.72745,-0.0638904,-0.136271,0,0.0353787,0,All,#4682B4,0
1,30,1.30918,-0.0413078,0.151171,0,-0.0160989,0,All,#4682B4,0
2,30,1.33745,-0.116058,-0.054277,0,-0.0441195,0,All,#4682B4,0
3,30,-1.61339,0.0407602,0.264809,0,-0.0980031,0,All,#4682B4,0
4,30,-0.433028,0.100972,-0.122402,0,-0.211585,0,All,#4682B4,0
5,30,1.11046,-0.0651695,0.0768166,0,-0.000863036,0,All,#4682B4,0
6,30,-0.983362,-0.0608497,0.22678,0,-0.00407758,0,All,#4682B4,0
7,30,-1.34936,0.0172168,-0.155641,0,-0.245956,0,All,#4682B4,0
8,30,-1.46107,0.0354692,0.0104477,0,-0.179165,0,All,#4682B4,0
9,30,-1.41729,-0.0283159,0.144741,0,-0.110025,0,All,#4682B4,0
10,30,-1.70033,0.0235503,0.150955,0,-0.10805,0,All,#4682B4,0
1,31,-4.21273,-0.0833767,0.0411077,0,0.02546,0,All,#4682B4,0
2,31,-0.457545,0.00348528,0.0614103,0,0.0558108,0,All,#4682B4,0
3,31,-0.949161,-0.0894343,-0.0227009,0,0.0306372,0,All,#4682B4,0
4,31,0.550685,0.0767219,-0.0434161,0,-0.0201196,0,All,#4682B4,0
5,31,1.29147,0.00723001,-0.221903,0,-0.0450852,0,All,#4682B4,0
6,31,0.110217,-0.0240291,-0.139914,0,-0.0445667,0,All,#4682B4,0
7,31,-1.09987,-0.0233441,-0.100415,0,-0.0377734,0,All,#4682B4,0
8,31,-1.28027,-0.00358783,-0.0638806,0,0.014044,0,All,#4682B4,0
9,31,-3.4309,-0.0732053,-0.123176,0,-0.0260551,0,All,#4682B4,0
10,31,-0.465533,-0.0476757,0.100861,0,0.0730912,0,All,#4682B4,0
1,32,-1.06133,0.0704853,-0.0905529,0,0.0182881,0,All,#4682B4,0
2,32,-3.58407,-0.0288112,0.106888,0,0.133411,0,All,#4682B4,0
3,32,-6.1832,-0.0351571,0.139504,0,0.0963014,0,All,#4682B4,0
4,32,-4.41753,-0.0121278,0.0293301,0,0.047298,0,All,#4682B4,0
5,32,-4.22973,0.0537939,-0.0350288,0,-0.0255237,0,All,#4682B4,0
6,32,-3.10249,-0.00759643,-0.295475,0,-0.0426408,0,All,#4682B4,0
7,32,-2.55552,-0.00273033,-0.0737019,0,0.0434857,0,All,#4682B4,0
8,32,-3.41814,-0.0405481,-0.0883934,0,0.0196168,0,All,#4682B4,0
9,32,-6.01326,-0.0173501,-0.171407,0,-0.00683102,0,All,#4682B4,0
10,32,-1.86893,-0.0199893,-0.218918,0,0.00341027,0,All,#4682B4,0
1,33,-0.0421531,-0.0805238,-0.135031,0,-0.0476266,0,All,#4682B4,0
2,33,-0.456548,0.0491797,0.0666292,0,0.00902654,0,All,#4682B4,0
3,33,1.05589,-0.0114371,-0.0686539,0,-0.00036337,0,All,#4682B4,0
4,33,-0.964786,0.00979165,0.122521,0,0.0444496,0,All,#4682B4,0
5,33,1.19598,-0.114996,0.0035273,0,0.09189,0,All,#4682B4,0
6,33,0.0206221,-0.129415,-0.0560817,0,0.035096,0,All,#4682B4,0
7,33,1.36547,0.0394439,-0.05809,0,-0.0165718,0,All,#4682B4,0
8,33,2.53696,0.0493599,-0.100979,0,0.0341675,0,All,#4682B4,0
9,33,0.807694,-0.0113495,-0.0227227,0,0.0256488,0,All,#4682B4,0
10,33,-1.13922,0.0416289,0.138599,0,0.0112022,0,All,#4682B4,0
1,34,-9.75722,0.00629343,-0.216532,0,0.0746004,0,All,#4682B4,0
2,34,-10.7999,0.0498353,-0.120946,0,0.0533751,0,All,#4682B4,0
3,34,-7.18301,0.065208,-0.319045,0,0.0516059,0,All,#4682B4,0
4,34,-6.74685,0.0257063,-0.390462,0,0.0724129,0,All,#4682B4,0
5,34,-7.66674,0.064663,-0.178971,0,0.0935607,0,All,#4682B4,0
6,34,-4.99871,0.0812021,-0.287804,0,0.106133,0,All,#4682B4,0
7,34,-3.19167,0.0351724,-0.237088,0,0.155569,0,All,#4682B4,0
8,34,-2.4641,-0.0772149,-0.266918,0,0.192816,0,All,#4682B4,0
9,34,-5.28844,-0.034175,-0.187983,0,0.154506,0,All,#4682B4,0
10,34,-4.7677,-0.0250979,-0.245529,0,0.129258,0,All,#4682B4,0
