initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,lk_abscissa,lk_cdf,lae_abscissa,lae_cdf,lw_abscissa,lw_cdf,dE_abscissa,dE_cdf,split
-16.4471,0.0647059,13.1239,0.0627451,0.0118008,0.0627451,-4.75166,0.0627451,-4.72641,0.0647059,0.796425,0.0627451,0.758256,0.0647059,0.0313269,0.0647059,All
-16.4459,0.0666667,13.1284,0.0647059,0.0118099,0.0647059,-4.75158,0.0647059,-4.71589,0.0666667,0.799888,0.0647059,0.766911,0.0666667,0.0314261,0.0666667,All
-16.1927,0.0686275,13.1292,0.0666667,0.0118176,0.0666667,-4.75152,0.0666667,-4.71351,0.0686275,0.803789,0.0666667,0.77064,0.0686275,0.0315221,0.0686275,All
-16.0917,0.0705882,13.1296,0.0686275,0.0118192,0.0686275,-4.75132,0.0686275,-4.71304,0.0705882,0.805921,0.0686275,0.776984,0.0705882,0.0317824,0.0705882,All
-16.0321,0.072549,13.131,0.0705882,0.0118303,0.0705882,-4.75127,0.0705882,-4.71282,0.072549,0.805985,0.0705882,0.778059,0.072549,0.0318688,0.072549,All
-15.8675,0.0745098,13.1348,0.072549,0.0118327,0.072549,-4.75125,0.072549,-4.70325,0.0745098,0.806311,0.072549,0.779736,0.0745098,0.0319482,0.0745098,All
-15.8159,0.0764706,13.1407,0.0745098,0.0118363,0.0745098,-4.75117,0.0745098,-4.7016,0.0764706,0.810124,0.0745098,0.781605,0.0764706,0.0323734,0.0764706,All
-15.8102,0.0784314,13.1414,0.0764706,0.0118484,0.0764706,-4.7511,0.0764706,-4.69976,0.0784314,0.813855,0.0764706,0.781646,0.0784314,0.0329138,0.0784314,All
-15.7947,0.0803922,13.1417,0.0784314,0.0118486,0.0784314,-4.75102,0.0784314,-4.69894,0.0803922,0.814054,0.0784314,0.783081,0.0803922,0.033013,0.0803922,All
-15.7578,0.0823529,13.1427,0.0803922,0.0118492,0.0803922,-4.75087,0.0803922,-4.68542,0.0823529,0.814541,0.0803922,0.784166,0.0823529,0.0330391,0.0823529,All
-15.709,0.0843137,13.1507,0.0823529,0.0118506,0.0823529,-4.75081,0.0823529,-4.68136,0.0843137,0.816062,0.0823529,0.785586,0.0843137,0.0330545,0.0843137,All
-15.6866,0.0862745,13.1564,0.0843137,0.0118553,0.0843137,-4.75065,0.0843137,-4.66997,0.0862745,0.81832,0.0843137,0.794733,0.0862745,0.0331933,0.0862745,All
-15.6055,0.0882353,13.1593,0.0862745,0.0118556,0.0862745,-4.75042,0.0862745,-4.66848,0.0882353,0.821519,0.0862745,0.823504,0.0882353,0.0332623,0.0882353,All
-15.5474,0.0901961,13.1596,0.0882353,0.0118588,0.0882353,-4.75034,0.0882353,-4.66246,0.0901961,0.828736,0.0882353,0.839172,0.0901961,0.0336349,0.0901961,All
-15.5162,0.0921569,13.162,0.0901961,0.0118596,0.0901961,-4.75016,0.0901961,-4.64769,0.0921569,0.829406,0.0901961,0.843119,0.0921569,0.0339581,0.0921569,All
-15.4566,0.0941176,13.1684,0.0921569,0.0118665,0.0921569,-4.75009,0.0921569,-4.64658,0.0941176,0.832774,0.0921569,0.851283,0.0941176,0.0339744,0.0941176,All
-15.4531,0.0960784,13.1727,0.0941176,0.0118682,0.0941176,-4.74992,0.0941176,-4.63998,0.0960784,0.836724,0.0941176,0.860745,0.0960784,0.0340279,0.0960784,All
