rep,ID,eta_initT_simulated,eta_aS_simulated,eta_dS_simulated,eta_lBt0_simulated,eta_dI_simulated,eta_n_simulated,split,color,filter
9,40195,-3.47356,0.192281,1.72454,0,0.600783,0,All,#4682B4,0
10,40195,-16.9798,0.113584,-1.4455,0,-0.587397,0,All,#4682B4,0
1,40435,-1.02465,0.41776,-1.81047,0,-0.64323,0,All,#4682B4,0
2,40435,-16.4971,-0.187736,-0.461896,0,-0.270268,0,All,#4682B4,0
3,40435,-7.43364,0.344435,-1.39845,0,-0.568267,0,All,#4682B4,0
4,40435,-13.5435,0.0222923,-0.680875,0,-0.277812,0,All,#4682B4,0
5,40435,-5.60872,0.0757957,-1.21587,0,-0.451855,0,All,#4682B4,0
6,40435,-13.7106,-0.108553,-0.553463,0,-0.23218,0,All,#4682B4,0
7,40435,-4.21522,0.451456,-0.895855,0,-0.429667,0,All,#4682B4,0
8,40435,-12.3483,0.701716,-2.42376,0,-0.970336,0,All,#4682B4,0
9,40435,-0.678894,0.462156,-0.940713,0,-0.363971,0,All,#4682B4,0
10,40435,-4.52296,0.710646,-2.79658,0,-1.05598,0,All,#4682B4,0
1,40492,-4.43861,-0.247267,-0.398842,0,-0.23579,0,All,#4682B4,0
2,40492,-11.1045,0.157427,-2.08483,0,-1.01834,0,All,#4682B4,0
3,40492,-17.1898,-0.47303,-0.29614,0,-0.243004,0,All,#4682B4,0
4,40492,-15.1715,0.156594,-2.01273,0,-0.943511,0,All,#4682B4,0
5,40492,-20.1472,-0.245714,-0.416724,0,-0.278439,0,All,#4682B4,0
6,40492,-15.0024,0.181513,-2.1122,0,-1.02563,0,All,#4682B4,0
7,40492,-11.2414,0.03567,-0.316298,0,-0.209696,0,All,#4682B4,0
8,40492,-11.8315,0.0869156,-2.02117,0,-0.909317,0,All,#4682B4,0
9,40492,-17.9034,0.209938,-0.550022,0,-0.291252,0,All,#4682B4,0
10,40492,-14.0552,-0.0255397,-1.96455,0,-0.859912,0,All,#4682B4,0
1,40528,-7.98313,0.446414,0.336008,0,0.0660241,0,All,#4682B4,0
2,40528,-11.2657,0.225695,-0.307036,0,-0.243309,0,All,#4682B4,0
3,40528,-14.6633,0.505997,0.508366,0,0.0994969,0,All,#4682B4,0
4,40528,-10.5636,0.156029,-0.376671,0,-0.242611,0,All,#4682B4,0
5,40528,-17.9572,0.382807,0.483569,0,0.0920755,0,All,#4682B4,0
6,40528,-15.648,0.299572,-0.479861,0,-0.304591,0,All,#4682B4,0
7,40528,-10.9136,0.387717,0.412062,0,0.112465,0,All,#4682B4,0
8,40528,-25.1756,0.213286,-0.279975,0,-0.146788,0,All,#4682B4,0
9,40528,-14.7089,0.279063,0.456599,0,0.125673,0,All,#4682B4,0
10,40528,-10.2448,0.341222,-0.220826,0,-0.0918195,0,All,#4682B4,0
1,40640,-12.5893,0.280579,1.64677,0,0.58564,0,All,#4682B4,0
2,40640,8.16067,0.432597,-0.338011,0,-0.153157,0,All,#4682B4,0
3,40640,0.208756,-0.0678671,2.24102,0,0.8304,0,All,#4682B4,0
4,40640,7.16871,0.569624,-0.494965,0,-0.21828,0,All,#4682B4,0
5,40640,-5.98297,-0.242798,2.24524,0,0.916591,0,All,#4682B4,0
6,40640,8.5648,0.442609,-0.297669,0,-0.0900967,0,All,#4682B4,0
7,40640,-7.1064,-0.151673,2.37095,0,0.915968,0,All,#4682B4,0
8,40640,8.71066,0.500288,-0.17589,0,-0.126841,0,All,#4682B4,0
9,40640,-7.22713,-0.000772598,2.32044,0,0.90669,0,All,#4682B4,0
10,40640,-5.40343,0.428093,2.21064,0,0.881649,0,All,#4682B4,0
1,40652,-10.4651,1.02213,-1.21645,0,-0.429552,0,All,#4682B4,0
2,40652,-6.37726,0.166358,-0.0564761,0,-0.118337,0,All,#4682B4,0
3,40652,-10.8656,1.11741,-1.06088,0,-0.413227,0,All,#4682B4,0
4,40652,-11.1611,0.10656,-0.300028,0,-0.167108,0,All,#4682B4,0
5,40652,-3.67812,1.17001,-1.0563,0,-0.422954,0,All,#4682B4,0
6,40652,-14.7656,0.0605878,-0.365915,0,-0.225756,0,All,#4682B4,0
7,40652,-3.51402,1.06996,-1.11264,0,-0.485625,0,All,#4682B4,0
8,40652,-17.8385,-0.0151384,-0.741055,0,-0.360137,0,All,#4682B4,0
9,40652,0.092491,0.884443,-1.13513,0,-0.458566,0,All,#4682B4,0
10,40652,-12.8895,-0.0228206,-0.832173,0,-0.269967,0,All,#4682B4,0
1,40700,-0.702167,0.511951,-0.248981,0,-0.12196,0,All,#4682B4,0
2,40700,-7.98388,0.17943,-0.27845,0,-0.134984,0,All,#4682B4,0
3,40700,-13.915,0.453484,-0.063476,0,0.0038254,0,All,#4682B4,0
4,40700,-16.4011,0.00522696,0.192969,0,0.114507,0,All,#4682B4,0
5,40700,-10.2948,-0.00109414,-0.212309,0,-0.118632,0,All,#4682B4,0
6,40700,-20.5893,0.0917124,-0.825652,0,-0.325542,0,All,#4682B4,0
7,40700,-15.768,-0.114228,0.0791479,0,0.0339658,0,All,#4682B4,0
8,40700,-12.2022,-0.188078,-0.486126,0,-0.142508,0,All,#4682B4,0
9,40700,-8.96326,-0.169803,0.612016,0,0.225863,0,All,#4682B4,0
10,40700,-3.07757,0.137221,-0.526155,0,-0.114711,0,All,#4682B4,0
1,41002,-10.6676,0.616042,1.18499,0,0.409775,0,All,#4682B4,0
2,41002,-7.67151,1.05157,-0.787067,0,-0.263639,0,All,#4682B4,0
3,41002,-3.4702,0.633394,0.991797,0,0.36527,0,All,#4682B4,0
4,41002,-10.78,1.17946,-0.674468,0,-0.288389,0,All,#4682B4,0
5,41002,-8.33328,0.46854,1.13508,0,0.423148,0,All,#4682B4,0
6,41002,-14.8339,1.01658,-0.667576,0,-0.218284,0,All,#4682B4,0
7,41002,-11.7128,0.402188,0.999435,0,0.372755,0,All,#4682B4,0
8,41002,-12.0591,0.942896,-0.520118,0,-0.114993,0,All,#4682B4,0
9,41002,-7.53338,0.33828,1.0028,0,0.452346,0,All,#4682B4,0
10,41002,-10.8909,1.04818,-0.609765,0,-0.239247,0,All,#4682B4,0
1,40436,-5.41101,-0.618921,1.37703,0,0.514187,0,All,#4682B4,0
2,40436,8.24327,0.427865,0.233403,0,0.0215139,0,All,#4682B4,0
3,40436,-9.26055,-0.644457,1.40922,0,0.470411,0,All,#4682B4,0
4,40436,6.20054,0.48811,0.348694,0,0.00883259,0,All,#4682B4,0
5,40436,-4.65711,-0.606467,1.29315,0,0.452842,0,All,#4682B4,0
6,40436,8.32534,0.515262,0.308058,0,-0.0171701,0,All,#4682B4,0
7,40436,-6.70304,-0.581324,1.76234,0,0.56599,0,All,#4682B4,0
8,40436,5.57778,0.391866,0.509996,0,0.0697326,0,All,#4682B4,0
9,40436,-2.21216,-0.727166,1.83629,0,0.686222,0,All,#4682B4,0
10,40436,5.52739,0.378578,0.448184,0,0.046753,0,All,#4682B4,0
1,40491,0.318523,-0.0672612,-1.52732,0,-0.611695,0,All,#4682B4,0
2,40491,3.58574,0.567745,-1.1921,0,-0.518623,0,All,#4682B4,0
3,40491,0.606467,-0.108318,-1.50876,0,-0.636025,0,All,#4682B4,0
4,40491,0.482659,0.422302,-1.14682,0,-0.526588,0,All,#4682B4,0
5,40491,-7.63217,-0.279258,-1.62602,0,-0.700418,0,All,#4682B4,0
6,40491,-0.523736,0.375158,-1.24855,0,-0.556111,0,All,#4682B4,0
7,40491,-5.35515,-0.128613,-1.47804,0,-0.643485,0,All,#4682B4,0
8,40491,-2.20084,0.543968,-1.33313,0,-0.628204,0,All,#4682B4,0
9,40491,-2.00476,0.0453938,-1.48857,0,-0.579162,0,All,#4682B4,0
10,40491,-1.80006,0.420636,-1.22944,0,-0.569849,0,All,#4682B4,0
1,40737,0.70572,-0.0507226,-0.307076,0,-0.137396,0,All,#4682B4,0
2,40737,0.173159,0.322455,-0.708604,0,-0.191199,0,All,#4682B4,0
3,40737,-3.67013,0.300608,1.87145,0,0.714779,0,All,#4682B4,0
4,40737,-5.90434,-0.230084,1.30254,0,0.487647,0,All,#4682B4,0
5,40737,-4.42567,0.157901,1.79184,0,0.648756,0,All,#4682B4,0
6,40737,-16.82,-0.279506,-0.368269,0,-0.163458,0,All,#4682B4,0
7,40737,-9.10142,0.314934,-0.545791,0,-0.218794,0,All,#4682B4,0
8,40737,-7.37537,0.00780613,-0.67815,0,-0.253863,0,All,#4682B4,0
9,40737,-8.0077,0.269294,-0.323342,0,-0.151533,0,All,#4682B4,0
10,40737,-15.3238,0.0646078,-0.364055,0,-0.220767,0,All,#4682B4,0
