initT_abscissa,initT_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,dI_abscissa,dI_cdf,n_abscissa,n_cdf,split
-1.14008,0.104082,-1.38702,0.104082,-1.46136,0.104082,-1.14115,0.104082,-1.41661,0.104082,All
-1.13343,0.106122,-1.38413,0.106122,-1.45923,0.106122,-1.13803,0.106122,-1.41567,0.106122,All
-1.1323,0.108163,-1.37304,0.108163,-1.455,0.108163,-1.13184,0.108163,-1.40863,0.108163,All
-1.1302,0.110204,-1.37208,0.110204,-1.43568,0.110204,-1.09916,0.110204,-1.38713,0.110204,All
-1.11225,0.112245,-1.35891,0.112245,-1.41645,0.112245,-1.0949,0.112245,-1.38658,0.112245,All
-1.10741,0.114286,-1.35717,0.114286,-1.4139,0.114286,-1.08324,0.114286,-1.38196,0.114286,All
-1.09431,0.116327,-1.35506,0.116327,-1.39581,0.116327,-1.0641,0.116327,-1.38157,0.116327,All
-1.08628,0.118367,-1.35087,0.118367,-1.39346,0.118367,-1.06293,0.118367,-1.37479,0.118367,All
-1.07396,0.120408,-1.33267,0.120408,-1.37097,0.120408,-1.05994,0.120408,-1.37158,0.120408,All
-1.07221,0.122449,-1.32856,0.122449,-1.35392,0.122449,-1.05962,0.122449,-1.3661,0.122449,All
-1.07004,0.12449,-1.31433,0.12449,-1.34906,0.12449,-1.05862,0.12449,-1.36399,0.12449,All
-1.05738,0.126531,-1.30182,0.126531,-1.3261,0.126531,-1.0393,0.126531,-1.34909,0.126531,All
-1.03394,0.128571,-1.29414,0.128571,-1.31576,0.128571,-1.03267,0.128571,-1.3234,0.128571,All
-1.02372,0.130612,-1.27732,0.130612,-1.29731,0.130612,-1.03058,0.130612,-1.31934,0.130612,All
-1.0218,0.132653,-1.27715,0.132653,-1.29409,0.132653,-1.02467,0.132653,-1.29201,0.132653,All
-1.02066,0.134694,-1.27617,0.134694,-1.29105,0.134694,-1.02141,0.134694,-1.276,0.134694,All
-1.01823,0.136735,-1.27383,0.136735,-1.28877,0.136735,-1.01615,0.136735,-1.27504,0.136735,All
-1.0173,0.138776,-1.27334,0.138776,-1.28831,0.138776,-1.00562,0.138776,-1.27184,0.138776,All
-0.98909,0.140816,-1.27009,0.140816,-1.28273,0.140816,-1.00211,0.140816,-1.26355,0.140816,All
-0.989059,0.142857,-1.24875,0.142857,-1.27725,0.142857,-0.99537,0.142857,-1.24108,0.142857,All
-0.981536,0.144898,-1.24302,0.144898,-1.27415,0.144898,-0.992506,0.144898,-1.23003,0.144898,All
-0.977704,0.146939,-1.23605,0.146939,-1.26581,0.146939,-0.981985,0.146939,-1.21033,0.146939,All
-0.969608,0.14898,-1.2328,0.14898,-1.25944,0.14898,-0.976895,0.14898,-1.20431,0.14898,All
-0.967556,0.15102,-1.21452,0.15102,-1.25342,0.15102,-0.963909,0.15102,-1.20264,0.15102,All
-0.96742,0.153061,-1.20454,0.153061,-1.24748,0.153061,-0.958947,0.153061,-1.20116,0.153061,All
-0.95578,0.155102,-1.19936,0.155102,-1.24153,0.155102,-0.954124,0.155102,-1.19425,0.155102,All
-0.94599,0.157143,-1.17614,0.157143,-1.23032,0.157143,-0.947933,0.157143,-1.19328,0.157143,All
-0.930269,0.159184,-1.14803,0.159184,-1.21749,0.159184,-0.943068,0.159184,-1.17568,0.159184,All
-0.925768,0.161224,-1.14468,0.161224,-1.19464,0.161224,-0.940719,0.161224,-1.17514,0.161224,All
-0.908906,0.163265,-1.14455,0.163265,-1.1728,0.163265,-0.933073,0.163265,-1.16846,0.163265,All
-0.905128,0.165306,-1.14213,0.165306,-1.16922,0.165306,-0.930827,0.165306,-1.15799,0.165306,All
-0.902512,0.167347,-1.13329,0.167347,-1.13228,0.167347,-0.928962,0.167347,-1.15792,0.167347,All
-0.894773,0.169388,-1.13025,0.169388,-1.12336,0.169388,-0.922732,0.169388,-1.14763,0.169388,All
-0.887151,0.171429,-1.12462,0.171429,-1.11921,0.171429,-0.919033,0.171429,-1.14621,0.171429,All
