initT_abscissa,initT_pdf,initT_cdf,aS_abscissa,aS_pdf,aS_cdf,dS_abscissa,dS_pdf,dS_cdf,lBt0_abscissa,lBt0_pdf,lBt0_cdf,dI_abscissa,dI_pdf,dI_cdf,n_abscissa,n_pdf,n_cdf,split
-12.2698,0.0442549,0.6596,2.00325,0.0167454,0.995961,0.0506303,0.0405822,0.99918,-3.55792,0.136405,0.964563,6.81715,0.00319034,0.995857,0.474529,0.0452198,0.995084,All
-11.8937,0.0433912,0.676084,2.02643,0.015189,0.996331,0.0512963,0.038864,0.999207,-3.52146,0.121329,0.969259,6.90217,0.00297213,0.996119,0.480545,0.0425107,0.995348,All
-11.5176,0.0424568,0.692229,2.0496,0.0137785,0.996667,0.0519623,0.037236,0.999232,-3.48499,0.107482,0.973427,6.9872,0.00276992,0.996363,0.486561,0.0399804,0.995596,All
-11.1415,0.0414569,0.708011,2.07277,0.0125001,0.996971,0.0526283,0.0356925,0.999256,-3.44853,0.0948297,0.977111,7.07222,0.00258247,0.99659,0.492577,0.0376162,0.995829,All
-10.7654,0.0403972,0.723405,2.09595,0.0113415,0.997247,0.0532943,0.0342283,0.99928,-3.41207,0.0833276,0.980356,7.15724,0.00240862,0.996802,0.498593,0.0354061,0.996049,All
-10.3893,0.0392836,0.738391,2.11912,0.0102915,0.997497,0.0539604,0.0328385,0.999302,-3.3756,0.072924,0.983202,7.24226,0.00224733,0.997,0.504608,0.033339,0.996256,All
-10.0132,0.038122,0.752948,2.14229,0.00933973,0.997725,0.0546264,0.0315185,0.999323,-3.33914,0.0635607,0.985687,7.32728,0.00209763,0.997185,0.510624,0.031405,0.99645,All
-9.63711,0.0369185,0.76706,2.16547,0.00847709,0.997931,0.0552924,0.0302643,0.999344,-3.30268,0.0551751,0.987849,7.41231,0.00195862,0.997357,0.51664,0.0295946,0.996634,All
-9.26101,0.0356794,0.780713,2.18864,0.00769516,0.998118,0.0559584,0.0290719,0.999364,-3.26621,0.0477018,0.989722,7.49733,0.0018295,0.997518,0.522656,0.0278992,0.996807,All
-8.88492,0.0344109,0.793894,2.21181,0.00698633,0.998288,0.0566244,0.0279376,0.999383,-3.22975,0.0410737,0.991338,7.58235,0.00170952,0.997668,0.528672,0.0263108,0.99697,All
-8.50883,0.0331191,0.806593,2.23499,0.00634373,0.998442,0.0572904,0.0268581,0.999401,-3.19328,0.0352232,0.992727,7.66737,0.00159798,0.997809,0.534688,0.024822,0.997123,All
