initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,dI_abscissa,dI_cdf,n_abscissa,n_cdf,split
-28.8791,0.0877551,0.495768,0.0857143,8.55639e-05,0.0877551,-5.46649,0.0877551,0.723504,0.0857143,0.0372193,0.0857143,All
-28.5667,0.0897959,0.496267,0.0877551,8.75978e-05,0.0897959,-5.46033,0.0897959,0.724573,0.0877551,0.0374215,0.0877551,All
-28.4448,0.0918367,0.496441,0.0897959,8.76567e-05,0.0918367,-5.45446,0.0918367,0.727307,0.0897959,0.0374732,0.0897959,All
-28.2665,0.0938776,0.496808,0.0918367,8.7788e-05,0.0938776,-5.4515,0.0938776,0.732689,0.0918367,0.0375914,0.0918367,All
-28.0255,0.0959184,0.496926,0.0938776,8.78022e-05,0.0959184,-5.43813,0.0959184,0.734488,0.0938776,0.0377675,0.0938776,All
-27.8794,0.0979592,0.497015,0.0959184,8.78457e-05,0.0979592,-5.43712,0.0979592,0.746138,0.0959184,0.0377878,0.0959184,All
-27.7364,0.1,0.497381,0.0979592,8.78499e-05,0.1,-5.43536,0.1,0.766879,0.0979592,0.037945,0.0979592,All
-27.5088,0.102041,0.501469,0.1,8.97852e-05,0.102041,-5.43151,0.102041,0.776632,0.1,0.0380002,0.1,All
-27.4613,0.104082,0.504494,0.102041,9.11884e-05,0.104082,-5.4301,0.104082,0.778446,0.102041,0.0380588,0.102041,All
-27.3935,0.106122,0.50496,0.104082,9.19611e-05,0.106122,-5.42946,0.106122,0.784698,0.104082,0.0381104,0.104082,All
-27.3901,0.108163,0.505696,0.106122,9.53693e-05,0.108163,-5.41082,0.108163,0.786118,0.106122,0.038177,0.106122,All
-27.3825,0.110204,0.507357,0.108163,9.58256e-05,0.110204,-5.41028,0.110204,0.790537,0.108163,0.0382468,0.108163,All
-27.2809,0.112245,0.507945,0.110204,9.64999e-05,0.112245,-5.40762,0.112245,0.790969,0.110204,0.0383601,0.110204,All
-27.0556,0.114286,0.508431,0.112245,9.76596e-05,0.114286,-5.40613,0.114286,0.798051,0.112245,0.0387452,0.112245,All
-26.9458,0.116327,0.509713,0.114286,9.90403e-05,0.116327,-5.397,0.116327,0.80308,0.114286,0.0388148,0.114286,All
-26.943,0.118367,0.512822,0.116327,9.94163e-05,0.118367,-5.39252,0.118367,0.806823,0.116327,0.0389113,0.116327,All
-26.9186,0.120408,0.514308,0.118367,9.95302e-05,0.120408,-5.39181,0.120408,0.806923,0.118367,0.0391295,0.118367,All
-26.9097,0.122449,0.514926,0.120408,0.00010001,0.122449,-5.38495,0.122449,0.809083,0.120408,0.0392258,0.120408,All
-26.9036,0.12449,0.51739,0.122449,0.000100741,0.12449,-5.37618,0.12449,0.811003,0.122449,0.0393041,0.122449,All
-26.8383,0.126531,0.519463,0.12449,0.0001013,0.126531,-5.36314,0.126531,0.811632,0.12449,0.0395747,0.12449,All
-26.8018,0.128571,0.521938,0.126531,0.000102497,0.128571,-5.32715,0.128571,0.81385,0.126531,0.0404166,0.126531,All
-26.7817,0.130612,0.523158,0.128571,0.000105774,0.130612,-5.32187,0.130612,0.81473,0.128571,0.0408975,0.128571,All
-26.5909,0.132653,0.524848,0.130612,0.000108148,0.132653,-5.32065,0.132653,0.820485,0.130612,0.0409033,0.130612,All
-26.5682,0.134694,0.527033,0.132653,0.0001087,0.134694,-5.31611,0.134694,0.821283,0.132653,0.0409408,0.132653,All
-26.5429,0.136735,0.528016,0.134694,0.000112575,0.136735,-5.31498,0.136735,0.824159,0.134694,0.0410717,0.134694,All
-26.4572,0.138776,0.528433,0.136735,0.000113496,0.138776,-5.30234,0.138776,0.82563,0.136735,0.0411986,0.136735,All
-26.3809,0.140816,0.529669,0.138776,0.00011702,0.140816,-5.30085,0.140816,0.829625,0.138776,0.0412013,0.138776,All
-26.3448,0.142857,0.530236,0.140816,0.000123296,0.142857,-5.29587,0.142857,0.830417,0.140816,0.0412798,0.140816,All
-26.2409,0.144898,0.532762,0.142857,0.000124294,0.144898,-5.29201,0.144898,0.837833,0.142857,0.0413939,0.142857,All
-26.1423,0.146939,0.535182,0.144898,0.000124917,0.146939,-5.28802,0.146939,0.84338,0.144898,0.0413961,0.144898,All
-25.9721,0.14898,0.535625,0.146939,0.000126708,0.14898,-5.28682,0.14898,0.852788,0.146939,0.0416298,0.146939,All
-25.9221,0.15102,0.539164,0.14898,0.000127311,0.15102,-5.28414,0.15102,0.859816,0.14898,0.0416502,0.14898,All
-25.7829,0.153061,0.539591,0.15102,0.000127362,0.153061,-5.28321,0.153061,0.861994,0.15102,0.0417563,0.15102,All
-25.0914,0.155102,0.540109,0.153061,0.000128741,0.155102,-5.27757,0.155102,0.868212,0.153061,0.0423556,0.153061,All
-24.9378,0.157143,0.541614,0.155102,0.000132472,0.157143,-5.26685,0.157143,0.873142,0.155102,0.042696,0.155102,All
-24.9127,0.159184,0.548037,0.157143,0.000134409,0.159184,-5.26568,0.159184,0.875934,0.157143,0.0429235,0.157143,All
-24.8943,0.161224,0.555024,0.159184,0.000135379,0.161224,-5.26538,0.161224,0.880768,0.159184,0.0429887,0.159184,All
-24.8827,0.163265,0.555547,0.161224,0.000135493,0.163265,-5.26154,0.163265,0.884255,0.161224,0.0431112,0.161224,All
-24.7787,0.165306,0.557339,0.163265,0.000136703,0.165306,-5.25854,0.165306,0.89646,0.163265,0.0431115,0.163265,All
-24.7299,0.167347,0.558194,0.165306,0.000136719,0.167347,-5.25047,0.167347,0.897249,0.165306,0.0438137,0.165306,All
-24.6405,0.169388,0.55863,0.167347,0.000137611,0.169388,-5.24591,0.169388,0.900292,0.167347,0.0439692,0.167347,All
-24.295,0.171429,0.560387,0.169388,0.000143043,0.171429,-5.24574,0.171429,0.902829,0.169388,0.044014,0.169388,All
-24.1596,0.173469,0.562555,0.171429,0.000149422,0.173469,-5.23653,0.173469,0.903742,0.171429,0.0440532,0.171429,All
-24.1455,0.17551,0.563652,0.173469,0.000151748,0.17551,-5.23508,0.17551,0.909958,0.173469,0.0442669,0.173469,All
-24.0105,0.177551,0.564195,0.17551,0.00015203,0.177551,-5.23482,0.177551,0.912402,0.17551,0.0442763,0.17551,All
-23.8629,0.179592,0.564559,0.177551,0.000152221,0.179592,-5.22762,0.179592,0.914302,0.177551,0.0443876,0.177551,All
-23.685,0.181633,0.565066,0.179592,0.000152975,0.181633,-5.22291,0.181633,0.918663,0.179592,0.0446631,0.179592,All
-23.6611,0.183673,0.565227,0.181633,0.000153272,0.183673,-5.2198,0.183673,0.918683,0.181633,0.0448417,0.181633,All
-23.6604,0.185714,0.56632,0.183673,0.000155326,0.185714,-5.21551,0.185714,0.921761,0.183673,0.0454543,0.183673,All
-23.3488,0.187755,0.566379,0.185714,0.00015697,0.187755,-5.20414,0.187755,0.922624,0.185714,0.0456705,0.185714,All
-23.3094,0.189796,0.567644,0.187755,0.000160147,0.189796,-5.20329,0.189796,0.923801,0.187755,0.0458275,0.187755,All
-23.2106,0.191837,0.570096,0.189796,0.000162161,0.191837,-5.17899,0.191837,0.927858,0.189796,0.0459325,0.189796,All
-23.1109,0.193878,0.572291,0.191837,0.000167473,0.193878,-5.1748,0.193878,0.93433,0.191837,0.0460701,0.191837,All
-23.0526,0.195918,0.572538,0.193878,0.000169974,0.195918,-5.17075,0.195918,0.939228,0.193878,0.0461072,0.193878,All
-22.9516,0.197959,0.572792,0.195918,0.000177203,0.197959,-5.17055,0.197959,0.946237,0.195918,0.0462839,0.195918,All
-22.9044,0.2,0.572988,0.197959,0.000180096,0.2,-5.16144,0.2,0.94739,0.197959,0.0470504,0.197959,All
-22.7837,0.202041,0.574911,0.2,0.000180732,0.202041,-5.15986,0.202041,0.948639,0.2,0.0471577,0.2,All
-22.6638,0.204082,0.575126,0.202041,0.000181304,0.204082,-5.15817,0.204082,0.957269,0.202041,0.0474109,0.202041,All
-22.3803,0.206122,0.576475,0.204082,0.000181447,0.206122,-5.15576,0.206122,0.957674,0.204082,0.0476517,0.204082,All
-22.3057,0.208163,0.577652,0.206122,0.000187125,0.208163,-5.15293,0.208163,0.959777,0.206122,0.0478326,0.206122,All
-22.2636,0.210204,0.578804,0.208163,0.000188277,0.210204,-5.14823,0.210204,0.97318,0.208163,0.0478689,0.208163,All
-22.0917,0.212245,0.579313,0.210204,0.000195563,0.212245,-5.1477,0.212245,0.980622,0.210204,0.0480295,0.210204,All
-22.0545,0.214286,0.584127,0.212245,0.000197462,0.214286,-5.12794,0.214286,0.987933,0.212245,0.0481693,0.212245,All
-21.9137,0.216327,0.584406,0.214286,0.000197569,0.216327,-5.11818,0.216327,0.993563,0.214286,0.0481895,0.214286,All
-21.7715,0.218367,0.584648,0.216327,0.000198384,0.218367,-5.11186,0.218367,0.994477,0.216327,0.0482748,0.216327,All
-21.6602,0.220408,0.58528,0.218367,0.000201272,0.220408,-5.11022,0.220408,0.997616,0.218367,0.0486144,0.218367,All
-21.5816,0.222449,0.587501,0.220408,0.000203882,0.222449,-5.09613,0.222449,1.00603,0.220408,0.0491646,0.220408,All
-21.3299,0.22449,0.588334,0.222449,0.000203903,0.22449,-5.09419,0.22449,1.02519,0.222449,0.0495233,0.222449,All
-21.286,0.226531,0.588924,0.22449,0.000204021,0.226531,-5.0838,0.226531,1.02774,0.22449,0.049671,0.22449,All
-21.2557,0.228571,0.589615,0.226531,0.000207815,0.228571,-5.07722,0.228571,1.03055,0.226531,0.0497046,0.226531,All
-21.0989,0.230612,0.589685,0.228571,0.000208929,0.230612,-5.07718,0.230612,1.03782,0.228571,0.049768,0.228571,All
-21.0883,0.232653,0.589761,0.230612,0.000212252,0.232653,-5.06422,0.232653,1.0419,0.230612,0.050133,0.230612,All
-21.0807,0.234694,0.589878,0.232653,0.000216775,0.234694,-5.06291,0.234694,1.04466,0.232653,0.0502395,0.232653,All
-21.0749,0.236735,0.590617,0.234694,0.000218606,0.236735,-5.05086,0.236735,1.04736,0.234694,0.0504423,0.234694,All
-21.0324,0.238776,0.590663,0.236735,0.000221177,0.238776,-5.05016,0.238776,1.05071,0.236735,0.0504579,0.236735,All
-21,0.240816,0.593741,0.238776,0.000226209,0.240816,-5.04781,0.240816,1.0531,0.238776,0.0504955,0.238776,All
-20.9211,0.242857,0.595212,0.240816,0.000231557,0.242857,-5.04345,0.242857,1.05366,0.240816,0.0507382,0.240816,All
-20.7945,0.244898,0.595453,0.242857,0.000233192,0.244898,-5.03993,0.244898,1.06236,0.242857,0.0508068,0.242857,All
-20.7196,0.246939,0.596217,0.244898,0.000235325,0.246939,-5.03764,0.246939,1.0721,0.244898,0.0510903,0.244898,All
-20.3344,0.24898,0.599819,0.246939,0.000238226,0.24898,-5.03218,0.24898,1.07265,0.246939,0.0511433,0.246939,All
-20.324,0.25102,0.600602,0.24898,0.000239318,0.25102,-5.03018,0.25102,1.07697,0.24898,0.0512553,0.24898,All
-20.2175,0.253061,0.60324,0.25102,0.000240282,0.253061,-5.02926,0.253061,1.07994,0.25102,0.0512871,0.25102,All
-20.2002,0.255102,0.603929,0.253061,0.00024234,0.255102,-5.02894,0.255102,1.08583,0.253061,0.0515653,0.253061,All
-20.1514,0.257143,0.608933,0.255102,0.000242544,0.257143,-5.02126,0.257143,1.0929,0.255102,0.0518856,0.255102,All
-20.1159,0.259184,0.609879,0.257143,0.000243097,0.259184,-5.02114,0.259184,1.09706,0.257143,0.052819,0.257143,All
-20.1029,0.261224,0.611661,0.259184,0.000246981,0.261224,-5.0186,0.261224,1.0975,0.259184,0.0537161,0.259184,All
-19.989,0.263265,0.618501,0.261224,0.000249563,0.263265,-5.01524,0.263265,1.09856,0.261224,0.0537239,0.261224,All
-19.9714,0.265306,0.619487,0.263265,0.000252046,0.265306,-5.01455,0.265306,1.09894,0.263265,0.0538186,0.263265,All
-19.8925,0.267347,0.619519,0.265306,0.000252975,0.267347,-5.00599,0.267347,1.1023,0.265306,0.0543001,0.265306,All
-19.6627,0.269388,0.62082,0.267347,0.000252976,0.269388,-5.00482,0.269388,1.10263,0.267347,0.0546184,0.267347,All
-19.659,0.271429,0.623062,0.269388,0.0002564,0.271429,-5.00216,0.271429,1.1028,0.269388,0.0549816,0.269388,All
-19.6112,0.273469,0.623096,0.271429,0.000257096,0.273469,-4.99297,0.273469,1.10343,0.271429,0.0552866,0.271429,All
-19.5467,0.27551,0.624751,0.273469,0.000260572,0.27551,-4.97445,0.27551,1.10572,0.273469,0.0557007,0.273469,All
-19.4503,0.277551,0.624944,0.27551,0.000261488,0.277551,-4.97413,0.277551,1.10646,0.27551,0.0566214,0.27551,All
