initT_abscissa,initT_pdf,initT_cdf,aS_abscissa,aS_pdf,aS_cdf,dS_abscissa,dS_pdf,dS_cdf,lBt0_abscissa,lBt0_pdf,lBt0_cdf,dI_abscissa,dI_pdf,dI_cdf,w_abscissa,w_pdf,w_cdf,split
-7.31745,0.0987101,0.160197,1.8293,0.297593,0.986079,0.0082982,52.4674,0.980114,-4.04292,4.79339,0.638347,0.547829,0.810965,0.308083,0.179129,1.13998,0.940801,All
-7.1569,0.105082,0.176557,1.84601,0.214955,0.990329,0.00839156,41.9315,0.984505,-4.03185,4.51349,0.689934,0.557419,0.823172,0.315919,0.182341,1.06682,0.944343,All
-6.99635,0.111392,0.193935,1.86271,0.152766,0.993374,0.00848492,33.2585,0.988001,-4.02078,4.16555,0.738029,0.567009,0.83583,0.323873,0.185553,0.998597,0.947659,All
-6.8358,0.117582,0.212318,1.87942,0.10687,0.995523,0.00857828,26.1877,0.990765,-4.00971,3.76809,0.78198,0.576599,0.848966,0.331951,0.188765,0.934961,0.950763,All
-6.67524,0.123591,0.231681,1.89612,0.0736266,0.997015,0.00867164,20.4757,0.992933,-3.99864,3.34088,0.821349,0.586189,0.862606,0.340158,0.191977,0.875599,0.95367,All
-6.51469,0.129358,0.251991,1.91283,0.0499741,0.998036,0.008765,15.9014,0.994623,-3.98757,2.90329,0.855913,0.595779,0.876779,0.348498,0.195189,0.820214,0.956393,All
-6.35414,0.134822,0.273202,1.92953,0.0334325,0.998724,0.00885837,12.2686,0.995932,-3.9765,2.47292,0.885657,0.605369,0.891517,0.356976,0.198401,0.768533,0.958943,All
-6.19359,0.139923,0.295263,1.94624,0.0220537,0.999182,0.00895173,9.40622,0.996938,-3.96543,2.06452,0.910747,0.614959,0.906854,0.365599,0.201613,0.720299,0.961333,All
-6.03304,0.144603,0.318109,1.96294,0.01435,0.999482,0.00904509,7.16797,0.997708,-3.95436,1.68935,0.931491,0.624549,0.922827,0.374372,0.204825,0.675274,0.963574,All
-5.87249,0.148809,0.34167,1.97965,0.00921393,0.999675,0.00913845,5.43039,0.998292,-3.94329,1.3549,0.948302,0.634139,0.939475,0.383301,0.208038,0.633236,0.965675,All
-5.71194,0.152489,0.365864,1.99635,0.00584007,0.999799,0.00923181,4.0908,0.998734,-3.93222,1.06509,0.961655,0.643729,0.95684,0.392393,0.21125,0.593978,0.967645,All
-5.55139,0.155599,0.390603,2.01306,0.00365531,0.999877,0.00932517,3.0649,0.999066,-3.92115,0.820648,0.972052,0.653319,0.97497,0.401655,0.214462,0.557308,0.969493,All
-5.39084,0.158102,0.415794,2.02976,0.00226003,0.999926,0.00941853,2.28421,0.999314,-3.91008,0.619749,0.979986,0.662909,0.993916,0.411096,0.217674,0.523048,0.971228,All
-5.23029,0.159967,0.441336,2.04647,0.0013808,0.999956,0.00951189,1.69375,0.999498,-3.89901,0.458738,0.985921,0.672499,1.01373,0.420721,0.220886,0.491031,0.972856,All
-5.06974,0.161169,0.467124,2.06317,0.000833905,0.999974,0.00960526,1.24977,0.999635,-3.88794,0.332816,0.990273,0.682089,1.03448,0.430542,0.224098,0.461105,0.974384,All
-4.90919,0.161694,0.493051,2.07988,0.000497971,0.999985,0.00969862,0.917814,0.999735,-3.87687,0.236664,0.9934,0.691679,1.05622,0.440566,0.22731,0.433125,0.97582,All
-4.74864,0.161535,0.519008,2.09658,0.000294121,0.999991,0.00979198,0.670955,0.999809,-3.86579,0.16495,0.995603,0.701269,1.07903,0.450803,0.230522,0.406958,0.977169,All
-4.58809,0.160694,0.544884,2.11328,0.000171873,0.999995,0.00988534,0.488332,0.999862,-3.85472,0.112684,0.997124,0.710859,1.10299,0.461265,0.233734,0.38248,0.978436,All
-4.42754,0.159181,0.570571,2.12999,9.93979e-05,0.999997,0.0099787,0.353905,0.999901,-3.84365,0.07545,0.998153,0.720449,1.12818,0.471963,0.236946,0.359577,0.979628,All
-4.26699,0.157017,0.595962,2.14669,5.69051e-05,0.999998,0.0100721,0.255429,0.99993,-3.83258,0.0495163,0.998836,0.730039,1.1547,0.482908,0.240158,0.338141,0.980748,All
-4.10644,0.154227,0.620956,2.1634,3.22587e-05,0.999999,0.0101654,0.183623,0.99995,-3.82151,0.0318512,0.99928,0.739629,1.18267,0.494114,0.24337,0.318073,0.981801,All
-3.94588,0.150847,0.645453,2.1801,1.81124e-05,0.999999,0.0102588,0.131498,0.999964,-3.81044,0.0200814,0.999563,0.749218,1.21219,0.505596,0.246582,0.29928,0.982792,All
-3.78533,0.146917,0.669363,2.19681,1.00752e-05,1,0.0103521,0.0938208,0.999975,-3.79937,0.0124095,0.999739,0.758808,1.2434,0.51737,0.249794,0.281678,0.983725,All
-3.62478,0.142484,0.692601,2.21351,5.55363e-06,1,0.0104455,0.0666999,0.999982,-3.7883,0.00751626,0.999848,0.768398,1.27645,0.529451,0.253006,0.265185,0.984603,All
-3.46423,0.137602,0.715091,2.23022,3.03429e-06,1,0.0105389,0.0472552,0.999988,-3.77723,0.00446211,0.999913,0.777988,1.3115,0.541858,0.256219,0.249728,0.98543,All
-3.30368,0.132324,0.736764,2.24692,1.64358e-06,1,0.0106322,0.0333675,0.999991,-3.76616,0.00259638,0.999951,0.787578,1.34875,0.554612,0.259431,0.235238,0.986209,All
-3.14313,0.126712,0.757563,2.26363,8.82832e-07,1,0.0107256,0.0234854,0.999994,-3.75509,0.00148077,0.999973,0.797168,1.38839,0.567735,0.262643,0.22165,0.986942,All
-2.98258,0.120825,0.777437,2.28033,4.7034e-07,1,0.010819,0.0164785,0.999996,-3.74402,0.000827742,0.999985,0.806758,1.43067,0.58125,0.265855,0.208905,0.987633,All
-2.82203,0.114724,0.796348,2.29704,2.48591e-07,1,0.0109123,0.0115274,0.999997,-3.73295,0.000453516,0.999992,0.816348,1.47586,0.595184,0.269067,0.196947,0.988285,All
-2.66148,0.108471,0.814267,2.31374,1.30373e-07,1,0.0110057,0.00804046,0.999998,-3.72188,0.000243546,0.999996,0.825938,1.52427,0.609567,0.272279,0.185724,0.988899,All
-2.50093,0.102125,0.831173,2.33045,6.78587e-08,1,0.011099,0.00559258,0.999999,-3.71081,0.000128191,0.999998,0.835528,1.57625,0.624431,0.275491,0.175189,0.989479,All
-2.34038,0.0957439,0.847057,2.34715,3.5061e-08,1,0.0111924,0.00387941,0.999999,-3.69974,6.61343e-05,0.999999,0.845118,1.63221,0.639812,0.278703,0.165297,0.990025,All
-2.17983,0.0893822,0.861918,2.36386,1.79856e-08,1,0.0112858,0.00268399,0.999999,-3.68867,3.34414e-05,0.999999,0.854708,1.69262,0.655751,0.281915,0.156004,0.990541,All
-2.01928,0.0830906,0.875762,2.38056,9.16197e-09,1,0.0113791,0.00185225,1,-3.6776,1.65742e-05,1,0.864298,1.75803,0.672293,0.285127,0.147274,0.991028,All
-1.85873,0.0769153,0.888604,2.39727,4.63547e-09,1,0.0114725,0.00127513,1,-3.66653,8.05138e-06,1,0.873888,1.82906,0.689488,0.288339,0.13907,0.991488,All
-1.69818,0.0708981,0.900468,2.41397,2.32978e-09,1,0.0115658,0.000875763,1,-3.65546,3.83352e-06,1,0.883478,1.90647,0.707394,0.291551,0.131357,0.991922,All
-1.53763,0.0650753,0.91138,2.43068,1.16339e-09,1,0.0116592,0.000600107,1,-3.64438,1.78902e-06,1,0.893068,1.99111,0.726077,0.294763,0.124104,0.992332,All
-1.37708,0.0594783,0.921376,2.44738,5.77298e-10,1,0.0117526,0.000410314,1,-3.63331,8.1832e-07,1,0.902658,2.08398,0.74561,0.297975,0.117283,0.99272,All
-1.21653,0.054133,0.930492,2.46409,2.84711e-10,1,0.0118459,0.00027995,1,-3.62224,3.66877e-07,1,0.912248,2.18624,0.766078,0.301187,0.110865,0.993086,All
-1.05597,0.0490597,0.938772,2.48079,1.39576e-10,1,0.0119393,0.000190614,1,-3.61117,1.61216e-07,1,0.921838,2.29918,0.787576,0.304399,0.104826,0.993433,All
-0.895424,0.044274,0.946261,2.4975,6.80268e-11,1,0.0120326,0.00012953,1,-3.6001,6.94361e-08,1,0.931428,2.42418,0.810214,0.307612,0.0991405,0.99376,All
-0.734873,0.0397863,0.953005,2.5142,3.29671e-11,1,0.012126,8.78525e-05,1,-3.58903,2.93125e-08,1,0.941018,2.56244,0.834114,0.310824,0.0937874,0.99407,All
-0.574323,0.0356023,0.959053,2.53091,1.58882e-11,1,0.0122194,5.94756e-05,1,-3.57796,1.21286e-08,1,0.950608,2.71443,0.859406,0.314036,0.0887457,0.994363,All
-0.413772,0.0317237,0.964453,2.54761,7.61594e-12,1,0.0123127,4.0193e-05,1,-3.56689,4.91877e-09,1,0.960198,2.878,0.886215,0.317248,0.0839961,0.99464,All
-0.253222,0.0281481,0.969255,2.56432,3.63149e-12,1,0.0124061,2.71154e-05,1,-3.55582,1.95521e-09,1,0.969788,3.04275,0.914612,0.32046,0.0795203,0.994903,All
-0.0926711,0.02487,0.973507,2.58102,1.72274e-12,1,0.0124995,1.82626e-05,1,-3.54475,7.61765e-10,1,0.979378,3.16909,0.944462,0.323672,0.0753016,0.995151,All
0.0678795,0.0218808,0.977257,2.59773,8.13168e-13,1,0.0125928,1.22805e-05,1,-3.53368,2.90896e-10,1,0.988968,3.08176,0.974774,0.326884,0.0713241,0.995387,All
0.22843,0.0191695,0.980548,2.61443,3.81967e-13,1,0.0126862,8.24522e-06,1,-3.52261,1.08879e-10,1,0.998558,1.20446,0.999106,0.330096,0.067573,0.99561,All
