initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,dI_abscissa,dI_cdf,w_abscissa,w_cdf,split
-8.16948,0.0862745,1.45654,0.0843137,0.00565674,0.0843137,-4.17378,0.0843137,0.211306,0.0862745,0.0346063,0.0862745,All
-8.15486,0.0882353,1.45799,0.0862745,0.00567681,0.0862745,-4.17301,0.0862745,0.219284,0.0882353,0.035,0.0882353,All
-8.05789,0.0901961,1.45801,0.0882353,0.00568371,0.0882353,-4.17275,0.0882353,0.221466,0.0901961,0.0351627,0.0901961,All
-8.04506,0.0921569,1.45939,0.0901961,0.0056839,0.0901961,-4.17269,0.0901961,0.221699,0.0921569,0.0351679,0.0921569,All
-8.01548,0.0941176,1.4604,0.0921569,0.00569098,0.0921569,-4.17212,0.0921569,0.223338,0.0941176,0.0354243,0.0941176,All
-8.00614,0.0960784,1.46094,0.0941176,0.00569797,0.0941176,-4.17058,0.0941176,0.223731,0.0960784,0.0355458,0.0960784,All
-7.96871,0.0980392,1.46218,0.0960784,0.00570295,0.0960784,-4.17056,0.0960784,0.224011,0.0980392,0.0356518,0.0980392,All
-7.93016,0.1,1.46484,0.0980392,0.00570355,0.0980392,-4.1696,0.0980392,0.225134,0.1,0.0362237,0.1,All
-7.9207,0.101961,1.4649,0.1,0.00570641,0.1,-4.1695,0.1,0.226645,0.101961,0.0366064,0.101961,All
-7.85519,0.103922,1.46506,0.101961,0.00570654,0.101961,-4.1686,0.101961,0.227714,0.103922,0.0366911,0.103922,All
-7.81562,0.105882,1.46553,0.103922,0.00571742,0.103922,-4.16677,0.103922,0.229103,0.105882,0.0367986,0.105882,All
-7.76926,0.107843,1.46638,0.105882,0.00573811,0.105882,-4.16647,0.105882,0.230356,0.107843,0.036891,0.107843,All
-7.7645,0.109804,1.46659,0.107843,0.00574325,0.107843,-4.1663,0.107843,0.246844,0.109804,0.0370697,0.109804,All
-7.75459,0.111765,1.46702,0.109804,0.0057464,0.109804,-4.16592,0.109804,0.250725,0.111765,0.0371814,0.111765,All
-7.74722,0.113725,1.46745,0.111765,0.00575107,0.111765,-4.16576,0.111765,0.251027,0.113725,0.037293,0.113725,All
-7.71616,0.115686,1.46753,0.113725,0.00575649,0.113725,-4.16485,0.113725,0.252664,0.115686,0.037325,0.115686,All
-7.70873,0.117647,1.46838,0.115686,0.00576738,0.115686,-4.16393,0.115686,0.252861,0.117647,0.0376082,0.117647,All
-7.62908,0.119608,1.46892,0.117647,0.00577453,0.117647,-4.16339,0.117647,0.255709,0.119608,0.0377276,0.119608,All
-7.6209,0.121569,1.47076,0.119608,0.00577921,0.119608,-4.16288,0.119608,0.256562,0.121569,0.0377865,0.121569,All
-7.6144,0.123529,1.47208,0.121569,0.00578148,0.121569,-4.1622,0.121569,0.25895,0.123529,0.0378416,0.123529,All
-7.54012,0.12549,1.47292,0.123529,0.0057898,0.123529,-4.16197,0.123529,0.260297,0.12549,0.0379824,0.12549,All
-7.52385,0.127451,1.47603,0.12549,0.0058209,0.12549,-4.16108,0.12549,0.263867,0.127451,0.0380364,0.127451,All
-7.45942,0.129412,1.47714,0.127451,0.00582158,0.127451,-4.16047,0.127451,0.265206,0.129412,0.0381843,0.129412,All
-7.45792,0.131373,1.47751,0.129412,0.0058246,0.129412,-4.15978,0.129412,0.265731,0.131373,0.0381952,0.131373,All
-7.42174,0.133333,1.4799,0.131373,0.00583083,0.131373,-4.15943,0.131373,0.268279,0.133333,0.0384375,0.133333,All
-7.33032,0.135294,1.48009,0.133333,0.00583196,0.133333,-4.15875,0.133333,0.268537,0.135294,0.0385235,0.135294,All
-7.31417,0.137255,1.48028,0.135294,0.0058434,0.135294,-4.15626,0.135294,0.269225,0.137255,0.0388165,0.137255,All
-7.31358,0.139216,1.48287,0.137255,0.00584479,0.137255,-4.15517,0.137255,0.277621,0.139216,0.0388275,0.139216,All
-7.299,0.141176,1.48319,0.139216,0.00584792,0.139216,-4.15486,0.139216,0.277949,0.141176,0.0388654,0.141176,All
-7.28857,0.143137,1.48325,0.141176,0.00585263,0.141176,-4.15484,0.141176,0.278877,0.143137,0.0390146,0.143137,All
-7.28773,0.145098,1.48387,0.143137,0.00585528,0.143137,-4.1536,0.143137,0.280063,0.145098,0.0392521,0.145098,All
-7.27495,0.147059,1.48476,0.145098,0.00585644,0.145098,-4.15236,0.145098,0.28043,0.147059,0.0394674,0.147059,All
-7.27419,0.14902,1.4848,0.147059,0.00585838,0.147059,-4.15235,0.147059,0.282012,0.14902,0.0395001,0.14902,All
-7.26885,0.15098,1.48647,0.14902,0.00585853,0.14902,-4.1522,0.14902,0.284876,0.15098,0.0398558,0.15098,All
-7.2135,0.152941,1.4867,0.15098,0.00586805,0.15098,-4.15196,0.15098,0.287732,0.152941,0.0399282,0.152941,All
-7.14638,0.154902,1.48674,0.152941,0.00587086,0.152941,-4.15186,0.152941,0.290226,0.154902,0.0399966,0.154902,All
-7.1417,0.156863,1.48874,0.154902,0.00587218,0.154902,-4.15039,0.154902,0.291459,0.156863,0.0401365,0.156863,All
-7.13704,0.158824,1.48985,0.156863,0.00587274,0.156863,-4.15024,0.156863,0.293827,0.158824,0.0402539,0.158824,All
-7.13068,0.160784,1.49123,0.158824,0.00587385,0.158824,-4.14862,0.158824,0.294655,0.160784,0.0403928,0.160784,All
-7.1038,0.162745,1.49173,0.160784,0.00587757,0.160784,-4.14804,0.160784,0.295491,0.162745,0.0404793,0.162745,All
-7.06229,0.164706,1.49295,0.162745,0.00587817,0.162745,-4.14759,0.162745,0.298457,0.164706,0.0404959,0.164706,All
-6.99704,0.166667,1.4938,0.164706,0.00589115,0.164706,-4.14743,0.164706,0.300312,0.166667,0.0409185,0.166667,All
-6.98674,0.168627,1.49407,0.166667,0.00589436,0.166667,-4.1474,0.166667,0.303762,0.168627,0.0410493,0.168627,All
-6.9817,0.170588,1.4947,0.168627,0.00589904,0.168627,-4.14705,0.168627,0.304073,0.170588,0.0410953,0.170588,All
-6.94959,0.172549,1.49596,0.170588,0.00590397,0.170588,-4.14695,0.170588,0.304499,0.172549,0.0417769,0.172549,All
-6.94182,0.17451,1.49691,0.172549,0.00590908,0.172549,-4.14652,0.172549,0.306362,0.17451,0.041846,0.17451,All
-6.92247,0.176471,1.49729,0.17451,0.00591016,0.17451,-4.14519,0.17451,0.306813,0.176471,0.0420281,0.176471,All
-6.91678,0.178431,1.49943,0.176471,0.00591021,0.176471,-4.14432,0.176471,0.307082,0.178431,0.0422789,0.178431,All
-6.88981,0.180392,1.50013,0.178431,0.00592809,0.178431,-4.1443,0.178431,0.310666,0.180392,0.0428108,0.180392,All
-6.87678,0.182353,1.50029,0.180392,0.00593114,0.180392,-4.14412,0.180392,0.312747,0.182353,0.0431728,0.182353,All
-6.86967,0.184314,1.50196,0.182353,0.00593169,0.182353,-4.14374,0.182353,0.316273,0.184314,0.0433512,0.184314,All
-6.86376,0.186275,1.50273,0.184314,0.0059351,0.184314,-4.14241,0.184314,0.32041,0.186275,0.0433586,0.186275,All
-6.86115,0.188235,1.5046,0.186275,0.00595343,0.186275,-4.14213,0.186275,0.321081,0.188235,0.0435322,0.188235,All
-6.85382,0.190196,1.5052,0.188235,0.0059647,0.188235,-4.14194,0.188235,0.330402,0.190196,0.0437461,0.190196,All
-6.84595,0.192157,1.50526,0.190196,0.00596868,0.190196,-4.14178,0.190196,0.333566,0.192157,0.04408,0.192157,All
-6.81285,0.194118,1.50622,0.192157,0.00597455,0.192157,-4.14117,0.192157,0.33777,0.194118,0.0441045,0.194118,All
-6.80705,0.196078,1.50677,0.194118,0.00597792,0.194118,-4.14065,0.194118,0.339931,0.196078,0.044189,0.196078,All
-6.80688,0.198039,1.50706,0.196078,0.00598745,0.196078,-4.14007,0.196078,0.342482,0.198039,0.0441985,0.198039,All
-6.76476,0.2,1.50809,0.198039,0.00598872,0.198039,-4.13997,0.198039,0.349251,0.2,0.0444568,0.2,All
-6.73515,0.201961,1.50945,0.2,0.00599793,0.2,-4.13966,0.2,0.350134,0.201961,0.0447043,0.201961,All
-6.73318,0.203922,1.50949,0.201961,0.00600402,0.201961,-4.13902,0.201961,0.351384,0.203922,0.0447259,0.203922,All
-6.65815,0.205882,1.5096,0.203922,0.00602674,0.203922,-4.13872,0.203922,0.354199,0.205882,0.0447402,0.205882,All
-6.65576,0.207843,1.50963,0.205882,0.00603111,0.205882,-4.13849,0.205882,0.361619,0.207843,0.0447641,0.207843,All
-6.65383,0.209804,1.50994,0.207843,0.00603364,0.207843,-4.13756,0.207843,0.364267,0.209804,0.0449033,0.209804,All
-6.59367,0.211765,1.511,0.209804,0.00603717,0.209804,-4.13735,0.209804,0.365073,0.211765,0.0453216,0.211765,All
-6.58449,0.213725,1.51113,0.211765,0.00604099,0.211765,-4.13719,0.211765,0.366901,0.213725,0.0453989,0.213725,All
-6.57722,0.215686,1.51164,0.213725,0.00604456,0.213725,-4.13693,0.213725,0.367495,0.215686,0.0454798,0.215686,All
-6.56655,0.217647,1.5119,0.215686,0.00604761,0.215686,-4.13622,0.215686,0.36941,0.217647,0.0456362,0.217647,All
-6.56566,0.219608,1.51235,0.217647,0.00605022,0.217647,-4.1362,0.217647,0.372063,0.219608,0.0460196,0.219608,All
-6.55623,0.221569,1.51298,0.219608,0.00605067,0.219608,-4.13519,0.219608,0.372163,0.221569,0.0467403,0.221569,All
-6.55528,0.223529,1.51427,0.221569,0.00605071,0.221569,-4.1351,0.221569,0.374366,0.223529,0.0468815,0.223529,All
-6.52665,0.22549,1.51492,0.223529,0.00605172,0.223529,-4.13462,0.223529,0.381588,0.22549,0.0469359,0.22549,All
-6.50776,0.227451,1.51585,0.22549,0.00605333,0.22549,-4.13269,0.22549,0.382857,0.227451,0.0472474,0.227451,All
-6.4911,0.229412,1.51595,0.227451,0.00605454,0.227451,-4.1323,0.227451,0.388115,0.229412,0.0473323,0.229412,All
-6.48135,0.231373,1.51628,0.229412,0.0060587,0.229412,-4.1321,0.229412,0.390307,0.231373,0.0474234,0.231373,All
-6.47961,0.233333,1.51632,0.231373,0.00606004,0.231373,-4.13102,0.231373,0.39347,0.233333,0.0474555,0.233333,All
-6.45951,0.235294,1.51643,0.233333,0.00606432,0.233333,-4.13025,0.233333,0.394254,0.235294,0.0474841,0.235294,All
-6.43002,0.237255,1.51658,0.235294,0.00607465,0.235294,-4.13024,0.235294,0.40123,0.237255,0.0475032,0.237255,All
-6.41738,0.239216,1.5172,0.237255,0.00607564,0.237255,-4.12987,0.237255,0.403679,0.239216,0.0475958,0.239216,All
-6.36009,0.241176,1.51842,0.239216,0.0060819,0.239216,-4.12951,0.239216,0.404909,0.241176,0.0479078,0.241176,All
-6.35945,0.243137,1.51857,0.241176,0.00608335,0.241176,-4.12837,0.241176,0.40798,0.243137,0.0481325,0.243137,All
-6.34272,0.245098,1.51896,0.243137,0.00608832,0.243137,-4.12736,0.243137,0.41446,0.245098,0.0482426,0.245098,All
-6.32728,0.247059,1.51901,0.245098,0.00609453,0.245098,-4.12712,0.245098,0.416321,0.247059,0.0482879,0.247059,All
-6.30222,0.24902,1.51946,0.247059,0.0060986,0.247059,-4.1256,0.247059,0.416534,0.24902,0.0488829,0.24902,All
-6.2887,0.25098,1.51961,0.24902,0.00610489,0.24902,-4.12553,0.24902,0.41718,0.25098,0.0489074,0.25098,All
-6.28351,0.252941,1.52002,0.25098,0.00611282,0.25098,-4.12535,0.25098,0.420217,0.252941,0.0489274,0.252941,All
-6.28078,0.254902,1.52035,0.252941,0.00611644,0.252941,-4.12427,0.252941,0.422078,0.254902,0.0490028,0.254902,All
-6.27897,0.256863,1.52044,0.254902,0.00612152,0.254902,-4.12345,0.254902,0.424287,0.256863,0.0491505,0.256863,All
-6.27793,0.258824,1.52066,0.256863,0.00612413,0.256863,-4.12272,0.256863,0.424858,0.258824,0.0495631,0.258824,All
-6.25102,0.260784,1.52179,0.258824,0.00612466,0.258824,-4.12248,0.258824,0.42947,0.260784,0.0497063,0.260784,All
-6.24808,0.262745,1.52181,0.260784,0.00613339,0.260784,-4.12247,0.260784,0.430915,0.262745,0.0497776,0.262745,All
-6.24722,0.264706,1.52364,0.262745,0.00613883,0.262745,-4.12105,0.262745,0.4335,0.264706,0.0505173,0.264706,All
-6.24477,0.266667,1.52406,0.264706,0.00613976,0.264706,-4.12058,0.264706,0.436238,0.266667,0.0506096,0.266667,All
-6.24385,0.268627,1.52419,0.266667,0.00614375,0.266667,-4.12048,0.266667,0.437518,0.268627,0.051035,0.268627,All
-6.23819,0.270588,1.52461,0.268627,0.00614678,0.268627,-4.11899,0.268627,0.44007,0.270588,0.0511945,0.270588,All
-6.23802,0.272549,1.52495,0.270588,0.00615292,0.270588,-4.11823,0.270588,0.440283,0.272549,0.0512138,0.272549,All
-6.22994,0.27451,1.52515,0.272549,0.00617084,0.272549,-4.11788,0.272549,0.445277,0.27451,0.0514753,0.27451,All
-6.21558,0.276471,1.52556,0.27451,0.00618436,0.27451,-4.11688,0.27451,0.445922,0.276471,0.0518827,0.276471,All
-6.19881,0.278431,1.52704,0.276471,0.00620036,0.276471,-4.11568,0.276471,0.452099,0.278431,0.0520269,0.278431,All
-6.19442,0.280392,1.52875,0.278431,0.00620491,0.278431,-4.11556,0.278431,0.455089,0.280392,0.0522775,0.280392,All
-6.1934,0.282353,1.5294,0.280392,0.0062068,0.280392,-4.11542,0.280392,0.459519,0.282353,0.0522935,0.282353,All
-6.14649,0.284314,1.53004,0.282353,0.00620846,0.282353,-4.11538,0.282353,0.461249,0.284314,0.0526416,0.284314,All
-6.11716,0.286275,1.53154,0.284314,0.00621468,0.284314,-4.11517,0.284314,0.463207,0.286275,0.0527333,0.286275,All
-6.11203,0.288235,1.53205,0.286275,0.00621523,0.286275,-4.1151,0.286275,0.46516,0.288235,0.052977,0.288235,All
-6.10064,0.290196,1.53222,0.288235,0.0062168,0.288235,-4.11472,0.288235,0.466479,0.290196,0.0529859,0.290196,All
-6.09287,0.292157,1.53238,0.290196,0.00622725,0.290196,-4.11332,0.290196,0.474314,0.292157,0.0530931,0.292157,All
-6.0789,0.294118,1.53329,0.292157,0.00622855,0.292157,-4.11324,0.292157,0.479259,0.294118,0.0531136,0.294118,All
-6.0772,0.296078,1.53348,0.294118,0.00622914,0.294118,-4.11216,0.294118,0.479714,0.296078,0.0532475,0.296078,All
-6.07539,0.298039,1.53391,0.296078,0.00623637,0.296078,-4.11167,0.296078,0.488378,0.298039,0.0545129,0.298039,All
-6.06846,0.3,1.53487,0.298039,0.00623738,0.298039,-4.11149,0.298039,0.488574,0.3,0.0545205,0.3,All
-6.05399,0.301961,1.53575,0.3,0.00623929,0.3,-4.11131,0.3,0.489092,0.301961,0.0545427,0.301961,All
-6.05114,0.303922,1.53681,0.301961,0.00624891,0.301961,-4.11131,0.301961,0.492757,0.303922,0.0548278,0.303922,All
-6.01239,0.305882,1.53726,0.303922,0.00625113,0.303922,-4.11121,0.303922,0.503151,0.305882,0.0551462,0.305882,All
-6.00544,0.307843,1.53742,0.305882,0.00625192,0.305882,-4.11111,0.305882,0.503456,0.307843,0.055219,0.307843,All
-5.99446,0.309804,1.53754,0.307843,0.00625314,0.307843,-4.11096,0.307843,0.507816,0.309804,0.0555148,0.309804,All
-5.99362,0.311765,1.5388,0.309804,0.00625534,0.309804,-4.11066,0.309804,0.508211,0.311765,0.0555995,0.311765,All
-5.97742,0.313725,1.5389,0.311765,0.0062558,0.311765,-4.11048,0.311765,0.508289,0.313725,0.0556076,0.313725,All
-5.96608,0.315686,1.53926,0.313725,0.00625644,0.313725,-4.10995,0.313725,0.50938,0.315686,0.0556854,0.315686,All
-5.95209,0.317647,1.53971,0.315686,0.00626019,0.315686,-4.10993,0.315686,0.511472,0.317647,0.0564626,0.317647,All
-5.93389,0.319608,1.53978,0.317647,0.00626276,0.317647,-4.10904,0.317647,0.513504,0.319608,0.0565017,0.319608,All
-5.92755,0.321569,1.54054,0.319608,0.00627339,0.319608,-4.10854,0.319608,0.514328,0.321569,0.0566845,0.321569,All
-5.91378,0.323529,1.54119,0.321569,0.00628038,0.321569,-4.10837,0.321569,0.515381,0.323529,0.0573276,0.323529,All
-5.90963,0.32549,1.54202,0.323529,0.00628141,0.323529,-4.10835,0.323529,0.515927,0.32549,0.0573945,0.32549,All
-5.90017,0.327451,1.54233,0.32549,0.00628243,0.32549,-4.10806,0.32549,0.517339,0.327451,0.0575418,0.327451,All
-5.89708,0.329412,1.54286,0.327451,0.00628334,0.327451,-4.10802,0.327451,0.520317,0.329412,0.0575568,0.329412,All
-5.88763,0.331373,1.54289,0.329412,0.00629058,0.329412,-4.10782,0.329412,0.520897,0.331373,0.05765,0.331373,All
-5.87962,0.333333,1.54331,0.331373,0.00629175,0.331373,-4.10765,0.331373,0.523865,0.333333,0.0577312,0.333333,All
-5.86348,0.335294,1.54357,0.333333,0.00629296,0.333333,-4.10691,0.333333,0.524963,0.335294,0.0578506,0.335294,All
-5.84958,0.337255,1.54477,0.335294,0.00629543,0.335294,-4.10635,0.335294,0.528511,0.337255,0.0579364,0.337255,All
-5.84626,0.339216,1.54506,0.337255,0.00630226,0.337255,-4.1063,0.337255,0.530432,0.339216,0.0581269,0.339216,All
-5.83562,0.341176,1.54512,0.339216,0.00630543,0.339216,-4.10588,0.339216,0.53135,0.341176,0.05815,0.341176,All
-5.831,0.343137,1.54551,0.341176,0.00631243,0.341176,-4.10482,0.341176,0.532337,0.343137,0.0581839,0.343137,All
-5.81538,0.345098,1.54584,0.343137,0.00631616,0.343137,-4.10476,0.343137,0.532374,0.345098,0.058198,0.345098,All
-5.81532,0.347059,1.54614,0.345098,0.00631982,0.345098,-4.10465,0.345098,0.533547,0.347059,0.0583807,0.347059,All
-5.81345,0.34902,1.54652,0.347059,0.00632201,0.347059,-4.10397,0.347059,0.534116,0.34902,0.0585458,0.34902,All
-5.8124,0.35098,1.54678,0.34902,0.00632856,0.34902,-4.1036,0.34902,0.534531,0.35098,0.0587208,0.35098,All
-5.79169,0.352941,1.5471,0.35098,0.00633109,0.35098,-4.10353,0.35098,0.538561,0.352941,0.0589603,0.352941,All
-5.79161,0.354902,1.54716,0.352941,0.00633523,0.352941,-4.1035,0.352941,0.53892,0.354902,0.0589804,0.354902,All
-5.78952,0.356863,1.54757,0.354902,0.00633839,0.354902,-4.10301,0.354902,0.540068,0.356863,0.0590057,0.356863,All
-5.77342,0.358824,1.54766,0.356863,0.00633925,0.356863,-4.10263,0.356863,0.54888,0.358824,0.0590635,0.358824,All
-5.77293,0.360784,1.54794,0.358824,0.00633987,0.358824,-4.10257,0.358824,0.550053,0.360784,0.059228,0.360784,All
