initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,dI_abscissa,dI_cdf,n_abscissa,n_cdf,split
-1.60187,0.0857143,-1.27133,0.0857143,-1.54737,0.0857143,-1.54266,0.0857143,-1.35006,0.0857143,-1.25342,0.0857143,All
-1.59379,0.0877551,-1.26851,0.0877551,-1.52732,0.0877551,-1.52883,0.0877551,-1.34744,0.0877551,-1.24526,0.0877551,All
-1.55608,0.0897959,-1.26752,0.0897959,-1.51011,0.0897959,-1.51807,0.0897959,-1.34074,0.0897959,-1.24318,0.0897959,All
-1.54136,0.0918367,-1.26545,0.0918367,-1.50962,0.0918367,-1.50782,0.0918367,-1.32762,0.0918367,-1.23844,0.0918367,All
-1.51984,0.0938776,-1.26478,0.0938776,-1.50852,0.0938776,-1.50265,0.0938776,-1.32326,0.0938776,-1.2314,0.0938776,All
-1.49075,0.0959184,-1.26428,0.0959184,-1.5084,0.0959184,-1.47928,0.0959184,-1.29527,0.0959184,-1.23059,0.0959184,All
-1.47311,0.0979592,-1.26221,0.0979592,-1.50804,0.0979592,-1.47751,0.0979592,-1.24649,0.0979592,-1.22433,0.0979592,All
-1.45584,0.1,-1.23924,0.1,-1.50801,0.1,-1.47443,0.1,-1.22401,0.1,-1.22214,0.1,All
-1.42836,0.102041,-1.22235,0.102041,-1.49204,0.102041,-1.46772,0.102041,-1.21986,0.102041,-1.21982,0.102041,All
-1.42264,0.104082,-1.21976,0.104082,-1.48068,0.104082,-1.46525,0.104082,-1.20563,0.104082,-1.21778,0.104082,All
-1.41445,0.106122,-1.21567,0.106122,-1.4745,0.106122,-1.46413,0.106122,-1.20241,0.106122,-1.21515,0.106122,All
-1.41403,0.108163,-1.20646,0.108163,-1.44784,0.108163,-1.43156,0.108163,-1.19244,0.108163,-1.2124,0.108163,All
-1.41312,0.110204,-1.20322,0.110204,-1.44434,0.110204,-1.43061,0.110204,-1.19147,0.110204,-1.20794,0.110204,All
-1.40086,0.112245,-1.20053,0.112245,-1.43921,0.112245,-1.42597,0.112245,-1.17562,0.112245,-1.19289,0.112245,All
-1.37366,0.114286,-1.19346,0.114286,-1.43045,0.114286,-1.42336,0.114286,-1.16444,0.114286,-1.19018,0.114286,All
-1.3604,0.116327,-1.17639,0.116327,-1.42017,0.116327,-1.40741,0.116327,-1.15617,0.116327,-1.18644,0.116327,All
-1.36006,0.118367,-1.16826,0.118367,-1.41739,0.118367,-1.39958,0.118367,-1.15595,0.118367,-1.17802,0.118367,All
-1.35712,0.120408,-1.16489,0.120408,-1.41656,0.120408,-1.39835,0.120408,-1.15119,0.120408,-1.17431,0.120408,All
-1.35604,0.122449,-1.15149,0.122449,-1.41303,0.122449,-1.38636,0.122449,-1.14697,0.122449,-1.17131,0.122449,All
-1.3553,0.12449,-1.14026,0.12449,-1.4077,0.12449,-1.37102,0.12449,-1.1456,0.12449,-1.16098,0.12449,All
-1.34742,0.126531,-1.12692,0.126531,-1.40364,0.126531,-1.34824,0.126531,-1.14074,0.126531,-1.12926,0.126531,All
-1.34301,0.128571,-1.12037,0.128571,-1.39504,0.128571,-1.28534,0.128571,-1.13882,0.128571,-1.11144,0.128571,All
-1.34059,0.130612,-1.11131,0.130612,-1.37198,0.130612,-1.27613,0.130612,-1.1263,0.130612,-1.11122,0.130612,All
-1.31755,0.132653,-1.09965,0.132653,-1.35572,0.132653,-1.27399,0.132653,-1.12457,0.132653,-1.10984,0.132653,All
-1.31481,0.134694,-1.09442,0.134694,-1.35199,0.134694,-1.26605,0.134694,-1.11835,0.134694,-1.10504,0.134694,All
-1.31176,0.136735,-1.09221,0.136735,-1.32633,0.136735,-1.26408,0.136735,-1.11518,0.136735,-1.10038,0.136735,All
-1.30141,0.138776,-1.08564,0.138776,-1.32036,0.138776,-1.24199,0.138776,-1.10659,0.138776,-1.10029,0.138776,All
-1.29219,0.140816,-1.08264,0.140816,-1.29796,0.140816,-1.23939,0.140816,-1.10489,0.140816,-1.09742,0.140816,All
-1.28785,0.142857,-1.0693,0.142857,-1.25969,0.142857,-1.23069,0.142857,-1.08908,0.142857,-1.09326,0.142857,All
-1.2753,0.144898,-1.05658,0.144898,-1.25378,0.144898,-1.22394,0.144898,-1.07734,0.144898,-1.09318,0.144898,All
-1.2634,0.146939,-1.05426,0.146939,-1.25012,0.146939,-1.21697,0.146939,-1.05761,0.146939,-1.0847,0.146939,All
-1.24284,0.14898,-1.03577,0.14898,-1.23969,0.14898,-1.21487,0.14898,-1.043,0.14898,-1.08396,0.14898,All
-1.23681,0.15102,-1.03355,0.15102,-1.23621,0.15102,-1.21019,0.15102,-1.0385,0.15102,-1.08013,0.15102,All
-1.22001,0.153061,-1.03085,0.153061,-1.23592,0.153061,-1.20857,0.153061,-1.02572,0.153061,-1.05866,0.153061,All
-1.13653,0.155102,-1.02304,0.155102,-1.22803,0.155102,-1.19872,0.155102,-1.01565,0.155102,-1.0466,0.155102,All
-1.11798,0.157143,-0.989942,0.157143,-1.2071,0.157143,-1.17998,0.157143,-1.00997,0.157143,-1.03859,0.157143,All
-1.11495,0.159184,-0.95438,0.159184,-1.19647,0.159184,-1.17793,0.159184,-1.00018,0.159184,-1.0363,0.159184,All
-1.11273,0.161224,-0.951737,0.161224,-1.1912,0.161224,-1.1774,0.161224,-0.993148,0.161224,-1.03202,0.161224,All
-1.11133,0.163265,-0.942693,0.163265,-1.19058,0.163265,-1.17069,0.163265,-0.968762,0.163265,-1.03201,0.163265,All
-1.09877,0.165306,-0.938393,0.165306,-1.18407,0.165306,-1.16546,0.165306,-0.967196,0.165306,-1.00766,0.165306,All
-1.09288,0.167347,-0.936201,0.167347,-1.18398,0.167347,-1.15135,0.167347,-0.961174,0.167347,-1.00233,0.167347,All
-1.08209,0.169388,-0.927386,0.169388,-1.17922,0.169388,-1.14339,0.169388,-0.956169,0.169388,-1.00079,0.169388,All
-1.04038,0.171429,-0.916542,0.171429,-1.15086,0.171429,-1.14308,0.171429,-0.95437,0.171429,-0.999451,0.171429,All
-1.02403,0.173469,-0.911073,0.173469,-1.11889,0.173469,-1.12699,0.173469,-0.942177,0.173469,-0.992162,0.173469,All
-1.02233,0.17551,-0.908371,0.17551,-1.10758,0.17551,-1.12446,0.17551,-0.937406,0.17551,-0.99184,0.17551,All
-1.00604,0.177551,-0.906562,0.177551,-1.10622,0.177551,-1.12401,0.177551,-0.933705,0.177551,-0.988057,0.177551,All
-0.988213,0.179592,-0.904042,0.179592,-1.1053,0.179592,-1.11142,0.179592,-0.92524,0.179592,-0.978736,0.179592,All
-0.966731,0.181633,-0.90324,0.181633,-1.10168,0.181633,-1.1032,0.181633,-0.925201,0.181633,-0.972724,0.181633,All
-0.963855,0.183673,-0.897819,0.183673,-1.10026,0.183673,-1.09775,0.183673,-0.919251,0.183673,-0.95228,0.183673,All
-0.963765,0.185714,-0.897529,0.185714,-1.09051,0.185714,-1.09027,0.185714,-0.917587,0.185714,-0.945129,0.185714,All
-0.926145,0.187755,-0.891261,0.187755,-1.08279,0.187755,-1.07039,0.187755,-0.915318,0.187755,-0.939958,0.187755,All
-0.921396,0.189796,-0.879162,0.189796,-1.06811,0.189796,-1.06891,0.189796,-0.907524,0.189796,-0.936513,0.189796,All
-0.909469,0.191837,-0.868373,0.191837,-1.05896,0.191837,-1.02644,0.191837,-0.895157,0.191837,-0.932006,0.191837,All
-0.897429,0.193878,-0.867162,0.193878,-1.03535,0.193878,-1.01913,0.193878,-0.885858,0.193878,-0.930793,0.193878,All
-0.890393,0.195918,-0.865917,0.195918,-1.02449,0.195918,-1.01205,0.195918,-0.872631,0.195918,-0.925031,0.195918,All
-0.878202,0.197959,-0.864956,0.197959,-0.993975,0.197959,-1.01169,0.197959,-0.870466,0.197959,-0.900282,0.197959,All
-0.872496,0.2,-0.855554,0.2,-0.98211,0.2,-0.99578,0.2,-0.868121,0.2,-0.896849,0.2,All
-0.857922,0.202041,-0.854503,0.202041,-0.979526,0.202041,-0.993017,0.202041,-0.852012,0.202041,-0.888784,0.202041,All
-0.843456,0.204082,-0.847927,0.204082,-0.977214,0.204082,-0.990058,0.204082,-0.851259,0.204082,-0.88115,0.204082,All
-0.809226,0.206122,-0.842197,0.206122,-0.976636,0.206122,-0.985852,0.206122,-0.847357,0.206122,-0.875441,0.206122,All
-0.80022,0.208163,-0.836605,0.208163,-0.954063,0.208163,-0.980916,0.208163,-0.822686,0.208163,-0.874297,0.208163,All
-0.795135,0.210204,-0.83414,0.210204,-0.949565,0.210204,-0.9727,0.210204,-0.809135,0.210204,-0.869252,0.210204,All
-0.774388,0.212245,-0.810906,0.212245,-0.92175,0.212245,-0.971775,0.212245,-0.795922,0.212245,-0.864872,0.212245,All
-0.769897,0.214286,-0.809565,0.214286,-0.914671,0.214286,-0.937243,0.214286,-0.785813,0.214286,-0.864243,0.214286,All
-0.752897,0.216327,-0.808405,0.216327,-0.914275,0.216327,-0.920185,0.216327,-0.784178,0.216327,-0.861577,0.216327,All
-0.73573,0.218367,-0.805373,0.218367,-0.911256,0.218367,-0.909136,0.218367,-0.778572,0.218367,-0.851014,0.218367,All
-0.722296,0.220408,-0.794739,0.220408,-0.900672,0.220408,-0.906266,0.220408,-0.763639,0.220408,-0.834059,0.220408,All
-0.712802,0.222449,-0.790759,0.222449,-0.891231,0.222449,-0.881661,0.222449,-0.73007,0.222449,-0.823108,0.222449,All
-0.682421,0.22449,-0.787945,0.22449,-0.891155,0.22449,-0.878256,0.22449,-0.725658,0.22449,-0.818619,0.22449,All
-0.677114,0.226531,-0.784655,0.226531,-0.890732,0.226531,-0.860111,0.226531,-0.720786,0.226531,-0.817603,0.226531,All
