popPred_spline_abscissa,popPred_spline,popPred_ciAbscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ciAbscissa,indivPred_piLower,indivPred_piUpper,split
5.89614,5.03342,5.89614,5.36047,6.43181,4.05121,4.03973,4.05121,3.51554,4.58688,All
5.92862,5.02309,5.92862,5.39294,6.46429,4.19404,4.17154,4.19404,3.65837,4.72972,All
5.94869,5.0167,5.94869,5.41302,6.48437,4.19866,4.17619,4.19866,3.66299,4.73434,All
5.97863,5.00718,5.97863,5.44296,6.51431,4.34612,4.32673,4.34612,3.81044,4.88179,All
6.00171,4.99984,6.00171,5.46604,6.53739,4.40902,4.39732,4.40902,3.87334,4.94469,All
6.02865,4.99127,6.02865,5.49297,6.56432,4.49357,4.4965,4.49357,3.95789,5.02924,All
6.05521,4.98279,6.05521,5.51953,6.59088,4.63501,4.64979,4.63501,4.09934,5.17068,All
6.07866,4.97445,6.07866,5.54299,6.61434,4.64102,4.65631,4.64102,4.10535,5.1767,All
6.10918,4.9636,6.10918,5.5735,6.64485,4.78847,4.79611,4.78847,4.2528,5.32415,All
6.12868,4.95667,6.12868,5.593,6.66435,4.87259,4.8789,4.87259,4.33691,5.40826,All
6.16363,4.94424,6.16363,5.62796,6.6993,4.93593,4.93716,4.93593,4.40025,5.4716,All
6.17869,4.93888,6.17869,5.64302,6.71437,5.08338,5.07331,5.08338,4.54771,5.61905,All
6.21857,4.9247,6.21857,5.68289,6.75424,5.12234,5.10535,5.12234,4.58666,5.65801,All
6.22871,4.9211,6.22871,5.69303,6.76438,5.23083,5.23029,5.23083,4.69516,5.76651,All
6.27399,4.905,6.27399,5.73832,6.80967,5.37829,5.37376,5.37829,4.84261,5.91396,All
6.27872,4.90331,6.27872,5.74305,6.8144,5.38489,5.37989,5.38489,4.84922,5.92057,All
6.32874,4.90483,6.32874,5.79306,6.86441,5.52574,5.5253,5.52574,4.99007,6.06141,All
6.32991,4.90542,6.32991,5.79424,6.86559,5.6609,5.67484,5.6609,5.12523,6.19658,All
6.37875,4.92992,6.37875,5.84308,6.91443,5.67319,5.68833,5.67319,5.13752,6.20887,All
6.38633,4.93373,6.38633,5.85066,6.92201,5.82065,5.81778,5.82065,5.28497,6.35632,All
6.42877,4.95502,6.42877,5.89309,6.96444,5.95106,5.95365,5.95106,5.41539,6.48674,All
6.44326,4.96229,6.44326,5.90758,6.97893,5.9681,5.9686,5.9681,5.43242,6.50377,All
6.47878,4.98011,6.47878,5.94311,7.01446,6.11555,6.12006,6.11555,5.57988,6.65123,All
6.50068,4.9911,6.50068,5.96501,7.03636,6.2561,6.28224,6.2561,5.72042,6.79177,All
6.5288,5.0052,6.5288,5.99312,7.06447,6.263,6.28943,6.263,5.72733,6.79868,All
6.55863,5.02017,6.55863,6.02295,7.0943,6.41046,6.43369,6.41046,5.87478,6.94613,All
6.57881,5.02925,6.57881,6.04314,7.11449,6.55791,6.58386,6.55791,6.02224,7.09358,All
6.61708,5.03395,6.61708,6.08141,7.15276,6.57676,6.60457,6.57676,6.04109,7.11244,All
6.62883,5.03539,6.62883,6.09315,7.1645,6.70536,6.74714,6.70536,6.16969,7.24104,All
6.67606,5.04119,6.67606,6.14039,7.21174,6.85282,6.89757,6.85282,6.31714,7.38849,All
6.67884,5.04153,6.67884,6.14317,7.21452,6.91387,6.95665,6.91387,6.37819,7.44954,All
6.72886,5.04767,6.72886,6.19319,7.26453,7.00027,7.04064,7.00027,6.46459,7.53594,All
6.73557,5.04849,6.73557,6.19989,7.27124,7.14772,7.19228,7.14772,6.61205,7.6834,All
6.77887,5.0538,6.77887,6.2432,7.31455,7.26825,7.32165,7.26825,6.73258,7.80392,All
6.7956,5.05586,6.7956,6.25993,7.33128,7.29517,7.35066,7.29517,6.7595,7.83085,All
6.82889,5.05925,6.82889,6.29322,7.36456,7.44263,7.50659,7.44263,6.90695,7.9783,All
6.85617,4.98773,6.85617,6.3205,7.39185,7.59008,7.65084,7.59008,7.05441,8.12575,All
6.8789,4.92814,6.8789,6.34323,7.41458,7.6408,7.69585,7.6408,7.10512,8.17647,All
6.91728,4.92494,6.91728,6.38161,7.45295,7.73753,7.7738,7.73753,7.20186,8.27321,All
6.92892,4.96223,6.92892,6.39325,7.46459,7.88499,7.8599,7.88499,7.34931,8.42066,All
6.97894,5.12245,6.97894,6.44326,7.51461,8.03244,7.9211,8.03244,7.49677,8.56811,All
