initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,lk_abscissa,lk_cdf,lae_abscissa,lae_cdf,lw_abscissa,lw_cdf,dE_abscissa,dE_cdf,split
-1.70171,0.0627451,-1.41105,0.0627451,-1.52672,0.0627451,-1.51754,0.0627451,-1.51631,0.0627451,-1.50255,0.0627451,-1.56368,0.0627451,-1.29708,0.0627451,All
-1.68161,0.0647059,-1.3889,0.0647059,-1.50161,0.0647059,-1.50729,0.0647059,-1.51287,0.0647059,-1.48042,0.0647059,-1.5392,0.0647059,-1.29093,0.0647059,All
-1.68124,0.0666667,-1.38531,0.0666667,-1.48058,0.0666667,-1.49893,0.0666667,-1.49201,0.0666667,-1.45548,0.0666667,-1.52398,0.0666667,-1.28852,0.0666667,All
-1.60394,0.0686275,-1.38342,0.0686275,-1.47602,0.0686275,-1.47173,0.0686275,-1.48729,0.0686275,-1.44186,0.0686275,-1.51742,0.0686275,-1.28619,0.0686275,All
-1.57309,0.0705882,-1.37654,0.0705882,-1.44561,0.0705882,-1.46494,0.0705882,-1.48637,0.0705882,-1.44145,0.0705882,-1.50626,0.0705882,-1.27992,0.0705882,All
-1.55489,0.072549,-1.35793,0.072549,-1.43904,0.072549,-1.46254,0.072549,-1.48593,0.072549,-1.43937,0.072549,-1.50437,0.072549,-1.27785,0.072549,All
-1.50465,0.0745098,-1.32943,0.0745098,-1.42915,0.0745098,-1.45174,0.0745098,-1.46696,0.0745098,-1.415,0.0745098,-1.50142,0.0745098,-1.27596,0.0745098,All
-1.4889,0.0764706,-1.32577,0.0764706,-1.39614,0.0764706,-1.44192,0.0764706,-1.46368,0.0764706,-1.39115,0.0764706,-1.49813,0.0764706,-1.26588,0.0764706,All
-1.48714,0.0784314,-1.32426,0.0784314,-1.39549,0.0784314,-1.43191,0.0784314,-1.46003,0.0784314,-1.38988,0.0784314,-1.49806,0.0784314,-1.25326,0.0784314,All
-1.48242,0.0803922,-1.31974,0.0803922,-1.39388,0.0803922,-1.41115,0.0803922,-1.45841,0.0803922,-1.38677,0.0803922,-1.49554,0.0803922,-1.25096,0.0803922,All
-1.47114,0.0823529,-1.28056,0.0823529,-1.39026,0.0823529,-1.40345,0.0823529,-1.43162,0.0823529,-1.37704,0.0823529,-1.49363,0.0823529,-1.25036,0.0823529,All
-1.45627,0.0843137,-1.25305,0.0843137,-1.37724,0.0843137,-1.38191,0.0843137,-1.42356,0.0843137,-1.36261,0.0843137,-1.49113,0.0843137,-1.25,0.0843137,All
-1.44942,0.0862745,-1.23877,0.0862745,-1.37646,0.0862745,-1.35113,0.0862745,-1.40097,0.0862745,-1.34217,0.0862745,-1.47504,0.0862745,-1.24681,0.0862745,All
-1.42464,0.0882353,-1.23723,0.0882353,-1.36784,0.0882353,-1.34033,0.0882353,-1.39803,0.0882353,-1.29604,0.0882353,-1.42443,0.0882353,-1.24523,0.0882353,All
-1.4069,0.0901961,-1.2259,0.0901961,-1.36565,0.0901961,-1.31641,0.0901961,-1.38608,0.0901961,-1.29175,0.0901961,-1.39687,0.0901961,-1.23674,0.0901961,All
-1.39739,0.0921569,-1.1949,0.0921569,-1.34655,0.0921569,-1.30614,0.0921569,-1.3568,0.0921569,-1.27023,0.0921569,-1.38993,0.0921569,-1.22944,0.0921569,All
-1.37921,0.0941176,-1.17392,0.0941176,-1.34203,0.0941176,-1.28373,0.0941176,-1.35461,0.0941176,-1.24498,0.0941176,-1.37557,0.0941176,-1.22908,0.0941176,All
-1.37811,0.0960784,-1.16909,0.0960784,-1.33638,0.0960784,-1.28174,0.0960784,-1.34152,0.0960784,-1.2388,0.0960784,-1.35892,0.0960784,-1.22788,0.0960784,All
