initT_abscissa,initT_pdf,aS_abscissa,aS_pdf,dS_abscissa,dS_pdf,lBt0_abscissa,lBt0_pdf,lk_abscissa,lk_pdf,lae_abscissa,lae_pdf,lw_abscissa,lw_pdf,dE_abscissa,dE_pdf,split
-3.43465,0.0140833,-2.62996,0.0297096,-2.4966,0.0258731,-2.34207,0.0153439,-2.77595,0.0082903,-2.9112,0.00825966,-2.88286,0.00795974,-1.69671,0.010053,All
-3.14409,0.0140833,-2.35449,0.037137,-2.25936,0.00862437,-2.07538,0.0306878,-2.52915,0.0331612,-2.66349,0.00825966,-2.62581,0.0159195,-1.49318,0.140742,All
-2.85353,0.00704166,-2.07902,0.0222822,-2.02212,0.0776193,-1.80869,0.115079,-2.28235,0.0414515,-2.41577,0.0165193,-2.36876,0.0238792,-1.28966,0.422225,All
-2.56297,0.00704166,-1.80355,0.0445645,-1.78488,0.0862437,-1.542,0.153439,-2.03555,0.0331612,-2.16806,0.049558,-2.11172,0.0477584,-1.08613,0.492596,All
-2.27241,0.0281666,-1.52808,0.103984,-1.54764,0.129366,-1.27531,0.207142,-1.78875,0.0746127,-1.92035,0.0578176,-1.85467,0.0557182,-0.882605,0.311642,All
-1.98184,0.0774582,-1.25261,0.148548,-1.3104,0.206985,-1.00862,0.253174,-1.54195,0.165806,-1.67263,0.0908563,-1.59762,0.198993,-0.679079,0.462437,All
-1.69128,0.112667,-0.977135,0.282242,-1.07317,0.181112,-0.741925,0.260846,-1.29515,0.207258,-1.42492,0.132155,-1.34057,0.183074,-0.475554,0.351854,All
-1.40072,0.161958,-0.701664,0.319379,-0.835926,0.27598,-0.475234,0.406613,-1.04836,0.223838,-1.1772,0.148674,-1.08352,0.270631,-0.272029,0.442331,All
-1.11016,0.154916,-0.426193,0.37137,-0.598688,0.33635,-0.208543,0.345237,-0.801557,0.331612,-0.929488,0.173453,-0.826475,0.29451,-0.0685033,0.281483,All
-0.819598,0.302791,-0.150722,0.438217,-0.361449,0.448467,0.0581477,0.368253,-0.554758,0.306741,-0.681774,0.231271,-0.569427,0.429826,0.135022,0.27143,All
-0.529036,0.302791,0.124749,0.378798,-0.12421,0.379472,0.324839,0.368253,-0.30796,0.306741,-0.43406,0.313867,-0.312379,0.374108,0.338547,0.341801,All
-0.238475,0.450666,0.40022,0.445645,0.113029,0.465716,0.591529,0.352909,-0.0611612,0.331612,-0.186346,0.429502,-0.0553307,0.334309,0.542073,0.331748,All
0.0520869,0.408416,0.675691,0.378798,0.350268,0.55196,0.85822,0.31455,0.185637,0.389644,0.0613685,0.503839,0.201718,0.342269,0.745598,0.251325,All
0.342649,0.478833,0.951162,0.252532,0.587507,0.250107,1.12491,0.230158,0.432436,0.348193,0.309083,0.437762,0.458766,0.429826,0.949123,0.27143,All
0.63321,0.274625,1.22663,0.193113,0.824745,0.284604,1.3916,0.191798,0.679235,0.348193,0.556797,0.512099,0.715814,0.254712,1.15265,0.27143,All
0.923772,0.359125,1.5021,0.185685,1.06198,0.327726,1.65829,0.145767,0.926033,0.315032,0.804511,0.25605,0.972862,0.191034,1.35617,0.180954,All
1.21433,0.147875,1.77758,0.0668467,1.29922,0.146614,1.92498,0.0767194,1.17283,0.190677,1.05223,0.189972,1.22991,0.191034,1.5597,0.140742,All
1.5049,0.105625,2.05305,0.0445645,1.53646,0.0603706,2.19167,0.0230158,1.41963,0.240419,1.29994,0.173453,1.48696,0.135316,1.76322,0.0402119,All
1.79546,0.0281666,2.32852,0.0297096,1.7737,0.0862437,2.45836,0.0306878,1.66643,0.124355,1.54765,0.099116,1.74401,0.103477,1.96675,0.0502649,All
2.08602,0.0492916,2.60399,0.00742741,2.01094,0.0258731,2.72506,0.0153439,1.91323,0.0911933,1.79537,0.165193,2.00105,0.0636779,2.17027,0.020106,All
2.37658,0.0281666,2.87946,0,2.24818,0.0258731,2.99175,0,2.16003,0.0414515,2.04308,0.0908563,2.2581,0.0477584,2.3738,0.010053,All
2.66714,0.0492916,3.15493,0,2.48542,0.00862437,3.25844,0,2.40683,0.0331612,2.2908,0.074337,2.51515,0.0477584,2.57733,0,All
2.9577,0.0281666,3.4304,0.00742741,2.72266,0.00862437,3.52513,0.00767194,2.65362,0.0414515,2.53851,0.049558,2.7722,0.0159195,2.78085,0.0301589,All
