popPred_spline_abscissa,popPred_spline,popPred_ciAbscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ciAbscissa,indivPred_piLower,indivPred_piUpper,split
6.12696,6.02058,6.12696,5.04818,7.43627,6.17022,6.14573,6.17022,5.08382,7.48878,All
6.13728,6.02119,6.13728,5.05669,7.4488,6.23495,6.17589,6.23495,5.13715,7.56734,All
6.1969,6.01853,6.1969,5.10581,7.52116,6.35981,6.31561,6.35981,5.24003,7.71888,All
6.23028,6.02363,6.23028,5.13331,7.56167,6.42048,6.37011,6.42048,5.29002,7.79251,All
6.26685,6.04934,6.26685,5.16344,7.60605,6.48466,6.43479,6.48466,5.3429,7.87041,All
6.32468,6.134,6.32468,5.21109,7.67625,6.60952,6.54433,6.60952,5.44578,8.02195,All
6.33679,6.15583,6.33679,5.22107,7.69094,6.68088,6.63701,6.68088,5.50457,8.10857,All
6.40673,6.27042,6.40673,5.27869,7.77583,6.73438,6.71146,6.73438,5.54865,8.17349,All
6.42052,6.28485,6.42052,5.29005,7.79256,6.85924,6.84391,6.85924,5.65153,8.32503,All
6.47668,6.30087,6.47668,5.33632,7.86072,6.95185,6.93917,6.95185,5.72783,8.43744,All
6.5178,6.27048,6.5178,5.37021,7.91064,6.9841,6.97512,6.9841,5.7544,8.47657,All
6.54662,6.26063,6.54662,5.39395,7.94561,7.10895,7.09234,7.10895,5.85727,8.62811,All
6.61656,6.29372,6.61656,5.45158,8.0305,7.23381,7.10594,7.23381,5.96015,8.77965,All
