parameter,value,se_lin,rse_lin
initT_pop,-9.97547485390541588,0.73746575781983981,7.39278849999928234
aS_pop,15.29998962421645636,2.67773890766465872,17.50157335679756088
dS_pop,0.00890920278937507,0.00234226155056196,26.29036071953922260
tau_pop,0.05000000000000001,,
lBt0_pop,-4.93940269020704648,0.07844910731129476,1.58823064713531958
lp_pop,4.59999999999999964,,
dI_pop,0.90000000000000002,,
lk_pop,-4.79293294133525194,5.29130028165116872,110.39796188296091373
lae_pop,-0.54920190040099792,4.86794025958312027,886.36624455028470493
f_pop,0.89999999999999991,,
dp_pop,0.00100000000000000,,
lw_pop,3.46896029951085572,5.30124039375326639,152.81928693449657430
dE_pop,0.12598704308526820,0.02493180642375427,19.78918292961315473
lE50_pop,2.00000000000000000,,
omega_initT,2.97890644083431511,0.42453755614055982,14.25145651844163730
omega_aS,0.01884330864928824,0.37442652645312369,1987.05298215908987913
omega_dS,0.03591104898941292,0.28887883918421342,804.42885216017771199
omega_lBt0,0.00875356772260211,0.14625607286183778,1670.81671721346128834
omega_lk,0.48342707432996113,0.36698368991468067,75.91293690435664132
omega_lae,0.29325781893765257,1.29774870612589810,442.52825408955357034
omega_lw,0.79429396100133320,0.25788796524899105,32.46757219756303670
omega_dE,1.17372622922113123,0.14912433707988823,12.70520615176548596
a,0.39175071109915810,0.07725376108487605,19.72013295601190208
b,0.02004616610804720,0.01552172915336791,77.42991387832992700
