initT_abscissa,initT_pdf,initT_cdf,aS_abscissa,aS_pdf,aS_cdf,dS_abscissa,dS_pdf,dS_cdf,lBt0_abscissa,lBt0_pdf,lBt0_cdf,lk_abscissa,lk_pdf,lk_cdf,lae_abscissa,lae_pdf,lae_cdf,lw_abscissa,lw_pdf,lw_cdf,dE_abscissa,dE_pdf,dE_cdf,split
-21.245,0.000104486,7.74404e-05,11.6908,9.76241e-45,0,0.00614518,1.06802e-20,0,-5.12278,2.31611e-94,0,-6.15567,0.015526,0.00240928,-1.61059,0.00194623,0.000147707,0.780026,0.00163059,0.000355485,0.0169513,3.97072,0.0352171,All
-21.0306,0.000136837,0.00010317,11.775,2.06833e-42,0,0.00621357,2.4413e-19,0,-5.11907,1.50013e-90,0,-6.12804,0.0182106,0.0028745,-1.58914,0.00252907,0.000195435,0.835319,0.00205892,0.000457068,0.0257929,4.77029,0.0743997,All
-20.8161,0.000178278,0.000136775,11.8592,3.65465e-40,0,0.00628197,4.91133e-18,0,-5.11537,8.12298e-87,0,-6.10041,0.0212896,0.00341925,-1.5677,0.00326893,0.000257285,0.890612,0.0025872,0.000585013,0.0346345,5.03818,0.11803,All
-20.6017,0.000231069,0.000180439,11.9433,5.40488e-38,0,0.00635037,8.72877e-17,0,-5.11166,3.67722e-83,0,-6.07278,0.0248081,0.00405503,-1.54626,0.00420271,0.000337005,0.945905,0.0032353,0.000745382,0.0434761,5.03991,0.162719,All
-20.3873,0.000297944,0.000236879,12.0275,6.71363e-36,0,0.00641876,1.3755e-15,0,-5.10796,1.39168e-79,0,-6.04515,0.0288137,0.00479465,-1.52482,0.00537441,0.000439213,1.0012,0.00402619,0.000945421,0.0523177,4.90723,0.206761,All
-20.1728,0.000382189,0.000309459,12.1117,7.02808e-34,0,0.00648716,1.92857e-14,0,-5.10426,4.40329e-76,0,-6.01752,0.033357,0.00565226,-1.50338,0.00683614,0.000569554,1.05649,0.00498621,0.00119374,0.0611593,4.70821,0.249302,All
-19.9584,0.00048772,0.000402309,12.1958,6.22106e-32,0,0.00655556,2.41403e-13,0,-5.10055,1.16475e-72,0,-5.98989,0.0384907,0.00664343,-1.48193,0.00864907,0.000734884,1.11178,0.00614528,0.00150049,0.0700009,4.4793,0.289931,All
-19.744,0.000619174,0.000520479,12.28,4.6714e-30,0,0.00662395,2.70638e-12,1.11022e-16,-5.09685,2.57575e-69,0,-5.96226,0.0442697,0.00778523,-1.46049,0.0108844,0.000943479,1.16708,0.00753716,0.00187761,0.0788425,4.24053,0.328482,All
-19.5295,0.000781996,0.000670096,12.3642,2.98508e-28,0,0.00669235,2.72601e-11,7.77156e-16,-5.09314,4.76202e-66,0,-5.93463,0.0507502,0.00909627,-1.43905,0.0136245,0.00120526,1.22237,0.00919962,0.00233898,0.0876841,4.00296,0.364921,All
-19.3151,0.00098253,0.000858549,12.4483,1.62827e-26,0,0.00676075,2.4744e-10,7.66054e-15,-5.08944,7.36032e-63,0,-5.907,0.0579896,0.0105967,-1.41761,0.0169634,0.00153203,1.27766,0.0111745,0.00290071,0.0965257,3.77262,0.399288,All
-19.1006,0.00122811,0.00109469,12.5325,7.60446e-25,0,0.00682914,2.02989e-09,6.60583e-14,-5.08573,9.51084e-60,0,-5.87937,0.0660457,0.0123084,-1.39617,0.021008,0.00193776,1.33296,0.0135077,0.00358133,0.105367,3.5527,0.431664,All
-18.8862,0.00152713,0.00138907,12.6167,3.04967e-23,0,0.00689754,1.50922e-08,5.1481e-13,-5.08203,1.02744e-56,0,-5.85174,0.0749756,0.0142545,-1.37472,0.0258782,0.00243884,1.38825,0.0162491,0.00440199,0.114209,3.34465,0.462147,All
-18.6718,0.00188915,0.00175414,12.7008,1.05324e-21,0,0.00696594,1.01973e-07,3.6483e-12,-5.07832,9.27928e-54,0,-5.82411,0.0848353,0.0164601,-1.35328,0.0317074,0.00305438,1.44354,0.0194524,0.00538676,0.12305,3.14899,0.490844,All
-18.4573,0.00232491,0.00220454,12.785,3.14124e-20,0,0.00703433,6.27767e-07,2.35797e-11,-5.07462,7.00627e-51,0,-5.79648,0.0956785,0.0189517,-1.33184,0.0386426,0.00380649,1.49884,0.0231746,0.00656272,0.131892,2.96562,0.517867,All
-18.2429,0.0028464,0.00275735,12.8692,8.1127e-19,0,0.00710273,3.53012e-06,1.3935e-10,-5.07091,4.42259e-48,0,-5.76885,0.107556,0.021757,-1.3104,0.0468437,0.00472058,1.55413,0.0274756,0.00796021,0.140734,2.79413,0.543321,All
-18.0285,0.00346684,0.00343235,12.9533,1.81918e-17,0,0.00717113,1.81766e-05,7.5489e-10,-5.06721,2.33391e-45,0,-5.74122,0.120513,0.0249052,-1.28895,0.0564824,0.00582562,1.60942,0.0324173,0.00961294,0.149575,2.63395,0.567309,All
-17.814,0.00420071,0.00425229,13.0375,3.55113e-16,0,0.00723952,8.58993e-05,3.75774e-09,-5.06351,1.02969e-42,0,-5.71359,0.134591,0.0284269,-1.26751,0.0677413,0.00715436,1.66471,0.0380629,0.0115581,0.158417,2.48439,0.589929,All
-17.5996,0.00506361,0.00524314,13.1217,6.04977e-15,2.22045e-16,0.00730792,0.000373426,1.72291e-08,-5.0598,3.79795e-40,0,-5.68596,0.149823,0.0323535,-1.24607,0.0808113,0.0087436,1.72001,0.0444758,0.0138363,0.167258,2.34476,0.611271,All
-17.3852,0.00607222,0.00643434,13.2058,9.01727e-14,2.83107e-15,0.00737632,0.00149662,7.2927e-08,-5.0561,1.17113e-37,0,-5.65833,0.166235,0.0367172,-1.22463,0.095889,0.0106342,1.7753,0.0517178,0.0164918,0.1761,2.21437,0.631419,All
-17.1707,0.0072441,0.00785901,13.29,1.17877e-12,3.88578e-14,0.00744471,0.00554154,2.85611e-07,-5.05239,3.01913e-35,0,-5.6307,0.183844,0.0415508,-1.20319,0.113173,0.0128715,1.83059,0.0598483,0.0195719,0.184942,2.09254,0.650453,All
-16.9563,0.00859747,0.00955411,13.3742,1.35467e-11,4.69291e-13,0.00751311,0.0189957,1.03722e-06,-5.04869,6.50688e-33,0,-5.60307,0.202654,0.0468876,-1.18174,0.132861,0.0155048,1.88589,0.0689222,0.0231275,0.193783,1.97864,0.668445,All
-16.7418,0.010151,0.0115605,13.4583,1.37182e-10,5.00744e-12,0.00758151,0.0604012,3.50021e-06,-5.04498,1.17242e-30,0,-5.57543,0.222661,0.0527607,-1.1603,0.155142,0.0185877,1.94118,0.0789881,0.0272121,0.202625,1.87207,0.685463,All
