rep,id,initT,aS,dS,tau,lBt0,lp,dI,lk,f,dp,lw,dE,lI50,eta_initT,eta_aS,eta_dS,eta_tau,eta_lBt0,eta_lp,eta_dI,eta_lk,eta_f,eta_dp,eta_lw,eta_dE,eta_lI50
1,1,-10.4668586701632,69.3792784695693,0.0445764542376181,0.05,-4.85690857095939,4.6,0.9,-1.75681960355394,0.9,0.001,0.486953827183716,1,-0.76257158328038,0.708672952103594,-0.00890700025094571,0.0324515968446875,0,-0.0016918312108638,0,0,0,0,0,0.397468922669598,0,-0.764833273281919
1,2,-6.85886092530787,69.4801519312537,0.0423941120414514,0.05,-4.86410653749954,4.6,0.9,-1.75681960355394,0.9,0.001,0.898349765630465,1,-0.709426462779746,4.31667069695896,-0.00745411398837792,-0.0177447052361486,0,-0.00888979775102161,0,0,0,0,0,0.808864861116346,0,-0.711688152781284
1,3,-1.1475892661175,62.8333988395233,0.0451552319300444,0.05,-4.84602759493853,4.6,0.9,-1.75681960355394,0.9,0.001,1.05701313404154,1,-0.994455354495449,10.0279423561493,-0.108008481291114,0.0453519611145734,0,0.00918914480999256,0,0,0,0,0,0.967528229527418,0,-0.996717044496988
1,4,-11.7415715570696,80.1050733423805,0.0529883711485443,0.05,-4.85278364952637,4.6,0.9,-1.75681960355394,0.9,0.001,0.536898926414182,1,-0.601257579360965,-0.566039934802737,0.134843947626959,0.205318286301854,0,0.00243309022214877,0,0,0,0,0,0.447414021900064,0,-0.603519269362504
1,5,-17.2695716213648,62.8699167684084,0.0461852493319913,0.05,-4.85637972739257,4.6,0.9,-1.75681960355394,0.9,0.001,0.672799498256806,1,-0.988892159169834,-6.09403999909794,-0.107427463523432,0.067906277694874,0,-0.0011629876440491,0,0,0,0,0,0.583314593742687,0,-0.991153849171373
1,6,-4.74376116886658,70.6110069760035,0.040031839528834,0.05,-4.85672535823641,4.6,0.9,-1.75681960355394,0.9,0.001,-0.0519559957789928,1,0.0514881516542214,6.43177045340025,0.0086907964734193,-0.075079065180077,0,-0.00150861848788519,0,0,0,0,0,-0.141440900293111,0,0.0492264616526826
1,7,-12.5412515227399,76.5759938913215,0.04665064107329,0.05,-4.8402053714253,4.6,0.9,-1.75681960355394,0.9,0.001,0.147042250798689,1,-0.00569030475986598,-1.36571990047302,0.0897883899038447,0.0779324785073894,0,0.0150113683232247,0,0,0,0,0,0.0575573462845701,0,-0.0079519947614048
1,8,-8.21874941375687,69.2181900632948,0.0460094644079395,0.05,-4.86398896661409,4.6,0.9,-1.75681960355394,0.9,0.001,-0.226818653040254,1,-0.00677281375791529,2.95678220850996,-0.0112315517816057,0.0640929324403117,0,-0.00877222686556856,0,0,0,0,0,-0.316303557554373,0,-0.00903450375945411
1,9,-5.34392897665911,62.638980094193,0.0323702174228329,0.05,-4.89147588037429,4.6,0.9,-1.75681960355394,0.9,0.001,-0.364672722241838,1,0.20382327831483,5.83160264560772,-0.11110747252055,-0.287515406168133,0,-0.0362591406257664,0,0,0,0,0,-0.454157626755957,0,0.201561588313291
1,10,-7.34002251912026,64.0730987694556,0.0427255112664465,0.05,-4.86697025348605,4.6,0.9,-1.75681960355394,0.9,0.001,-0.278713677661731,1,-0.26684841116285,3.83550910314657,-0.0884706421948787,-0.00995799550723175,0,-0.0117535137375313,0,0,0,0,0,-0.36819858217585,0,-0.269110101164388
1,11,-1.5720166592675,71.8462301531701,0.0429994186289321,0.05,-4.83756529728784,4.6,0.9,-1.75681960355394,0.9,0.001,0.499178034260565,1,-0.0472892341462785,9.60351496299933,0.0260329008064737,-0.00356759553948116,0,0.0176514424606857,0,0,0,0,0,0.409693129746447,0,-0.0495509241478173
1,12,-11.6312071165501,55.8802101146801,0.040645423700247,0.05,-4.86324229193963,4.6,0.9,-1.75681960355394,0.9,0.001,0.431995486961967,1,-0.577499073433568,-0.455675494283225,-0.225284947562439,-0.0598679393275279,0,-0.00802555219110346,0,0,0,0,0,0.342510582447849,0,-0.579760763435107
1,13,-9.52914615305265,84.5039110909794,0.0479017776923875,0.05,-4.86766693620722,4.6,0.9,-1.75681960355394,0.9,0.001,-0.390030739254254,1,0.0850791346010869,1.64638546921419,0.188302576342994,0.104398425419903,0,-0.0124501964586994,0,0,0,0,0,-0.479515643768372,0,0.0828174445995481
1,14,-4.29861099746888,76.0197955403256,0.0482075967272217,0.05,-4.85563351617346,4.6,0.9,-1.75681960355394,0.9,0.001,0.328177388548416,1,-0.212207743949659,6.87692062479795,0.0824985319570288,0.110762426201979,0,-0.000416776424935428,0,0,0,0,0,0.238692484034298,0,-0.214469433951198
1,15,-8.75419512126749,69.7502463622824,0.0460442429439745,0.05,-4.8876913750411,4.6,0.9,-1.75681960355394,0.9,0.001,-0.90903512764551,1,1.26761065499419,2.42133650099935,-0.00357428927838921,0.0648485464984558,0,-0.0324746352925809,0,0,0,0,0,-0.998520032159629,0,1.26534896499265
1,16,-9.70600320578185,79.8984871315615,0.0517607850390696,0.05,-4.85720989474893,4.6,0.9,-1.75681960355394,0.9,0.001,-0.103137443932327,1,0.132419164328244,1.46952841648498,0.132261676019974,0.181878626099668,0,-0.00199315500040598,0,0,0,0,0,-0.192622348446445,0,0.130157474326706
1,17,-5.65102343391529,59.3437996742134,0.0390384129618639,0.05,-4.83045787957639,4.6,0.9,-1.75681960355394,0.9,0.001,-0.267783230022778,1,0.295486046518049,5.52450818835155,-0.165147596978262,-0.100208081757259,0,0.0247588601721338,0,0,0,0,0,-0.357268134536897,0,0.29322435651651
