rep,id,initT,aS,dS,tau,lBt0,lp,dI,lk,lae,f,dp,lw,dE,lI50,eta_initT,eta_aS,eta_dS,eta_tau,eta_lBt0,eta_lp,eta_dI,eta_lk,eta_lae,eta_f,eta_dp,eta_lw,eta_dE,eta_lI50
1,1,-11.6163424308253,15.8246832320778,0.00926159064085417,0.05,-4.9049964258629,4.6,0.9,-4.79979245858251,0.0875321098015389,0.9,0.001,-1.26406346106232,1,1.17556940661399e+19,-3.88212105231062,-0.014077883003301,0.0150664860828158,0,0.00282247154086512,0,0,-0.852924722768614,-0.144322162178182,0,0,-0.782444592182105,196.888323622654,57.4001001361233
1,2,-1.0545800941274,16.3708850451432,0.00825960827994614,0.05,-4.9058080796316,4.6,0.9,-4.50650285248431,0.83939822185577,0.9,0.001,0.416031211287722,1,7.54751479482399e-25,6.67964128438727,0.0198556210854721,-0.099432160620756,0,0.00201081777216938,0,0,-0.559635116670417,0.607543949876049,0,0,0.89765008016794,180.853439490183,-42.0541782443778
1,3,-6.41663317580538,16.7661024008831,0.00845811033091235,0.05,-4.91706881501766,4.6,0.9,-4.07392052605731,0.0861147038458616,0.9,0.001,-1.79771234263659,1,5.13283544261596e+17,1.31758820270929,0.0437102999455101,-0.0756835397657287,0,-0.00924991761389737,0,0,-0.127052790243416,-0.14573956813386,0,0,-1.31609347375637,281.636897529229,54.2688355428961
1,4,-8.78512627805855,15.8331452097298,0.0088678039083358,0.05,-4.91074887859798,4.6,0.9,-4.04609139920348,0.785021559845998,0.9,0.001,-0.156134313339607,1,4.39556886802974e-14,-1.05090489954388,-0.0135432930917383,-0.0283821440602541,0,-0.00292998119421206,0,0,-0.0992236633895835,0.553167287866277,0,0,0.325484555540611,-18.0990868399154,-17.2663636062334
1,5,-6.63097316104642,15.9920397875416,0.00911859294224772,0.05,-4.91713800208101,4.6,0.9,-2.98004092735917,-0.314187316354827,0.9,0.001,-0.540910801356654,1,4.11274700499378e+27,1.10324821746825,-0.00355774874255221,-0.00049381375859614,0,-0.00931910467724073,0,0,0.966826808454727,-0.546041588334548,0,0,-0.0592919324764362,132.016189367253,77.0731194247797
1,6,-10.6581548054652,16.1821442627995,0.00941599859856876,0.05,-4.90150273020553,4.6,0.9,-3.30214573598305,0.641172058909071,0.9,0.001,-2.2355368777029,1,77606.5507054818,-2.92393342695051,0.00825959445967683,0.0316008978291027,0,0.00631616719823302,0,0,0.644721999830842,0.40931778692935,0,0,-1.75391800882268,57.9706259108486,24.7486378565642
1,7,-3.94944457952335,16.8912967403427,0.00869009707535784,0.05,-4.90893829002747,4.6,0.9,-3.15986585474047,-0.518145213166203,0.9,0.001,0.254324257147223,1,9.52187512353557e-26,3.78477679899132,0.0511496695968803,-0.0486252131516078,0,-0.00111939262370786,0,0,0.78700188107343,-0.749999485145924,0,0,0.735943126027441,20.3235184694506,-44.1243898840313
1,8,-7.95245991324519,15.5996163250278,0.00912939605322792,0.05,-4.91385665524203,4.6,0.9,-4.762234407077,0.678087455105872,0.9,0.001,-1.0553694233992,1,3940047101075.13,-0.218238534730512,-0.0284025144993474,0.000690219423907124,0,-0.0060377578382651,0,0,-0.815366671263107,0.44623318312615,0,0,-0.573750554518985,47.6084831216726,42.4914445314026
1,9,-6.7414074055037,15.6964052331709,0.00918689877632311,0.05,-4.8992101836218,4.6,0.9,-3.93876283437257,0.127729750271367,0.9,0.001,-1.83369626863618,1,3391584.56955802,0.992813973010978,-0.0222171138054184,0.00696909979217075,0,0.00860871378196837,0,0,0.00810490144132459,-0.104124521708355,0,0,-1.35207739975596,-62.51094802227,28.5260385324442
1,10,-11.7215126501546,15.8128761692925,0.00906609217738695,0.05,-4.8960693935366,4.6,0.9,-3.55240261314395,-0.102865623685612,0.9,0.001,0.139652983396387,1,8.80043114740633e-27,-3.9872912716399,-0.0148242783357357,-0.00626800345563705,0,0.011749503867164,0,0,0.394465122669946,-0.334719895665333,0,0,0.621271852276606,-114.197482375396,-46.5057660588838
