id,initT_SAEM,aS_SAEM,dS_SAEM,tau_SAEM,lBt0_SAEM,lp_SAEM,dI_SAEM,n_SAEM,V0_SAEM,initT_mean,aS_mean,dS_mean,tau_mean,lBt0_mean,lp_mean,dI_mean,n_mean,V0_mean,initT_mode,aS_mode,dS_mode,tau_mode,lBt0_mode,lp_mode,dI_mode,n_mode,V0_mode,initT_sd,aS_sd,dS_sd,tau_sd,lBt0_sd,lp_sd,dI_sd,n_sd,V0_sd,initT_randomEffects,aS_randomEffects,dS_randomEffects,tau_randomEffects,lBt0_randomEffects,lp_randomEffects,dI_randomEffects,n_randomEffects,V0_randomEffects
7,-8.74738645557258998,0.34371278726583959,-6.64096648557144231,-2.99573227355399085,-4.34881948458275236,4.59999999999999964,0.93690017737495646,-2.43110853476335720,-3.91202300542814596,-8.94110336252723314,0.34339751279575681,-6.71575147097549241,-2.99573227355399085,-4.38519893643807457,4.59999999999999964,0.91780544949297149,-2.44227085349842676,-3.91202300542814596,-8.55587723252556387,0.34339751279575681,-6.84856473465973181,-2.99573227355399085,-4.43572882639535848,4.59999999999999964,0.97169714947172925,-2.50749268578132423,-3.91202300542814596,2.05499567973545227,0.00000000000000000,0.47797820665891755,0.00000000000000000,0.15981671607872097,0.00000000000000000,0.29568636570977108,0.23235691313638260,0.00000000000000000,0.69510085935210064,0.00000000000000000,0.47381058837736861,0.00000000000000000,0.21307140107531847,0.00000000000000000,0.05439479535021641,-0.10915062518511094,0.00000000000000000
8,-8.75705701441004081,0.34371278726583959,-7.78363329851850150,-2.99573227355399085,-5.12261683409264723,4.59999999999999964,0.04296331334983684,-2.38454692515639932,-3.91202300542814596,-9.30608785337264699,0.34339751279575681,-7.78026594338867650,-2.99573227355399085,-5.13279293894324873,4.59999999999999964,0.09069869895288976,-2.45929061161580220,-3.91202300542814596,-8.62569701716942561,0.34339751279575681,-7.92060776827844304,-2.99573227355399085,-5.18052363603414001,4.59999999999999964,0.15175659416424808,-2.45660853857590400,-3.91202300542814596,1.63615245019664757,0.00000000000000000,0.53853308085521423,0.00000000000000000,0.16193781451424674,0.00000000000000000,0.39464618181305960,0.25547459123721222,0.00000000000000000,0.33011636850668630,0.00000000000000000,-0.59070388403581664,0.00000000000000000,-0.53452260142985120,0.00000000000000000,-0.77271195518986502,-0.12617038330248490,0.00000000000000000
9,-11.39023231070056497,0.34371278726583959,-7.19436411132623022,-2.99573227355399085,-4.90774486025786416,4.59999999999999964,-0.24693066264886754,-1.98072384864818218,-3.91202300542814596,-9.60721779899098216,0.34339751279575681,-7.71203103485458730,-2.99573227355399085,-5.06129525813032810,4.59999999999999964,-0.12563017295314602,-2.00826640968833026,-3.91202300542814596,-10.25853119413196524,0.34339751279575681,-7.48191554310165863,-2.99573227355399085,-4.99765937253043990,4.59999999999999964,-0.16437892350445565,-2.00973661218108379,-3.91202300542814596,1.28596896221731805,0.00000000000000000,0.28099542783402948,0.00000000000000000,0.10055961669183171,0.00000000000000000,0.27917529035758887,0.19312408101438353,0.00000000000000000,0.02898642288835459,0.00000000000000000,-0.52246897550171867,0.00000000000000000,-0.46302492061693473,0.00000000000000000,-0.98904082709590158,0.32485381862498874,0.00000000000000000
10,-8.46139510709022247,0.34371278726583959,-7.57290484791617580,-2.99573227355399085,-5.11269908334411038,4.59999999999999964,-0.12209918740211631,-1.72688790032392925,-3.91202300542814596,-8.15023090513740911,0.34339751279575681,-7.80455330243484013,-2.99573227355399085,-5.19035669305306602,4.59999999999999964,-0.03516741603634650,-1.81463269396477456,-3.91202300542814596,-7.93101109518235514,0.34339751279575681,-7.86091364590060238,-2.99573227355399085,-5.20853117412496225,4.59999999999999964,0.00636988122163418,-1.88891940417821802,-3.91202300542814596,1.01515293267354467,0.00000000000000000,0.43376310364193071,0.00000000000000000,0.15289592605100469,0.00000000000000000,0.28219896063454397,0.26888492983852258,0.00000000000000000,1.48597331674191713,0.00000000000000000,-0.61499124308197051,0.00000000000000000,-0.59208635553967670,0.00000000000000000,-0.89857807017910174,0.51848753434854233,0.00000000000000000
11,-4.68953528027090094,0.34371278726583959,-5.88337570592740366,-2.99573227355399085,-3.97881472495407973,4.59999999999999964,1.44799838343049592,-3.17580766827814998,-3.91202300542814596,-4.90871304373905115,0.34339751279575681,-5.70949485696691816,-2.99573227355399085,-3.91695766558343550,4.59999999999999964,1.42768611390142586,-3.15971831183347440,-3.91202300542814596,-4.81904360316900870,0.34339751279575681,-5.73038736901125922,-2.99573227355399085,-3.93647955256718207,4.59999999999999964,1.39217828451299330,-3.17197149016444424,-3.91202300542814596,0.97453500317954478,0.00000000000000000,0.42750228422713477,0.00000000000000000,0.11446130182591248,0.00000000000000000,0.27583433250002892,0.19691016172621800,0.00000000000000000,4.72749117814028175,0.00000000000000000,1.48006720238594758,0.00000000000000000,0.68131267192996148,0.00000000000000000,0.56427545975867022,-0.82659808352015729,0.00000000000000000
12,-12.93721559299398116,0.34371278726583959,-5.89278462083896049,-2.99573227355399085,-4.36994064901343560,4.59999999999999964,0.35564444403428386,-2.57772924602938192,-3.91202300542814596,-12.47619944002016901,0.34339751279575681,-5.94992665349891325,-2.99573227355399085,-4.38185355513419239,4.59999999999999964,0.38629964665525296,-2.57276641108764315,-3.91202300542814596,-12.40410406642471841,0.34339751279575681,-6.02942569583831478,-2.99573227355399085,-4.41055001594854090,4.59999999999999964,0.40795486452521457,-2.62398662832736740,-3.91202300542814596,1.81677762413333976,0.00000000000000000,0.30976760493901961,0.00000000000000000,0.10277000372671834,0.00000000000000000,0.19356935796536473,0.17384617858155346,0.00000000000000000,-2.83999521814083256,0.00000000000000000,1.23963540585395404,0.00000000000000000,0.21641678237919931,0.00000000000000000,-0.47711100748750274,-0.23964618277432614,0.00000000000000000
13,-11.06597752185210304,0.34371278726583959,-8.18474692990792718,-2.99573227355399085,-5.30888035877332953,4.59999999999999964,-0.34401741093519572,-1.86714409123540026,-3.91202300542814596,-10.65497174955903859,0.34339751279575681,-8.54172373763858062,-2.99573227355399085,-5.41815145638376183,4.59999999999999964,-0.03066695325698956,-2.07275262665640225,-3.91202300542814596,-10.46882508462158512,0.34339751279575681,-8.55024883261402380,-2.99573227355399085,-5.42657726969082521,4.59999999999999964,-0.03187692779186922,-2.07980073160770074,-3.91202300542814596,1.31265840238888254,0.00000000000000000,0.36217533940009822,0.00000000000000000,0.12366387472382022,0.00000000000000000,0.33975405195138414,0.22063016228664314,0.00000000000000000,-1.01876752767969969,0.00000000000000000,-1.35216167828571288,0.00000000000000000,-0.81988111887037307,0.00000000000000000,-0.89407760739974451,0.26036760165691597,0.00000000000000000
14,-7.10788462960414069,0.34371278726583959,-5.41889316736483639,-2.99573227355399085,-4.11579500832435574,4.59999999999999964,0.35203080542981446,-2.66855073690065270,-3.91202300542814596,-7.65738822212578185,0.34339751279575681,-5.32053069705877135,-2.99573227355399085,-4.09791881422353832,4.59999999999999964,0.25684899833464947,-2.69840781739031632,-3.91202300542814596,-6.99995620401143004,0.34339751279575681,-5.53265118647220433,-2.99573227355399085,-4.15158002012816141,4.59999999999999964,0.41944111129306394,-2.69547273670455212,-3.91202300542814596,1.16857772930814718,0.00000000000000000,0.32197173079604624,0.00000000000000000,0.11344044638019890,0.00000000000000000,0.20764406043862826,0.13621502171560193,0.00000000000000000,1.97881599975354949,0.00000000000000000,1.86903136229409150,0.00000000000000000,0.50035152328985866,0.00000000000000000,-0.60656165580810517,-0.36528758907700010,0.00000000000000000
15,-10.60561967501229752,0.34371278726583959,-6.29181464715190586,-2.99573227355399085,-4.57759434277902955,4.59999999999999964,0.20599581047967991,-1.46015186021162080,-3.91202300542814596,-9.27124158309471191,0.34339751279575681,-7.07737494705747316,-2.99573227355399085,-4.81512087908763764,4.59999999999999964,0.59800319915957956,-1.65792465367608322,-3.91202300542814596,-10.33042876247223596,0.34339751279575681,-6.42909546181906677,-2.99573227355399085,-4.63186091438874570,4.59999999999999964,0.08340207347273858,-1.65919796394666341,-3.91202300542814596,1.63936906224930512,0.00000000000000000,0.70066706654180033,0.00000000000000000,0.22101413225400754,0.00000000000000000,0.50436024723330708,0.36146296948093548,0.00000000000000000,0.36496263878461732,0.00000000000000000,0.11218711229539335,0.00000000000000000,-0.21685054157423941,0.00000000000000000,-0.26540745498317508,0.67519557463723523,0.00000000000000000
16,-9.25782398161074127,0.34371278726583959,-7.16036028210293374,-2.99573227355399085,-4.68144552710365236,4.59999999999999964,0.91809044078852520,-3.05690203433293251,-3.91202300542814596,-10.38157927618698828,0.34339751279575681,-6.95447551169066358,-2.99573227355399085,-4.62760240192468864,4.59999999999999964,0.83106293244172780,-3.07506381218306579,-3.91202300542814596,-9.63456140311263987,0.34339751279575681,-6.97106312943921580,-2.99573227355399085,-4.63392604978385503,4.59999999999999964,0.82499024721416336,-3.05020323083501044,-3.91202300542814596,1.60158341555268890,0.00000000000000000,0.44187035348789833,0.00000000000000000,0.11592790839181762,0.00000000000000000,0.30644348299226531,0.19529362511169737,0.00000000000000000,-0.74537505430765671,0.00000000000000000,0.23508654766220022,0.00000000000000000,-0.02933206441129646,0.00000000000000000,-0.03234772170102708,-0.74194358386974713,0.00000000000000000
