rep,id,initT,aS,dS,tau,Bt0,p,g,dI,n,V0
8,U7,2.98490945266823,0.896508387940061,0.00212469994423511,1,1.65199952180816e-5,9634.95211530229,23,0.8,0.199700850247474,1e-6
9,U7,1.96205244669724,0.756725984311971,0.000825160613486332,1,6.1786623106746e-6,11410.2515461167,23,0.8,0.14601537046451,1e-6
10,U7,3.52029205145167,2.65445362748195,0.00171785398118351,1,8.82942408213986e-6,5527.79192215359,23,0.8,0.166464309319621,1e-6
1,U8,-1.79000639622209,2.47180149823011,0.000519441015931253,1,2.26852420233398e-6,4573.27238019164,23,0.8,0.141402109905905,1e-6
2,U8,-1.25027929899369,2.15456446068225,0.000871703061560243,1,2.99071576710933e-6,6761.33563766272,23,0.8,0.168287309552622,1e-6
3,U8,-1.88940153086755,0.570355005182445,0.00022292687198361,1,2.21200669044506e-6,8620.60687792614,23,0.8,0.197308197227647,1e-6
4,U8,-1.46386715347695,2.0509952991499,0.000576375521319946,1,2.49534832791762e-6,5583.87322188029,23,0.8,0.187123453212018,1e-6
5,U8,-2.03261290878915,1.48650821175373,0.000701895040337622,1,2.40871553003869e-6,8998.55309931785,23,0.8,0.147859161809314,1e-6
6,U8,-2.3260055737978,0.398139411346593,0.000220851788649068,1,1.50737366495353e-6,16672.540442316,23,0.8,0.156976651979644,1e-6
7,U8,-2.47777747411926,2.35967159286795,0.000674036593810736,1,2.74680949590284e-6,4840.26334625378,23,0.8,0.163519294478853,1e-6
8,U8,-2.30567965928969,2.07680329391685,0.00104483093785991,1,2.46701538267357e-6,9488.14405822077,23,0.8,0.163936302232634,1e-6
9,U8,-1.83193607541303,0.307715703140533,0.000274329410798208,1,2.45111849392998e-6,16970.2159843991,23,0.8,0.246489423359392,1e-6
10,U8,-1.09225107496158,2.80982415656179,0.00087592209125208,1,3.10948747642101e-6,5605.03848927995,23,0.8,0.210134439392289,1e-6
1,U9,5.09310212979163,0.490994146971982,0.00208735083726095,1,6.82526083700635e-6,35885.5142794133,23,0.8,0.208852142450264,1e-6
2,U9,4.79622663048212,5.71059154934176,0.00792446274602658,1,9.76970673565484e-6,8508.21660510609,23,0.8,0.145265715237649,1e-6
3,U9,5.79811773599739,1.92842353684735,0.0025182546273932,1,5.16799521278133e-6,16752.8616403182,23,0.8,0.189737829402501,1e-6
4,U9,5.8235862436082,0.573190696235032,0.0017543709399571,1,6.47062802479619e-6,29382.602567288,23,0.8,0.214705336158424,1e-6
5,U9,4.88403778246573,3.98227028005405,0.00448193971927575,1,6.15303808271245e-6,10356.2474746622,23,0.8,0.160287718101851,1e-6
6,U9,6.13542694612154,2.00160283265525,0.00352052943632952,1,6.59529278147655e-6,17074.2707757055,23,0.8,0.175913022613712,1e-6
7,U9,4.67591608734828,0.741238648711491,0.00150279396808654,1,4.11389873082544e-6,28412.0309238366,23,0.8,0.158114846362718,1e-6
8,U9,5.9802822966073,4.00324458800242,0.00576100007308575,1,7.28281685542655e-6,12514.8877292038,23,0.8,0.13591374501116,1e-6
9,U9,7.13015868035229,1.8269309423485,0.00424335458061049,1,5.32090522140075e-6,31370.2870227238,23,0.8,0.174063250359675,1e-6
10,U9,7.76175364850391,1.22676336353058,0.00202331987747239,1,6.25622802129952e-6,20841.9843472517,23,0.8,0.20593226754767,1e-6
1,U10,2.30348068406587,1.45389660427734,0.000422568823539435,1,2.90561854858908e-6,5702.17561117049,23,0.8,0.185048690746311,1e-6
2,U10,4.06105477913899,2.53835705382905,0.00178181027870678,1,4.08967054243994e-6,10811.7057731818,23,0.8,0.169106873423405,1e-6
3,U10,4.41911300351726,6.22230858808499,0.000656048875619221,1,2.8649327323543e-6,2654.06286017005,23,0.8,0.176744695547404,1e-6
4,U10,5.70033578097665,2.17387816021489,0.000304623657627896,1,3.25790135393474e-6,3437.59460353987,23,0.8,0.194039133891299,1e-6
5,U10,4.89296002907572,2.07199447431758,0.00189859637105603,1,4.30698888538241e-6,15531.7708473185,23,0.8,0.204048361692751,1e-6
6,U10,1.97379420104911,7.22137733128996,0.000873368648084561,1,3.2057084886358e-6,2156.0144063376,23,0.8,0.183631354610646,1e-6
7,U10,2.58837360284484,1.72254209224849,0.000642317451278396,1,4.51439301490569e-6,5250.65818445104,23,0.8,0.195429335630531,1e-6
8,U10,4.78120665140621,1.33025812256537,0.000698708612574786,1,4.31513805578278e-6,9217.67640901255,23,0.8,0.252555156676142,1e-6
9,U10,1.14000414393094,6.5447519229276,0.00122700060203863,1,2.58522397162237e-6,4221.05302108381,23,0.8,0.192840615486317,1e-6
10,U10,4.00738856913901,2.44031626843415,0.000438268615561463,1,2.78540213202484e-6,4574.94902315702,23,0.8,0.164505170646532,1e-6
1,U11,6.19944260870762,1.15640765240197,0.0012496563135432,1,1.10518780181375e-5,6800.09684910625,23,0.8,0.134602766252777,1e-6
2,U11,5.56659225092709,3.48436420288464,0.00324872729621834,1,2.10968728431461e-5,2860.14003915207,23,0.8,0.130748088587958,1e-6
3,U11,4.98372878572411,2.73787993945719,0.00363336618887929,1,4.62996607888615e-5,1696.54757570299,23,0.8,0.161572759026378,1e-6
4,U11,6.5711903671605,0.783636961622367,0.00124726467760528,1,1.23628037002861e-5,9152.16527744519,23,0.8,0.144749651510582,1e-6
5,U11,4.12196801435755,2.03166734120896,0.00226705544240327,1,2.28177009182486e-5,2668.71001114674,23,0.8,0.142749071205734,1e-6
6,U11,5.06533395259868,1.76521322876911,0.00297123035749757,1,5.6617448913743e-5,1802.00745278476,23,0.8,0.165251347261112,1e-6
7,U11,6.37489960769009,0.790049272724681,0.00188441155241812,1,2.05863666519111e-5,7948.52856318309,23,0.8,0.146393115304709,1e-6
8,U11,7.61504358821275,2.85858243564583,0.00204770328780946,1,2.14675008248516e-5,2677.0582371783,23,0.8,0.151868480494963,1e-6
9,U11,6.14004391515867,2.83431075115655,0.00419602149701012,1,4.52405100639696e-5,2082.1993522117,23,0.8,0.149081144878346,1e-6
10,U11,5.45617601932228,0.966403901587107,0.00201875552383721,1,2.17585881763512e-5,6185.06414712131,23,0.8,0.152162822596495,1e-6
1,U12,-2.359154322501,6.97922412271349,0.00296161589880985,1,6.72511175160035e-6,4061.50574072988,23,0.8,0.154007258840224,1e-6
2,U12,-2.34883718825898,6.45495569737997,0.00491504562100515,1,7.32009587355321e-6,6450.1536479869,23,0.8,0.143296267628616,1e-6
3,U12,-2.55290900561536,3.27189502427702,0.00471360735287752,1,7.6204761995078e-6,11673.2577334623,23,0.8,0.125838161220402,1e-6
4,U12,-0.827553160762876,5.64550515671841,0.0025929828750345,1,7.87051159193499e-6,4476.92855717684,23,0.8,0.184732845029088,1e-6
5,U12,-3.75445192306747,6.61560263763586,0.00764183348306476,1,7.65611655505473e-6,8285.43774238446,23,0.8,0.116865917740343,1e-6
6,U12,-1.83232577390905,4.33718069736883,0.00297684177832888,1,5.53874530871978e-6,8161.35092895446,23,0.8,0.158697632424645,1e-6
7,U12,-2.75637727835037,3.92217489417201,0.00236701835040769,1,7.35395716206206e-6,4814.70317823752,23,0.8,0.17388062633975,1e-6
8,U12,-3.04374056024711,6.58801500343261,0.00451636727422572,1,4.3384534743511e-6,9393.66207921703,23,0.8,0.107298831942532,1e-6
9,U12,-2.69937128400575,2.43887836615364,0.00291078331611448,1,7.67631017240506e-6,9458.56164941766,23,0.8,0.169657594922292,1e-6
10,U12,-2.90330205610303,3.89080612012867,0.00238028156831043,1,5.64537722592548e-6,6586.41587855055,23,0.8,0.140461417983648,1e-6
1,U13,-2.30661399289859,1.28474866930488,0.0013886574108787,1,1.16218001311359e-5,5024.5722626863,23,0.8,0.0695350605457249,1e-6
2,U13,-2.28375381807086,1.78007483467315,0.000888335813861448,1,1.3819775682143e-5,1880.67200936177,23,0.8,0.069732345886486,1e-6
3,U13,-0.984019577428617,1.46382471369564,0.000629940647601164,1,8.21268034691898e-6,3043.68879830148,23,0.8,0.0746105649151403,1e-6
4,U13,-2.83995289924534,1.61040914901711,0.00131301912619339,1,9.004725807761e-6,4648.32326689806,23,0.8,0.0652512472131479,1e-6
5,U13,-2.99423679480872,1.55904390292149,0.000751982746974023,1,1.39913649652766e-5,1722.40940758097,23,0.8,0.071502359593583,1e-6
6,U13,-0.77643586848529,1.05378731908296,0.000718234231170563,1,1.09321636384748e-5,3621.64499350845,23,0.8,0.0777806553165917,1e-6
7,U13,-1.44362672298452,1.4770790376575,0.00155089840654071,1,1.22229312483074e-5,4814.16016247503,23,0.8,0.0702848962968917,1e-6
8,U13,-1.72770532551638,2.20174956416778,0.000933850559690632,1,1.67353344395401e-5,1393.87543611448,23,0.8,0.0753556806521472,1e-6
9,U13,-0.617119543526968,1.17974981154885,0.00066589256469006,1,1.25718288524609e-5,2610.65095267099,23,0.8,0.0796679908020988,1e-6
10,U13,-2.20794646105902,1.29569247108623,0.00137769857599981,1,1.33291224174215e-5,4341.94100348706,23,0.8,0.0720552206750959,1e-6
1,U14,1.07931173802511,3.34972910102083,0.00280607032352652,1,2.91448082457058e-6,18803.5171874068,23,0.8,0.155389106753106,1e-6
2,U14,0.56807398404446,6.20871124837327,0.000813560992686766,1,2.76207971001976e-6,2938.07745643101,23,0.8,0.158931102198049,1e-6
3,U14,0.0775999848809219,1.53324984973878,0.000529608409637033,1,4.31894539547652e-6,4801.97515408283,23,0.8,0.179822879663535,1e-6
4,U14,0.910612916924639,2.70148755943012,0.00209526709102924,1,2.07711655960685e-6,23420.2745855226,23,0.8,0.169186476398256,1e-6
5,U14,-0.340402777897602,6.70369951209214,0.000809193034722909,1,1.89499929165495e-6,3612.25507018279,23,0.8,0.132419635281371,1e-6
6,U14,-1.44572295396168,1.1203046781034,0.000322508176819615,1,2.95199821827534e-6,4930.91838683473,23,0.8,0.170758132702921,1e-6
7,U14,-0.676992440136339,2.70680275322262,0.00246062429624062,1,3.06124261187151e-6,15935.2155504889,23,0.8,0.132723208054214,1e-6
8,U14,0.503181170552506,7.64021659511179,0.000699359222551823,1,1.43769446042444e-6,3747.96436398761,23,0.8,0.134568853083237,1e-6
9,U14,0.969583507228895,0.902671466533767,0.000271649070202281,1,2.42986242948639e-6,7757.34035793121,23,0.8,0.163879198377021,1e-6
10,U14,0.0837342027606925,2.38294015923591,0.00171413674913367,1,3.63393612802586e-6,11150.2891959051,23,0.8,0.173171488795332,1e-6
1,U15,6.07753928874516,6.22763113141618,0.000698823106941601,1,5.6179305614079e-6,1493.28102118762,23,0.8,0.101862750023884,1e-6
2,U15,5.2841387592335,4.81764107108651,0.00248524090761951,1,1.1771859644551e-5,3038.34496196803,23,0.8,0.0954116476035256,1e-6
3,U15,5.27257548623275,1.17958934656387,0.000970921884036508,1,1.09078264560884e-5,5245.29090418202,23,0.8,0.119079520483405,1e-6
4,U15,5.4473505064676,6.40423913215034,0.000876296631079592,1,5.99918704479867e-6,1634.11621280198,23,0.8,0.107866906302826,1e-6
5,U15,4.97588595423214,5.23744913092286,0.0026017138079141,1,1.30381888594204e-5,2527.2594504175,23,0.8,0.095596702652687,1e-6
6,U15,4.40310629674091,1.45293798819488,0.00128637882043472,1,1.0841569783549e-5,5235.35391787641,23,0.8,0.109603839442072,1e-6
7,U15,5.44114288465278,5.08075446022649,0.00144877927190778,1,6.83448198311362e-6,2929.87670341536,23,0.8,0.103640666154259,1e-6
8,U15,5.85585087942599,5.53267052613323,0.00201629902960222,1,9.42093168584718e-6,2851.1460130371,23,0.8,0.108693120425005,1e-6
9,U15,6.68790800171397,1.49586107578941,0.0011043447965179,1,7.8171881933571e-6,7579.49463978618,23,0.8,0.123794276748816,1e-6
10,U15,6.46405170514108,5.05025976491706,0.0011017522705896,1,7.34460888980375e-6,2384.05545332938,23,0.8,0.11334949082375,1e-6
1,U16,2.42150021122751,1.66550554468951,0.00153921412002293,1,3.97329054108546e-6,15570.8790785203,23,0.8,0.198905084121077,1e-6
2,U16,2.86314486561752,1.82566949963699,0.000363871452211138,1,5.29777189412899e-6,2792.09265806051,23,0.8,0.186733181208804,1e-6
3,U16,2.46647595487996,1.65670080691945,0.00295785594145221,1,5.96528585813031e-6,21585.6380780142,23,0.8,0.173826258297663,1e-6
4,U16,3.36347839371827,1.72562255672903,0.00223009186717717,1,5.78494219191974e-6,17364.7268299915,23,0.8,0.218572071665593,1e-6
5,U16,3.71393998153715,1.41742968807705,0.000516323104888938,1,9.37300815209946e-6,3261.3449358394,23,0.8,0.249953598796254,1e-6
6,U16,1.69590380521012,1.43187557222184,0.00326403515958189,1,6.87776477538303e-6,22020.5893382173,23,0.8,0.168068864367341,1e-6
7,U16,2.35841640638298,1.10565444588859,0.00154717908793161,1,5.66754960028332e-6,16007.1365714185,23,0.8,0.232841242195747,1e-6
8,U16,1.82908184146502,1.83980625714094,0.000462508596672858,1,4.76624274813184e-6,3559.60293851151,23,0.8,0.209610390594929,1e-6
9,U16,2.5956899938305,2.1483332719302,0.00249594442444434,1,3.95174511923736e-6,20522.6633556715,23,0.8,0.180134109876737,1e-6
10,U16,2.80151904289089,1.003049733132,0.00130178777812814,1,5.21450282616919e-6,18241.7137902165,23,0.8,0.229917241558456,1e-6
1,U17,9.23312972030534,0.530988003351989,0.000485673761179456,1,7.06271011633079e-5,994.424671807391,23,0.8,0.165211274801621,1e-6
2,U17,9.67781490989238,0.82237183994141,0.000522010010778787,1,3.91100399977306e-5,1424.45713940769,23,0.8,0.146082634665363,1e-6
3,U17,8.27555493768696,0.233359431839254,0.00114894401356102,1,0.000150792244730877,2155.71491871363,23,0.8,0.191532581414135,1e-6
4,U17,8.97644340812412,0.879731416123345,0.00055465740799646,1,7.84669418681309e-5,633.663509241861,23,0.8,0.153797497467913,1e-6
5,U17,8.97640250500895,0.742826762868511,0.000593114435575235,1,5.33869255573006e-5,1228.6594232192,23,0.8,0.146743127709558,1e-6
6,U17,7.49578042951846,0.190261354997379,0.000973117818590752,1,7.89765763428486e-5,4059.87035442706,23,0.8,0.166137155802307,1e-6
7,U17,7.96013038618317,0.784293333296961,0.000475520053396978,1,0.000102651605117853,410.691725758892,23,0.8,0.159107912695051,1e-6
8,U17,9.26031107466864,0.60096854672013,0.000539943213377479,1,5.8679650698925e-5,1316.65368107742,23,0.8,0.150944119448095,1e-6
9,U17,7.33660690521205,0.287697618833996,0.00143941898688332,1,9.73687899361033e-5,3369.65850641171,23,0.8,0.171947767050951,1e-6
10,U17,8.41690325412594,0.886552527910625,0.000462632467146959,1,7.5444313336908e-5,487.757290391955,23,0.8,0.142828501021807,1e-6
