,A11200,A11201,A11213,A11214,A11219,A11221,R10155,R10159,T10173,T10187,Z08214,Z09087,Z09106,Z09125,Z09144,Z09192,Z09196,Z09204,Z11151,Z12037,Z12216,Z12351,Z12370,Z12417,Z12420,Z13133,weeks
31,30.0,30.0,17121.0,30.0,30.0,30.0,206.0,30.0,30.0,55.0,30.0,30.0,30.0,30.0,197.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,29.0
32,,,,,,,,,,,30.0,440.0,30.0,30.0,27.0,30.0,,,,,,,,,,,29.5
33,30.0,30.0,319.0,68.0,30.0,30.0,250.0,30.0,30.0,29.0,30.0,113.0,30.0,30.0,68.0,30.0,30.0,25.0,30.0,30.0,30.0,30.0,,30.0,30.0,,30.0
34,30.0,30.0,,,30.0,30.0,71.0,30.0,30.0,127.0,30.0,364.0,30.0,30.0,143.0,30.0,33.0,30.0,30.0,30.0,30.0,30.0,,30.0,30.0,,31.0
35,30.0,30.0,74.0,29.0,30.0,30.0,319.0,30.0,30.0,30.0,30.0,116.0,30.0,30.0,28.0,30.0,30.0,30.0,,30.0,30.0,,30.0,30.0,30.0,30.0,32.0
36,30.0,30.0,,,30.0,30.0,222.0,30.0,30.0,155.0,30.0,95.0,30.0,30.0,41.0,30.0,,,30.0,,,30.0,30.0,30.0,30.0,30.0,33.0
37,30.0,30.0,24.0,30.0,30.0,30.0,163.0,30.0,30.0,223.0,30.0,162.0,30.0,30.0,18.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,34.0
38,30.0,47.0,,,30.0,30.0,333.0,30.0,30.0,136.0,30.0,48.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,35.0
39,30.0,30.0,,30.0,30.0,30.0,146.0,30.0,30.0,52.0,30.0,104.0,30.0,30.0,17.0,30.0,,,,30.0,30.0,,30.0,30.0,30.0,30.0,36.0
40,30.0,30.0,30.0,,30.0,30.0,30.0,30.0,30.0,445.0,18.0,32.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,30.0,30.0,30.0,30.0,30.0,37.0
41,,,,30.0,30.0,30.0,73.0,,30.0,42.0,30.0,30.0,30.0,30.0,66.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,38.0
42,30.0,30.0,,,30.0,30.0,94.0,30.0,30.0,28.0,30.0,46.0,30.0,30.0,30.0,30.0,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,39.0
43,30.0,30.0,,30.0,30.0,30.0,171.0,30.0,30.0,94.0,30.0,21.0,31.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,40.0
44,,,,,30.0,30.0,123.0,30.0,30.0,212.0,30.0,51.0,30.0,30.0,31.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,41.0
45,30.0,30.0,,57.0,30.0,30.0,270.0,30.0,30.0,114.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,30.0,30.0,,,30.0,42.0
46,30.0,30.0,,,30.0,30.0,,,,,30.0,30.0,,30.0,30.0,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,43.0
47,,,,30.0,,,,,30.0,,,,,,,,,,30.0,30.0,30.0,30.0,,,,,44.0
48,30.0,30.0,,,30.0,30.0,80.0,30.0,30.0,30.0,,27.0,30.0,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,,,45.0
49,,,,30.0,,,,30.0,30.0,,,,,,,,,,,,,,,,,,46.0
50,30.0,30.0,,,30.0,30.0,30.0,,,35.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,30.0,,,,,47.0
51,,,,,,,,30.0,30.0,,,,,,,,,,,,,,,,,,48.0
52,30.0,30.0,,30.0,30.0,30.0,35.0,,,30.0,44.0,31.0,30.0,37.0,30.0,30.0,30.0,30.0,30.0,,,30.0,,,,,49.0
53,,,,,,,,30.0,30.0,,,,,,,,,,,,30.0,,,,,,50.0
54,30.0,30.0,,30.0,30.0,30.0,30.0,,,30.0,,,,,,,,,,30.0,30.0,,,,,,51.0
55,,,,,,,,30.0,30.0,,,,,,,,30.0,30.0,,,,,,,,,52.0
56,30.0,30.0,,30.0,,,30.0,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,30.0,30.0,30.0,,,,,,53.0
57,30.0,30.0,,,,,,30.0,30.0,,,,,,,,,,30.0,,,30.0,,,,,54.0
58,,,,30.0,,,213.0,,,276.0,90.0,30.0,,,30.0,30.0,,,30.0,30.0,30.0,30.0,,,,,55.0
59,,,,,,,,30.0,30.0,,30.0,36.0,,30.0,30.0,30.0,30.0,30.0,30.0,,,30.0,,,,,56.0
60,30.0,30.0,,30.0,,,,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,30.0,,,,,57.0
61,,,,,,,30.0,30.0,30.0,,,,,,,,,,,,30.0,30.0,,,,,58.0
62,,,,30.0,,,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,,,,,,59.0
63,30.0,30.0,,,,,30.0,30.0,30.0,,,,,,,,30.0,30.0,30.0,,30.0,,,,,,60.0
64,30.0,30.0,,30.0,,,30.0,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,,,,61.0
65,30.0,30.0,,,,,30.0,30.0,,30.0,30.0,31.0,30.0,,30.0,30.0,30.0,30.0,,30.0,30.0,,,,,,62.0
66,30.0,30.0,,,,,30.0,,30.0,30.0,30.0,30.0,30.0,,30.0,30.0,30.0,30.0,30.0,30.0,,,,,,,63.0
67,30.0,30.0,,,,,,30.0,,,30.0,30.0,30.0,,30.0,30.0,,,,,,,,,,,64.0
68,30.0,30.0,,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,30.0,30.0,30.0,30.0,,30.0,30.0,,,,,,65.0
69,30.0,30.0,,30.0,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,30.0,30.0,30.0,30.0,,,,,,,,,66.0
70,,,,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,30.0,30.0,30.0,30.0,,,,,,,,,67.0
71,,,,,,,,30.0,30.0,,,,,,,,30.0,30.0,,,,,,,,,68.0
72,,,,,,,30.0,30.0,30.0,30.0,,,,,,,30.0,30.0,,,,,,,,,69.0
73,30.0,30.0,,,,,30.0,30.0,30.0,30.0,,,,,,,30.0,30.0,,,,,,,,,70.0
74,30.0,30.0,,30.0,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,30.0,30.0,30.0,30.0,,,,,,,,,71.0
75,,,,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,30.0,30.0,30.0,30.0,,,,,,,,,72.0
76,30.0,30.0,,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,30.0,30.0,30.0,30.0,,,,,,,,,73.0
77,30.0,30.0,,,,,,30.0,30.0,,30.0,34.0,30.0,,30.0,30.0,30.0,30.0,,,,,,,,,74.0
78,30.0,30.0,,30.0,,,30.0,30.0,30.0,30.0,30.0,18.0,30.0,,30.0,30.0,30.0,30.0,,,,,,,,,75.0
79,30.0,30.0,,,,,,30.0,30.0,,30.0,30.0,30.0,,30.0,30.0,30.0,30.0,,,,,,,,,76.0
80,30.0,30.0,,,,,,30.0,30.0,,30.0,30.0,,,30.0,,,,,,,,,,,,77.0
81,,30.0,,,,,,30.0,30.0,,,494.0,30.0,,27.0,30.0,,,,,,,,,,,78.0
