rep,id,eta_initT,eta_aS,eta_dS,eta_tau,eta_lBt0,eta_lp,eta_dI,eta_lk,eta_f,eta_dp,eta_lw,eta_dE,eta_lI50,data
1,35,-6.094686,0.000000,-0.013786,0.000000,-0.018801,0.000000,0.000000,0.000000,0.000000,0.000000,-0.404366,0.000000,0.016847,thai
2,35,-4.433643,0.000000,0.016571,0.000000,0.005183,0.000000,0.000000,0.000000,0.000000,0.000000,-0.041878,0.000000,-0.264465,thai
3,35,-6.835698,0.000000,0.030665,0.000000,-0.006848,0.000000,0.000000,0.000000,0.000000,0.000000,-0.172413,0.000000,-0.237358,thai
4,35,-1.829978,0.000000,-0.041166,0.000000,0.048172,0.000000,0.000000,0.000000,0.000000,0.000000,-0.345041,0.000000,0.020866,thai
5,35,-1.669277,0.000000,-0.047057,0.000000,0.041691,0.000000,0.000000,0.000000,0.000000,0.000000,-0.538280,0.000000,0.205370,thai
6,35,-3.070269,0.000000,0.012675,0.000000,0.025523,0.000000,0.000000,0.000000,0.000000,0.000000,-0.481732,0.000000,0.210302,thai
7,35,-6.686480,0.000000,0.058999,0.000000,0.025413,0.000000,0.000000,0.000000,0.000000,0.000000,-0.343159,0.000000,-0.026441,thai
8,35,-8.222225,0.000000,0.010048,0.000000,-0.019547,0.000000,0.000000,0.000000,0.000000,0.000000,-0.284265,0.000000,-0.119118,thai
9,35,-2.379031,0.000000,-0.058407,0.000000,0.005257,0.000000,0.000000,0.000000,0.000000,0.000000,0.105778,0.000000,-0.450960,thai
10,35,-3.486461,0.000000,-0.005529,0.000000,0.025312,0.000000,0.000000,0.000000,0.000000,0.000000,0.019238,0.000000,-0.456210,thai
1,36,4.221462,0.000000,0.012048,0.000000,-0.014338,0.000000,0.000000,0.000000,0.000000,0.000000,0.222060,0.000000,0.844184,thai
2,36,2.970092,0.000000,0.061039,0.000000,-0.007172,0.000000,0.000000,0.000000,0.000000,0.000000,0.267323,0.000000,0.075149,thai
3,36,3.585214,0.000000,-0.005763,0.000000,-0.000674,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030800,0.000000,1.115365,thai
4,36,4.747545,0.000000,0.023613,0.000000,-0.000827,0.000000,0.000000,0.000000,0.000000,0.000000,0.066840,0.000000,0.600354,thai
5,36,3.455487,0.000000,0.060673,0.000000,-0.011204,0.000000,0.000000,0.000000,0.000000,0.000000,0.159916,0.000000,0.058899,thai
6,36,5.548975,0.000000,-0.012021,0.000000,0.010794,0.000000,0.000000,0.000000,0.000000,0.000000,0.105169,0.000000,0.472815,thai
7,36,4.728970,0.000000,-0.005566,0.000000,0.001451,0.000000,0.000000,0.000000,0.000000,0.000000,0.145996,0.000000,0.207430,thai
8,36,5.282865,0.000000,-0.001651,0.000000,0.024059,0.000000,0.000000,0.000000,0.000000,0.000000,0.235511,0.000000,0.729553,thai
9,36,4.884648,0.000000,0.042819,0.000000,0.012477,0.000000,0.000000,0.000000,0.000000,0.000000,0.382580,0.000000,-0.107337,thai
10,36,4.917271,0.000000,-0.029803,0.000000,-0.019255,0.000000,0.000000,0.000000,0.000000,0.000000,0.468867,0.000000,-0.205744,thai
1,37,-0.750381,0.000000,-0.022771,0.000000,-0.001514,0.000000,0.000000,0.000000,0.000000,0.000000,-0.592715,0.000000,0.150487,thai
2,37,0.933235,0.000000,-0.036440,0.000000,0.006359,0.000000,0.000000,0.000000,0.000000,0.000000,-0.586026,0.000000,-0.365254,thai
3,37,2.032780,0.000000,-0.072048,0.000000,0.018606,0.000000,0.000000,0.000000,0.000000,0.000000,-0.377264,0.000000,-0.135431,thai
