id,initT_SAEM,aS_SAEM,dS_SAEM,tau_SAEM,lBt0_SAEM,lp_SAEM,dI_SAEM,lk_SAEM,lae_SAEM,f_SAEM,dp_SAEM,lw_SAEM,dE_SAEM,lI50_SAEM,initT_mean,aS_mean,dS_mean,tau_mean,lBt0_mean,lp_mean,dI_mean,lk_mean,lae_mean,f_mean,dp_mean,lw_mean,dE_mean,lI50_mean,initT_mode,aS_mode,dS_mode,tau_mode,lBt0_mode,lp_mode,dI_mode,lk_mode,lae_mode,f_mode,dp_mode,lw_mode,dE_mode,lI50_mode,initT_sd,aS_sd,dS_sd,tau_sd,lBt0_sd,lp_sd,dI_sd,lk_sd,lae_sd,f_sd,dp_sd,lw_sd,dE_sd,lI50_sd,data
45,-4.52121,16.014,0.00920772,0.05,-4.90897,4.6,0.9,-3.89772,0.260808,0.9,0.001,0.169547,0.99936,0.00984286,-4.49833,15.9734,0.00920219,0.05,-4.90851,4.6,0.9,-3.88776,0.266156,0.9,0.001,0.157724,0.999171,0.00467751,-4.46632,15.9066,0.00921285,0.05,-4.90912,4.6,0.9,-3.90109,0.303744,0.9,0.001,0.176975,1,1.44851e-06,1.07334,0.695528,0.000432469,0,0.0115832,0,0,0.413789,0.454487,0,0,0.137989,0.0207926,0.029981,thai
46,-10.2712,16.0861,0.00902064,0.05,-4.9096,4.6,0.9,-3.91944,0.432277,0.9,0.001,-0.953039,0.999997,3.57273e+41,-10.1609,16.1965,0.00904976,0.05,-4.90682,4.6,0.9,-3.84775,0.406994,0.9,0.001,-0.937947,0.99997,1.31714e+42,-9.77166,16.2206,0.00901608,0.05,-4.90619,4.6,0.9,-3.93339,0.73408,0.9,0.001,-0.68027,1,0.511352,1.77026,0.733397,0.000421601,0,0.0115568,0,0,0.510146,0.685273,0,0,0.468989,0.000904138,5.86109e+43,thai
47,-5.38955,16.1238,0.00909725,0.05,-4.90749,4.6,0.9,-3.81994,0.218564,0.9,0.001,-0.472389,0.999916,9.78183e+31,-5.4965,16.1215,0.00912125,0.05,-4.90633,4.6,0.9,-3.91177,0.344973,0.9,0.001,-0.442937,0.999951,1.21029e+40,-4.98465,16.3045,0.00896405,0.05,-4.90532,4.6,0.9,-3.69214,0.651281,0.9,0.001,-0.173743,1,7.16393e-05,1.26526,0.730567,0.000455329,0,0.0115082,0,0,0.474929,0.668019,0,0,0.330522,0.00135441,5.20792e+41,thai
48,-6.52491,15.9824,0.00922559,0.05,-4.90695,4.6,0.9,-3.66851,0.685026,0.9,0.001,-0.688593,0.999997,2.95173e+21,-6.51069,16.0155,0.00922686,0.05,-4.90863,4.6,0.9,-3.64715,0.639831,0.9,0.001,-0.742591,0.999464,7.2398e+38,-6.27181,16.0207,0.00914673,0.05,-4.90793,4.6,0.9,-3.66884,0.830206,0.9,0.001,-0.463041,1,2.70273e-08,1.45761,0.676686,0.000431763,0,0.0116239,0,0,0.521997,0.569738,0,0,0.445836,0.0108878,3.24417e+40,thai
49,-2.56449,15.2896,0.00955822,0.05,-4.91373,4.6,0.9,-4.31333,-0.464596,0.9,0.001,0.677812,0.999649,1.21401e+10,-2.69769,15.3581,0.0096329,0.05,-4.91372,4.6,0.9,-4.33399,-0.394809,0.9,0.001,0.663245,0.999831,3.30979e+22,-2.49706,15.3542,0.00958899,0.05,-4.91425,4.6,0.9,-4.37371,-0.490951,0.9,0.001,0.685133,1,1.35204e-06,0.958457,0.629785,0.000404612,0,0.0116989,0,0,0.473134,0.545815,0,0,0.106521,0.00521839,1.48314e+24,thai
50,-3.97505,16.4612,0.0089103,0.05,-4.90464,4.6,0.9,-4.02617,0.0287611,0.9,0.001,-1.10098,0.999999,9.1693e+36,-3.96083,16.499,0.00888423,0.05,-4.90475,4.6,0.9,-3.99592,0.0526314,0.9,0.001,-1.11727,0.999611,2.93165e+41,-3.81279,16.4479,0.00886469,0.05,-4.90373,4.6,0.9,-3.99655,0.0783888,0.9,0.001,-0.985749,1,2.08866,1.01725,0.729452,0.000424583,0,0.0113115,0,0,0.482346,0.576476,0,0,0.297545,0.0166415,1.18723e+43,thai
51,-8.87389,15.8305,0.00930832,0.05,-4.90942,4.6,0.9,-3.72471,0.548779,0.9,0.001,-0.240285,0.999984,0.00470238,-8.83858,15.8238,0.0092866,0.05,-4.90982,4.6,0.9,-3.71046,0.55171,0.9,0.001,-0.28104,0.999788,2.19082e+23,-8.84311,15.7415,0.00932331,0.05,-4.91075,4.6,0.9,-3.75621,0.546137,0.9,0.001,-0.153537,1,1.39699e-06,1.46591,0.704786,0.000436139,0,0.0118865,0,0,0.415127,0.441089,0,0,0.255969,0.00948139,9.17159e+24,thai
1,-8.2922,16.0811,0.00915864,0.05,-4.90763,4.6,0.9,-3.67864,0.523648,0.9,0.001,-0.666497,1,5.28267e+25,-8.28042,16.0984,0.00915896,0.05,-4.90789,4.6,0.9,-3.71883,0.546553,0.9,0.001,-0.738979,0.999982,1.81256e+34,-7.87253,16.1449,0.00906116,0.05,-4.90688,4.6,0.9,-3.74378,0.745606,0.9,0.001,-0.287087,1,4.21687e-10,1.56623,0.683786,0.000426071,0,0.0114588,0,0,0.469195,0.597198,0,0,0.653256,0.000533205,8.1222e+35,africa
2,-5.56815,16.2875,0.00900697,0.05,-4.90639,4.6,0.9,-3.73243,0.541387,0.9,0.001,-0.27593,0.998387,1.04322e+28,-5.42705,16.3215,0.00898908,0.05,-4.9052,4.6,0.9,-3.75445,0.569661,0.9,0.001,-0.281123,0.999592,4.07946e+36,-5.18969,16.3427,0.00893802,0.05,-4.90507,4.6,0.9,-3.72552,0.595365,0.9,0.001,-0.13939,1,1.41386e-06,1.12082,0.725081,0.000397368,0,0.0117354,0,0,0.453871,0.501237,0,0,0.283359,0.0182727,1.82803e+38,africa
3,-7.37297,16.3429,0.00907338,0.05,-4.90826,4.6,0.9,-3.81826,0.781825,0.9,0.001,-1.01482,0.999918,7.01621e+50,-7.51614,15.9956,0.009112,0.05,-4.90729,4.6,0.9,-4.03121,0.137934,0.9,0.001,-1.62809,0.999018,6.72197e+41,-7.26034,16.0922,0.00910501,0.05,-4.9073,4.6,0.9,-4.06834,0.14726,0.9,0.001,-1.84412,1,2.68556,1.51716,0.664385,0.000432085,0,0.0112043,0,0,0.464529,0.59702,0,0,0.537758,0.021789,3.01054e+43,africa
4,-7.80729,16.031,0.00914448,0.05,-4.90819,4.6,0.9,-4.24045,-0.0153856,0.9,0.001,0.426458,0.998506,0.00408066,-7.75295,16.0194,0.00917574,0.05,-4.90773,4.6,0.9,-4.19894,-0.0795989,0.9,0.001,0.436045,0.999998,0.00690835,-7.54458,15.9519,0.00918478,0.05,-4.9086,4.6,0.9,-4.15967,-0.109664,0.9,0.001,0.443398,1,1.44656e-06,1.77219,0.705396,0.000416396,0,0.0114562,0,0,0.416527,0.472109,0,0,0.125959,0.000105533,0.0364819,africa
5,-9.32953,16.3156,0.0089719,0.05,-4.9052,4.6,0.9,-3.59144,0.593587,0.9,0.001,-0.532037,0.997657,1.40001e+34,-9.37708,16.2673,0.00899821,0.05,-4.90588,4.6,0.9,-3.75843,0.525859,0.9,0.001,-0.607201,0.998541,4.21036e+43,-9.06648,16.3317,0.00895088,0.05,-4.90514,4.6,0.9,-3.6029,0.654947,0.9,0.001,-0.269366,1,1.22293e-07,1.65944,0.719178,0.000442543,0,0.0119377,0,0,0.481912,0.613034,0,0,0.414653,0.0294077,1.88669e+45,africa
6,-10.0123,16.2381,0.00905576,0.05,-4.90533,4.6,0.9,-3.98455,0.188277,0.9,0.001,-0.464305,0.999663,9.80441e+35,-9.96126,16.2792,0.00902565,0.05,-4.90613,4.6,0.9,-4.02259,0.176665,0.9,0.001,-0.455463,0.999997,5.33098e+44,-9.38933,16.2298,0.00901191,0.05,-4.90585,4.6,0.9,-4.01144,0.289626,0.9,0.001,-0.361167,1,1.28545,2.09091,0.72849,0.000433825,0,0.0121525,0,0,0.501135,0.650835,0,0,0.213187,9.47486e-05,2.38737e+46,africa
