rep,id,initT,aS,dS,tau,lBt0,lp,dI,lk,f,dp,lw,dE,lI50,lod,data
7,49,0.478975553226253,70,0.0477665531552723,0.05,-4.81668098796886,4.6,0.9,-1.81567133299712,0.9,0.001,1.24290948922187,1,-1.09896559113439,15,thai
8,49,0.913451813999827,70,0.047716493394008,0.05,-4.81385695448554,4.6,0.9,-1.81567133299712,0.9,0.001,1.17823693879183,1,-1.05107905494042,15,thai
9,49,1.73920299895166,70,0.0482895030772645,0.05,-4.80626206893833,4.6,0.9,-1.81567133299712,0.9,0.001,1.23516300710368,1,-1.05684647878552,15,thai
10,49,-0.0758979752943443,70,0.0478279564037452,0.05,-4.81822152593852,4.6,0.9,-1.81567133299712,0.9,0.001,1.1818395209687,1,-1.04828664233419,15,thai
1,50,-2.73890317981922,70,0.0486423037791642,0.05,-4.79613626707559,4.6,0.9,-1.81567133299712,0.9,0.001,0.283678624535081,1,-0.524586241653621,15,thai
2,50,-2.11939646521579,70,0.0477471104078579,0.05,-4.81709882869861,4.6,0.9,-1.81567133299712,0.9,0.001,0.413757822493551,1,-0.737198921307701,15,thai
3,50,-1.31338624167704,70,0.0481688676345664,0.05,-4.80329257888813,4.6,0.9,-1.81567133299712,0.9,0.001,0.351010683390638,1,-0.6267143685462,15,thai
4,50,-1.90182010959231,70,0.0481462808006819,0.05,-4.80062394516838,4.6,0.9,-1.81567133299712,0.9,0.001,0.438705381699703,1,-0.757114876605448,15,thai
5,50,-2.04496912252714,70,0.0498401101657227,0.05,-4.7797492982319,4.6,0.9,-1.81567133299712,0.9,0.001,0.315864444798211,1,-0.566783169560105,15,thai
6,50,-1.59215391756907,70,0.0497446324349333,0.05,-4.78427752235323,4.6,0.9,-1.81567133299712,0.9,0.001,0.384693923657516,1,-0.700155790425153,15,thai
7,50,-1.17086005652981,70,0.0499607124977288,0.05,-4.76819294627593,4.6,0.9,-1.81567133299712,0.9,0.001,0.413514538954302,1,-0.741032328650285,15,thai
8,50,-2.49211956148291,70,0.0503382257099404,0.05,-4.76961992008576,4.6,0.9,-1.81567133299712,0.9,0.001,0.206225903012578,1,-0.51603394711312,15,thai
9,50,-1.60574579783885,70,0.0497626867986661,0.05,-4.77855256171685,4.6,0.9,-1.81567133299712,0.9,0.001,0.280390498695159,1,-0.555944009807907,15,thai
10,50,-1.73844400560624,70,0.0516814500130234,0.05,-4.74822024688955,4.6,0.9,-1.81567133299712,0.9,0.001,-0.0160655819938897,1,-0.19118196163915,15,thai
