iteration,convergenceIndicator,phase,a,corr_lBt0_dS,dS_pop,initT_pop,lBt0_pop,lI50_pop,lk_pop,lw_pop,omega_dS,omega_lBt0,omega_lI50,omega_lw
185,756.162,1,0.647814,0.948327,0.0561281,-2.08461,-4.58757,-1.05936,-1.32862,0.607378,0.326905,0.212491,0.0416995,0.203742
186,766.319,1,0.654401,0.945644,0.0548459,-2.08113,-4.59581,-1.05829,-1.33226,0.607299,0.329404,0.211979,0.0406437,0.206778
187,822.147,1,0.66017,0.933404,0.0549932,-2.10596,-4.59843,-1.05457,-1.32809,0.605548,0.342706,0.211695,0.040753,0.232351
188,822.936,1,0.663933,0.958669,0.0561343,-2.11703,-4.59025,-1.05319,-1.32835,0.595243,0.3884,0.225509,0.0402152,0.226468
189,785.425,1,0.647122,0.958524,0.0569219,-2.04966,-4.58103,-1.04745,-1.32861,0.599941,0.392114,0.236326,0.0391969,0.22442
190,796.452,1,0.637382,0.959491,0.0574227,-2.06829,-4.58726,-1.05411,-1.33875,0.591703,0.382186,0.230342,0.0382044,0.229886
191,795.937,1,0.652163,0.965795,0.0573695,-2.12277,-4.57894,-1.0539,-1.33352,0.601293,0.372509,0.22451,0.0372371,0.235661
192,807.862,1,0.65773,0.966746,0.0574358,-2.12762,-4.57318,-1.04875,-1.33593,0.613031,0.383201,0.231579,0.0362942,0.229694
193,783.135,1,0.651629,0.973075,0.0575808,-2.15391,-4.5766,-1.04954,-1.32379,0.603586,0.382471,0.237317,0.0362296,0.223878
194,747.506,1,0.659808,0.973256,0.0560524,-2.13765,-4.59183,-1.05983,-1.32884,0.605408,0.372787,0.236972,0.0353122,0.218209
195,779.141,1,0.667271,0.974121,0.0546998,-2.13707,-4.60563,-1.05428,-1.31956,0.58679,0.363348,0.230972,0.0346789,0.214327
196,761.968,1,0.650375,0.976015,0.0564122,-2.12648,-4.58783,-1.05241,-1.32233,0.603774,0.354148,0.22898,0.0379974,0.218172
197,784.881,1,0.657551,0.98369,0.0572629,-2.15277,-4.58757,-1.05222,-1.31458,0.570765,0.374795,0.235958,0.0398184,0.237497
198,780.191,1,0.65308,0.978008,0.056933,-2.11184,-4.58541,-1.05495,-1.31111,0.575006,0.365305,0.234646,0.0388172,0.231484
199,798.285,1,0.653659,0.984347,0.0573306,-2.08344,-4.57868,-1.04705,-1.30702,0.559505,0.390654,0.243327,0.0378343,0.248462
200,782.919,1,0.656167,0.984401,0.0582959,-2.09427,-4.56959,-1.04574,-1.30446,0.573371,0.397411,0.24314,0.0383844,0.25016
201,778.365,1,0.652525,0.98414,0.0576898,-2.08346,-4.57514,-1.0434,-1.30943,0.582009,0.387348,0.240123,0.0384651,0.243826
202,796.434,1,0.661479,0.976344,0.0569618,-2.09706,-4.58358,-1.04238,-1.32695,0.583123,0.37754,0.234043,0.0399429,0.238807
203,767.845,1,0.658884,0.976679,0.0580408,-2.17656,-4.57673,-1.03747,-1.33758,0.596396,0.367981,0.228117,0.0405473,0.232761
204,807.548,1,0.661504,0.972172,0.0613088,-2.17873,-4.55109,-1.04605,-1.333,0.609414,0.358663,0.222341,0.0434243,0.226867
205,778.514,1,0.658248,0.977877,0.063809,-2.23721,-4.53513,-1.04694,-1.33756,0.611255,0.358277,0.232784,0.0423248,0.229545
206,785.659,1,0.654636,0.981258,0.0622511,-2.17783,-4.55466,-1.03861,-1.34096,0.604626,0.350295,0.229486,0.0412531,0.227008
207,772.443,1,0.641771,0.986196,0.0614511,-2.18037,-4.56552,-1.04497,-1.33375,0.596868,0.380721,0.241241,0.0428158,0.226663
208,745.162,1,0.651557,0.984825,0.0629867,-2.14522,-4.54497,-1.03921,-1.33883,0.621462,0.371081,0.235133,0.0417317,0.228177
209,718.468,1,0.648527,0.986436,0.0623114,-2.13695,-4.54935,-1.04621,-1.33674,0.621857,0.361685,0.231486,0.040675,0.224961
210,750.082,1,0.653855,0.98787,0.0640677,-2.17124,-4.53687,-1.04413,-1.34314,0.619484,0.354525,0.233343,0.0401071,0.221431
211,766.786,1,0.669569,0.991022,0.0633526,-2.22085,-4.54714,-1.05147,-1.35075,0.618656,0.384382,0.245841,0.0424057,0.215825
212,743.29,1,0.654395,0.991702,0.0626661,-2.19048,-4.54837,-1.05568,-1.35747,0.627984,0.396041,0.247652,0.0413319,0.21036
213,756.006,1,0.667675,0.991339,0.0627558,-2.17724,-4.54574,-1.05793,-1.35688,0.645958,0.386013,0.241382,0.0438414,0.205033
214,757.497,1,0.668633,0.993504,0.064229,-2.14757,-4.53188,-1.05448,-1.35853,0.63654,0.379048,0.239973,0.0467988,0.222858
215,735.333,1,0.651703,0.992707,0.0623485,-2.14424,-4.55028,-1.05597,-1.35774,0.629474,0.369451,0.233897,0.0543283,0.218544
216,729.29,1,0.651799,0.992029,0.0627661,-2.14171,-4.55038,-1.05802,-1.37325,0.648191,0.360096,0.227974,0.0536816,0.21301
217,740.711,1,0.660827,0.991663,0.0626972,-2.07648,-4.54774,-1.06067,-1.36856,0.660295,0.350978,0.222202,0.0523223,0.207617
218,784.127,1,0.681377,0.990445,0.0613966,-2.07276,-4.56092,-1.05365,-1.3729,0.649993,0.342091,0.216576,0.0558572,0.203833
219,747.463,1,0.675764,0.990618,0.0618956,-2.00737,-4.54828,-1.05301,-1.37478,0.670679,0.333429,0.211092,0.0570267,0.198672
220,751.899,1,0.688108,0.990893,0.0616385,-2.01194,-4.54913,-1.05023,-1.37411,0.662499,0.324987,0.207951,0.0555828,0.193641
221,747.733,1,0.672496,0.990073,0.0619825,-2.00771,-4.54994,-1.04771,-1.36693,0.644822,0.328598,0.212381,0.0541754,0.188738
222,763.932,1,0.684605,0.986886,0.0607956,-2.02872,-4.56053,-1.04249,-1.36626,0.632764,0.320277,0.207004,0.0528036,0.183959
223,763.306,1,0.686343,0.990208,0.0644406,-2.02558,-4.52773,-1.04894,-1.36973,0.6651,0.340556,0.217257,0.0549512,0.183876
224,770.918,1,0.68559,0.991174,0.0667137,-2.05908,-4.51158,-1.04587,-1.37735,0.665049,0.366682,0.236867,0.0535598,0.17922
225,758.171,1,0.668231,0.990068,0.0661695,-2.11567,-4.51367,-1.04075,-1.37843,0.663042,0.373443,0.244855,0.0522037,0.207767
226,782.407,1,0.678215,0.991524,0.0638586,-2.11932,-4.53656,-1.05184,-1.38031,0.655743,0.366896,0.238656,0.0532656,0.20665
227,750.709,1,0.677103,0.990861,0.0617345,-2.10934,-4.55671,-1.04803,-1.38341,0.66135,0.357606,0.232613,0.0519168,0.201417
228,778.499,1,0.669134,0.987737,0.0609502,-2.1398,-4.56307,-1.04257,-1.38466,0.644397,0.348551,0.22717,0.0560681,0.211884
229,809.181,1,0.689256,0.990332,0.0593708,-2.1553,-4.57472,-1.04356,-1.39575,0.646231,0.341926,0.225687,0.0546484,0.226035
230,776.094,1,0.671804,0.991801,0.0576091,-2.12266,-4.59079,-1.04758,-1.40161,0.647138,0.333268,0.219973,0.0532647,0.220312
231,739.271,1,0.663218,0.991034,0.0574632,-2.15376,-4.59107,-1.03961,-1.40243,0.666036,0.326313,0.216711,0.0530758,0.220484
232,767.279,1,0.66858,0.993198,0.0581325,-2.1545,-4.58744,-1.02964,-1.40545,0.653064,0.346475,0.223127,0.0517319,0.218704
233,725.207,1,0.651651,0.991314,0.0565573,-2.18501,-4.60258,-1.02972,-1.40119,0.641001,0.353675,0.228588,0.0511439,0.216063
234,734.191,1,0.647571,0.992505,0.0590311,-2.17991,-4.576,-1.03385,-1.40749,0.662889,0.360403,0.229844,0.0614642,0.210592
235,749.248,1,0.654582,0.994511,0.0611054,-2.21569,-4.56267,-1.02898,-1.40804,0.658299,0.360232,0.23179,0.064059,0.20526
236,758.456,1,0.669308,0.995803,0.0604536,-2.18576,-4.57144,-1.02637,-1.41464,0.663757,0.358713,0.228719,0.0651088,0.21548
237,747.523,1,0.665372,0.996426,0.0614333,-2.21051,-4.55855,-1.03704,-1.40566,0.666712,0.363965,0.230533,0.0707162,0.210024
238,747.173,1,0.662509,0.996448,0.0600128,-2.20103,-4.57329,-1.03363,-1.41431,0.672352,0.362319,0.228705,0.069861,0.204706
239,738.856,1,0.670546,0.995688,0.0600146,-2.16221,-4.57386,-1.03497,-1.41182,0.665685,0.360773,0.226866,0.0680921,0.199522
240,710.014,1,0.674603,0.997394,0.0593265,-2.15052,-4.57893,-1.04627,-1.41354,0.67491,0.355933,0.228854,0.0663679,0.19447
241,717.475,1,0.657522,0.997179,0.0598697,-2.19499,-4.57472,-1.04608,-1.3985,0.66974,0.375943,0.24056,0.0646875,0.201422
242,744.275,1,0.648842,0.996794,0.0622054,-2.15789,-4.55129,-1.04309,-1.39754,0.657152,0.372625,0.239781,0.06809,0.197745
243,730.626,1,0.668111,0.99613,0.0610404,-2.14822,-4.56147,-1.04156,-1.39263,0.664596,0.36319,0.23371,0.0663659,0.220619
244,748.99,1,0.670195,0.996625,0.059359,-2.15802,-4.58283,-1.05518,-1.3829,0.652428,0.353994,0.227792,0.0697427,0.215033
245,720.781,1,0.660742,0.996617,0.0609667,-2.0808,-4.56364,-1.06524,-1.38979,0.686712,0.345031,0.222024,0.0679768,0.218164
246,704.189,1,0.656498,0.997878,0.0616649,-2.0886,-4.55247,-1.06176,-1.39929,0.682717,0.360221,0.235453,0.0662555,0.21264
247,699.507,1,0.660322,0.998428,0.0614381,-2.07097,-4.55364,-1.07376,-1.39492,0.693993,0.35728,0.231184,0.0654415,0.207256
248,706.743,1,0.659177,0.997904,0.0617463,-2.10562,-4.55267,-1.07815,-1.38879,0.681999,0.348234,0.22533,0.0698027,0.204865
249,687.151,1,0.656692,0.997898,0.0620723,-2.0847,-4.55315,-1.07847,-1.3816,0.678208,0.339416,0.219624,0.0680353,0.203365
250,675.122,1,0.64844,0.998353,0.0629346,-2.05999,-4.54364,-1.06691,-1.38578,0.677422,0.331213,0.21671,0.0759869,0.224563
251,687.208,1,0.656961,0.9986,0.0630681,-2.10046,-4.54384,-1.06017,-1.38565,0.68173,0.346337,0.225124,0.0793018,0.234276
252,701.09,1,0.656585,0.997903,0.0636073,-2.13552,-4.54014,-1.0627,-1.38944,0.682731,0.351566,0.229383,0.0787467,0.228344
253,717.305,1,0.664174,0.997562,0.0633301,-2.15545,-4.54336,-1.0663,-1.38252,0.680934,0.342665,0.223575,0.0781488,0.229943
254,763.802,1,0.663924,0.997952,0.0646877,-2.16264,-4.52949,-1.06444,-1.38049,0.668346,0.368338,0.237669,0.0791122,0.250012
255,738.438,1,0.659059,0.998062,0.0659385,-2.1032,-4.51942,-1.07738,-1.37436,0.676157,0.381941,0.247532,0.0822325,0.243681
256,729.704,1,0.65792,0.99782,0.0660346,-2.12004,-4.52101,-1.07417,-1.36657,0.664552,0.372545,0.241264,0.0824746,0.239659
257,752.686,1,0.658267,0.996891,0.0647946,-2.08438,-4.5351,-1.07418,-1.3623,0.672821,0.363112,0.235155,0.0817909,0.23359
258,734.243,1,0.643687,0.995844,0.0648524,-2.09266,-4.53177,-1.09468,-1.36949,0.689985,0.353917,0.229201,0.0797199,0.227676
259,738.207,1,0.659242,0.994686,0.06512,-2.12844,-4.53108,-1.09406,-1.37403,0.692686,0.344956,0.223398,0.0870017,0.221911
260,748.345,1,0.667742,0.993886,0.0655844,-2.10058,-4.5242,-1.10278,-1.36639,0.695809,0.336222,0.217741,0.0878015,0.216292
261,756.03,1,0.65637,0.99425,0.0649127,-2.08527,-4.52967,-1.11929,-1.37352,0.710481,0.330115,0.212228,0.0926624,0.224937
262,783.165,1,0.657921,0.993917,0.0656982,-2.04948,-4.52827,-1.14253,-1.37627,0.731534,0.329779,0.212594,0.0948044,0.236886
263,808.392,1,0.652858,0.995277,0.0647696,-2.10874,-4.53334,-1.14174,-1.38178,0.736538,0.335658,0.21648,0.0989528,0.230888
264,786.723,1,0.648008,0.993105,0.0642277,-2.09857,-4.53431,-1.1409,-1.37099,0.723493,0.327159,0.215952,0.106802,0.225743
265,822.915,1,0.67699,0.991553,0.0655874,-2.10107,-4.51967,-1.15115,-1.3806,0.745855,0.323472,0.214865,0.104098,0.220027
266,805.438,1,0.659849,0.9911,0.065109,-2.08559,-4.523,-1.15228,-1.3752,0.748244,0.315282,0.209424,0.101462,0.214456
267,808.005,1,0.67508,0.990021,0.0660454,-2.09302,-4.51823,-1.14273,-1.38057,0.753401,0.308319,0.204121,0.0988932,0.209026
268,812.906,1,0.671906,0.989562,0.0663342,-2.06283,-4.52015,-1.14978,-1.38691,0.74975,0.300512,0.198953,0.0963891,0.213298
269,802.229,1,0.681134,0.990359,0.0660291,-2.11309,-4.52655,-1.13342,-1.38772,0.741965,0.306362,0.20287,0.0939485,0.207898
270,783.053,1,0.663887,0.992233,0.066493,-2.07731,-4.52171,-1.14648,-1.38122,0.760674,0.298605,0.197733,0.101245,0.219985
271,749.518,1,0.681097,0.994101,0.0651735,-2.07985,-4.53024,-1.14695,-1.39014,0.777407,0.291044,0.192726,0.0986816,0.214415
272,740.928,1,0.66783,0.995079,0.0654426,-2.12475,-4.5272,-1.14362,-1.38987,0.772494,0.283674,0.188597,0.0961829,0.208986
273,734.585,1,0.663005,0.994194,0.0650195,-2.14424,-4.52729,-1.14409,-1.3972,0.775868,0.282231,0.194002,0.0937475,0.20685
274,728.492,1,0.649042,0.994288,0.0628538,-2.1267,-4.55296,-1.15673,-1.40252,0.780764,0.275085,0.18909,0.0927888,0.201612
275,717.761,1,0.648074,0.994384,0.063649,-2.17377,-4.54717,-1.14248,-1.40306,0.764147,0.26812,0.185047,0.0904393,0.197927
276,696.378,1,0.65316,0.995436,0.0644614,-2.15206,-4.53996,-1.13044,-1.40306,0.759706,0.262781,0.185965,0.0881493,0.202604
277,728.993,1,0.653735,0.993641,0.0631352,-2.13736,-4.5524,-1.14125,-1.39279,0.750005,0.263304,0.185896,0.0954125,0.197474
278,758.708,1,0.649808,0.99433,0.0636874,-2.15161,-4.54817,-1.14383,-1.39503,0.739779,0.289185,0.208228,0.105802,0.202037
279,719.369,1,0.648201,0.996694,0.0646785,-2.20635,-4.53801,-1.15669,-1.39367,0.75378,0.31711,0.230355,0.103123,0.198476
280,696.332,1,0.647061,0.997611,0.0661041,-2.20174,-4.52463,-1.16215,-1.38271,0.766281,0.309081,0.224522,0.100512,0.193451
281,725.801,1,0.654972,0.997693,0.0653016,-2.17992,-4.53493,-1.16395,-1.38974,0.759947,0.301255,0.218837,0.0979666,0.197322
282,709.31,1,0.65719,0.997467,0.0669175,-2.14808,-4.51737,-1.16318,-1.3784,0.75953,0.303164,0.221007,0.095486,0.202554
283,724.305,1,0.647849,0.997255,0.0672515,-2.1342,-4.51164,-1.15462,-1.3689,0.751875,0.300305,0.220478,0.0956578,0.197426
284,698.652,1,0.649803,0.996531,0.0663856,-2.10774,-4.5178,-1.14489,-1.38013,0.73382,0.294785,0.21636,0.0932357,0.192427
285,659.135,1,0.633349,0.995206,0.0662694,-2.10188,-4.51763,-1.17634,-1.3804,0.772641,0.288793,0.210881,0.090875,0.192408
286,677.161,1,0.649428,0.995376,0.066332,-2.10418,-4.51822,-1.16962,-1.38302,0.775508,0.28421,0.207702,0.0885739,0.187536
287,662.097,1,0.632984,0.996795,0.0669101,-2.08623,-4.51322,-1.18339,-1.37951,0.786241,0.281998,0.202724,0.0863312,0.194311
288,664.884,1,0.640149,0.996901,0.0660428,-2.1273,-4.52022,-1.18331,-1.37675,0.771585,0.283315,0.204572,0.0841452,0.198011
289,657.902,1,0.62394,0.997044,0.0653985,-2.12064,-4.52532,-1.18672,-1.37984,0.772117,0.282466,0.208182,0.0820146,0.193444
290,641.361,1,0.631887,0.997525,0.0652128,-2.12503,-4.52596,-1.19076,-1.37014,0.777771,0.275314,0.203211,0.079938,0.188545
291,650.604,1,0.638471,0.997878,0.0654076,-2.10671,-4.52529,-1.18725,-1.3779,0.781571,0.268343,0.198066,0.0779139,0.200248
292,664.356,1,0.641046,0.99743,0.0647478,-2.11689,-4.53094,-1.19376,-1.38059,0.794036,0.261548,0.193051,0.0760001,0.195177
293,655.834,1,0.662299,0.997189,0.0655804,-2.10376,-4.52045,-1.20014,-1.38518,0.793728,0.260824,0.191597,0.0740757,0.205564
294,652.588,1,0.670785,0.998261,0.0635934,-2.123,-4.54437,-1.20317,-1.38288,0.802793,0.259262,0.191559,0.0752211,0.200359
295,676.637,1,0.669873,0.997235,0.0627718,-2.09752,-4.55227,-1.20882,-1.38038,0.787199,0.259901,0.19078,0.0733164,0.195286
296,705.714,1,0.678015,0.997374,0.0629683,-2.12056,-4.54939,-1.19926,-1.38024,0.779756,0.257726,0.187313,0.0787604,0.192699
297,687.434,1,0.660848,0.997771,0.0630406,-2.10502,-4.54916,-1.18954,-1.37431,0.773918,0.269129,0.19728,0.0861835,0.18782
298,698.783,1,0.663382,0.997308,0.0636159,-2.1204,-4.54118,-1.1861,-1.36774,0.774286,0.267439,0.196435,0.0882741,0.183064
299,728.223,1,0.685342,0.997222,0.062541,-2.13015,-4.55199,-1.18229,-1.36627,0.759239,0.290252,0.212027,0.0893293,0.180717
300,712.768,1,0.667988,0.997731,0.0618812,-2.14936,-4.55619,-1.17458,-1.37591,0.750381,0.285314,0.206659,0.0870674,0.203218
301,685.634,1,0.662481,0.997704,0.0625431,-2.12342,-4.54841,-1.19789,-1.37349,0.775998,0.27809,0.201426,0.0853651,0.199419
302,686.461,1,0.668618,0.997755,0.062541,-2.11657,-4.54574,-1.19445,-1.37671,0.780408,0.271049,0.196326,0.0940461,0.19437
303,693.702,1,0.66704,0.996984,0.0627868,-2.07607,-4.54259,-1.20138,-1.37993,0.791987,0.264225,0.191355,0.0916648,0.197187
304,705.097,1,0.672434,0.997303,0.0643799,-2.02404,-4.52441,-1.21276,-1.38479,0.814806,0.257535,0.186965,0.0893438,0.192194
305,691.687,1,0.675306,0.99793,0.0629051,-2.03472,-4.5399,-1.22366,-1.38492,0.81019,0.251283,0.182231,0.0870815,0.198874
306,645.126,1,0.670247,0.998386,0.0636749,-2.04325,-4.5307,-1.22882,-1.38438,0.824456,0.252628,0.183241,0.0848766,0.193838
307,618.169,1,0.658727,0.998951,0.0640728,-2.062,-4.52737,-1.23693,-1.38533,0.830466,0.246531,0.179599,0.0827274,0.18893
308,653.18,1,0.656981,0.998988,0.0645681,-2.06628,-4.52171,-1.23284,-1.37789,0.809658,0.255661,0.186104,0.0864068,0.203366
309,627.596,1,0.670883,0.999,0.0645236,-2.03405,-4.52109,-1.23096,-1.36988,0.816082,0.250986,0.183511,0.084219,0.198217
310,621.382,1,0.667034,0.999,0.0640891,-2.00186,-4.52723,-1.23277,-1.36827,0.824814,0.253217,0.186224,0.0820865,0.201414
311,625.923,1,0.654845,0.999,0.0637194,-1.98667,-4.52903,-1.2283,-1.36881,0.818272,0.25542,0.187978,0.0862688,0.197679
312,659.5,1,0.662756,0.998604,0.0642316,-1.98302,-4.52354,-1.22981,-1.36654,0.819092,0.25582,0.186878,0.0939632,0.195815
313,682.036,1,0.672177,0.998428,0.0651285,-1.96918,-4.51379,-1.22713,-1.35533,0.8164,0.255144,0.186834,0.091584,0.194845
314,673.289,1,0.667514,0.99821,0.0649147,-1.96489,-4.51644,-1.21881,-1.35519,0.807334,0.253408,0.186773,0.0892651,0.189911
315,703.155,1,0.663394,0.998043,0.0645978,-1.94309,-4.52043,-1.22263,-1.35824,0.804712,0.253973,0.185328,0.0988679,0.185103
316,690.492,1,0.660847,0.997895,0.0649474,-1.93855,-4.51945,-1.21466,-1.35983,0.791889,0.252938,0.185555,0.0963645,0.195021
317,673.374,1,0.664906,0.99801,0.0633093,-1.9741,-4.53835,-1.2035,-1.35857,0.778183,0.268426,0.194734,0.0939245,0.191136
318,686.258,1,0.673458,0.997542,0.0633011,-1.96046,-4.53614,-1.19293,-1.35698,0.772495,0.26163,0.189804,0.0915463,0.186297
319,685.766,1,0.660828,0.997822,0.0641439,-1.98241,-4.5296,-1.19022,-1.35804,0.767165,0.266342,0.196729,0.0908386,0.184961
320,692.086,1,0.662311,0.998072,0.0636212,-1.95546,-4.53333,-1.18667,-1.36082,0.75829,0.274125,0.204014,0.0963494,0.180277
321,677.122,1,0.658435,0.997848,0.0648946,-1.98187,-4.51996,-1.18725,-1.36361,0.777894,0.273485,0.204283,0.105515,0.175713
322,693.732,1,0.657937,0.998056,0.0643501,-1.97674,-4.52537,-1.19698,-1.35935,0.773276,0.28486,0.210501,0.116078,0.171263
323,685.462,1,0.664828,0.998867,0.0633376,-1.98033,-4.53595,-1.2069,-1.35497,0.772587,0.28919,0.216208,0.113139,0.166927
324,666.582,1,0.660988,0.999,0.0639966,-1.95675,-4.53036,-1.21569,-1.34835,0.765854,0.291473,0.2191,0.113578,0.1627
325,690.874,1,0.666238,0.998948,0.0649518,-1.97731,-4.51893,-1.22288,-1.33914,0.779519,0.297058,0.221627,0.118439,0.158581
326,644.639,1,0.666419,0.999,0.0646066,-1.9548,-4.52302,-1.22026,-1.32946,0.777496,0.289536,0.216015,0.11544,0.154565
327,663.657,1,0.653476,0.999,0.0635382,-1.95727,-4.53403,-1.21765,-1.32933,0.764063,0.282205,0.210545,0.112517,0.161357
328,641.593,1,0.652676,0.999,0.0628061,-1.96933,-4.5422,-1.21676,-1.33738,0.763376,0.275059,0.205214,0.109668,0.157271
329,639.01,1,0.649168,0.998649,0.0640781,-1.98094,-4.52781,-1.22016,-1.33294,0.764015,0.269414,0.201517,0.106891,0.160403
330,644.6,1,0.653654,0.998475,0.0643353,-1.97968,-4.52318,-1.23088,-1.33099,0.763462,0.272254,0.203171,0.104185,0.165341
331,679.104,1,0.637902,0.998449,0.0647748,-2.02657,-4.51981,-1.21916,-1.33566,0.748594,0.280886,0.208487,0.105429,0.178974
332,649.169,1,0.642523,0.998588,0.0654019,-2.04605,-4.5143,-1.21032,-1.33097,0.740595,0.280251,0.208203,0.112239,0.183358
333,669.008,1,0.630394,0.99854,0.0661066,-2.05232,-4.50576,-1.21564,-1.32707,0.762731,0.280472,0.209311,0.109397,0.189036
334,679.602,1,0.637887,0.998539,0.0659089,-2.0709,-4.50973,-1.22462,-1.32202,0.764137,0.282284,0.212265,0.118467,0.193977
335,701.464,1,0.64891,0.998358,0.0648801,-2.03113,-4.52258,-1.22276,-1.32111,0.749382,0.275136,0.20689,0.120294,0.189065
336,726.263,1,0.665136,0.997992,0.064702,-2.05777,-4.52617,-1.21483,-1.3264,0.75611,0.272947,0.207067,0.125765,0.184278
337,722.689,1,0.663007,0.998352,0.0648475,-2.08845,-4.52537,-1.22328,-1.32213,0.756445,0.273925,0.205902,0.138707,0.19425
338,702.395,1,0.65116,0.998532,0.0654085,-2.13675,-4.52045,-1.213,-1.31961,0.756354,0.272278,0.203443,0.14283,0.189332
339,685.704,1,0.653463,0.998904,0.0673484,-2.1411,-4.50053,-1.2312,-1.32244,0.786798,0.272711,0.201495,0.139213,0.192757
340,698.069,1,0.66743,0.999,0.0673021,-2.12759,-4.50307,-1.2526,-1.31511,0.781197,0.273649,0.200643,0.135688,0.188655
341,673.943,1,0.651775,0.998939,0.067194,-2.12122,-4.50538,-1.24404,-1.31062,0.763564,0.271632,0.20182,0.132253,0.191823
342,651.669,1,0.646894,0.999,0.067214,-2.12443,-4.50446,-1.26257,-1.32207,0.7892,0.272591,0.200415,0.128904,0.186966
343,694.657,1,0.66162,0.99877,0.067326,-2.10967,-4.50701,-1.27352,-1.31665,0.791024,0.278154,0.204967,0.12564,0.198703
344,674.538,1,0.644867,0.998451,0.0672975,-2.10095,-4.50577,-1.2702,-1.31967,0.794277,0.274571,0.201938,0.122459,0.193672
345,722.179,1,0.642246,0.998169,0.0677253,-2.1498,-4.50114,-1.26698,-1.31468,0.795559,0.278367,0.203424,0.119358,0.196074
346,677.531,1,0.648637,0.998377,0.0671266,-2.14444,-4.5067,-1.25447,-1.31532,0.783357,0.282353,0.204278,0.116336,0.204671
347,648.127,1,0.632213,0.99875,0.0669446,-2.13396,-4.50642,-1.25056,-1.31352,0.780825,0.287769,0.206715,0.11388,0.199489
348,699.364,1,0.650852,0.998332,0.0669416,-2.13315,-4.50896,-1.24842,-1.31929,0.784919,0.294754,0.212351,0.118549,0.194438
349,669.206,1,0.651249,0.998385,0.0659565,-2.14977,-4.52089,-1.26508,-1.31272,0.782631,0.289704,0.207144,0.115547,0.189514
350,646.901,1,0.658053,0.998575,0.0657564,-2.13122,-4.5227,-1.27974,-1.31548,0.792236,0.288705,0.206567,0.112621,0.184716
351,683.671,1,0.667515,0.998685,0.0661949,-2.1363,-4.51815,-1.28391,-1.3203,0.800027,0.288549,0.203656,0.10977,0.195196
352,658.66,1,0.650613,0.998155,0.0661149,-2.11967,-4.52173,-1.28866,-1.32339,0.808614,0.281243,0.1985,0.10699,0.190253
353,648.612,1,0.650744,0.99833,0.0649596,-2.11609,-4.53192,-1.27164,-1.3219,0.796868,0.274122,0.193474,0.104281,0.185436
354,667.931,1,0.657794,0.998143,0.0650732,-2.11625,-4.52718,-1.28754,-1.32358,0.818295,0.272478,0.19283,0.101641,0.18074
355,648.439,1,0.647675,0.997964,0.0666712,-2.13019,-4.50859,-1.27812,-1.32617,0.826682,0.274961,0.192147,0.0990672,0.176164
356,664.096,1,0.647159,0.998608,0.0664298,-2.11201,-4.51155,-1.28956,-1.32681,0.833857,0.282022,0.200128,0.0965588,0.192765
357,637.385,1,0.643755,0.998729,0.0661284,-2.1289,-4.51663,-1.29379,-1.32639,0.830972,0.288238,0.205595,0.0941138,0.211688
358,644.435,1,0.646417,0.998522,0.066583,-2.09767,-4.5106,-1.29921,-1.33151,0.842507,0.28094,0.200389,0.0917308,0.206328
359,704.693,1,0.662688,0.997731,0.0650686,-2.11145,-4.52655,-1.28507,-1.32455,0.814453,0.273826,0.195315,0.0894082,0.214806
360,710.411,1,0.659906,0.997212,0.0646384,-2.13962,-4.52862,-1.27195,-1.32151,0.798764,0.266893,0.19037,0.0924954,0.209367
361,716.589,1,0.646711,0.99675,0.0649152,-2.10733,-4.52773,-1.26914,-1.325,0.805494,0.266276,0.188588,0.0972896,0.209828
362,724.988,1,0.650176,0.995677,0.0644642,-2.08382,-4.53065,-1.27647,-1.32581,0.807568,0.264749,0.186026,0.0950714,0.204515
363,712.961,1,0.648495,0.997047,0.0656487,-2.06545,-4.52097,-1.27766,-1.32658,0.809399,0.289523,0.201594,0.0956642,0.199336
364,735.967,1,0.652329,0.99647,0.0651849,-2.0885,-4.52472,-1.27425,-1.33125,0.808478,0.290651,0.200779,0.101202,0.194289
365,750.179,1,0.658601,0.994325,0.0640108,-2.11161,-4.54087,-1.25462,-1.33492,0.787563,0.283291,0.195695,0.0986393,0.18937
366,751.029,1,0.650584,0.993327,0.0645245,-2.0843,-4.5296,-1.24921,-1.33388,0.796448,0.276118,0.19074,0.106195,0.184575
367,764.095,1,0.647701,0.991439,0.0653134,-2.0946,-4.52187,-1.26966,-1.32867,0.812294,0.269127,0.18591,0.112285,0.179901
368,747.19,1,0.646846,0.993736,0.0638591,-2.10955,-4.5354,-1.26126,-1.32374,0.790553,0.262312,0.181734,0.117332,0.194245
369,727.319,1,0.652259,0.994477,0.0643117,-2.10748,-4.53559,-1.26762,-1.31326,0.783805,0.257645,0.180516,0.114361,0.201534
370,737.254,1,0.647373,0.995961,0.0649174,-2.11024,-4.53159,-1.2706,-1.30865,0.773721,0.251121,0.175945,0.111466,0.196815
371,675.422,1,0.654772,0.997675,0.0657477,-2.10546,-4.52553,-1.26943,-1.30533,0.754174,0.249058,0.173866,0.108643,0.211229
372,695.708,1,0.656819,0.99808,0.0650684,-2.14627,-4.53449,-1.26413,-1.30685,0.75204,0.251631,0.17384,0.107621,0.20588
373,652.883,1,0.651196,0.998567,0.0645757,-2.10662,-4.5363,-1.22851,-1.30437,0.741913,0.258906,0.181889,0.104896,0.206255
