iteration,convergenceIndicator,phase,a,corr_lBt0_dS,dS_pop,initT_pop,lBt0_pop,lI50_pop,lk_pop,lw_pop,omega_dS,omega_lBt0,omega_lI50,omega_lw
44,826.343,1,0.666676,0,0.0642798,-1.80055,-4.51476,-1.07942,-1.3351,0.651164,0.183321,0.113533,0.0524417,0.207222
45,795.389,1,0.672654,0,0.0640474,-1.7931,-4.51431,-1.07635,-1.33588,0.648567,0.178679,0.117805,0.0511138,0.201975
46,783.488,1,0.672459,0,0.0637015,-1.76384,-4.52053,-1.08359,-1.34267,0.655615,0.174155,0.118576,0.0498196,0.196861
47,801.77,1,0.666923,0,0.0642497,-1.77269,-4.52029,-1.0937,-1.35093,0.670907,0.18193,0.115574,0.0485581,0.19407
48,803.041,1,0.660681,0,0.0648773,-1.7707,-4.50873,-1.09583,-1.35792,0.688216,0.183143,0.112647,0.0518881,0.204825
49,813.849,1,0.669866,0,0.0651183,-1.74475,-4.52223,-1.11012,-1.35288,0.686868,0.178505,0.109795,0.0546838,0.200364
50,807.563,1,0.667413,0,0.0649127,-1.76416,-4.52189,-1.11459,-1.35037,0.691762,0.174932,0.107015,0.0532992,0.195291
51,807.085,1,0.68281,0,0.0616426,-1.76208,-4.53982,-1.11544,-1.33949,0.670135,0.170502,0.104305,0.0519496,0.207278
52,794.217,1,0.683681,0,0.0606027,-1.76167,-4.54347,-1.11338,-1.34276,0.673764,0.166185,0.101664,0.0539147,0.213209
53,807.597,1,0.66637,0,0.0613149,-1.75877,-4.54651,-1.11208,-1.3505,0.677792,0.161977,0.0990899,0.0613373,0.20781
54,794.851,1,0.673291,0,0.061409,-1.79612,-4.53858,-1.10937,-1.35498,0.68607,0.157876,0.0965808,0.0597843,0.202548
55,792.827,1,0.68451,0,0.0616281,-1.81602,-4.53661,-1.11115,-1.36027,0.694758,0.153878,0.0941354,0.0650474,0.19742
56,801.104,1,0.667178,0,0.0613286,-1.80164,-4.5405,-1.11045,-1.35602,0.696211,0.149982,0.0976942,0.0640565,0.192421
57,822.411,1,0.68125,0,0.0615087,-1.78879,-4.53832,-1.12006,-1.36185,0.704578,0.146184,0.0952206,0.0624345,0.192538
58,786.712,1,0.664,0,0.061338,-1.77728,-4.55037,-1.10844,-1.35999,0.687519,0.142483,0.0928095,0.06425,0.204949
59,765.635,1,0.667252,0,0.0614594,-1.76137,-4.5429,-1.10405,-1.35919,0.699123,0.138875,0.0904595,0.0626231,0.203433
60,749.028,1,0.667118,0,0.0610412,-1.77207,-4.54412,-1.12017,-1.34711,0.689734,0.135359,0.0881691,0.0610375,0.198282
61,772.087,1,0.683761,0,0.0612133,-1.73067,-4.54895,-1.11032,-1.34974,0.68149,0.131931,0.0859366,0.059492,0.193262
62,740.379,1,0.670101,0,0.0618678,-1.74542,-4.53281,-1.09587,-1.35337,0.680591,0.128591,0.0837639,0.0579856,0.188368
63,780.466,1,0.677106,0,0.0627999,-1.73104,-4.53977,-1.09312,-1.35522,0.66664,0.125335,0.0817309,0.0565174,0.199984
64,754.693,1,0.681773,0,0.0627184,-1.7849,-4.53536,-1.09526,-1.34939,0.670836,0.122161,0.0796614,0.0550863,0.207368
65,763.048,1,0.670037,0,0.0625241,-1.81975,-4.53391,-1.08486,-1.3432,0.653627,0.119068,0.0837179,0.0559196,0.202117
66,739.307,1,0.681078,0,0.063115,-1.81876,-4.54427,-1.09941,-1.33808,0.660989,0.116053,0.0849882,0.0545036,0.196999
67,776.234,1,0.690185,0,0.0633245,-1.872,-4.54566,-1.08616,-1.35494,0.659502,0.119554,0.0828362,0.0570903,0.209652
68,755.722,1,0.672709,0,0.0637637,-1.84934,-4.54378,-1.0856,-1.35772,0.65364,0.123439,0.0807388,0.0567083,0.215989
69,777.796,1,0.674599,0,0.0626876,-1.88072,-4.54135,-1.09598,-1.35348,0.670448,0.120314,0.0786944,0.0556923,0.237157
70,741.305,1,0.657549,0,0.0622508,-1.89754,-4.54018,-1.09306,-1.34528,0.655619,0.120372,0.0767018,0.0542821,0.231152
