rep,id,initT,aS,dS,tau,Bt0,p,g,dI,n,V0,eta_initT,eta_aS,eta_dS,eta_tau,eta_Bt0,eta_p,eta_g,eta_dI,eta_n,eta_V0
1,1,0,1.86736679740407,-11.1909225058149,0,-8.41185311373863,0.574165678495833,3.13549421592915,-2.52572864430826,-4.82109435058895,-12.4727226354567,0,-0.201529578717442,0.0794280617989713,0,-0.307329169960258,-0.0216019892477972,0,0,-2.26221270647905,-0.367379778985084
2,1,0,1.65856417389548,-11.358903196543,0,-8.49521106543665,0.585206584023935,3.13549421592915,-2.52572864430826,-4.01823261578215,-11.3515519575062,0,-0.410332202226028,-0.0885526289291754,0,-0.390687121658285,-0.010561083719695,0,0,-1.45935097167226,0.753790898965384
3,1,0,2.83596088512077,-11.1301768281482,0,-7.88995512893922,0.548085856596588,3.13549421592915,-2.52572864430826,-3.52693649392982,-12.2987271425678,0,0.767064508999263,0.140173739465673,0,0.214568814839149,-0.0476818111470427,0,0,-0.968054849819922,-0.193384286096146
4,1,0,0.990074084928418,-11.3202673224171,0,-8.0255570556696,0.569088034965733,3.13549421592915,-2.52572864430826,-3.43580514649561,-12.4198202378103,0,-1.07882229119309,-0.0499167548032684,0,0.0789668881087682,-0.026679632777897,0,0,-0.876923502385712,-0.314477381338735
5,1,0,2.82398319155412,-11.1032058845155,0,-8.31538049470558,0.614745165828793,3.13549421592915,-2.52572864430826,-3.84388865244972,-12.2765221791218,0,0.755086815432612,0.167144683098307,0,-0.210856550927209,0.0189774980851624,0,0,-1.28500700833982,-0.171179322650156
6,1,0,2.50166417901958,-11.5041469567109,0,-7.99476067462696,0.597849487364135,3.13549421592915,-2.52572864430826,-4.26840787899003,-12.2113864782435,0,0.43276780289807,-0.23379638909703,0,0.109763269151411,0.0020818196205048,0,0,-1.70952623488014,-0.106043621771921
1,2,0,1.7722643496991,-11.3200432052737,0,-8.49037041638805,0.631708315973723,3.13549421592915,-2.52572864430826,-2.56069820617025,-12.3378638204252,0,-0.296632026422408,-0.0496926376598541,0,-0.385846472609677,0.0359406482300928,0,0,-0.00181656206035941,-0.232520963953592
2,2,0,1.65340865269166,-10.8195873157075,0,-8.11187919200289,0.576185084194436,3.13549421592915,-2.52572864430826,-2.63727460931531,-11.7283509685791,0,-0.415487723429846,0.450763251906372,0,-0.00735524822452405,-0.0195825835491944,0,0,-0.0783929652054121,0.37699188789249
3,2,0,2.23692554338627,-10.8208990051854,0,-7.95699794345616,0.596024576528994,3.13549421592915,-2.52572864430826,-4.78806218598619,-11.6622759524177,0,0.168029167264758,0.449451562428457,0,0.14752600032221,0.000256908785364107,0,0,-2.2291805418763,0.443066904053868
4,2,0,1.79894368113242,-12.2893178960083,0,-8.00235079106861,0.597895715187874,3.13549421592915,-2.52572864430826,-3.04384983997776,-11.6156328335046,0,-0.269952694989091,-1.01896732839445,0,0.102173152709764,0.00212804744424333,0,0,-0.484968195867865,0.489710022967051
5,2,0,1.68669627601272,-11.4875760952474,0,-8.28023472782303,0.65129616411674,3.13549421592915,-2.52572864430826,-2.15486532972279,-12.2461428294432,0,-0.382200100108792,-0.217225527633557,0,-0.175710784044659,0.0555284963731092,0,0,0.404016314387109,-0.14079997297158
6,2,0,2.02663428053542,-10.6602181377915,0,-8.05396528398471,0.595648144901778,3.13549421592915,-2.52572864430826,-2.33956008000741,-11.8192554105671,0,-0.042262095586092,0.610132429822304,0,0.050558659793662,-0.000119522841852127,0,0,0.21932156410248,0.286087445904524
1,3,0,1.79865589493903,-11.5069240103397,0,-8.30464973406026,0.618942014311775,3.13549421592915,-2.52572864430826,-1.75069750082708,-11.9445736879206,0,-0.270240481182476,-0.236573442725886,0,-0.200125790281893,0.0231743465681443,0,0,0.808184143282815,0.160769168550971
2,3,0,2.45476399852804,-11.1975648139662,0,-8.06979135457643,0.611915888497506,3.13549421592915,-2.52572864430826,-1.87767050745856,-12.0874791446763,0,0.385867622406524,0.0727857536476346,0,0.0347325892019423,0.0161482207538753,0,0,0.681211136651337,0.0178637117953233
3,3,0,1.29542848005393,-11.2278034859741,0,-7.84518749020116,0.592032105546387,3.13549421592915,-2.52572864430826,-1.70335458486852,-12.1866750869094,0,-0.773467896067582,0.0425470816397731,0,0.259336453577208,-0.00373556219724336,0,0,0.855527059241373,-0.0813322304377415
4,3,0,1.11599509086094,-11.9750423277712,0,-8.30013301003501,0.538096566661564,3.13549421592915,-2.52572864430826,-1.99329879203061,-12.2221813051628,0,-0.952901285260574,-0.704691760157361,0,-0.195609066256644,-0.057671101082066,0,0,0.565582852079281,-0.116838448691215
5,3,0,2.73349032574703,-11.0712726106612,0,-8.43570123511976,0.588231766543965,3.13549421592915,-2.52572864430826,-1.7399362676056,-11.7212565798981,0,0.664593949625519,0.199077956952625,0,-0.331177291341392,-0.00753590119966563,0,0,0.81894537650429,0.384086276573557
6,3,0,2.1243881117796,-11.1303097872923,0,-8.53434516565619,0.574542075357705,3.13549421592915,-2.52572864430826,-1.87236906402085,-12.3714094109334,0,0.0554917356580926,0.140040780321501,0,-0.429821221877823,-0.0212255923859254,0,0,0.686512580089043,-0.26606655446183
1,4,0,1.67200819763815,-10.7358995277354,0,-8.10898096978055,0.571803189262411,3.13549421592915,-2.52572864430826,-1.89662502305131,-11.0054983743315,0,-0.396888178483366,0.534451039878409,0,-0.0701843497248067,-0.0239644784812192,0,0,0.662256621058581,-0.237021720030612
2,4,0,1.35365923464751,-11.1356402403674,0,-8.02741994916287,0.636816872115046,3.13549421592915,-2.52572864430826,-1.9066352227491,-10.3569725989893,0,-0.715237141473998,0.134710327246417,0,0.0113766708928704,0.0410492043714153,0,0,0.652246421360789,0.411504055311566
3,4,0,1.06816760532655,-10.5840242833252,0,-7.81697919357417,0.619606196811161,3.13549421592915,-2.52572864430826,-2.36171811443837,-10.0206136423088,0,-1.00072877079496,0.686326284288684,0,0.221817426481571,0.0238385290675304,0,0,0.197163529671525,0.747863011992029
4,4,0,0.834020906928421,-11.1375977981662,0,-7.99951644876979,0.602385424734159,3.13549421592915,-2.52572864430826,-1.64838575940238,-10.3505784513641,0,-1.23487546919309,0.132752769447649,0,0.0392801712859487,0.00661775699052836,0,0,0.910495884707513,0.41789820293674
5,4,0,0.865535455263033,-10.9509012361714,0,-8.23384446199702,0.579974547197934,3.13549421592915,-2.52572864430826,-1.68543823570981,-10.4803886241812,0,-1.20336092085848,0.319449331442419,0,-0.195047841941276,-0.0157931205456965,0,0,0.873443408400079,0.28808803011963
6,4,0,1.76586878887529,-11.5245868629237,0,-8.24362950598705,0.587808709311945,3.13549421592915,-2.52572864430826,-1.72347432917212,-10.7709421455239,0,-0.303027587246225,-0.25423629530988,0,-0.204832885931308,-0.00795895843168526,0,0,0.835407314937775,-0.0024654912230524
1,5,0,2.05256818554632,-11.3934565729975,0,-8.28946827036063,0.589086009047286,3.13549421592915,-2.52572864430826,-5.07611722112723,-11.0248553013114,0,-0.0163281905751944,-0.123106005383628,0,-0.250671650304888,-0.00668165869634396,0,0,-2.51723557701734,-0.256378647010534
2,5,0,2.30645765026673,-11.9013383243348,0,-8.11365924870443,0.61059763996918,3.13549421592915,-2.52572864430826,-4.67050902134917,-10.938604893287,0,0.237561274145215,-0.630987756721007,0,-0.0748626286486882,0.0148299722255499,0,0,-2.11162737723928,-0.170128238986162
3,5,0,1.99492558415151,-11.6869000298235,0,-7.48499761629752,0.622182907365696,3.13549421592915,-2.52572864430826,-4.27606416358301,-10.4930003764443,0,-0.0739707919699968,-0.416549462209701,0,0.553799003758221,0.0264152396220654,0,0,-1.71718251947311,0.275476277856528
4,5,0,2.57273085675173,-11.1314488556684,0,-8.37113405474373,0.567346101591202,3.13549421592915,-2.52572864430826,-3.72668308736648,-10.8376188264255,0,0.503834480630215,0.138901711945481,0,-0.332337434687988,-0.0284215661524286,0,0,-1.16780144325659,-0.0691421721246481
5,5,0,2.34397801988159,-10.9879846181417,0,-8.27252924294301,0.60936569465078,3.13549421592915,-2.52572864430826,-3.85793134153321,-11.7623231398217,0,0.275081643760078,0.282365949472164,0,-0.233732622887265,0.0135980269071497,0,0,-1.29904969742331,-0.993846485520853
6,5,0,1.91481406077539,-11.2076875565512,0,-8.05962291971447,0.616039665834411,3.13549421592915,-2.52572864430826,-4.5324375509181,-10.4572928761757,0,-0.154082315346117,0.0626630110626447,0,-0.0208262996587294,0.0202719980907812,0,0,-1.9735559068082,0.31118377812518
1,6,0,0.137236870823967,-12.3967073628665,0,-7.62613506698476,0.607863696952083,3.13549421592915,-2.52572864430826,-2.36160762375965,-10.5961592001246,0,-1.93165950529754,-1.12635679525266,0,0.412661553070978,0.012096029208453,0,0,0.197274020350241,0.172317454176234
2,6,0,1.01128240032052,-11.1412861471164,0,-8.11892356744895,0.553469095565451,3.13549421592915,-2.52572864430826,-1.7107814472683,-10.9948977948686,0,-1.05761397580099,0.129064420497453,0,-0.080126947393202,-0.0422985721781792,0,0,0.848100196841592,-0.226421140567725
3,6,0,2.32517312791559,-11.9891458572189,0,-7.60112547988181,0.580099155267759,3.13549421592915,-2.52572864430826,-1.89653325111208,-11.1935251955726,0,0.256276751794079,-0.718795289605069,0,0.437671140173936,-0.0156685124758709,0,0,0.662348392997812,-0.425048541271785
