initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,lk_abscissa,lk_cdf,lae_abscissa,lae_cdf,lw_abscissa,lw_cdf,dE_abscissa,dE_cdf,split
-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,All
-3.78311,0.00196078,-3.57555,0.00196078,-3.02572,0.00196078,-2.53166,0.00196078,-2.81314,0.00196078,-3.20347,0.00196078,-3.38531,0.00196078,-1.68814,0.00196078,All
-3.59892,0.00392157,-3.11689,0.00392157,-2.79866,0.00392157,-2.4995,0.00392157,-2.43626,0.00392157,-3.06449,0.00392157,-2.47805,0.00392157,-1.6582,0.00392157,All
-3.20274,0.00588235,-2.6611,0.00588235,-2.68942,0.00588235,-2.38155,0.00588235,-2.3313,0.00588235,-2.99287,0.00588235,-2.44036,0.00588235,-1.63148,0.00588235,All
-3.19397,0.00784314,-2.57084,0.00784314,-2.58643,0.00784314,-2.28175,0.00784314,-2.30724,0.00784314,-2.95157,0.00784314,-2.39214,0.00784314,-1.58755,0.00784314,All
-2.73009,0.00980392,-2.53646,0.00980392,-2.53926,0.00980392,-2.17508,0.00980392,-2.29168,0.00980392,-2.54829,0.00980392,-2.28927,0.00980392,-1.56887,0.00980392,All
-2.66077,0.0117647,-2.25513,0.0117647,-2.52957,0.0117647,-2.14195,0.0117647,-2.25993,0.0117647,-2.471,0.0117647,-2.28721,0.0117647,-1.5583,0.0117647,All
-2.59599,0.0137255,-2.25105,0.0137255,-2.51899,0.0137255,-2.08258,0.0137255,-2.23828,0.0137255,-2.44885,0.0137255,-2.13847,0.0137255,-1.55763,0.0137255,All
-2.48927,0.0156863,-2.16684,0.0156863,-2.37048,0.0156863,-1.9672,0.0156863,-2.22735,0.0156863,-2.42638,0.0156863,-2.13296,0.0156863,-1.55061,0.0156863,All
-2.41529,0.0176471,-2.13381,0.0176471,-2.32237,0.0176471,-1.95984,0.0176471,-2.18839,0.0176471,-2.26121,0.0176471,-2.07457,0.0176471,-1.52224,0.0176471,All
-2.38865,0.0196078,-2.08521,0.0196078,-2.25417,0.0196078,-1.92991,0.0196078,-2.15693,0.0196078,-2.17112,0.0196078,-2.07127,0.0196078,-1.50163,0.0196078,All
-2.32077,0.0215686,-2.06632,0.0215686,-2.25007,0.0215686,-1.84588,0.0215686,-2.06845,0.0215686,-2.16917,0.0215686,-1.86197,0.0215686,-1.50156,0.0215686,All
-2.22624,0.0235294,-2.05126,0.0235294,-2.18761,0.0235294,-1.83972,0.0235294,-2.05316,0.0235294,-2.13413,0.0235294,-1.76186,0.0235294,-1.49713,0.0235294,All
-2.11509,0.0254902,-1.93178,0.0254902,-2.15436,0.0254902,-1.81369,0.0254902,-2.01332,0.0254902,-2.11399,0.0254902,-1.74488,0.0254902,-1.48755,0.0254902,All
-2.10245,0.027451,-1.91205,0.027451,-2.06153,0.027451,-1.74452,0.027451,-1.95872,0.027451,-2.08896,0.027451,-1.74172,0.027451,-1.48353,0.027451,All
-2.08327,0.0294118,-1.886,0.0294118,-1.99281,0.0294118,-1.7211,0.0294118,-1.95111,0.0294118,-2.02533,0.0294118,-1.71265,0.0294118,-1.47338,0.0294118,All
-2.04051,0.0313725,-1.87744,0.0313725,-1.93685,0.0313725,-1.71346,0.0313725,-1.87866,0.0313725,-1.97679,0.0313725,-1.68707,0.0313725,-1.46501,0.0313725,All
-2.03267,0.0333333,-1.87736,0.0333333,-1.87585,0.0333333,-1.68402,0.0333333,-1.86121,0.0333333,-1.96283,0.0333333,-1.68518,0.0333333,-1.45913,0.0333333,All
-1.97869,0.0352941,-1.84095,0.0352941,-1.86115,0.0352941,-1.68391,0.0352941,-1.84779,0.0352941,-1.90883,0.0352941,-1.6623,0.0352941,-1.45313,0.0352941,All
-1.93763,0.0372549,-1.83875,0.0372549,-1.82066,0.0372549,-1.67789,0.0372549,-1.84352,0.0372549,-1.8711,0.0372549,-1.64569,0.0372549,-1.44959,0.0372549,All
-1.93567,0.0392157,-1.82221,0.0392157,-1.80217,0.0392157,-1.65071,0.0392157,-1.83028,0.0392157,-1.85576,0.0392157,-1.63081,0.0392157,-1.44843,0.0392157,All
-1.92675,0.0411765,-1.80708,0.0411765,-1.79291,0.0411765,-1.64844,0.0411765,-1.77169,0.0411765,-1.78321,0.0411765,-1.62836,0.0411765,-1.43221,0.0411765,All
