aS_vs_dI_abscissa,aS_vs_dI_spline,aS_vs_dI_regression,aS_vs_dS_abscissa,aS_vs_dS_spline,aS_vs_dS_regression,aS_vs_initT_abscissa,aS_vs_initT_spline,aS_vs_initT_regression,aS_vs_lBt0_abscissa,aS_vs_lBt0_spline,aS_vs_lBt0_regression,aS_vs_n_abscissa,aS_vs_n_spline,aS_vs_n_regression,dI_vs_aS_abscissa,dI_vs_aS_spline,dI_vs_aS_regression,dI_vs_dS_abscissa,dI_vs_dS_spline,dI_vs_dS_regression,dI_vs_initT_abscissa,dI_vs_initT_spline,dI_vs_initT_regression,dI_vs_lBt0_abscissa,dI_vs_lBt0_spline,dI_vs_lBt0_regression,dI_vs_n_abscissa,dI_vs_n_spline,dI_vs_n_regression,dS_vs_aS_abscissa,dS_vs_aS_spline,dS_vs_aS_regression,dS_vs_dI_abscissa,dS_vs_dI_spline,dS_vs_dI_regression,dS_vs_initT_abscissa,dS_vs_initT_spline,dS_vs_initT_regression,dS_vs_lBt0_abscissa,dS_vs_lBt0_spline,dS_vs_lBt0_regression,dS_vs_n_abscissa,dS_vs_n_spline,dS_vs_n_regression,initT_vs_aS_abscissa,initT_vs_aS_spline,initT_vs_aS_regression,initT_vs_dI_abscissa,initT_vs_dI_spline,initT_vs_dI_regression,initT_vs_dS_abscissa,initT_vs_dS_spline,initT_vs_dS_regression,initT_vs_lBt0_abscissa,initT_vs_lBt0_spline,initT_vs_lBt0_regression,initT_vs_n_abscissa,initT_vs_n_spline,initT_vs_n_regression,lBt0_vs_aS_abscissa,lBt0_vs_aS_spline,lBt0_vs_aS_regression,lBt0_vs_dI_abscissa,lBt0_vs_dI_spline,lBt0_vs_dI_regression,lBt0_vs_dS_abscissa,lBt0_vs_dS_spline,lBt0_vs_dS_regression,lBt0_vs_initT_abscissa,lBt0_vs_initT_spline,lBt0_vs_initT_regression,lBt0_vs_n_abscissa,lBt0_vs_n_spline,lBt0_vs_n_regression,n_vs_aS_abscissa,n_vs_aS_spline,n_vs_aS_regression,n_vs_dI_abscissa,n_vs_dI_spline,n_vs_dI_regression,n_vs_dS_abscissa,n_vs_dS_spline,n_vs_dS_regression,n_vs_initT_abscissa,n_vs_initT_spline,n_vs_initT_regression,n_vs_lBt0_abscissa,n_vs_lBt0_spline,n_vs_lBt0_regression
0.899725,0.521184,0.538595,2.32986,0.0853733,-0.0706412,2.27922,-0.147538,0.00272126,0.924284,0.0424472,-0.0637584,1.03902,-0.357478,-0.364812,0.619684,0.879611,0.870305,2.32986,0.172695,-0.121311,2.27922,-0.221597,-0.00634925,0.924284,0.0785002,-0.108785,1.03902,-0.784012,-0.793101,0.619684,0.256878,-0.366865,0.899725,0.404345,-0.354704,2.27922,0.00235076,-0.0400748,0.924284,2.20031,2.21024,1.03902,0.47569,0.156527,0.619684,0.533391,-0.714675,0.899725,0.933634,-0.73284,2.32986,3.25727,0.182273,0.924284,3.0735,0.227998,1.03902,-0.0748083,1.13506,0.619684,0.122784,-0.149475,0.899725,0.174137,-0.142775,2.32986,0.96937,0.962572,2.27922,-0.00529631,-0.0187131,1.03902,0.197541,0.0491439,0.619684,-0.723225,-0.664307,0.899725,-0.894608,-0.860922,2.32986,-0.311959,0.0646744,2.27922,0.0866058,-0.00693564,0.924284,-0.17467,0.0479426
0.931903,0.554699,0.557623,2.41574,0.0586446,-0.073536,2.65531,-0.113434,0.00152047,0.960747,0.0604084,-0.06658,1.0748,-0.393882,-0.377485,0.641214,0.911355,0.900841,2.41574,0.158404,-0.12587,2.65531,-0.173251,-0.00835003,0.960747,0.14436,-0.113164,1.0748,-0.830198,-0.820124,0.641214,0.183791,-0.37846,0.931903,0.461171,-0.366084,2.65531,-0.133456,-0.040444,0.960747,2.28325,2.2972,1.0748,0.478236,0.163122,0.641214,0.293082,-0.748858,0.931903,0.390081,-0.768331,2.41574,3.45406,0.179649,0.960747,3.75683,0.226968,1.0748,0.126654,1.1649,0.641214,0.0963324,-0.154097,0.931903,0.200387,-0.147245,2.41574,1.00694,0.998146,2.65531,-0.059682,-0.0187724,1.0748,0.196791,0.0514323,0.641214,-0.741737,-0.687132,0.931903,-0.9049,-0.89125,2.41574,-0.345017,0.0676397,2.65531,0.0999928,-0.00504817,0.960747,-0.294008,0.0504584
0.964081,0.588825,0.57665,2.50161,0.0303108,-0.0764309,3.03141,-0.0750791,0.000319673,0.99721,0.0739504,-0.0694015,1.11059,-0.429331,-0.390157,0.662744,0.942974,0.931378,2.50161,0.128211,-0.13043,3.03141,-0.121943,-0.0103508,0.99721,0.197715,-0.117543,1.11059,-0.875895,-0.847147,0.662744,0.11535,-0.390055,0.964081,0.512255,-0.377463,3.03141,-0.257936,-0.0408132,0.99721,2.36233,2.38417,1.11059,0.472757,0.169716,0.662744,0.00794548,-0.783042,0.964081,-0.180781,-0.803821,2.50161,3.44411,0.177025,0.99721,4.13501,0.225938,1.11059,0.359883,1.19473,0.662744,0.0711291,-0.15872,0.964081,0.224194,-0.151716,2.50161,1.04452,1.03372,3.03141,-0.107291,-0.0188317,1.11059,0.192285,0.0537207,0.662744,-0.759645,-0.709957,0.964081,-0.91425,-0.921578,2.50161,-0.34963,0.0706051,3.03141,0.101012,-0.00316069,0.99721,-0.397214,0.0529741
0.996259,0.624,0.595678,2.58748,0.000918619,-0.0793257,3.4075,-0.0884686,-0.00088112,1.03367,0.0727439,-0.072223,1.14637,-0.461084,-0.40283,0.684274,0.974593,0.961914,2.58748,0.0823781,-0.134989,3.4075,-0.148469,-0.0123516,1.03367,0.214533,-0.121922,1.14637,-0.918632,-0.87417,0.684274,0.0469102,-0.40165,0.996259,0.523319,-0.388843,3.4075,-0.228669,-0.0411823,1.03367,2.44282,2.47114,1.14637,0.462652,0.17631,0.684274,-0.277191,-0.817226,0.996259,-0.798253,-0.839312,2.58748,3.2209,0.174401,1.03367,4.2338,0.224908,1.14637,0.596628,1.22456,0.684274,0.0459258,-0.163343,0.996259,0.230979,-0.156186,2.58748,1.08213,1.06929,3.4075,-0.0931729,-0.0188909,1.14637,0.185505,0.0560092,0.684274,-0.777552,-0.732782,0.996259,-0.921205,-0.951906,2.58748,-0.325381,0.0735704,3.4075,0.101348,-0.00127322,1.03367,-0.450248,0.0554899
1.02844,0.657969,0.614705,2.67335,-0.0291698,-0.0822206,3.78359,-0.124402,-0.00208191,1.07014,0.0566422,-0.0750445,1.18216,-0.486313,-0.415502,0.705804,1.00615,0.992451,2.67335,0.0231362,-0.139549,3.78359,-0.207375,-0.0143524,1.07014,0.194485,-0.126301,1.18216,-0.955751,-0.901193,0.705804,-0.0203367,-0.413245,1.02844,0.494793,-0.400222,3.78359,-0.121481,-0.0415515,1.07014,2.5253,2.5581,1.18216,0.453838,0.182905,0.705804,-0.572367,-0.85141,1.02844,-1.3623,-0.874803,2.67335,2.80983,0.171777,1.07014,4.07314,0.223878,1.18216,0.796738,1.25439,0.705804,0.0210431,-0.167966,1.02844,0.220922,-0.160657,2.67335,1.11973,1.10487,3.78359,-0.0485576,-0.0189502,1.18216,0.17911,0.0582976,0.705804,-0.795325,-0.755606,1.02844,-0.928723,-0.982234,2.67335,-0.27588,0.0765358,3.78359,0.1044,0.00061425,1.07014,-0.452365,0.0580056
1.06062,0.690747,0.633733,2.75922,-0.059546,-0.0851154,4.15969,-0.139444,-0.00328271,1.1066,0.0272948,-0.077866,1.21794,-0.505439,-0.428174,0.727334,1.03734,1.02299,2.75922,-0.0446266,-0.144108,4.15969,-0.232161,-0.0163531,1.1066,0.141478,-0.13068,1.21794,-0.987566,-0.928217,0.727334,-0.0808907,-0.424839,1.06062,0.436055,-0.411602,4.15969,-0.0492476,-0.0419207,1.1066,2.60963,2.64507,1.21794,0.446549,0.189499,0.727334,-0.921467,-0.885594,1.06062,-1.87611,-0.910294,2.75922,2.27574,0.169153,1.1066,3.67881,0.222848,1.21794,0.960771,1.28423,0.727334,-0.00204126,-0.172588,1.06062,0.198006,-0.165127,2.75922,1.15728,1.14044,4.15969,-0.0192884,-0.0190095,1.21794,0.173257,0.060586,0.727334,-0.812382,-0.778431,1.06062,-0.93706,-1.01256,2.75922,-0.209967,0.0795011,4.15969,0.112052,0.00250172,1.1066,-0.408743,0.0605214
1.09279,0.72221,0.65276,2.8451,-0.0900418,-0.0880102,4.53578,-0.110775,-0.0044835,1.14306,-0.013641,-0.0806875,1.25373,-0.51844,-0.440847,0.748864,1.06814,1.05352,2.8451,-0.122109,-0.148668,4.53578,-0.188196,-0.0183539,1.14306,0.0594145,-0.135059,1.25373,-1.01403,-0.95524,0.748864,-0.137526,-0.436434,1.09279,0.347803,-0.422981,4.53578,-0.0779184,-0.0422899,1.14306,2.69572,2.73204,1.25373,0.440217,0.196093,0.748864,-1.29386,-0.919777,1.09279,-2.33729,-0.945784,2.8451,1.59637,0.166529,1.14306,3.07634,0.221817,1.25373,1.0906,1.31406,0.748864,-0.0240728,-0.177211,1.09279,0.162517,-0.169597,2.8451,1.19476,1.17602,4.53578,-0.032265,-0.0190688,1.25373,0.167734,0.0628745,0.748864,-0.82914,-0.801256,1.09279,-0.946444,-1.04289,2.8451,-0.124836,0.0824665,4.53578,0.117855,0.00438919,1.14306,-0.324526,0.0630371
1.12497,0.752264,0.671788,2.93097,-0.119826,-0.0909051,4.91188,-0.0599877,-0.00568429,1.17953,-0.0634643,-0.083509,1.28951,-0.526961,-0.453519,0.770394,1.09881,1.08406,2.93097,-0.209259,-0.153228,4.91188,-0.109647,-0.0203547,1.17953,-0.0451913,-0.139437,1.28951,-1.03655,-0.982263,0.770394,-0.192842,-0.448029,1.12497,0.233075,-0.434361,4.91188,-0.173262,-0.0426591,1.17953,2.78329,2.819,1.28951,0.434231,0.202687,0.770394,-1.6733,-0.953961,1.12497,-2.74591,-0.981275,2.93097,0.752855,0.163904,1.17953,2.30991,0.220787,1.28951,1.19664,1.34389,0.770394,-0.0457498,-0.181834,1.12497,0.115734,-0.174068,2.93097,1.23202,1.21159,4.91188,-0.0738612,-0.0191281,1.28951,0.162324,0.0651629,0.770394,-0.845808,-0.824081,1.12497,-0.957137,-1.07322,2.93097,-0.0186146,0.0854318,4.91188,0.0976083,0.00627667,1.17953,-0.2085,0.0655528
1.15715,0.780987,0.690816,3.01684,-0.149441,-0.0937999,5.28797,-0.0134938,-0.00688509,1.21599,-0.121171,-0.0863305,1.3253,-0.530388,-0.466192,0.791924,1.12799,1.1146,3.01684,-0.298026,-0.157787,5.28797,-0.038072,-0.0223555,1.21599,-0.170073,-0.143816,1.3253,-1.0545,-1.00929,0.791924,-0.239664,-0.459624,1.15715,0.0980699,-0.44574,5.28797,-0.280544,-0.0430283,1.21599,2.87232,2.90597,1.3253,0.427092,0.209282,0.791924,-2.06727,-0.988145,1.15715,-3.10835,-1.01677,3.01684,-0.119287,0.16128,1.21599,1.39336,0.219757,1.3253,1.28103,1.37372,0.791924,-0.0651447,-0.186457,1.15715,0.0602834,-0.178538,3.01684,1.26923,1.24716,5.28797,-0.121776,-0.0191874,1.3253,0.156468,0.0674513,0.791924,-0.862353,-0.846905,1.15715,-0.969243,-1.10355,3.01684,0.0912523,0.0883972,5.28797,0.0321892,0.00816414,1.21599,-0.0635272,0.0680686
1.18933,0.80705,0.709843,3.10271,-0.174144,-0.0966948,5.66406,0.0106306,-0.00808588,1.25245,-0.18357,-0.0891521,1.36108,-0.529057,-0.478864,0.813454,1.1571,1.14513,3.10271,-0.370928,-0.162347,5.66406,-0.00153289,-0.0243563,1.25245,-0.3075,-0.148195,1.36108,-1.06818,-1.03631,0.813454,-0.286117,-0.471218,1.18933,-0.0564482,-0.45712,5.66406,-0.279223,-0.0433975,1.25245,2.96248,2.99294,1.36108,0.418874,0.215876,0.813454,-2.46186,-1.02233,1.18933,-3.39412,-1.05226,3.10271,-0.865903,0.158656,1.25245,0.379429,0.218727,1.36108,1.34518,1.40355,0.813454,-0.0844407,-0.191079,1.18933,-0.00360172,-0.183009,3.10271,1.30578,1.28274,5.66406,-0.12359,-0.0192467,1.36108,0.150196,0.0697398,0.813454,-0.878893,-0.86973,1.18933,-0.984938,-1.13387,3.10271,0.180966,0.0913625,5.66406,-0.0282473,0.0100516,1.25245,0.0999277,0.0705843
1.22151,0.830295,0.728871,3.18858,-0.177754,-0.0995896,6.04016,-7.80812e-05,-0.00928668,1.28892,-0.249187,-0.0919736,1.39687,-0.527727,-0.491537,0.834984,1.18622,1.17567,3.18858,-0.375711,-0.166906,6.04016,-0.0195087,-0.026357,1.28892,-0.453649,-0.152574,1.39687,-1.08187,-1.06333,0.834984,-0.33257,-0.482813,1.22151,-0.222878,-0.468499,6.04016,-0.0316738,-0.0437667,1.28892,3.05348,3.0799,1.39687,0.410656,0.22247,0.834984,-2.85646,-1.05651,1.22151,-3.60507,-1.08775,3.18858,-1.07354,0.156032,1.28892,-0.703267,0.217697,1.39687,1.40933,1.43339,0.834984,-0.103737,-0.195702,1.22151,-0.0727175,-0.187479,3.18858,1.33943,1.31831,6.04016,-0.0185918,-0.019306,1.39687,0.143924,0.0720282,0.834984,-0.895432,-0.892555,1.22151,-1.00476,-1.1642,3.18858,0.184145,0.0943279,6.04016,-0.00138449,0.0119391,1.28892,0.276367,0.0731001
1.25368,0.85354,0.747898,3.27446,-0.181364,-0.102484,6.41625,-0.0200537,-0.0104875,1.32538,-0.254207,-0.0947951,1.43265,-0.526396,-0.504209,0.856514,1.21533,1.20621,3.27446,-0.380493,-0.171466,6.41625,-0.0599848,-0.0283578,1.32538,-0.466547,-0.156953,1.43265,-1.09555,-1.09035,0.856514,-0.379023,-0.494408,1.25368,-0.389308,-0.479879,6.41625,0.152846,-0.0441359,1.32538,3.14544,3.16687,1.43265,0.402439,0.229065,0.856514,-3.25106,-1.0907,1.25368,-3.81603,-1.12324,3.27446,-1.28117,0.153408,1.32538,-1.01098,0.216667,1.43265,1.47348,1.46322,0.856514,-0.123033,-0.200325,1.25368,-0.141833,-0.191949,3.27446,1.37309,1.35389,6.41625,0.061229,-0.0193653,1.43265,0.137652,0.0743166,0.856514,-0.911972,-0.915379,1.25368,-1.02459,-1.19453,3.27446,0.187325,0.0972932,6.41625,0.0825874,0.0138266,1.32538,0.289454,0.0756158
1.28586,0.876785,0.766926,3.36033,-0.184974,-0.105379,6.79234,-0.0113195,-0.0116883,1.36184,-0.25281,-0.0976166,1.46844,-0.520727,-0.516882,0.878044,1.24445,1.23674,3.36033,-0.385276,-0.176025,6.79234,-0.0685407,-0.0303586,1.36184,-0.465332,-0.161332,1.46844,-1.10516,-1.11738,0.878044,-0.425477,-0.506003,1.28586,-0.555738,-0.491258,6.79234,-0.135549,-0.0445051,1.36184,3.2375,3.25384,1.46844,0.389992,0.235659,0.878044,-3.64565,-1.12488,1.28586,-4.02698,-1.15873,3.36033,-1.4888,0.150784,1.36184,-1.23663,0.215636,1.46844,1.53049,1.49305,0.878044,-0.142329,-0.204947,1.28586,-0.210949,-0.19642,3.36033,1.40674,1.38946,6.79234,-0.0606848,-0.0194245,1.46844,0.129801,0.0766051,0.878044,-0.928511,-0.938204,1.28586,-1.04441,-1.22486,3.36033,0.190505,0.100259,6.79234,0.124267,0.015714,1.36184,0.285241,0.0781316
1.31804,0.90003,0.785953,3.4462,-0.188585,-0.108274,7.16844,-0.0029246,-0.0128891,1.39831,-0.251413,-0.100438,1.50422,-0.512701,-0.529554,0.899574,1.27185,1.26728,3.4462,-0.390059,-0.180585,7.16844,-0.0552243,-0.0323594,1.39831,-0.464118,-0.165711,1.50422,-1.11241,-1.1444,0.899574,-0.466299,-0.517598,1.31804,-0.722168,-0.502638,7.16844,-0.445082,-0.0448743,1.39831,3.32956,3.3408,1.50422,0.372909,0.242253,0.899574,-4.01051,-1.15906,1.31804,-4.23794,-1.19422,3.4462,-1.69643,0.14816,1.39831,-1.46227,0.214606,1.50422,1.59176,1.52288,0.899574,-0.160112,-0.20957,1.31804,-0.280065,-0.20089,3.4462,1.4404,1.42503,7.16844,-0.193009,-0.0194838,1.50422,0.120227,0.0788935,0.899574,-0.945543,-0.961029,1.31804,-1.06423,-1.25519,3.4462,0.193685,0.103224,7.16844,0.0933189,0.0176015,1.39831,0.281028,0.0806473
1.35022,0.923274,0.804981,3.53207,-0.192195,-0.111169,7.54453,-0.0520666,-0.0140898,1.43477,-0.250016,-0.10326,1.54001,-0.504675,-0.542227,0.921104,1.29851,1.29782,3.53207,-0.394841,-0.185145,7.54453,-0.0687304,-0.0343602,1.43477,-0.462904,-0.17009,1.54001,-1.11966,-1.17142,0.921104,-0.50474,-0.529192,1.35022,-0.888598,-0.514018,7.54453,0.0713383,-0.0452435,1.43477,3.42163,3.42777,1.54001,0.355827,0.248847,0.921104,-4.3628,-1.19325,1.35022,-4.44889,-1.22971,3.53207,-1.90406,0.145536,1.43477,-1.68791,0.213576,1.54001,1.65303,1.55272,0.921104,-0.177256,-0.214193,1.35022,-0.34918,-0.20536,3.53207,1.47406,1.46061,7.54453,0.0249326,-0.0195431,1.54001,0.110654,0.0811819,0.921104,-0.962782,-0.983854,1.35022,-1.08406,-1.28551,3.53207,0.196864,0.106189,7.54453,0.0272959,0.019489,1.43477,0.276814,0.0831631
1.3824,0.943952,0.824008,3.61794,-0.195805,-0.114064,7.92063,-0.0648706,-0.0152906,1.47123,-0.248618,-0.106081,1.57579,-0.496404,-0.554899,0.942634,1.32518,1.32835,3.61794,-0.399624,-0.189704,7.92063,-0.0749249,-0.0363609,1.47123,-0.46169,-0.174469,1.57579,-1.12625,-1.19845,0.942634,-0.543182,-0.540787,1.3824,-1.04159,-0.525397,7.92063,0.253206,-0.0456127,1.47123,3.51369,3.51474,1.57579,0.331204,0.255442,0.942634,-4.71509,-1.22743,1.3824,-4.6097,-1.2652,3.61794,-2.1117,0.142912,1.47123,-1.91355,0.212546,1.57579,1.73932,1.58255,0.942634,-0.1944,-0.218816,1.3824,-0.412789,-0.209831,3.61794,1.50771,1.49618,7.92063,0.100958,-0.0196024,1.57579,0.0982916,0.0834704,0.942634,-0.980021,-1.00668,1.3824,-1.10853,-1.31584,3.61794,0.200044,0.109155,7.92063,0.020052,0.0213764,1.47123,0.272601,0.0856788
1.41457,0.961862,0.843036,3.70382,-0.199415,-0.116959,8.29672,-0.0216236,-0.0164914,1.5077,-0.247221,-0.108903,1.61158,-0.48829,-0.567571,0.964164,1.3494,1.35889,3.70382,-0.404406,-0.194264,8.29672,-0.0587308,-0.0383617,1.5077,-0.460475,-0.178847,1.61158,-1.13289,-1.22547,0.964164,-0.577536,-0.552382,1.41457,-1.1801,-0.536777,8.29672,-0.189832,-0.0459818,1.5077,3.60575,3.6017,1.61158,0.304899,0.262036,0.964164,-4.98128,-1.26162,1.41457,-4.71644,-1.30069,3.70382,-2.31933,0.140288,1.5077,-2.1392,0.211516,1.61158,1.83225,1.61238,0.964164,-0.210446,-0.223438,1.41457,-0.470459,-0.214301,3.70382,1.54137,1.53176,8.29672,-0.0859766,-0.0196617,1.61158,0.0853085,0.0857588,0.964164,-0.998558,-1.0295,1.41457,-1.13802,-1.34617,3.70382,0.203224,0.11212,8.29672,0.0731777,0.0232639,1.5077,0.268388,0.0881946
1.44675,0.978054,0.862063,3.78969,-0.203026,-0.119854,8.67281,-0.00241042,-0.0176922,1.54416,-0.245824,-0.111724,1.64736,-0.484272,-0.580244,0.985694,1.37358,1.38942,3.78969,-0.409189,-0.198823,8.67281,-0.0412982,-0.0403625,1.54416,-0.459261,-0.183226,1.64736,-1.14223,-1.25249,0.985694,-0.61184,-0.563977,1.44675,-1.28998,-0.548156,8.67281,-0.274891,-0.046351,1.54416,3.69781,3.68867,1.64736,0.262967,0.26863,0.985694,-5.24641,-1.2958,1.44675,-4.80413,-1.33618,3.78969,-2.52696,0.137664,1.54416,-2.36484,0.210486,1.64736,2.00024,1.64221,0.985694,-0.226479,-0.228061,1.44675,-0.516139,-0.218772,3.78969,1.57503,1.56733,8.67281,-0.116381,-0.019721,1.64736,0.0665636,0.0880472,0.985694,-1.01711,-1.05233,1.44675,-1.17134,-1.3765,3.78969,0.206403,0.115085,8.67281,0.093837,0.0251514,1.54416,0.264175,0.0907103
1.47893,0.992743,0.881091,3.87556,-0.206636,-0.122748,9.04891,0.00942027,-0.018893,1.58062,-0.244427,-0.114546,1.68315,-0.480255,-0.592916,1.00722,1.39777,1.41996,3.87556,-0.413972,-0.203383,9.04891,-0.000360534,-0.0423633,1.58062,-0.458047,-0.187605,1.68315,-1.15156,-1.27952,1.00722,-0.646144,-0.575571,1.47893,-1.37484,-0.559536,9.04891,-0.0666083,-0.0467202,1.58062,3.78988,3.77564,1.68315,0.221035,0.275225,1.00722,-5.51154,-1.32998,1.47893,-4.87517,-1.37167,3.87556,-2.73459,0.13504,1.58062,-2.59048,0.209455,1.68315,2.16823,1.67205,1.00722,-0.242511,-0.232684,1.47893,-0.551336,-0.223242,3.87556,1.60868,1.6029,9.04891,-0.0233414,-0.0197803,1.68315,0.0478187,0.0903357,1.00722,-1.03566,-1.07515,1.47893,-1.20801,-1.40683,3.87556,0.209583,0.118051,9.04891,0.0446556,0.0270389,1.58062,0.259961,0.0932261
1.51111,1.00743,0.900118,3.96143,-0.210246,-0.125643,9.425,0.0433343,-0.0200938,1.61709,-0.24303,-0.117367,1.71893,-0.476237,-0.605589,1.02875,1.42077,1.4505,3.96143,-0.418754,-0.207942,9.425,0.0779018,-0.0443641,1.61709,-0.456833,-0.191984,1.71893,-1.1609,-1.30654,1.02875,-0.679276,-0.587166,1.51111,-1.4597,-0.570915,9.425,0.164959,-0.0470894,1.61709,3.88194,3.8626,1.71893,0.179104,0.281819,1.02875,-5.72633,-1.36417,1.51111,-4.94622,-1.40716,3.96143,-2.94223,0.132416,1.61709,-2.81612,0.208425,1.71893,2.33622,1.70188,1.02875,-0.258229,-0.237307,1.51111,-0.586534,-0.227712,3.96143,1.64234,1.63848,9.425,0.0733089,-0.0198396,1.71893,0.0290739,0.0926241,1.02875,-1.05496,-1.09798,1.51111,-1.24468,-1.43715,3.96143,0.212763,0.121016,9.425,-0.0639808,0.0289263,1.61709,0.255748,0.0957418
1.54329,1.0172,0.919146,4.0473,-0.213856,-0.128538,9.80109,0.0955201,-0.0212946,1.65355,-0.241633,-0.120189,1.75472,-0.472636,-0.618261,1.05028,1.44246,1.48103,4.0473,-0.423537,-0.212502,9.80109,0.15813,-0.0463648,1.65355,-0.455618,-0.196363,1.75472,-1.17055,-1.33356,1.05028,-0.711235,-0.598761,1.54329,-1.40576,-0.582295,9.80109,0.335614,-0.0474586,1.65355,3.974,3.94957,1.75472,0.136116,0.288413,1.05028,-5.88382,-1.39835,1.54329,-5.00489,-1.44265,4.0473,-3.14986,0.129792,1.65355,-3.04176,0.207395,1.75472,2.50999,1.73171,1.05028,-0.273633,-0.241929,1.54329,-0.563364,-0.232183,4.0473,1.676,1.67405,9.80109,0.139034,-0.0198989,1.75472,0.00994037,0.0949126,1.05028,-1.07511,-1.1208,1.54329,-1.29441,-1.46748,4.0473,0.215943,0.123981,9.80109,-0.144124,0.0308138,1.65355,0.251535,0.0982575
1.57546,1.02568,0.938174,4.13318,-0.217466,-0.131433,10.1772,0.147811,-0.0224954,1.69001,-0.240235,-0.12301,1.7905,-0.486172,-0.630934,1.07181,1.46286,1.51157,4.13318,-0.42832,-0.217062,10.1772,0.220952,-0.0483656,1.69001,-0.454404,-0.200742,1.7905,-1.19327,-1.36059,1.07181,-0.742565,-0.610356,1.57546,-1.31515,-0.593674,10.1772,0.364331,-0.0478278,1.69001,4.06606,4.03654,1.7905,0.0577958,0.295007,1.07181,-5.97908,-1.43253,1.57546,-5.06028,-1.47815,4.13318,-3.35749,0.127168,1.69001,-3.26741,0.206365,1.7905,2.89315,1.76154,1.07181,-0.288867,-0.246552,1.57546,-0.524769,-0.236653,4.13318,1.70965,1.70963,10.1772,0.145431,-0.0199582,1.7905,-0.0221917,0.097201,1.07181,-1.09617,-1.14363,1.57546,-1.34759,-1.49781,4.13318,0.219122,0.126947,10.1772,-0.179486,0.0327013,1.69001,0.247322,0.100773
1.60764,1.03415,0.957201,4.21905,-0.221077,-0.134328,10.5533,0.176805,-0.0236962,1.72648,-0.238838,-0.125832,1.82629,-0.501901,-0.643606,1.09334,1.48166,1.54211,4.21905,-0.433102,-0.221621,10.5533,0.265123,-0.0503664,1.72648,-0.45319,-0.205121,1.82629,-1.21769,-1.38761,1.09334,-0.773487,-0.621951,1.60764,-1.22453,-0.605054,10.5533,0.15954,-0.048197,1.72648,4.15813,4.1235,1.82629,-0.0245999,0.301602,1.09334,-5.99308,-1.46672,1.60764,-5.11567,-1.51364,4.21905,-3.56512,0.124544,1.72648,-3.49305,0.205335,1.82629,3.30157,1.79138,1.09334,-0.303992,-0.251175,1.60764,-0.486174,-0.241124,4.21905,1.74331,1.7452,10.5533,0.0618531,-0.0200174,1.82629,-0.0558221,0.0994894,1.09334,-1.11842,-1.16645,1.60764,-1.40077,-1.52814,4.21905,0.222302,0.129912,10.5533,-0.214481,0.0345887,1.72648,0.243108,0.103289
1.63982,1.04262,0.976229,4.30492,-0.224687,-0.137223,10.9294,0.176785,-0.024897,1.76294,-0.237441,-0.128653,1.86207,-0.517631,-0.656279,1.11487,1.50046,1.57264,4.30492,-0.437885,-0.226181,10.9294,0.289692,-0.0523672,1.76294,-0.451976,-0.2095,1.86207,-1.24211,-1.41463,1.11487,-0.804409,-0.633545,1.63982,-1.13392,-0.616433,10.9294,-0.260043,-0.0485662,1.76294,4.25019,4.21047,1.86207,-0.106996,0.308196,1.11487,-6.00708,-1.5009,1.63982,-5.17107,-1.54913,4.30492,-3.77275,0.12192,1.76294,-3.71869,0.204304,1.86207,3.70998,1.82121,1.11487,-0.319118,-0.255798,1.63982,-0.447578,-0.245594,4.30492,1.77697,1.78077,10.9294,-0.103094,-0.0200767,1.86207,-0.0894525,0.101778,1.11487,-1.14067,-1.18928,1.63982,-1.45394,-1.55847,4.30492,0.225482,0.132877,10.9294,-0.266334,0.0364762,1.76294,0.238895,0.105805
1.672,1.0511,0.995256,4.39079,-0.228297,-0.140118,11.3055,0.172164,-0.0260978,1.7994,-0.236044,-0.131475,1.89786,-0.53336,-0.668951,1.1364,1.51676,1.60318,4.39079,-0.442667,-0.23074,11.3055,0.294175,-0.054368,1.7994,-0.450761,-0.213879,1.89786,-1.26653,-1.44166,1.1364,-0.835408,-0.64514,1.672,-1.0433,-0.627813,11.3055,-0.678431,-0.0489354,1.7994,4.34225,4.29744,1.89786,-0.189391,0.31479,1.1364,-5.88652,-1.53509,1.672,-5.22646,-1.58462,4.39079,-3.98039,0.119296,1.7994,-3.94433,0.203274,1.89786,4.11839,1.85104,1.1364,-0.334264,-0.26042,1.672,-0.408983,-0.250064,4.39079,1.81062,1.81635,11.3055,-0.270133,-0.020136,1.89786,-0.123083,0.104066,1.1364,-1.16488,-1.2121,1.672,-1.50712,-1.58879,4.39079,0.228661,0.135843,11.3055,-0.306483,0.0383637,1.7994,0.234682,0.108321
