aS_vs_dI_abscissa,aS_vs_dI_spline,aS_vs_dI_regression,aS_vs_dS_abscissa,aS_vs_dS_spline,aS_vs_dS_regression,aS_vs_initT_abscissa,aS_vs_initT_spline,aS_vs_initT_regression,aS_vs_lBt0_abscissa,aS_vs_lBt0_spline,aS_vs_lBt0_regression,aS_vs_n_abscissa,aS_vs_n_spline,aS_vs_n_regression,dI_vs_aS_abscissa,dI_vs_aS_spline,dI_vs_aS_regression,dI_vs_dS_abscissa,dI_vs_dS_spline,dI_vs_dS_regression,dI_vs_initT_abscissa,dI_vs_initT_spline,dI_vs_initT_regression,dI_vs_lBt0_abscissa,dI_vs_lBt0_spline,dI_vs_lBt0_regression,dI_vs_n_abscissa,dI_vs_n_spline,dI_vs_n_regression,dS_vs_aS_abscissa,dS_vs_aS_spline,dS_vs_aS_regression,dS_vs_dI_abscissa,dS_vs_dI_spline,dS_vs_dI_regression,dS_vs_initT_abscissa,dS_vs_initT_spline,dS_vs_initT_regression,dS_vs_lBt0_abscissa,dS_vs_lBt0_spline,dS_vs_lBt0_regression,dS_vs_n_abscissa,dS_vs_n_spline,dS_vs_n_regression,initT_vs_aS_abscissa,initT_vs_aS_spline,initT_vs_aS_regression,initT_vs_dI_abscissa,initT_vs_dI_spline,initT_vs_dI_regression,initT_vs_dS_abscissa,initT_vs_dS_spline,initT_vs_dS_regression,initT_vs_lBt0_abscissa,initT_vs_lBt0_spline,initT_vs_lBt0_regression,initT_vs_n_abscissa,initT_vs_n_spline,initT_vs_n_regression,lBt0_vs_aS_abscissa,lBt0_vs_aS_spline,lBt0_vs_aS_regression,lBt0_vs_dI_abscissa,lBt0_vs_dI_spline,lBt0_vs_dI_regression,lBt0_vs_dS_abscissa,lBt0_vs_dS_spline,lBt0_vs_dS_regression,lBt0_vs_initT_abscissa,lBt0_vs_initT_spline,lBt0_vs_initT_regression,lBt0_vs_n_abscissa,lBt0_vs_n_spline,lBt0_vs_n_regression,n_vs_aS_abscissa,n_vs_aS_spline,n_vs_aS_regression,n_vs_dI_abscissa,n_vs_dI_spline,n_vs_dI_regression,n_vs_dS_abscissa,n_vs_dS_spline,n_vs_dS_regression,n_vs_initT_abscissa,n_vs_initT_spline,n_vs_initT_regression,n_vs_lBt0_abscissa,n_vs_lBt0_spline,n_vs_lBt0_regression
0.577943,0.302406,0.34832,1.47114,-0.050731,-0.0416927,-1.48172,0.0299631,0.0147292,0.55965,-0.142263,-0.0355433,0.681165,-0.222449,-0.238088,0.404384,0.569315,0.56494,1.47114,-0.0931207,-0.0757148,-1.48172,-0.0233205,0.0136586,0.55965,-0.202449,-0.0649961,0.681165,-0.512285,-0.52287,0.404384,0.144016,-0.250918,0.577943,-0.409018,-0.240909,-1.48172,-0.0127736,-0.0363828,0.55965,1.3974,1.34057,0.681165,0.211363,0.0905846,0.404384,0.604815,-0.372837,0.577943,2.38325,-0.377933,1.47114,-1.79737,0.208513,0.55965,0.357321,0.2383,0.681165,0.406821,0.83674,0.404384,0.0530182,-0.103247,0.577943,-0.176242,-0.0980712,1.47114,0.616625,0.606832,-1.48172,0.00973246,-0.0181202,0.681165,0.0779702,0.0262595,0.404384,-0.471495,-0.43606,0.577943,-0.605793,-0.557642,1.47114,0.0386853,0.0350208,-1.48172,0.0630506,-0.0258104,0.55965,0.157264,0.0227852
0.610121,0.315905,0.367347,1.55702,0.0411876,-0.0445875,-1.10562,0.0816293,0.0135284,0.596113,-0.108047,-0.0383648,0.71695,-0.246042,-0.25076,0.425914,0.585857,0.595476,1.55702,0.012416,-0.0802744,-1.10562,0.0430766,0.0116578,0.596113,-0.162836,-0.069375,0.71695,-0.55796,-0.549893,0.425914,-0.154769,-0.262512,0.610121,-0.450862,-0.252288,-1.10562,-0.144644,-0.036752,0.596113,1.52171,1.42754,0.71695,0.065992,0.0971789,0.425914,0.33531,-0.40702,0.610121,2.60884,-0.413423,1.55702,-3.23729,0.205889,0.596113,0.413354,0.23727,0.71695,1.18288,0.866572,0.425914,-0.0671883,-0.10787,0.610121,-0.19547,-0.102542,1.55702,0.665614,0.642406,-1.10562,-0.0306463,-0.0181795,0.71695,0.0154699,0.0285479,0.425914,-0.411878,-0.458885,0.610121,-0.650695,-0.58797,1.55702,-0.0455211,0.0379862,-1.10562,0.0246505,-0.0239229,0.596113,0.143326,0.0253009
0.6423,0.366556,0.386375,1.64289,0.0874305,-0.0474824,-0.72953,0.0620277,0.0123276,0.632577,-0.0580893,-0.0411863,0.752735,-0.263161,-0.263433,0.447444,0.609999,0.626013,1.64289,0.0743015,-0.084834,-0.72953,0.0505259,0.00965699,0.632577,-0.100748,-0.0737539,0.752735,-0.596655,-0.576916,0.447444,-0.30126,-0.274107,0.6423,-0.335103,-0.263668,-0.72953,-0.209991,-0.0371212,0.632577,1.6269,1.5145,0.752735,-0.0476571,0.103773,0.447444,0.265936,-0.441204,0.6423,0.9143,-0.448914,1.64289,-3.52423,0.203265,0.632577,0.223216,0.23624,0.752735,1.69937,0.896404,0.447444,-0.12558,-0.112493,0.6423,-0.149128,-0.107012,1.64289,0.704515,0.67798,-0.72953,-0.0615296,-0.0182388,0.752735,-0.0328748,0.0308364,0.447444,-0.389405,-0.48171,0.6423,-0.648249,-0.618298,1.64289,-0.0955449,0.0409516,-0.72953,-0.010525,-0.0220354,0.632577,0.108888,0.0278167
0.674478,0.415279,0.405403,1.72876,0.0472977,-0.0503772,-0.353436,-0.0106906,0.0111268,0.66904,-0.000925158,-0.0440079,0.78852,-0.269705,-0.276105,0.468974,0.641943,0.656549,1.72876,0.0482482,-0.0893936,-0.353436,0.00125098,0.00765621,0.66904,-0.0211062,-0.0781328,0.78852,-0.621363,-0.60394,0.468974,-0.180712,-0.285702,0.674478,-0.18104,-0.275047,-0.353436,-0.1923,-0.0374904,0.66904,1.69759,1.60147,0.78852,-0.0690794,0.110367,0.468974,0.40067,-0.475388,0.674478,-0.694138,-0.484405,1.72876,-1.99347,0.200641,0.66904,-0.192479,0.23521,0.78852,1.7745,0.926237,0.468974,-0.0761006,-0.117116,0.674478,-0.0858576,-0.111482,1.72876,0.728104,0.713554,-0.353436,-0.0704226,-0.0182981,0.78852,-0.0408532,0.0331248,0.468974,-0.426544,-0.504534,0.674478,-0.646331,-0.648626,1.72876,-0.0757997,0.0439169,-0.353436,-0.0243994,-0.0201479,0.66904,0.039004,0.0303324
0.706656,0.438406,0.42443,1.81463,-0.0243384,-0.0532721,0.0226577,-0.0809458,0.00992602,0.705503,0.0546319,-0.0468294,0.824305,-0.268882,-0.288778,0.490504,0.678034,0.687086,1.81463,-0.0135749,-0.0939531,0.0226577,-0.0739319,0.00565543,0.705503,0.0646728,-0.0825117,0.824305,-0.635304,-0.630963,0.490504,0.0652588,-0.297297,0.706656,-0.070192,-0.286427,0.0226577,-0.0961959,-0.0378596,0.705503,1.73597,1.68844,0.824305,-0.00979531,0.116962,0.490504,0.622192,-0.509572,0.706656,-0.992227,-0.519896,1.81463,0.336191,0.198017,0.705503,-0.720083,0.23418,0.824305,1.4891,0.956069,0.490504,0.0244779,-0.121738,0.706656,-0.0390673,-0.115953,1.81463,0.745843,0.749128,0.0226577,-0.0442082,-0.0183573,0.824305,-0.013658,0.0354132,0.490504,-0.494647,-0.527359,0.706656,-0.674273,-0.678954,1.81463,-0.0254724,0.0468823,0.0226577,0.00316836,-0.0182605,0.705503,-0.0599087,0.0328482
0.738834,0.444628,0.443458,1.9005,-0.048412,-0.0561669,0.398751,-0.114673,0.00872523,0.741967,0.0964265,-0.0496509,0.86009,-0.266039,-0.30145,0.512034,0.714364,0.717622,1.9005,-0.0343045,-0.0985127,0.398751,-0.145341,0.00365465,0.741967,0.133517,-0.0868906,0.86009,-0.644685,-0.657986,0.512034,0.277487,-0.308892,0.738834,0.00900989,-0.297806,0.398751,0.043569,-0.0382288,0.741967,1.76204,1.7754,0.86009,0.0976485,0.123556,0.512034,0.806633,-0.543756,0.738834,-0.405499,-0.555386,1.9005,2.02143,0.195393,0.741967,-1.10125,0.233149,0.86009,1.0047,0.985901,0.512034,0.112312,-0.126361,0.738834,-0.00429836,-0.120423,1.9005,0.77086,0.784702,0.398751,0.0108972,-0.0184166,0.86009,0.0343473,0.0377017,0.512034,-0.561377,-0.550184,0.738834,-0.721766,-0.709282,1.9005,-0.00308208,0.0498476,0.398751,0.0663692,-0.016373,0.741967,-0.154477,0.0353639
0.771012,0.445751,0.462485,1.98638,0.00114252,-0.0590618,0.774845,-0.118189,0.00752444,0.77843,0.116944,-0.0524724,0.895875,-0.266342,-0.314122,0.533564,0.749227,0.748159,1.98638,0.0146388,-0.103072,0.774845,-0.184932,0.00165387,0.77843,0.167947,-0.0912695,0.895875,-0.655476,-0.685009,0.533564,0.390019,-0.320486,0.771012,0.0769955,-0.309186,0.774845,0.134026,-0.038598,0.77843,1.79953,1.86237,0.895875,0.222279,0.13015,0.533564,0.898836,-0.577939,0.771012,0.481793,-0.590877,1.98638,2.47679,0.192769,0.77843,-1.12636,0.232119,0.895875,0.475615,1.01573,0.533564,0.160843,-0.130984,0.771012,0.02651,-0.124894,1.98638,0.808309,0.820276,0.774845,0.0516409,-0.0184759,0.895875,0.0894877,0.0399901,0.533564,-0.61282,-0.573009,0.771012,-0.774689,-0.73961,1.98638,-0.0357521,0.052813,0.774845,0.109703,-0.0144855,0.77843,-0.212538,0.0378796
0.80319,0.45352,0.481513,2.07225,0.0681559,-0.0619566,1.15094,-0.105635,0.00632364,0.814893,0.101392,-0.0552939,0.93166,-0.275025,-0.326795,0.555094,0.782865,0.778695,2.07225,0.0871499,-0.107632,1.15094,-0.174722,-0.000346908,0.814893,0.138644,-0.0956484,0.93166,-0.673714,-0.712032,0.555094,0.421867,-0.332081,0.80319,0.153278,-0.320565,1.15094,0.0978611,-0.0389672,0.814893,1.87647,1.94934,0.93166,0.332842,0.136745,0.555094,0.906914,-0.612123,0.80319,1.0915,-0.626368,2.07225,2.43815,0.190145,0.814893,-0.461545,0.231089,0.93166,0.0576501,1.04557,0.555094,0.177441,-0.135607,0.80319,0.0610658,-0.129364,2.07225,0.851013,0.85585,1.15094,0.0398866,-0.0185352,0.93166,0.137962,0.0422785,0.555094,-0.65152,-0.595833,0.80319,-0.818936,-0.769938,2.07225,-0.102265,0.0557783,1.15094,0.0849596,-0.0125981,0.814893,-0.189142,0.0403954
0.835368,0.468945,0.50054,2.15812,0.099715,-0.0648515,1.52703,-0.109755,0.00512285,0.851357,0.0601462,-0.0581154,0.967445,-0.294762,-0.339467,0.576624,0.815546,0.809232,2.15812,0.138056,-0.112191,1.52703,-0.173413,-0.00234769,0.851357,0.0660989,-0.100027,0.967445,-0.70271,-0.739055,0.576624,0.392449,-0.343676,0.835368,0.237595,-0.331945,1.52703,0.0442568,-0.0393364,0.851357,1.99277,2.0363,0.967445,0.409425,0.143339,0.576624,0.835963,-0.646307,0.835368,1.35839,-0.661859,2.15812,2.60065,0.187521,0.851357,0.818338,0.230059,0.967445,-0.153842,1.0754,0.576624,0.169632,-0.140229,0.835368,0.0990323,-0.133834,2.15812,0.892078,0.891424,1.52703,0.0174792,-0.0185945,0.967445,0.170999,0.044567,0.576624,-0.680153,-0.618658,0.835368,-0.853439,-0.800266,2.15812,-0.179012,0.0587437,1.52703,0.0536105,-0.0107106,0.851357,-0.108499,0.0429111
0.867546,0.492119,0.519568,2.24399,0.103945,-0.0677463,1.90313,-0.135742,0.00392205,0.88782,0.0370276,-0.0609369,1.00323,-0.324027,-0.35214,0.598154,0.847743,0.839768,2.24399,0.167548,-0.116751,1.90313,-0.206241,-0.00434847,0.88782,0.0398904,-0.104406,1.00323,-0.741206,-0.766078,0.598154,0.333288,-0.355271,0.867546,0.32438,-0.343325,1.90313,0.0383638,-0.0397056,0.88782,2.10586,2.12327,1.00323,0.451766,0.149933,0.598154,0.713732,-0.680491,0.867546,1.27796,-0.697349,2.24399,2.91373,0.184897,0.88782,2.09207,0.229029,1.00323,-0.165785,1.10523,0.598154,0.149836,-0.144852,0.867546,0.138039,-0.138305,2.24399,0.931414,0.926998,1.90313,0.0119283,-0.0186538,1.00323,0.188471,0.0468554,0.598154,-0.703567,-0.641483,0.867546,-0.877938,-0.830594,2.24399,-0.252914,0.061709,1.90313,0.0624041,-0.00882311,0.88782,-0.0951841,0.0454269
