rep,id,initT,aS,dS,tau,lBt0,lp,dI,lk,lae,f,dp,lw,dE,lI50,data
10,41,-4.77091328479792,16.6020609585546,0.00844968623339403,0.05,-4.9154506019418,4.6,0.9,-3.830085304485,0.639474140055666,0.9,0.001,-0.0314109432871923,1,4.35873288475782e-28,thai
1,42,-5.64835628930891,17.0574705735637,0.00900563571023711,0.05,-4.90724472567715,4.6,0.9,-2.70473007590883,0.219278330907323,0.9,0.001,-0.809035937732071,1,2.79920582423258e-19,thai
2,42,-6.51882008268632,16.0149845242834,0.00880106056039717,0.05,-4.89988162097756,4.6,0.9,-2.93083440575648,0.0698504811907914,0.9,0.001,-0.327856400761449,1,1.53106650718787e-37,thai
3,42,-5.40823771336861,17.1622669872356,0.00895167620103821,0.05,-4.90384713520008,4.6,0.9,-2.98849395796309,0.252858963572968,0.9,0.001,-0.499100350302754,1,1.17183669522379e-22,thai
4,42,-7.08156305321859,16.7237256667059,0.00988510249775263,0.05,-4.89459100152211,4.6,0.9,-3.92920552658795,0.953175195957168,0.9,0.001,-0.493326841392036,1,3.74405897335496e-20,thai
5,42,-6.26992765148665,15.631548948806,0.00916235749530028,0.05,-4.89475504562641,4.6,0.9,-3.8024856420133,0.485365542593524,0.9,0.001,-0.284813994500412,1,0.0657465273927252,thai
6,42,-6.59231682123329,16.6395248099801,0.00900838444647464,0.05,-4.91315200682333,4.6,0.9,-3.25867245403649,0.228185283997531,0.9,0.001,-0.271481960421088,1,0.000985069899349409,thai
7,42,-6.64988585690388,15.8259936908577,0.00873548778257861,0.05,-4.91538685835433,4.6,0.9,-3.48262344225235,0.350391588132803,0.9,0.001,-0.16038270431806,1,2.32539597393375e-11,thai
8,42,-5.66095986949945,16.6885623630127,0.00921730439947842,0.05,-4.90040540258942,4.6,0.9,-4.19097734196665,1.11588560441786,0.9,0.001,-0.299873517576224,1,0.130848187733596,thai
9,42,-7.54125886801706,16.912583635599,0.00962655223274097,0.05,-4.91050713680392,4.6,0.9,-3.50224064191377,0.425415655181616,0.9,0.001,-0.324640472767149,1,2.57241251541738e-32,thai
10,42,-5.34909938286109,15.9244228659438,0.00870769743186552,0.05,-4.8878355752114,4.6,0.9,-3.20132075866982,0.675138855331909,0.9,0.001,-0.547081659965347,1,1.6681536352032e-32,thai
1,43,-6.37005643795378,14.7685747344714,0.00846616207775872,0.05,-4.8988749333861,4.6,0.9,-4.01500840267727,0.212490850825732,0.9,0.001,-1.8140738628844,1,3.86708688904139e+21,thai
2,43,-5.16327272452229,16.8745302058568,0.00967911626039052,0.05,-4.9017272936463,4.6,0.9,-4.02406549140892,0.287457508597657,0.9,0.001,-1.65861680457296,1,2602.81706341449,thai
3,43,-8.35805948593227,15.1545789161369,0.00916899984254876,0.05,-4.91225024951502,4.6,0.9,-3.51301035214525,-0.558665276544908,0.9,0.001,-1.59714741213252,1,2489805690.90385,thai
4,43,-7.73395313369017,15.9019588058553,0.00953535404397413,0.05,-4.91191506170585,4.6,0.9,-3.30359353290699,0.579542788549136,0.9,0.001,-2.54420949082521,1,3995227.9514386,thai
5,43,-6.93336152792592,16.2647698257274,0.00902146511209349,0.05,-4.91693104932878,4.6,0.9,-3.40339053921614,0.0537654490855803,0.9,0.001,-2.1558264736315,1,13.9013226467242,thai
6,43,-3.81726468933931,17.9292426166082,0.00867779607022708,0.05,-4.90223734521692,4.6,0.9,-4.12819796359405,0.939319071753133,0.9,0.001,-1.72095375715456,1,17637.8985890331,thai
7,43,-6.06594932007608,15.5489531749029,0.00885393665624822,0.05,-4.9144427090357,4.6,0.9,-3.95470550094715,0.63348750900017,0.9,0.001,-2.07918831819317,0.999999999944336,2.24041036723189e+17,thai
8,43,-7.35373351169249,15.7174545739271,0.00901953538054196,0.05,-4.92671036178007,4.6,0.9,-4.00574612469551,-0.16270385662358,0.9,0.001,-1.40665819968051,1,116268610766496,thai
9,43,-3.00298384483197,16.2714915142711,0.00828850361129356,0.05,-4.89127383838161,4.6,0.9,-3.56630813120141,-0.0520063618298979,0.9,0.001,-1.8052905751649,1,19690316036.598,thai
10,43,-5.99530432680995,16.5255091113395,0.00898205168090027,0.05,-4.90256871993116,4.6,0.9,-3.23931974610136,0.386415474351253,0.9,0.001,-2.05100690865227,1,34980.0422350656,thai
1,44,-7.75918596307377,18.5611321565548,0.00914687910856473,0.05,-4.91173428280853,4.6,0.9,-5.29057091838058,0.629366124724041,0.9,0.001,-0.281195392030171,1,2.08045832476569,thai
2,44,-11.6259205028504,16.4697271034249,0.0090202278093687,0.05,-4.92933894791649,4.6,0.9,-5.16963378513155,0.663394939369626,0.9,0.001,-0.323454404313637,1,657737757878.387,thai
3,44,-9.12755132538181,16.4267059046188,0.0096046630742948,0.05,-4.89693945624056,4.6,0.9,-3.54625898120539,-0.38207417301338,0.9,0.001,-0.703851193792493,1,20546.0889619228,thai
4,44,-12.1487172590236,16.8492887426627,0.00875661063538038,0.05,-4.92516561272784,4.6,0.9,-3.14287724245147,0.229349267721944,0.9,0.001,-0.228221818879041,1,1.003236847284e-28,thai
5,44,-10.3563381286522,16.888143291115,0.00808726383678463,0.05,-4.91451838522349,4.6,0.9,-3.26616740854441,0.562202959331014,0.9,0.001,-0.5097921692321,1,9.60826673756821e-22,thai
6,44,-15.0005521206707,16.3624481133253,0.0090008804776666,0.05,-4.91753432573724,4.6,0.9,-3.90604928463813,0.844303647570394,0.9,0.001,-0.250132674675987,1,4.00890985235147e-08,thai
7,44,-10.3808773092538,15.8565132239855,0.00895132019944056,0.05,-4.88140006145401,4.6,0.9,-3.30129135475192,0.587618139598056,0.9,0.001,-0.29316624265348,1,3.59334069641582e-09,thai
8,44,-11.2213813193965,16.5139282301386,0.00962196665609016,0.05,-4.8860020012993,4.6,0.9,-3.7891041793906,0.656908629061943,0.9,0.001,-0.15655480949407,1,1.50399240066718e-32,thai
9,44,-12.9532422224293,16.1140567794164,0.00851096328704951,0.05,-4.91583483493084,4.6,0.9,-3.97935576701036,1.18392753138688,0.9,0.001,-0.390865269048242,1,4.18521666843058e-16,thai
10,44,-6.50277892444973,17.365856981539,0.00793752059198017,0.05,-4.89761127389857,4.6,0.9,-4.41393048230124,1.46829561782276,0.9,0.001,-0.231052109205682,1,0.0370236957096754,thai
1,45,-5.25361044274187,14.666132520083,0.00917585464162876,0.05,-4.88001003087061,4.6,0.9,-4.46876042027586,0.601372603396903,0.9,0.001,0.128245243108385,1,1.48581663035657e-38,thai
2,45,-4.41545050640315,16.0577155209169,0.0095187308359626,0.05,-4.9180829182574,4.6,0.9,-4.13076350011434,0.657344533082807,0.9,0.001,0.188300037680259,1,9.01176064720959e-22,thai
3,45,-5.47423395744124,15.0245145152019,0.00934423935999994,0.05,-4.90418769218927,4.6,0.9,-4.28705356534231,0.553239804724386,0.9,0.001,0.253805968107964,1,3.32777735786677e-33,thai
4,45,-3.24741735755041,16.9174106755655,0.0090664764615498,0.05,-4.91337565763309,4.6,0.9,-3.90464064624001,0.626384195817407,0.9,0.001,0.0972202323829267,1,1.38477302019363e-07,thai
5,45,-2.54239063584753,15.6618938537988,0.00801029696914941,0.05,-4.90227126778047,4.6,0.9,-4.42791140232853,1.30333406761415,0.9,0.001,-0.377611683938626,1,0.00104336985464712,thai
6,45,-5.02092410716551,15.7436219366893,0.00904350918337738,0.05,-4.92161497841238,4.6,0.9,-3.95559210287444,0.296827951072009,0.9,0.001,0.156544934808943,0.999999997864496,0.00392488547019463,thai
7,45,-5.2478627817616,17.0621743168396,0.0104842121721223,0.05,-4.90282461125509,4.6,0.9,-3.88954918889555,0.189739356657565,0.9,0.001,0.225405650913835,1,3.71829014734442e-06,thai
8,45,-4.57781731381643,15.6539444421108,0.00907258576276889,0.05,-4.8956683696271,4.6,0.9,-3.5728314126353,0.445634550087733,0.9,0.001,-0.126467962415096,1,7.17209587758669e-07,thai
9,45,-3.22044867096171,16.3848709581177,0.00903999024814614,0.05,-4.90029871055943,4.6,0.9,-3.52372524699142,-0.0172393203170841,0.9,0.001,0.118986031405883,1,1.77006580597046e-25,thai
10,45,-5.04017649227266,16.4429903805297,0.00986796829952138,0.05,-4.90265006540767,4.6,0.9,-3.13744721525076,-0.402602917275955,0.9,0.001,0.110096705851793,1,0.000658287356367911,thai
1,46,-8.62442815346128,15.8929396260224,0.0088514659007405,0.05,-4.87533197755493,4.6,0.9,-3.46322179105259,-0.357377655174085,0.9,0.001,0.191035054143892,1,1.71611088549996e-34,thai
2,46,-9.21092672937862,16.2661948314909,0.00935161888686853,0.05,-4.89280005676081,4.6,0.9,-3.67712324524197,-0.0598121737031524,0.9,0.001,0.0884986545616648,1,1.35287938312949e-05,thai
3,46,-7.54511229520015,17.3378253778119,0.00916008428526636,0.05,-4.91665849487326,4.6,0.9,-3.92443332657554,0.823723350691081,0.9,0.001,-0.306753488562811,1,1.25831439675542e-10,thai
4,46,-13.2970672015553,16.1684210450112,0.00926133529052494,0.05,-4.92404613919094,4.6,0.9,-3.4781494371448,0.754020370737104,0.9,0.001,-0.510582123577975,1,2.3827097734397e-31,thai
5,46,-10.668620137638,16.5011151782172,0.00849319388196634,0.05,-4.92110959510158,4.6,0.9,-3.92695854700666,0.986319567019625,0.9,0.001,-0.290979753486616,1,1.25208160028088e-13,thai
6,46,-7.45439336189239,16.5991476118001,0.00874707706479726,0.05,-4.90591601169972,4.6,0.9,-3.26143026002354,0.286344672666456,0.9,0.001,-0.33145728452308,1,1.93117078497184e-36,thai
7,46,-7.85967626550826,16.7770197005083,0.00859847916778895,0.05,-4.90028453143763,4.6,0.9,-3.01089796797242,0.732648337033846,0.9,0.001,-0.812922695345027,1,3.01375611790277e-18,thai
8,46,-6.92048175223693,17.0359483034532,0.00830130264240146,0.05,-4.91927023172893,4.6,0.9,-3.3590201742682,0.369290367961925,0.9,0.001,-0.348799289329468,1,2.3360423759846e-15,thai
9,46,-9.3292339404889,15.1389236709587,0.00874760814135952,0.05,-4.89556462730796,4.6,0.9,-3.78455269690369,0.780808918814215,0.9,0.001,-0.245060871264678,1,1.7061449298212e-07,thai
10,46,-10.0208537963444,15.6615967664148,0.00939243024658015,0.05,-4.89915498283164,4.6,0.9,-3.9123473797153,-0.106109726254751,0.9,0.001,-1.00123480696062,1,20540479.5961445,thai
1,47,-6.25800351082485,16.3351369726486,0.00902653134721266,0.05,-4.91938323082062,4.6,0.9,-3.68075603492156,0.0376114896582854,0.9,0.001,-0.63621635062146,1,384.760186499932,thai
2,47,-4.96462107756526,15.0406525126425,0.00884296812668517,0.05,-4.90247199929731,4.6,0.9,-4.75061034001205,0.750907219095019,0.9,0.001,-0.33011853341349,1,0.833920122324545,thai
3,47,-4.96742520372975,16.3986346272206,0.00924048802008147,0.05,-4.90544570002184,4.6,0.9,-4.56504246900932,-0.0566218674344939,0.9,0.001,-0.705104686596649,1,2.00608606689455,thai
4,47,-8.17735839110489,14.5002219500418,0.00921690516434881,0.05,-4.91625387222702,4.6,0.9,-4.24849415017012,-0.0328956036008619,0.9,0.001,-0.438620371894792,1,9127.80479484292,thai
5,47,-6.71659473403089,15.9522942369513,0.00961248038612044,0.05,-4.90357597435094,4.6,0.9,-4.32257775254014,0.425129216347277,0.9,0.001,-0.429163232194026,1,10236726.8963779,thai
6,47,-8.24994953145904,14.8528400827475,0.00917536541868232,0.05,-4.91149118852418,4.6,0.9,-3.66911615314161,-0.657980602336382,0.9,0.001,-1.61967055322339,1,10119967.9785509,thai
7,47,-5.93368693190226,15.3156742426395,0.00880070955661786,0.05,-4.91315282658394,4.6,0.9,-4.2417862141357,-0.548416779301567,0.9,0.001,-0.762990400701675,1,1.57381289709522e+16,thai
8,47,-2.70687359468534,17.7311132640383,0.00878789230919454,0.05,-4.89526088429502,4.6,0.9,-4.40006457136367,-0.185906494125242,0.9,0.001,-1.67980607272422,1,143720005.200143,thai
9,47,-4.94412630310616,16.1811891831558,0.00975603744870405,0.05,-4.90056816548303,4.6,0.9,-3.96544321348401,-0.392407918810602,0.9,0.001,-0.706382671365918,1,3128437051.39054,thai
10,47,-6.2936902145955,15.4274486223656,0.00931103799327214,0.05,-4.89719844515295,4.6,0.9,-4.74198423558322,0.316548070222502,0.9,0.001,-0.581629952788943,1,2.25394969086447,thai
1,48,-3.68394951428628,16.8070240810308,0.00876749681219552,0.05,-4.89157269664158,4.6,0.9,-2.91737762852387,0.470261770170337,0.9,0.001,-0.677049721094605,1,4.24463418939769e-28,thai
2,48,-4.36606056123999,16.68629094072,0.00897078558075672,0.05,-4.89234231019128,4.6,0.9,-3.51325591610984,1.27712387009103,0.9,0.001,-0.921048367708782,1,5.75463097456793e-26,thai
3,48,-5.37795653506739,15.9378082829364,0.00849089817695752,0.05,-4.89952696453172,4.6,0.9,-3.64998818990679,1.21455180785982,0.9,0.001,-0.647571508654933,1,8.83118201985375e-10,thai
4,48,-5.27300451955278,16.0874449584135,0.00894668612610173,0.05,-4.90028726183619,4.6,0.9,-3.63480306274316,1.5033567278625,0.9,0.001,-1.11032577928446,1,8.05630499558682e-18,thai
5,48,-5.80807869135833,15.7707239665539,0.00903207503519699,0.05,-4.89395314612513,4.6,0.9,-3.75500833125316,1.19776553882763,0.9,0.001,-0.659348018652989,1,8.24332806057814e-13,thai
6,48,-6.40918113890626,15.9977802994944,0.00932589081687214,0.05,-4.90254372341128,4.6,0.9,-3.74514230699649,1.02024975556127,0.9,0.001,-0.393209263069653,1,8.00141027355225e-16,thai
7,48,-7.04385760053488,15.9804349009655,0.00947214062051885,0.05,-4.90776348052317,4.6,0.9,-3.55401601846872,0.826842763891601,0.9,0.001,-0.524463811463697,1,9.19788618520797e-18,thai
8,48,-7.29963387286308,15.3977402159204,0.00956137354916459,0.05,-4.9106861512152,4.6,0.9,-3.45510314556137,0.20832834992662,0.9,0.001,-0.277093811677756,1,0.00705882454800825,thai
