,time_weeks,id_monkey,value,obs_log10VL,censor,time_days
124,12.0,U5,330000.0,5.518513939877887,0,84.0
125,0.0,U6,30.0,1.4771212547196624,1,0.0
126,0.5,U6,50.0,1.6989700043360187,0,3.5
127,1.0,U6,1100.0,3.041392685158225,0,7.0
128,1.5,U6,670000.0,5.826074802700826,0,10.5
129,2.0,U6,14000000.0,7.146128035678238,0,14.0
130,2.5,U6,18000000.0,7.2552725051033065,0,17.5
131,3.0,U6,1500000.0,6.176091259055681,0,21.0
132,3.5,U6,940000.0,5.973127853599698,0,24.5
133,4.0,U6,150000.0,5.176091259055681,0,28.0
135,5.0,U6,1300000.0,6.113943352306837,0,35.0
137,6.0,U6,1100000.0,6.041392685158225,0,42.0
139,7.0,U6,1400000.0,6.146128035678238,0,49.0
141,8.0,U6,2100000.0,6.3222192947339195,0,56.0
143,9.0,U6,2300000.0,6.361727836017593,0,63.0
145,10.0,U6,3100000.0,6.491361693834273,0,70.0
147,11.0,U6,4500000.0,6.653212513775344,0,77.0
149,12.0,U6,3500000.0,6.544068044350276,0,84.0
150,0.0,U7,30.0,1.4771212547196624,1,0.0
151,0.5,U7,30.0,1.4771212547196624,1,3.5
152,1.0,U7,30.0,1.4771212547196624,1,7.0
153,1.5,U7,56000.0,4.748188027006201,0,10.5
154,2.0,U7,14000000.0,7.146128035678238,0,14.0
155,2.5,U7,11000000.0,7.041392685158225,0,17.5
156,3.0,U7,3300000.0,6.518513939877887,0,21.0
157,3.5,U7,5500000.0,6.740362689494244,0,24.5
158,4.0,U7,1700000.0,6.230448921378274,0,28.0
160,5.0,U7,150000.0,5.176091259055681,0,35.0
162,6.0,U7,850000.0,5.929418925714293,0,42.0
164,7.0,U7,41000.0,4.6127838567197355,0,49.0
166,8.0,U7,100000.0,5.0,0,56.0
168,9.0,U7,130000.0,5.113943352306837,0,63.0
170,10.0,U7,120000.0,5.079181246047625,0,70.0
172,11.0,U7,150000.0,5.176091259055681,0,77.0
174,12.0,U7,210000.0,5.3222192947339195,0,84.0
175,0.0,U8,30.0,1.4771212547196624,1,0.0
177,1.0,U8,1200.0,3.0791812460476247,0,7.0
178,1.5,U8,160000.0,5.204119982655925,0,10.5
179,2.0,U8,8500000.0,6.929418925714293,0,14.0
181,3.0,U8,13000000.0,7.113943352306837,0,21.0
182,3.5,U8,31000000.0,7.491361693834273,0,24.5
183,4.0,U8,25000000.0,7.3979400086720375,0,28.0
184,4.5,U8,9500000.0,6.977723605288848,0,31.5
185,5.0,U8,1600000.0,6.204119982655925,0,35.0
187,6.0,U8,1100000.0,6.041392685158225,0,42.0
189,7.0,U8,2500000.0,6.3979400086720375,0,49.0
191,8.0,U8,1400000.0,6.146128035678238,0,56.0
193,9.0,U8,540000.0,5.732393759822968,0,63.0
195,10.0,U8,1500000.0,6.176091259055681,0,70.0
197,11.0,U8,820000.0,5.913813852383717,0,77.0
199,12.0,U8,1500000.0,6.176091259055681,0,84.0
200,0.0,U9,30.0,1.4771212547196624,1,0.0
202,1.0,U9,30.0,1.4771212547196624,1,7.0
203,1.5,U9,30.0,1.4771212547196624,1,10.5
204,2.0,U9,16000.0,4.204119982655925,0,14.0
