dI_vs_dS_abscissa,dI_vs_dS_spline,dI_vs_dS_regression,dI_vs_initT_abscissa,dI_vs_initT_spline,dI_vs_initT_regression,dI_vs_lBt0_abscissa,dI_vs_lBt0_spline,dI_vs_lBt0_regression,dI_vs_n_abscissa,dI_vs_n_spline,dI_vs_n_regression,dS_vs_dI_abscissa,dS_vs_dI_spline,dS_vs_dI_regression,dS_vs_initT_abscissa,dS_vs_initT_spline,dS_vs_initT_regression,dS_vs_lBt0_abscissa,dS_vs_lBt0_spline,dS_vs_lBt0_regression,dS_vs_n_abscissa,dS_vs_n_spline,dS_vs_n_regression,initT_vs_dI_abscissa,initT_vs_dI_spline,initT_vs_dI_regression,initT_vs_dS_abscissa,initT_vs_dS_spline,initT_vs_dS_regression,initT_vs_lBt0_abscissa,initT_vs_lBt0_spline,initT_vs_lBt0_regression,initT_vs_n_abscissa,initT_vs_n_spline,initT_vs_n_regression,lBt0_vs_dI_abscissa,lBt0_vs_dI_spline,lBt0_vs_dI_regression,lBt0_vs_dS_abscissa,lBt0_vs_dS_spline,lBt0_vs_dS_regression,lBt0_vs_initT_abscissa,lBt0_vs_initT_spline,lBt0_vs_initT_regression,lBt0_vs_n_abscissa,lBt0_vs_n_spline,lBt0_vs_n_regression,n_vs_dI_abscissa,n_vs_dI_spline,n_vs_dI_regression,n_vs_dS_abscissa,n_vs_dS_spline,n_vs_dS_regression,n_vs_initT_abscissa,n_vs_initT_spline,n_vs_initT_regression,n_vs_lBt0_abscissa,n_vs_lBt0_spline,n_vs_lBt0_regression
-0.424005,0.269114,0.0653664,-3.15403,0.0176699,0.00508211,-0.294918,0.134112,-0.120775,-0.173459,-0.122754,0.0726156,-0.0779373,-0.0843906,-0.0211634,-3.15403,-0.205115,-0.162904,-0.294918,-0.634642,-0.534687,-0.173459,0.0675243,-0.0185758,-0.0779373,-1.05722,0.126344,-0.424005,-0.176383,0.0455764,-0.294918,0.870247,-0.0414951,-0.173459,-0.336303,0.182211,-0.0779373,-0.0396202,-0.0338354,-0.424005,-0.0356563,-0.136057,-3.15403,-0.0934186,-0.0711303,-0.173459,-0.0365083,-0.00362381,-0.0779373,0.00612918,-0.000348338,-0.424005,0.124473,-0.0020567,-3.15403,-0.00456213,0.0349245,-0.294918,0.0773903,0.00631243
-0.377974,0.271375,0.0610911,-3.00114,0.0607279,0.00623403,-0.273618,0.146803,-0.10945,-0.136023,-0.138162,0.0617528,-0.0377394,-0.0712229,-0.0289038,-3.00114,-0.286532,-0.157284,-0.273618,-0.613622,-0.497645,-0.136023,0.075431,-0.0245106,-0.0377394,-1.2535,0.130447,-0.377974,-0.274962,0.0566328,-0.273618,0.396722,-0.0280509,-0.136023,-0.347376,0.170807,-0.0377394,-0.0460893,-0.0255336,-0.377974,-0.0972872,-0.12106,-3.00114,-0.104553,-0.0683634,-0.136023,-0.0346416,-0.00564328,-0.0377394,-0.144437,-0.00997989,-0.377974,0.203503,-0.00496318,-3.00114,0.0118305,0.0320859,-0.273618,0.0986902,0.00386976
-0.331942,0.261511,0.0568157,-2.84824,0.082469,0.00738595,-0.252318,0.0780492,-0.0981251,-0.0985882,-0.104415,0.05089,0.00245851,-0.197494,-0.0366443,-2.84824,-0.357292,-0.151664,-0.252318,-0.519975,-0.460602,-0.0985882,0.0466332,-0.0304454,0.00245851,-0.603261,0.13455,-0.331942,-0.227371,0.0676892,-0.252318,-0.10972,-0.0146067,-0.0985882,-0.410831,0.159404,0.00245851,-0.104051,-0.0172318,-0.331942,-0.120759,-0.106062,-2.84824,-0.0933117,-0.0655966,-0.0985882,-0.0288335,-0.00766275,0.00245851,-0.212186,-0.0196114,-0.331942,0.250944,-0.00786966,-2.84824,-0.00424596,0.0292473,-0.252318,0.139779,0.00142708
-0.28591,0.239041,0.0525404,-2.69535,0.086334,0.00853786,-0.231017,0.00317667,-0.0867999,-0.0611528,-0.0644219,0.0400272,0.0426564,-0.296186,-0.0443847,-2.69535,-0.382618,-0.146044,-0.231017,-0.418525,-0.42356,-0.0611528,0.0157467,-0.0363802,0.0426564,0.0228999,0.138653,-0.28591,0.000723244,0.0787456,-0.231017,-0.492875,-0.00116244,-0.0611528,-0.405635,0.148001,0.0426564,-0.141519,-0.00893001,-0.28591,-0.0889722,-0.0910636,-2.69535,-0.0713182,-0.0628298,-0.0611528,-0.0245721,-0.00968221,0.0426564,-0.178128,-0.029243,-0.28591,0.244839,-0.0107761,-2.69535,-0.040012,0.0264087,-0.231017,0.157583,-0.00101559
-0.239878,0.181301,0.048265,-2.54245,0.0783518,0.00968978,-0.209717,-0.00370264,-0.0754747,-0.0237175,-0.0392268,0.0291644,0.0828543,-0.287718,-0.0521251,-2.54245,-0.324561,-0.140424,-0.209717,-0.373416,-0.386517,-0.0237175,-0.0204136,-0.042315,0.0828543,0.205628,0.142756,-0.239878,0.257773,0.0898019,-0.209717,-0.607484,0.0122818,-0.0237175,-0.307334,0.136598,0.0828543,-0.125012,-0.000628223,-0.239878,-0.0483345,-0.0760657,-2.54245,-0.0529377,-0.060063,-0.0237175,-0.0296034,-0.0117017,0.0828543,-0.0860488,-0.0388745,-0.239878,0.215588,-0.0136826,-2.54245,-0.0785165,0.0235701,-0.209717,0.111441,-0.00345826
-0.193847,0.0703999,0.0439897,-2.38956,0.0631202,0.0108417,-0.188417,0.0537609,-0.0641495,0.0137178,-0.0336762,0.0183016,0.123052,-0.210407,-0.0598656,-2.38956,-0.2008,-0.134804,-0.188417,-0.3839,-0.349475,0.0137178,-0.0924366,-0.0482498,0.123052,0.127619,0.146859,-0.193847,0.392731,0.100858,-0.188417,-0.499177,0.025726,0.0137178,-0.158768,0.125195,0.123052,-0.0712313,0.00767357,-0.193847,-0.0441069,-0.0610677,-2.38956,-0.0475823,-0.0572961,0.0137178,-0.0533181,-0.0137211,0.123052,-0.0426056,-0.0485061,-0.193847,0.193998,-0.0165891,-2.38956,-0.0978174,0.0207316,-0.188417,0.0167033,-0.00590094
-0.147815,-0.06559,0.0397143,-2.23666,0.0435085,0.0119936,-0.167117,0.128205,-0.0528244,0.0511531,-0.0507416,0.00743884,0.16325,-0.111126,-0.067606,-2.23666,-0.114877,-0.129184,-0.167117,-0.412684,-0.312432,0.0511531,-0.216359,-0.0541846,0.16325,0.00352119,0.150962,-0.147815,0.392095,0.111915,-0.167117,-0.317692,0.0391702,0.0511531,-0.000888044,0.113792,0.16325,-0.00219258,0.0159754,-0.147815,-0.0706868,-0.0460697,-2.23666,-0.055975,-0.0545293,0.0511531,-0.0994606,-0.0157406,0.16325,-0.128116,-0.0581376,-0.147815,0.1795,-0.0194956,-2.23666,-0.0711299,0.017893,-0.167117,-0.0804476,-0.00834361
-0.101783,-0.183958,0.035439,-2.08376,0.0269007,0.0131455,-0.145817,0.168338,-0.0414992,0.0885884,-0.0783745,-0.00342395,0.203448,-0.031907,-0.0753465,-2.08376,-0.130154,-0.123564,-0.145817,-0.419614,-0.27539,0.0885884,-0.264174,-0.0601194,0.203448,-0.0253802,0.155065,-0.101783,0.281427,0.122971,-0.145817,-0.223847,0.0526144,0.0885884,0.157554,0.102388,0.203448,0.0542231,0.0242771,-0.101783,-0.106319,-0.0310718,-2.08376,-0.0729708,-0.0517625,0.0885884,-0.117736,-0.0177601,0.203448,-0.253129,-0.0677692,-0.101783,0.16042,-0.022402,-2.08376,-0.000479466,0.0150544,-0.145817,-0.129303,-0.0107863
-0.0557514,-0.244376,0.0311636,-1.93087,0.0323867,0.0142974,-0.124516,0.162153,-0.030174,0.126024,-0.106627,-0.0142867,0.243646,-0.00324703,-0.0830869,-1.93087,-0.176859,-0.117944,-0.124516,-0.392968,-0.238347,0.126024,-0.154155,-0.0660542,0.243646,0.123058,0.159168,-0.0557514,0.094831,0.134027,-0.124516,-0.269876,0.0660586,0.126024,0.310064,0.0909853,0.243646,0.075047,0.0325789,-0.0557514,-0.128962,-0.0160738,-1.93087,-0.0785405,-0.0489956,0.126024,-0.0754851,-0.0197795,0.243646,-0.291967,-0.0774007,-0.0557514,0.125702,-0.0253085,-1.93087,0.0304015,0.0122158,-0.124516,-0.122117,-0.013229
-0.00971961,-0.207208,0.0268883,-1.77797,0.0651245,0.0154494,-0.103216,0.145831,-0.0188488,0.163459,-0.143645,-0.0251495,0.283844,0.00760971,-0.0908273,-1.77797,-0.190188,-0.112325,-0.103216,-0.356163,-0.201305,0.163459,-0.0213127,-0.071989,0.283844,0.309052,0.163271,-0.00971961,-0.137886,0.145084,-0.103216,-0.381212,0.0795029,0.163459,0.4233,0.0795821,0.283844,0.0806762,0.0408807,-0.00971961,-0.117641,-0.00107587,-1.77797,-0.0623073,-0.0462288,0.163459,-0.022179,-0.021799,0.283844,-0.257375,-0.0870323,-0.00971961,0.0657891,-0.028215,-1.77797,-0.0255201,0.00937726,-0.103216,-0.0995803,-0.0156716
