dI_vs_dS_abscissa,dI_vs_dS_spline,dI_vs_dS_regression,dI_vs_initT_abscissa,dI_vs_initT_spline,dI_vs_initT_regression,dI_vs_lBt0_abscissa,dI_vs_lBt0_spline,dI_vs_lBt0_regression,dI_vs_n_abscissa,dI_vs_n_spline,dI_vs_n_regression,dS_vs_dI_abscissa,dS_vs_dI_spline,dS_vs_dI_regression,dS_vs_initT_abscissa,dS_vs_initT_spline,dS_vs_initT_regression,dS_vs_lBt0_abscissa,dS_vs_lBt0_spline,dS_vs_lBt0_regression,dS_vs_n_abscissa,dS_vs_n_spline,dS_vs_n_regression,initT_vs_dI_abscissa,initT_vs_dI_spline,initT_vs_dI_regression,initT_vs_dS_abscissa,initT_vs_dS_spline,initT_vs_dS_regression,initT_vs_lBt0_abscissa,initT_vs_lBt0_spline,initT_vs_lBt0_regression,initT_vs_n_abscissa,initT_vs_n_spline,initT_vs_n_regression,lBt0_vs_dI_abscissa,lBt0_vs_dI_spline,lBt0_vs_dI_regression,lBt0_vs_dS_abscissa,lBt0_vs_dS_spline,lBt0_vs_dS_regression,lBt0_vs_initT_abscissa,lBt0_vs_initT_spline,lBt0_vs_initT_regression,lBt0_vs_n_abscissa,lBt0_vs_n_spline,lBt0_vs_n_regression,n_vs_dI_abscissa,n_vs_dI_spline,n_vs_dI_regression,n_vs_dS_abscissa,n_vs_dS_spline,n_vs_dS_regression,n_vs_initT_abscissa,n_vs_initT_spline,n_vs_initT_regression,n_vs_lBt0_abscissa,n_vs_lBt0_spline,n_vs_lBt0_regression
0.49663,-0.092443,-0.0201405,-0.0961206,-0.0541461,0.0281205,0.131087,-0.0121739,0.105728,0.575247,-0.0323949,-0.14464,0.726021,-0.139989,-0.175972,-0.0961206,0.0979191,-0.0505058,0.131087,0.0966487,0.206162,0.575247,-0.116877,-0.137272,0.726021,0.150313,0.208404,0.49663,-0.115095,0.266704,0.131087,0.645994,0.227389,0.575247,0.0232747,-0.0458527,0.726021,0.156555,0.1322,0.49663,0.106666,0.163902,-0.0961206,0.020044,-0.0157937,0.575247,0.0227231,-0.0440132,0.726021,-0.20045,-0.192979,0.49663,0.0972221,-0.0601863,-0.0961206,0.0394983,-0.0218471,0.131087,0.126689,-0.042541
0.542661,-0.127175,-0.0244159,0.0567751,-0.0940392,0.0292724,0.152387,0.125996,0.117053,0.612683,-0.0204229,-0.155503,0.766219,0.0125543,-0.183713,0.0567751,0.0765256,-0.044886,0.152387,0.162268,0.243205,0.612683,-0.188617,-0.143207,0.766219,0.376509,0.212507,0.542661,0.175311,0.27776,0.152387,0.628414,0.240833,0.612683,-0.260496,-0.0572558,0.766219,0.217676,0.140502,0.542661,0.147029,0.1789,0.0567751,0.0115568,-0.0130268,0.612683,0.0187755,-0.0460326,0.766219,-0.261507,-0.202611,0.542661,0.188724,-0.0630927,0.0567751,0.10174,-0.0246857,0.152387,0.113133,-0.0449837
0.588693,-0.156869,-0.0286912,0.209671,-0.0406679,0.0304243,0.173687,0.365164,0.128379,0.650118,-0.080191,-0.166366,0.806417,0.088155,-0.191453,0.209671,-0.161437,-0.0392661,0.173687,0.149652,0.280247,0.650118,-0.208904,-0.149141,0.806417,0.652244,0.216609,0.588693,0.413419,0.288817,0.173687,0.362539,0.254278,0.650118,-0.439871,-0.068659,0.806417,0.253472,0.148804,0.588693,0.186878,0.193898,0.209671,-0.0349128,-0.01026,0.650118,0.00584019,-0.0480521,0.806417,-0.325404,-0.212242,0.588693,0.242254,-0.0659992,0.209671,0.0387791,-0.0275243,0.173687,0.0882283,-0.0474264
0.634725,-0.14852,-0.0329666,0.362566,-0.0602792,0.0315762,0.194987,0.452109,0.139704,0.687553,-0.149437,-0.177229,0.846615,0.0820238,-0.199194,0.362566,-0.0619392,-0.0336462,0.194987,0.202925,0.31729,0.687553,-0.206301,-0.155076,0.846615,0.921589,0.220712,0.634725,0.41099,0.299873,0.194987,0.0117637,0.267722,0.687553,-0.226085,-0.0800622,0.846615,0.261736,0.157106,0.634725,0.22243,0.208896,0.362566,-0.0364502,-0.00749317,0.687553,-0.0161049,-0.0500716,0.846615,-0.380224,-0.221874,0.634725,0.208871,-0.0689057,0.362566,0.00134914,-0.0303628,0.194987,0.0691206,-0.049869
0.680757,-0.109988,-0.0372419,0.515462,-0.101441,0.0327281,0.216288,0.249917,0.151029,0.724989,-0.199023,-0.188091,0.886813,0.0250845,-0.206934,0.515462,0.228634,-0.0280263,0.216288,0.399138,0.354332,0.724989,-0.200131,-0.161011,0.886813,1.11794,0.224815,0.680757,0.196993,0.310929,0.216288,-0.282367,0.281166,0.724989,0.22744,-0.0914653,0.886813,0.251785,0.165408,0.680757,0.251084,0.223893,0.515462,0.00706994,-0.00472634,0.724989,-0.0387974,-0.052091,0.886813,-0.414415,-0.231506,0.680757,0.111035,-0.0718122,0.515462,0.043261,-0.0332014,0.216288,0.0663984,-0.0523117
0.726788,-0.0736756,-0.0415173,0.668358,0.00565564,0.03388,0.237588,-0.0156613,0.162354,0.762424,-0.215559,-0.198954,0.927011,-0.0490744,-0.214674,0.668358,0.145964,-0.0224064,0.237588,0.606511,0.391375,0.762424,-0.205074,-0.166946,0.927011,1.18609,0.228918,0.726788,-0.0692029,0.321986,0.237588,-0.433159,0.29461,0.762424,0.588484,-0.102868,0.927011,0.234006,0.173709,0.726788,0.270822,0.238891,0.668358,0.0274216,-0.00195951,0.762424,-0.0510866,-0.0541105,0.927011,-0.41914,-0.241137,0.726788,0.0151262,-0.0747186,0.668358,0.0761962,-0.03604,0.237588,0.0711036,-0.0547544
0.77282,-0.0698225,-0.0457926,0.821254,0.109712,0.035032,0.258888,-0.0786343,0.173679,0.799859,-0.188472,-0.209817,0.967209,-0.117711,-0.222415,0.821254,-0.0310253,-0.0167865,0.258888,0.669421,0.428417,0.799859,-0.231786,-0.172881,0.967209,1.07131,0.233021,0.77282,-0.235128,0.333042,0.258888,-0.376094,0.308055,0.799859,0.594148,-0.114272,0.967209,0.215209,0.182011,0.77282,0.280162,0.253889,0.821254,0.00946203,0.000807325,0.799859,-0.0437383,-0.05613,0.967209,-0.384578,-0.250769,0.77282,-0.0168081,-0.0776251,0.821254,0.0395571,-0.0388786,0.258888,0.0726284,-0.0571971
0.818852,-0.103289,-0.050068,0.974149,0.114934,0.0361839,0.280188,0.047464,0.185005,0.837295,-0.135367,-0.22068,1.00741,-0.177663,-0.230155,0.974149,-0.0829331,-0.0111666,0.280188,0.598065,0.46546,0.837295,-0.267674,-0.178815,1.00741,0.829173,0.237124,0.818852,-0.208209,0.344098,0.280188,-0.183209,0.321499,0.837295,0.35808,-0.125675,1.00741,0.197438,0.190313,0.818852,0.281578,0.268887,0.974149,-0.0228876,0.00357416,0.837295,-0.0218561,-0.0581494,1.00741,-0.322942,-0.2604,0.818852,0.0307107,-0.0805316,0.974149,-0.014268,-0.0417172,0.280188,0.0780389,-0.0596397
0.864884,-0.131098,-0.0543433,1.12704,0.0350116,0.0373358,0.301488,0.207172,0.19633,0.87473,-0.0794148,-0.231542,1.0476,-0.2336,-0.237896,1.12704,0.00784877,-0.00554675,0.301488,0.488071,0.502502,0.87473,-0.294884,-0.18475,1.0476,0.554137,0.241227,0.864884,-0.00710753,0.355155,0.301488,0.0124636,0.334943,0.87473,0.0835267,-0.137078,1.0476,0.180612,0.198615,0.864884,0.285956,0.283885,1.12704,-0.0208395,0.00634099,0.87473,0.00632841,-0.0601689,1.0476,-0.25435,-0.270032,0.864884,0.0851639,-0.0834381,1.12704,0.0561495,-0.0445557,0.301488,0.101121,-0.0620824
0.910915,-0.104544,-0.0586187,1.27994,-0.0747283,0.0384877,0.322789,0.283996,0.207655,0.912165,-0.0400576,-0.242405,1.0878,-0.278444,-0.245636,1.27994,0.14418,7.31338e-05,0.322789,0.411876,0.539545,0.912165,-0.298698,-0.190685,1.0878,0.235636,0.24533,0.910915,0.332276,0.366211,0.322789,0.110169,0.348387,0.912165,-0.059714,-0.148481,1.0878,0.167255,0.206916,0.910915,0.305084,0.298883,1.27994,0.00348249,0.00910782,0.912165,0.0336285,-0.0621884,1.0878,-0.17669,-0.279663,0.910915,0.0631527,-0.0863446,1.27994,0.192908,-0.0473943,0.322789,0.151846,-0.0645251
0.956947,0.0070569,-0.062894,1.43284,-0.142696,0.0396396,0.344089,0.270912,0.21898,0.949601,-0.0175549,-0.253268,1.128,-0.316528,-0.253377,1.43284,0.182002,0.00569302,0.344089,0.397356,0.576587,0.949601,-0.281645,-0.19662,1.128,-0.056844,0.249433,0.956947,0.762204,0.377268,0.344089,0.12023,0.361831,0.949601,-0.071163,-0.159884,1.128,0.156963,0.215218,0.956947,0.346226,0.313881,1.43284,0.00538288,0.0118746,0.949601,0.0578852,-0.0642078,1.128,-0.104747,-0.289295,0.956947,-0.0903679,-0.089251,1.43284,0.229649,-0.0502329,0.344089,0.207684,-0.0669678
1.00298,0.158748,-0.0671694,1.58573,-0.156936,0.0407915,0.365389,0.220148,0.230305,0.987036,-0.00870233,-0.264131,1.1682,-0.346855,-0.261117,1.58573,0.143361,0.0113129,0.365389,0.418889,0.613629,0.987036,-0.24872,-0.202555,1.1682,-0.282842,0.253536,1.00298,1.17745,0.388324,0.365389,0.0993334,0.375276,0.987036,0.0163529,-0.171287,1.1682,0.150862,0.22352,1.00298,0.397562,0.328879,1.58573,-0.00866377,0.0146415,0.987036,0.0778886,-0.0662273,1.1682,-0.0474495,-0.298926,1.00298,-0.312082,-0.0921575,1.58573,0.149076,-0.0530715,0.365389,0.255922,-0.0694104
1.04901,0.290462,-0.0714447,1.73863,-0.140506,0.0419435,0.386689,0.14484,0.24163,1.02447,-0.00752622,-0.274994,1.2084,-0.371089,-0.268857,1.73863,0.14972,0.0169328,0.386689,0.492466,0.650672,1.02447,-0.208045,-0.20849,1.2084,-0.442254,0.257639,1.04901,1.45972,0.39938,0.386689,0.0744305,0.38872,1.02447,0.150619,-0.182691,1.2084,0.148364,0.231822,1.04901,0.443473,0.343877,1.73863,-0.00144661,0.0174083,1.02447,0.0934508,-0.0682468,1.2084,-0.00561067,-0.308558,1.04901,-0.515254,-0.095064,1.73863,0.0224959,-0.0559101,0.386689,0.271944,-0.0718531
1.09504,0.345792,-0.0757201,1.89152,-0.114166,0.0430954,0.40799,0.0659235,0.252956,1.06191,-0.0110959,-0.285856,1.24859,-0.390866,-0.276598,1.89152,0.275415,0.0225527,0.40799,0.627843,0.687714,1.06191,-0.164385,-0.214424,1.24859,-0.541078,0.261742,1.09504,1.50399,0.410437,0.40799,0.0794143,0.402164,1.06191,0.300131,-0.194094,1.24859,0.148778,0.240124,1.09504,0.469309,0.358875,1.89152,0.0483663,0.0201751,1.06191,0.103125,-0.0702662,1.24859,0.0212673,-0.318189,1.09504,-0.617762,-0.0979705,1.89152,-0.0858455,-0.0587486,0.40799,0.231618,-0.0742958
1.14107,0.283697,-0.0799954,2.04442,-0.086681,0.0442473,0.42929,0.004376,0.264281,1.09934,-0.0144465,-0.296719,1.28879,-0.409136,-0.284338,2.04442,0.417591,0.0281726,0.42929,0.802112,0.724757,1.09934,-0.124998,-0.220359,1.28879,-0.609681,0.265845,1.14107,1.23691,0.421493,0.42929,0.127749,0.415608,1.09934,0.417643,-0.205497,1.28879,0.150403,0.248425,1.14107,0.464504,0.373873,2.04442,0.102967,0.022942,1.09934,0.105868,-0.0722857,1.28879,0.0400946,-0.327821,1.14107,-0.559937,-0.100877,2.04442,-0.150076,-0.0615872,0.42929,0.14297,-0.0767384
1.18711,0.175911,-0.0842708,2.19731,-0.0639481,0.0453992,0.45059,-0.0256897,0.275606,1.13678,-0.0133925,-0.307582,1.32899,-0.425659,-0.292079,2.19731,0.432133,0.0337925,0.45059,0.977738,0.761799,1.13678,-0.095818,-0.226294,1.32899,-0.623072,0.269948,1.18711,0.85981,0.432549,0.45059,0.211943,0.429053,1.13678,0.46474,-0.2169,1.32899,0.153904,0.256727,1.18711,0.447917,0.388871,2.19731,0.110645,0.0257088,1.13678,0.101129,-0.0743052,1.32899,0.0433876,-0.337453,1.18711,-0.43903,-0.103783,2.19731,-0.147599,-0.0644258,0.45059,0.0345436,-0.0791811
1.23314,0.0311209,-0.0885461,2.35021,-0.0498464,0.0465511,0.47189,-0.037731,0.286931,1.17421,-0.00511396,-0.318445,1.36919,-0.443201,-0.299819,2.35021,0.218218,0.0394123,0.47189,1.13684,0.798842,1.17421,-0.0804758,-0.232229,1.36919,-0.591293,0.274051,1.23314,0.418379,0.443606,0.47189,0.305927,0.442497,1.17421,0.418442,-0.228303,1.36919,0.158114,0.265029,1.23314,0.422134,0.403869,2.35021,0.0355337,0.0284756,1.17421,0.0892187,-0.0763246,1.36919,0.0319586,-0.347084,1.23314,-0.265643,-0.10669,2.35021,-0.0712971,-0.0672644,0.47189,-0.0682122,-0.0816238
1.27917,-0.0971052,-0.0928215,2.50311,-0.0370035,0.047703,0.493191,-0.00439812,0.298256,1.21165,0.0121393,-0.329308,1.40939,-0.461938,-0.30756,2.50311,-0.148083,0.0450322,0.493191,1.23484,0.835884,1.21165,-0.0821241,-0.238164,1.40939,-0.544348,0.278154,1.27917,0.068061,0.454662,0.493191,0.412449,0.455941,1.21165,0.25836,-0.239706,1.40939,0.162277,0.273331,1.27917,0.401338,0.418867,2.50311,-0.0931035,0.0312425,1.21165,0.0690138,-0.0783441,1.40939,0.0148871,-0.356716,1.27917,-0.112253,-0.109596,2.50311,0.0434992,-0.070103,0.493191,-0.137533,-0.0840665
1.3252,-0.171181,-0.0970968,2.656,-0.00732392,0.048855,0.514491,0.0726694,0.309582,1.24908,0.036766,-0.34017,1.44958,-0.485357,-0.3153,2.656,-0.396143,0.0506521,0.514491,1.24917,0.872927,1.24908,-0.097991,-0.244098,1.44958,-0.463876,0.282257,1.3252,-0.0785252,0.465719,0.514491,0.516068,0.469385,1.24908,0.00410028,-0.25111,1.44958,0.165646,0.281633,1.3252,0.395565,0.433865,2.656,-0.174734,0.0340093,1.24908,0.0420058,-0.0803636,1.44958,-0.0163385,-0.366347,1.3252,-0.0295603,-0.112503,2.656,0.10892,-0.0729415,0.514491,-0.150603,-0.0865091
1.37123,-0.188396,-0.101372,2.8089,0.0535764,0.0500069,0.535791,0.185245,0.320907,1.28652,0.067783,-0.351033,1.48978,-0.513201,-0.323041,2.8089,-0.294072,0.056272,0.535791,1.18552,0.909969,1.28652,-0.12657,-0.250033,1.48978,-0.368215,0.28636,1.37123,-0.0191369,0.476775,0.535791,0.6199,0.482829,1.28652,-0.333245,-0.262513,1.48978,0.167881,0.289934,1.37123,0.405756,0.448863,2.8089,-0.123315,0.0367761,1.28652,0.00896561,-0.082383,1.48978,-0.0558682,-0.375979,1.37123,-0.0220038,-0.115409,2.8089,0.0506951,-0.0757801,0.535791,-0.115102,-0.0889518
1.41726,-0.166294,-0.105648,2.96179,0.127513,0.0511588,0.557091,0.305077,0.332232,1.32395,0.103432,-0.361896,1.52998,-0.548326,-0.330781,2.96179,0.0974127,0.0618919,0.557091,1.09588,0.947012,1.32395,-0.164756,-0.255968,1.52998,-0.258843,0.290463,1.41726,0.184426,0.487831,0.557091,0.74111,0.496274,1.32395,-0.732287,-0.273916,1.52998,0.168008,0.298236,1.41726,0.427602,0.463861,2.96179,0.0373358,0.039543,1.32395,-0.0285838,-0.0844025,1.52998,-0.105538,-0.38561,1.41726,-0.067184,-0.118316,2.96179,-0.103919,-0.0786187,0.557091,-0.0784554,-0.0913945
1.4633,-0.124188,-0.109923,3.11469,0.171301,0.0523107,0.578392,0.404536,0.343557,1.36139,0.143359,-0.372759,1.57018,-0.589057,-0.338521,3.11469,0.510094,0.0675118,0.578392,1.03108,0.984054,1.36139,-0.212381,-0.261903,1.57018,-0.141629,0.294566,1.4633,0.464351,0.498888,0.578392,0.897764,0.509718,1.36139,-1.19044,-0.285319,1.57018,0.16652,0.306538,1.4633,0.456342,0.478859,3.11469,0.205471,0.0423098,1.36139,-0.0704961,-0.086422,1.57018,-0.161977,-0.395242,1.4633,-0.140404,-0.121222,3.11469,-0.255032,-0.0814573,0.578392,-0.0880566,-0.0938372
1.50933,-0.0819288,-0.114198,3.26758,0.142893,0.0534626,0.599692,0.464163,0.354882,1.39882,0.165191,-0.383622,1.61038,-0.635298,-0.346262,3.26758,0.662807,0.0731317,0.599692,1.02545,1.0211,1.39882,-0.241156,-0.267838,1.61038,-0.017505,0.298669,1.50933,0.750868,0.509944,0.599692,1.09135,0.523162,1.39882,-1.47778,-0.296722,1.61038,0.163586,0.31484,1.50933,0.487059,0.493857,3.26758,0.274479,0.0450766,1.39882,-0.101321,-0.0884414,1.61038,-0.224376,-0.404873,1.50933,-0.21625,-0.124129,3.26758,-0.299148,-0.0842958,0.599692,-0.171372,-0.0962798
1.55536,-0.0595738,-0.118474,3.42048,0.0599092,0.0546146,0.620992,0.489787,0.366207,1.43626,0.149343,-0.394484,1.65057,-0.685192,-0.354002,3.42048,0.540916,0.0787516,0.620992,1.06011,1.05814,1.43626,-0.225613,-0.273772,1.65057,0.110379,0.302772,1.55536,0.973519,0.521,0.620992,1.26772,0.536606,1.43626,-1.39037,-0.308125,1.65057,0.159852,0.323142,1.55536,0.514873,0.508855,3.42048,0.23878,0.0478435,1.43626,-0.107285,-0.0904609,1.65057,-0.289977,-0.414505,1.55536,-0.269202,-0.127035,3.42048,-0.238291,-0.0871344,0.620992,-0.291886,-0.0987225
1.60139,-0.0514105,-0.122749,3.57338,-0.0159384,0.0557665,0.642292,0.496531,0.377533,1.47369,0.133494,-0.405347,1.69077,-0.738413,-0.361743,3.57338,0.32196,0.0843714,0.642292,1.10632,1.09518,1.47369,-0.210071,-0.279707,1.69077,0.239684,0.306875,1.60139,1.14891,0.532057,0.642292,1.38816,0.55005,1.47369,-1.30297,-0.319529,1.69077,0.155774,0.331443,1.60139,0.540212,0.523853,3.57338,0.165581,0.0506103,1.47369,-0.11325,-0.0924804,1.69077,-0.356669,-0.424137,1.60139,-0.305418,-0.129942,3.57338,-0.151066,-0.089973,0.642292,-0.408544,-0.101165
1.64742,-0.0640874,-0.127024,3.72627,-0.0256073,0.0569184,0.663593,0.491967,0.388858,1.51113,0.117646,-0.41621,1.73097,-0.792102,-0.369483,3.72627,0.179823,0.0899913,0.663593,1.13704,1.13222,1.51113,-0.194528,-0.285642,1.73097,0.369018,0.310978,1.64742,1.25273,0.543113,0.663593,1.37904,0.563495,1.51113,-1.21557,-0.330932,1.73097,0.151681,0.339745,1.64742,0.561611,0.538851,3.72627,0.120853,0.0533771,1.51113,-0.119215,-0.0944998,1.73097,-0.423357,-0.433768,1.64742,-0.31692,-0.132848,3.72627,-0.114613,-0.0928116,0.663593,-0.472108,-0.103608
1.69345,-0.0917768,-0.1313,3.87917,0.0196524,0.0580703,0.684893,0.483804,0.400183,1.54857,0.101798,-0.427073,1.77117,-0.84651,-0.377224,3.87917,0.11373,0.0956112,0.684893,1.13103,1.16927,1.54857,-0.178985,-0.291577,1.77117,0.495343,0.315081,1.69345,1.30183,0.55417,0.684893,1.19364,0.576939,1.54857,-1.12816,-0.342335,1.77117,0.148152,0.348047,1.69345,0.579782,0.553849,3.87917,0.105249,0.0561439,1.54857,-0.125179,-0.0965193,1.77117,-0.487257,-0.4434,1.69345,-0.310532,-0.135755,3.87917,-0.12818,-0.0956502,0.684893,-0.442652,-0.106051
1.73949,-0.130358,-0.135575,4.03206,0.0927325,0.0592222,0.706193,0.475118,0.411508,1.586,0.0859497,-0.437935,1.81136,-0.899497,-0.384964,4.03206,0.0680268,0.101231,0.706193,1.11929,1.20631,1.586,-0.163442,-0.297512,1.81136,0.613981,0.319184,1.73949,1.30698,0.565226,0.706193,0.981102,0.590383,1.586,-1.04076,-0.353738,1.81136,0.146132,0.356349,1.73949,0.595085,0.568846,4.03206,0.0990147,0.0589108,1.586,-0.131144,-0.0985388,1.81136,-0.544232,-0.453031,1.73949,-0.291044,-0.138661,4.03206,-0.170329,-0.0984887,0.706193,-0.398173,-0.108493
1.78552,-0.176029,-0.13985,4.18496,0.160547,0.0603741,0.727493,0.4638,0.422833,1.62344,0.0701015,-0.448798,1.85156,-0.951428,-0.392705,4.18496,-0.0204133,0.106851,0.727493,1.09122,1.24335,1.62344,-0.1479,-0.303446,1.85156,0.728554,0.323287,1.78552,1.27919,0.576282,0.727493,0.687636,0.603827,1.62344,-0.953354,-0.365141,1.85156,0.144917,0.36465,1.78552,0.60799,0.583844,4.18496,0.0793928,0.0616776,1.62344,-0.137109,-0.100558,1.85156,-0.597566,-0.462663,1.78552,-0.262909,-0.141568,4.18496,-0.21438,-0.101327,0.727493,-0.299759,-0.110936
1.83155,-0.223594,-0.144126,4.33785,0.214482,0.0615261,0.748793,0.450748,0.434159,1.66087,0.0542532,-0.459661,1.89176,-0.986894,-0.400445,4.33785,-0.14812,0.112471,0.748793,1.0652,1.28039,1.66087,-0.132357,-0.309381,1.89176,0.799785,0.32739,1.83155,1.23805,0.587339,0.748793,0.397702,0.617272,1.66087,-0.86595,-0.376544,1.89176,0.152388,0.372952,1.83155,0.619694,0.598842,4.33785,0.0459433,0.0644444,1.66087,-0.143073,-0.102578,1.89176,-0.612388,-0.472294,1.83155,-0.232337,-0.144474,4.33785,-0.252516,-0.104166,0.748793,-0.187917,-0.113379
1.87758,-0.271401,-0.148401,4.49075,0.255886,0.062678,0.770094,0.436202,0.445484,1.69831,0.038405,-0.470524,1.93196,-1.01785,-0.408185,4.49075,-0.277419,0.118091,0.770094,1.05198,1.31744,1.69831,-0.116814,-0.315316,1.93196,0.85915,0.331493,1.87758,1.17664,0.598395,0.770094,0.159892,0.630716,1.69831,-0.778546,-0.387948,1.93196,0.162238,0.381254,1.87758,0.628958,0.61384,4.49075,0.00881277,0.0672113,1.69831,-0.149038,-0.104597,1.93196,-0.616667,-0.481926,1.87758,-0.200935,-0.147381,4.49075,-0.287107,-0.107004,0.770094,-0.0836287,-0.115821
1.92361,-0.316866,-0.152676,4.64365,0.292257,0.0638299,0.791394,0.420329,0.456809,1.73574,0.0225568,-0.481387,1.97216,-1.04881,-0.415926,4.64365,-0.376963,0.123711,0.791394,1.06241,1.35448,1.73574,-0.101271,-0.321251,1.97216,0.918516,0.335596,1.92361,1.11395,0.609451,0.791394,0.0229059,0.64416,1.73574,-0.691142,-0.399351,1.97216,0.172088,0.389556,1.92361,0.637517,0.628838,4.64365,-0.021911,0.0699781,1.73574,-0.155003,-0.106617,1.97216,-0.620946,-0.491557,1.92361,-0.172051,-0.150287,4.64365,-0.321994,-0.109843,0.791394,-0.00724412,-0.118264
1.96965,-0.352772,-0.156952,4.79654,0.325548,0.0649818,0.812694,0.403222,0.468134,1.77318,0.00670851,-0.492249,2.01235,-1.07977,-0.423666,4.79654,-0.390624,0.129331,0.812694,1.11053,1.39152,1.77318,-0.0857287,-0.327186,2.01235,0.977882,0.339699,1.96965,1.0591,0.620508,0.812694,0.0493631,0.657604,1.77318,-0.603738,-0.410754,2.01235,0.181937,0.397858,1.96965,0.644807,0.643836,4.79654,-0.0310595,0.0727449,1.77318,-0.160968,-0.108636,2.01235,-0.625225,-0.501189,1.96965,-0.153805,-0.153194,4.79654,-0.360679,-0.112682,0.812694,0.0160577,-0.120707
2.01568,-0.378771,-0.161227,4.94944,0.357321,0.0661337,0.833994,0.385342,0.479459,1.81061,-0.00913974,-0.503112,2.05255,-1.11073,-0.431407,4.94944,-0.326938,0.13495,0.833994,1.20102,1.42856,1.81061,-0.0701859,-0.33312,2.05255,1.03725,0.343802,2.01568,1.01988,0.631564,0.833994,0.260238,0.671048,1.81061,-0.516334,-0.422157,2.05255,0.191787,0.406159,2.01568,0.651705,0.658834,4.94944,-0.0193505,0.0755118,1.81061,-0.166932,-0.110656,2.05255,-0.629503,-0.51082,2.01568,-0.146793,-0.1561,4.94944,-0.400773,-0.11552,0.833994,-0.0250408,-0.123149
2.06171,-0.391365,-0.165502,5.10233,0.382902,0.0672856,0.855295,0.367775,0.490785,1.84805,-0.024988,-0.513975,2.09275,-1.14169,-0.439147,5.10233,-0.195741,0.14057,0.855295,1.33129,1.46561,1.84805,-0.0546432,-0.339055,2.09275,1.09661,0.347905,2.06171,1.00389,0.642621,0.855295,0.639142,0.684493,1.84805,-0.42893,-0.43356,2.09275,0.201636,0.414461,2.06171,0.658538,0.673832,5.10233,0.0125898,0.0782786,1.84805,-0.172897,-0.112675,2.09275,-0.633782,-0.520452,2.06171,-0.155,-0.159007,5.10233,-0.433676,-0.118359,0.855295,-0.128726,-0.125592
2.10774,-0.386306,-0.169778,5.25523,0.396639,0.0684376,0.876595,0.355074,0.50211,1.88548,-0.0408362,-0.524838,2.13295,-1.15625,-0.446888,5.25523,-0.0325672,0.14619,0.876595,1.49475,1.50265,1.88548,-0.0391004,-0.34499,2.13295,1.11732,0.352008,2.10774,1.01708,0.653677,0.876595,1.13032,0.697937,1.88548,-0.341526,-0.444963,2.13295,0.21927,0.422763,2.10774,0.666968,0.68883,5.25523,0.0576571,0.0810454,1.88548,-0.178862,-0.114694,2.13295,-0.603816,-0.530084,2.10774,-0.182824,-0.161913,5.25523,-0.448118,-0.121197,0.876595,-0.289029,-0.128035
2.15377,-0.356357,-0.174053,5.40812,0.394503,0.0695895,0.897895,0.34303,0.513435,1.92292,-0.0566845,-0.535701,2.17315,-1.13416,-0.454628,5.40812,0.130173,0.15181,0.897895,1.66107,1.53969,1.92292,-0.0235577,-0.350925,2.17315,1.05473,0.356111,2.15377,1.06379,0.664733,0.897895,1.62972,0.711381,1.92292,-0.254122,-0.456367,2.17315,0.253704,0.431065,2.15377,0.681214,0.703828,5.40812,0.108924,0.0838123,1.92292,-0.184826,-0.116714,2.17315,-0.500153,-0.539715,2.15377,-0.237164,-0.164819,5.40812,-0.435719,-0.124036,0.897895,-0.454431,-0.130477
2.1998,-0.324798,-0.178328,5.56102,0.376267,0.0707414,0.919195,0.338796,0.52476,1.96035,-0.0725327,-0.546563,2.21334,-1.07911,-0.462369,5.56102,0.276595,0.15743,0.919195,1.82806,1.57673,1.96035,-0.00801494,-0.35686,2.21334,0.919463,0.360214,2.1998,1.11224,0.67579,0.919195,2.08454,0.724825,1.96035,-0.166718,-0.46777,2.21334,0.302818,0.439367,2.1998,0.69603,0.718826,5.56102,0.162301,0.0865791,1.96035,-0.190791,-0.118733,2.21334,-0.332241,-0.549347,2.1998,-0.293157,-0.167726,5.56102,-0.395325,-0.126875,0.919195,-0.62821,-0.13292
2.24584,-0.265071,-0.182604,5.71392,0.333288,0.0718933,0.940496,0.345708,0.536085,1.99779,-0.0883809,-0.557426,2.25354,-1.02406,-0.470109,5.71392,0.371094,0.16305,0.940496,1.9738,1.61378,1.99779,0.0075278,-0.362794,2.25354,0.784195,0.364317,2.24584,1.18893,0.686846,0.940496,2.3808,0.73827,1.99779,-0.0793144,-0.479173,2.25354,0.351931,0.447668,2.24584,0.721746,0.733824,5.71392,0.211854,0.0893459,1.99779,-0.196756,-0.120753,2.25354,-0.164329,-0.558978,2.24584,-0.377752,-0.170632,5.71392,-0.310605,-0.129713,0.940496,-0.77911,-0.135363
2.29187,-0.184959,-0.186879,5.86681,0.21016,0.0730452,0.961796,0.36566,0.54741,2.03522,-0.104229,-0.568289,2.29374,-0.969002,-0.477849,5.86681,0.209936,0.16867,0.961796,2.07753,1.65082,2.03522,0.0230705,-0.368729,2.29374,0.648927,0.36842,2.29187,1.28026,0.697902,0.961796,2.41823,0.751714,2.03522,0.0080895,-0.490576,2.29374,0.401045,0.45597,2.29187,0.757943,0.748822,5.86681,0.226003,0.0921127,2.03522,-0.20272,-0.122772,2.29374,0.0035835,-0.56861,2.29187,-0.482199,-0.173539,5.86681,-0.0780601,-0.132552,0.961796,-0.876327,-0.137805
