id,initT_SAEM,aS_SAEM,dS_SAEM,tau_SAEM,lBt0_SAEM,lp_SAEM,dI_SAEM,w_SAEM,initT_mean,aS_mean,dS_mean,tau_mean,lBt0_mean,lp_mean,dI_mean,w_mean,initT_mode,aS_mode,dS_mode,tau_mode,lBt0_mode,lp_mode,dI_mode,w_mode,initT_sd,aS_sd,dS_sd,tau_sd,lBt0_sd,lp_sd,dI_sd,w_sd,initT_randomEffects,aS_randomEffects,dS_randomEffects,tau_randomEffects,lBt0_randomEffects,lp_randomEffects,dI_randomEffects,w_randomEffects
1,-6.06196187611206927,0.46700519457872786,-5.03874643647260800,-2.99573227355399085,-4.05154407909531322,4.59999999999999964,-1.18004052242037361,-2.44341496488363319,-6.59247332711852430,0.45044675458054589,-5.03769543319174407,-2.99573227355399085,-4.07348018400019196,4.59999999999999964,-1.05298147813830423,-2.56805557300834497,-6.00631140651398887,0.46003492977253269,-5.03904879793749760,-2.99573227355399085,-4.06795705398837004,4.59999999999999964,-1.15276785841070395,-2.65182827084394246,1.82587758663946675,0.06392353328778090,0.12055823695542023,0.00000000000000000,0.07000067049865960,0.00000000000000000,0.73911923980457328,0.60807912700668032,-1.72625467999073368,-0.01000258523955440,-0.01842830407377336,0.00000000000000000,-0.00288096486972801,0.00000000000000000,-2.12285980930049201,0.05298095966566015
2,-0.48275137230730303,0.46429019405154992,-5.04965431103327234,-2.99573227355399085,-4.01594234518358473,4.59999999999999964,2.53004131413639444,-2.61511886838920926,-0.48848178596411440,0.47563283341301843,-5.04440087357153288,-2.99573227355399085,-4.02165819119956236,4.59999999999999964,2.34285001836502182,-2.67592701373000885,-0.41604920787984978,0.46522948378790763,-5.04455182115333578,-2.99573227355399085,-4.00990453193823981,4.59999999999999964,2.26800908076085905,-2.63850601989814626,0.25452575666870830,0.05922722906461112,0.08249519642038890,0.00000000000000000,0.04862232237468595,0.00000000000000000,1.19099252314539261,0.19832296893815807,4.37773686116367422,0.01518349359291800,-0.02513374445356020,0.00000000000000000,0.04894102793090240,0.00000000000000000,1.27297168720283138,-0.05489048105600241
3,-3.70477815595883309,0.48833315492914448,-5.00991462559901546,-2.99573227355399085,-4.08653157734037453,4.59999999999999964,-0.87668263425614656,-2.37795989534904706,-3.88676038431600324,0.47612346801573840,-4.99417139221882778,-2.99573227355399085,-4.07693287470128851,4.59999999999999964,-1.06038680895212800,-2.41638578193566866,-3.53652737315077204,0.46223311074757062,-5.00404156308274395,-2.99573227355399085,-4.07710755510546718,4.59999999999999964,-1.17556399076897033,-2.56706437299662094,1.41114105060388240,0.06868643541192107,0.11553571391394168,0.00000000000000000,0.06363712147508589,0.00000000000000000,0.56657376772261636,0.63150557429724419,0.97945826281178650,0.01567412819563806,0.02509573689914247,0.00000000000000000,-0.00633365557082390,0.00000000000000000,-2.13026514011431489,0.20465075073833774
4,-6.40948473356813597,0.45494298135010502,-5.02502283881175682,-2.99573227355399085,-4.09017757679989824,4.59999999999999964,1.50394579054815281,-2.59972792871479319,-6.27295465347977288,0.46375331070013859,-5.01028498385593402,-2.99573227355399085,-4.07550363031958884,4.59999999999999964,1.59716349788832468,-2.53958416441912060,-6.30045783780755286,0.45543214396656367,-5.00522605197276516,-2.99573227355399085,-4.09131585510243312,4.59999999999999964,1.31317416251803842,-2.58134470357297374,1.68058627586853637,0.05969931382572656,0.09197135426290869,0.00000000000000000,0.07442106076410160,0.00000000000000000,1.50000835130896659,0.43805803591787446,-1.40673600635198248,0.00330397088003841,0.00898214526203724,0.00000000000000000,-0.00490441118912378,0.00000000000000000,0.52728516672613635,0.08145236825488618
5,-6.12484890282220018,0.41209875892226300,-4.89180103205903638,-2.99573227355399085,-4.14449054720927901,4.59999999999999964,2.18229503626471510,-2.48905354425520242,-6.86963351411177303,0.43411097475464272,-4.93304923314995314,-2.99573227355399085,-4.17780561563790442,4.59999999999999964,2.44798221498956226,-2.55546832905571009,-6.35071326438975170,0.43274962688087687,-4.93521662806765526,-2.99573227355399085,-4.16358028016825621,4.59999999999999964,2.35064724421664106,-2.54303220333284274,1.29088739089506821,0.06462059460112445,0.10308349846733843,0.00000000000000000,0.05675655880792053,0.00000000000000000,1.13839019675673603,0.31647651477072053,-2.00341486698398397,-0.02633836506545746,0.08621789596801860,0.00000000000000000,-0.10720639650744043,0.00000000000000000,1.37810388382737425,0.06556820361829578
6,-6.00378807905670442,0.46762451008997147,-5.02531082848832966,-2.99573227355399085,-4.10473252194641702,4.59999999999999964,-1.53386185894779881,-2.62325553936241107,-6.02878694964004769,0.45497440773502806,-5.03021114362943500,-2.99573227355399085,-4.09950606922495364,4.59999999999999964,-1.54740201782892761,-2.54037802271412883,-5.69986640440036396,0.46046309765059645,-5.02158451566286068,-2.99573227355399085,-4.08806308690479181,4.59999999999999964,-1.49217327994820792,-2.68632157059688659,1.20032547645319898,0.06215211038847968,0.10799296261288105,0.00000000000000000,0.06178355343574785,0.00000000000000000,0.32513176524769410,0.55138250316226156,-1.16256830251225707,-0.00547493208507245,-0.01094401451146212,0.00000000000000000,-0.02890685009449157,0.00000000000000000,-2.61728034899111650,0.08065850995987751
7,-3.05425678757127184,0.45923205152748575,-5.03130082116111144,-2.99573227355399085,-4.08971821917377643,4.59999999999999964,0.86455669891810405,-2.21094509583667875,-3.38616689341039567,0.46033828887449596,-4.98779834988596349,-2.99573227355399085,-4.08272853612046038,4.59999999999999964,1.45364508476397436,-2.19103633603731485,-3.00082205600238705,0.45583970175776267,-5.00789143936864711,-2.99573227355399085,-4.08831653661615313,4.59999999999999964,-0.05055421565182407,-2.40854375329676618,0.87604401527657849,0.06408040539357233,0.08543883413959288,0.00000000000000000,0.05113466049346066,0.00000000000000000,1.26307028790093900,0.39086303423207985,1.48005175371739317,-0.00011105094560452,0.03146877923200655,0.00000000000000000,-0.01212931698999724,0.00000000000000000,0.38376675360178608,0.43000019663669103
8,-3.97758084445438520,0.45519000741311905,-5.01675097809191417,-2.99573227355399085,-4.10474378787089123,4.59999999999999964,0.71512649654225846,-2.16931197429135603,-4.37541720571727222,0.46117073507470746,-4.99501388093983678,-2.99573227355399085,-4.12066721499326682,4.59999999999999964,0.64346611465124226,-2.41507895692423968,-3.60347849157134004,0.45511995130077976,-4.99290353746402094,-2.99573227355399085,-4.09148489880513111,4.59999999999999964,-0.47745218978050213,-2.51179409778706386,1.22050117338060660,0.06251027046775895,0.10274371502520041,0.00000000000000000,0.05610370295423266,0.00000000000000000,1.52233407053795267,0.49396833826731568,0.49080144141052112,0.00072139525460717,0.02425324817812994,0.00000000000000000,-0.05006799586280594,0.00000000000000000,-0.42641221651094641,0.20595757574976742
9,-3.05840753467573956,0.46631585672808373,-5.00201674603946245,-2.99573227355399085,-4.12772287144763617,4.59999999999999964,-1.49926011437361995,-2.67510133972005892,-3.07093155213571745,0.43929673588701929,-5.01948696281423246,-2.99573227355399085,-4.12729247662582743,4.59999999999999964,-1.55577427291648007,-2.66671626940280726,-2.64701757017338490,0.45351671366227597,-4.99407558976779420,-2.99573227355399085,-4.10573278539141739,4.59999999999999964,-1.46862547031540558,-2.66342260797829145,1.01071585976908240,0.05256990959534066,0.09338604062403887,0.00000000000000000,0.06040245372642164,0.00000000000000000,0.42989101572423499,0.70628351103554021,1.79528709499207295,-0.02115260393308092,-0.00021983369626343,0.00000000000000000,-0.05669325749536324,0.00000000000000000,-2.62565260407866852,-0.04567973672880166
10,-6.09519310987685969,0.47487325537869463,-5.06309579302504975,-2.99573227355399085,-4.04304364509929659,4.59999999999999964,1.82677386521454710,-2.08473872661424497,-6.36060982761134319,0.47037346669397700,-5.05089766951765640,-2.99573227355399085,-4.04291988228413590,4.59999999999999964,1.78400316379509172,-2.01115893104990962,-5.86724728637573723,0.46833847162013031,-5.03255936174066498,-2.99573227355399085,-4.04180842237048310,4.59999999999999964,1.57010624867156712,-2.06027638903605848,1.86252486577802778,0.07451801470558866,0.10986549266131368,0.00000000000000000,0.05358069585898604,0.00000000000000000,1.29369078464471721,0.27357086853705775,-1.49439118048355479,0.00992412687387660,-0.03163054039968676,0.00000000000000000,0.02767933684632678,0.00000000000000000,0.71412483263290283,0.60987760162409610
