popPred_spline_abscissa,popPred_spline,popPred_ciAbscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ciAbscissa,indivPred_piLower,indivPred_piUpper,split
3.82115,3.0507,3.82115,3.03092,4.61138,1.08021,1.1351,1.08021,0.413272,1.74715,All
3.86385,2.99302,3.86385,3.07169,4.656,1.12179,1.15908,1.12179,0.452978,1.7906,All
3.87793,2.982,3.87793,3.08514,4.67071,1.16496,1.18675,1.16496,0.494214,1.83572,All
3.90702,2.97878,3.90702,3.11292,4.70111,1.20138,1.21131,1.20138,0.528991,1.87377,All
3.9347,2.97571,3.9347,3.13936,4.73004,1.2098,1.21734,1.2098,0.537036,1.88257,All
3.95067,2.97394,3.95067,3.15461,4.74672,1.25637,1.25234,1.25637,0.581506,1.93123,All
3.99147,3.00057,3.99147,3.19358,4.78936,1.30473,1.29107,1.30473,0.627688,1.98176,All
3.99481,3.00455,3.99481,3.19676,4.79285,1.32255,1.30608,1.32255,0.64471,2.00039,All
4.03944,3.05989,4.03944,3.23939,4.83949,1.35495,1.33399,1.35495,0.675648,2.03424,All
4.04824,3.0742,4.04824,3.2478,4.84869,1.4071,1.38115,1.4071,0.725454,2.08874,All
4.08457,3.13903,4.08457,3.28249,4.88665,1.44372,1.4158,1.44372,0.760429,2.12701,All
4.10502,3.17553,4.10502,3.30202,4.90802,1.46126,1.43268,1.46126,0.777176,2.14533,All
4.13021,3.22626,4.13021,3.32607,4.93434,1.5175,1.48829,1.5175,0.83089,2.20411,All
4.16179,3.2953,4.16179,3.35624,4.96734,1.56489,1.53667,1.56489,0.876149,2.25363,All
4.17635,3.32715,4.17635,3.37014,4.98256,1.57591,1.5481,1.57591,0.88667,2.26514,All
4.21856,3.41949,4.21856,3.41045,5.02667,1.63656,1.61204,1.63656,0.944598,2.32853,All
4.22301,3.42922,4.22301,3.4147,5.03132,1.68606,1.66529,1.68606,0.991868,2.38025,All
4.27019,3.52957,4.27019,3.45976,5.08062,1.69955,1.67993,1.69955,1.00476,2.39435,All
4.27533,3.54003,4.27533,3.46467,5.086,1.76497,1.75144,1.76497,1.06723,2.46271,All
4.3179,3.62385,4.3179,3.50533,5.13048,1.80723,1.79793,1.80723,1.10759,2.50687,All
4.33211,3.64716,4.33211,3.51889,5.14532,1.8329,1.82621,1.8329,1.13211,2.5337,All
4.36615,3.69941,4.36615,3.5514,5.18089,1.90345,1.90371,1.90345,1.19948,2.60742,All
4.38888,3.7343,4.38888,3.57311,5.20465,1.9284,1.93095,1.9284,1.22331,2.63349,All
4.41493,3.76598,4.41493,3.59799,5.23187,1.97671,1.98326,1.97671,1.26945,2.68398,All
4.44565,3.80069,4.44565,3.62733,5.26397,2.04957,2.06068,2.04957,1.33903,2.76011,All
4.46425,3.8217,4.46425,3.64509,5.28341,2.0528,2.06406,2.0528,1.34211,2.76348,All
4.50242,3.85469,4.50242,3.68155,5.3233,2.13181,2.14502,2.13181,1.41757,2.84605,All
4.51413,3.86427,4.51413,3.69273,5.33553,2.17074,2.1835,2.17074,1.45474,2.88673,All
4.5592,3.89698,4.5592,3.73577,5.38263,2.21386,2.22483,2.21386,1.49593,2.93179,All
4.56457,3.90034,4.56457,3.74089,5.38824,2.29191,2.29586,2.29191,1.57046,3.01335,All
4.61556,3.93226,4.61556,3.7896,5.44153,2.29907,2.30216,2.29907,1.57731,3.02084,All
4.61597,3.93251,4.61597,3.78999,5.44195,2.38756,2.37785,2.38756,1.66182,3.11331,All
4.66713,3.9635,4.66713,3.83885,5.49542,2.41308,2.39925,2.41308,1.68618,3.13997,All
4.67274,3.96671,4.67274,3.84421,5.50128,2.47946,2.45491,2.47946,1.74958,3.20934,All
4.71928,3.99441,4.71928,3.88865,5.54991,2.53425,2.50158,2.53425,1.8019,3.26659,All
4.72952,4.00055,4.72952,3.89842,5.56061,2.57489,2.53712,2.57489,1.84072,3.30907,All
4.772,4.03181,4.772,3.939,5.60501,2.65542,2.6112,2.65542,1.91762,3.39321,All
