parameter,value,se_lin,rse_lin
initT_pop,-15.67726397350849687,1.39953057201950282,8.92713533678092830
aS_pop,0.77975182891034078,0.20998068526994615,26.92916867708823858
dS_pop,0.00068821018961584,0.00016200849883658,23.54055509218912690
tau_pop,0.05000000000000001,,
lBt0_pop,-4.59159217664884522,0.10971545363490040,2.38948603042040597
lp_pop,4.59999999999999964,,
dI_pop,1.54540140291962746,0.24637309662105716,15.94233680360327909
n_pop,0.08552130391160195,0.01357835815454342,15.87716455841052721
V0_pop,0.02000000000000000,,
omega_initT,8.28327216534654731,1.02012930692375980,12.31553529282205695
omega_aS,0.35621494825332223,0.11843861445172274,33.24919828111625009
omega_dS,1.36502472491301541,0.17539115199023939,12.84893590490941406
omega_lBt0,0.57226342220308979,0.07152426613647486,12.49848642450743696
omega_dI,0.56214557028043366,0.10863331834420939,19.32476641059649936
omega_n,0.66373171295418099,0.09366218363349067,14.11145223370642299
corr_lBt0_dS,0.99288555045729332,0.01002991101703607,1.01017796184228792
corr_dI_aS,0.91664609360593230,0.12677539662543438,13.83035366754481998
corr_n_aS,-0.65905994965131298,0.16257345447653393,24.66747593485937173
corr_n_dI,-0.87400221943738554,0.06298809320107535,7.20685735118866955
a,0.32480894225200674,0.01080897946915825,3.32779614816514968
