iteration,convergenceIndicator,phase,a,aS_pop,b,dI_pop,dS_pop,initT_pop,lBt0_pop,omega_aS,omega_dI,omega_dS,omega_initT,omega_lBt0,omega_w,w_pop
36,1040.09,1,0.117976,1.72473,2.22045e-16,0.832856,0.00672357,-5.12879,-4.09823,0.0469728,2.33355,0.0887944,2.51313,0.0834002,0.565899,0.0725286
37,1079.15,1,0.116432,1.71161,2.22045e-16,0.862771,0.00672604,-5.09248,-4.10201,0.0601033,2.27447,0.0895729,2.4495,0.0903628,0.64761,0.0744798
38,1075.03,1,0.118944,1.70631,2.22045e-16,0.844378,0.00666916,-5.05962,-4.09852,0.0585815,2.21687,0.0944327,2.4476,0.0884621,0.631212,0.0700728
39,1119.43,1,0.121165,1.74051,2.22045e-16,0.871003,0.00669721,-4.47536,-4.09048,0.0617374,2.41604,0.0920416,2.38562,0.0862222,0.615229,0.0744864
40,1112.48,1,0.118648,1.74195,2.22045e-16,0.849737,0.00668966,-4.93121,-4.09471,0.0601741,2.35803,0.0948233,2.67483,0.084039,0.602559,0.0745396
41,1058.26,1,0.116645,1.73075,2.22045e-16,0.804686,0.00669661,-5.03062,-4.09043,0.0586505,2.29832,0.093956,2.86456,0.0819111,0.587302,0.065665
42,1075.6,1,0.118147,1.72545,2.22045e-16,0.842384,0.00666773,-4.89656,-4.08366,0.0571654,2.24013,0.091577,2.81985,0.0834822,0.572431,0.0613746
43,1082.26,1,0.117121,1.71142,2.22045e-16,0.84229,0.00673399,-5.24368,-4.08317,0.057988,2.18341,0.0952456,2.8425,0.0824706,0.557937,0.0656463
44,1108.08,1,0.119404,1.6889,2.22045e-16,0.841125,0.00670684,-5.33257,-4.09564,0.0565197,2.39442,0.10298,2.89533,0.0803824,0.552113,0.0659681
45,1079.62,1,0.115699,1.68246,2.22045e-16,0.885908,0.00664893,-5.33606,-4.09453,0.0550886,2.69119,0.100861,2.82202,0.0783471,0.585247,0.0686654
46,1109.12,1,0.115317,1.67309,2.22045e-16,0.838119,0.00669135,-5.23105,-4.09262,0.0608753,2.72752,0.100757,2.75057,0.0824072,0.634346,0.0666384
47,1118.47,1,0.118176,1.6621,2.22045e-16,0.86608,0.00671637,-5.24747,-4.09428,0.0694903,2.73512,0.0982054,2.68092,0.0803206,0.618284,0.0657091
48,1098.04,1,0.113794,1.65421,2.22045e-16,0.903292,0.00671343,-5.19243,-4.08791,0.0745014,2.71225,0.0957187,2.61304,0.0782868,0.622185,0.0724529
49,1145.15,1,0.118796,1.68705,2.22045e-16,0.868049,0.00679212,-5.09054,-4.08486,0.0757778,2.64357,0.0932951,2.6285,0.0781466,0.753684,0.0657887
50,1167.72,1,0.116671,1.66662,2.22045e-16,0.885808,0.00692366,-5.22307,-4.0644,0.0821647,2.90963,0.0915996,2.9061,0.0812112,0.734601,0.0660314
51,1140.79,1,0.112622,1.64162,2.22045e-16,0.87527,0.00691119,-5.0632,-4.06496,0.0800843,2.83596,0.0927075,2.84754,0.0858004,0.778251,0.0715178
52,1141.4,1,0.114662,1.62458,2.22045e-16,0.902546,0.00689954,-5.08156,-4.0646,0.0780565,2.93612,0.101687,2.85973,0.0836279,0.758546,0.0740396
53,1139.11,1,0.116251,1.61601,2.22045e-16,0.888916,0.00694016,-5.3003,-4.06439,0.0760801,2.86177,0.0999788,2.78732,0.0828931,0.739339,0.0717175
54,1118,1,0.113997,1.60733,2.22045e-16,0.877764,0.00699335,-5.11941,-4.05773,0.0756145,2.78931,0.0982181,2.71675,0.083126,0.720618,0.0714614
55,1107.79,1,0.114936,1.60381,2.22045e-16,0.867709,0.00700833,-5.11033,-4.05443,0.0736999,2.71868,0.103045,2.64796,0.0810421,0.702372,0.0734254
56,1111.24,1,0.114521,1.60324,2.22045e-16,0.889057,0.00702699,-5.26921,-4.06087,0.0718338,2.67291,0.105975,2.6854,0.0789901,0.684587,0.0716376
57,1159.26,1,0.119426,1.62433,2.22045e-16,0.853029,0.00709085,-5.36923,-4.06526,0.070497,2.60523,0.112324,2.85943,0.07699,0.667253,0.0742599
58,1125.7,1,0.117544,1.60625,2.22045e-16,0.857033,0.00702011,-5.44815,-4.06173,0.068712,2.53926,0.10948,2.78703,0.0750406,0.678644,0.0718738
59,1108.97,1,0.117578,1.59918,2.22045e-16,0.857701,0.00706392,-5.15844,-4.05347,0.0669722,2.47497,0.106708,2.9365,0.0740614,0.661461,0.0783429
