iteration,convergenceIndicator,phase,a,aS_pop,b,dI_pop,dS_pop,initT_pop,lBt0_pop,omega_aS,omega_dI,omega_dS,omega_initT,omega_lBt0,omega_w,w_pop
154,1212.98,1,0.118891,1.5021,2.22045e-16,0.808411,0.00631749,-5.49959,-4.08398,0.107277,2.15928,0.141388,2.96707,0.0961429,0.63987,0.0864648
155,1210.91,1,0.116293,1.48896,2.22045e-16,0.849323,0.00636521,-5.60345,-4.08621,0.104561,2.12795,0.137808,3.23753,0.102122,0.648137,0.0813431
156,1179.67,1,0.111437,1.50608,2.22045e-16,0.800105,0.00631725,-5.50624,-4.08462,0.107459,2.07407,0.134319,3.15555,0.0995362,0.737614,0.0790652
157,1195.42,1,0.116317,1.53362,2.22045e-16,0.791829,0.00621105,-5.38752,-4.08741,0.104738,2.02156,0.130918,3.07565,0.106195,0.718937,0.0772856
158,1167.5,1,0.114013,1.53877,2.22045e-16,0.797372,0.00619414,-5.17943,-4.09741,0.109295,2.01536,0.127603,2.99777,0.105569,0.700733,0.0764622
159,1179.59,2,0.116101,1.55461,2.22045e-16,0.708523,0.00618055,-5.16342,-4.10081,0.111971,1.96433,0.124372,2.92187,0.1033,0.68299,0.0794767
160,1225.25,2,0.119147,1.54838,2.22045e-16,0.730605,0.00627127,-4.92877,-4.0959,0.126623,1.91459,0.126012,2.84788,0.100684,0.665696,0.0710947
161,1200.91,2,0.117959,1.55374,2.22045e-16,0.711546,0.00616722,-4.96729,-4.09564,0.122078,1.7303,0.127749,2.68773,0.0951667,0.644369,0.0759033
162,1134.69,2,0.115757,1.59942,2.22045e-16,0.7648,0.00615339,-4.57741,-4.10083,0.0906274,1.94402,0.128638,2.49517,0.0834615,0.605663,0.0769161
163,1097.8,2,0.114606,1.60964,2.22045e-16,0.768551,0.00605403,-4.96009,-4.10384,0.0815629,1.90474,0.125014,2.5725,0.085562,0.518214,0.0756795
164,1136.7,2,0.117809,1.61326,2.22045e-16,0.74707,0.00621878,-5.11342,-4.09766,0.0837291,1.65987,0.117677,3.03006,0.0886362,0.53472,0.0766062
165,1102.5,2,0.114231,1.602,2.22045e-16,0.70673,0.00625292,-5.05672,-4.10151,0.0817714,1.59297,0.120659,2.77676,0.0900119,0.610258,0.0707265
166,1126.62,2,0.113939,1.59745,2.22045e-16,0.694364,0.00620215,-5.13285,-4.10657,0.0889293,1.71385,0.11815,2.99274,0.0909789,0.609455,0.0723969
167,1125.56,2,0.115023,1.58156,2.22045e-16,0.721997,0.00628996,-5.44826,-4.10806,0.083337,1.82537,0.114356,3.07405,0.0908761,0.571062,0.0779116
168,1152.23,2,0.118705,1.59533,2.22045e-16,0.769637,0.00640465,-5.8237,-4.1074,0.0840461,1.68432,0.100461,3.29465,0.0884887,0.596419,0.077703
169,1138.67,2,0.121007,1.59425,2.22045e-16,0.770502,0.00638873,-5.30153,-4.09528,0.0832007,1.62742,0.0963202,2.97214,0.0729902,0.683087,0.0827342
170,1101.27,2,0.119412,1.58689,2.22045e-16,0.779851,0.00642461,-5.18694,-4.08929,0.0746133,1.65197,0.0969593,2.95128,0.0715811,0.655675,0.0810495
171,1098.2,2,0.119985,1.58512,2.22045e-16,0.746276,0.00641054,-4.97896,-4.08204,0.0697328,1.64752,0.100475,2.86257,0.0718638,0.603344,0.0789414
172,1083.25,2,0.118457,1.58181,2.22045e-16,0.721167,0.00643673,-4.9619,-4.08093,0.0748295,1.60384,0.102256,2.79273,0.0740972,0.56696,0.0780471
173,1088.58,2,0.118427,1.58237,2.22045e-16,0.726971,0.00642482,-4.89947,-4.08099,0.0750148,1.613,0.0917227,2.81415,0.0764803,0.602267,0.0773116
174,1061.55,2,0.116664,1.57691,2.22045e-16,0.713445,0.00638943,-4.97553,-4.07894,0.0762168,1.44633,0.0922903,2.73769,0.0824544,0.621619,0.0760534
175,1072.36,2,0.117217,1.58111,2.22045e-16,0.692748,0.00636559,-5.02091,-4.0843,0.0733693,1.50243,0.0883157,2.64306,0.0830509,0.647467,0.0751692
176,1083.6,2,0.118893,1.57999,2.22045e-16,0.720902,0.00633026,-5.05435,-4.08794,0.0722891,1.49776,0.0846003,2.66048,0.0797879,0.644058,0.0736938
177,1071.46,2,0.117931,1.57213,2.22045e-16,0.730747,0.00634338,-5.02648,-4.08336,0.075817,1.54169,0.086111,2.65112,0.0767265,0.638786,0.0765342
178,1091.68,2,0.117707,1.5605,2.22045e-16,0.73073,0.00634016,-4.96931,-4.0807,0.0768464,1.55255,0.0867157,2.66944,0.0800636,0.651344,0.077833
179,1126.04,2,0.119274,1.56264,2.22045e-16,0.724195,0.0063349,-4.9278,-4.0755,0.0744322,1.55717,0.0843621,2.7773,0.0840618,0.667969,0.0758098
180,1128.16,2,0.120313,1.56647,2.22045e-16,0.723224,0.00630953,-4.86247,-4.07157,0.0711858,1.56709,0.0843193,2.80686,0.0846751,0.694304,0.0740556
181,1142.67,2,0.120344,1.57084,2.22045e-16,0.720816,0.0063242,-4.69541,-4.0698,0.0752856,1.67461,0.0887419,2.7399,0.0829423,0.686667,0.0734628
182,1119.82,2,0.12006,1.57585,2.22045e-16,0.716672,0.00635649,-4.6691,-4.06773,0.0784583,1.6936,0.0909216,2.6729,0.082649,0.655338,0.0739545
183,1133.65,2,0.119967,1.57689,2.22045e-16,0.743744,0.00641831,-4.8225,-4.06766,0.0819702,1.73408,0.0892785,2.65096,0.0821224,0.661318,0.0725654
184,1124.76,2,0.119331,1.58701,2.22045e-16,0.743537,0.00644459,-4.75012,-4.06883,0.0818815,1.70514,0.0944468,2.592,0.0822896,0.673786,0.0732452
185,1099.95,2,0.119055,1.58522,2.22045e-16,0.73482,0.00641724,-4.72956,-4.07008,0.0788978,1.66987,0.0965764,2.50011,0.0852718,0.660234,0.0729024
186,1126.94,2,0.119442,1.58519,2.22045e-16,0.721186,0.00643516,-4.69234,-4.06781,0.0786121,1.65661,0.0997857,2.39278,0.0878955,0.653192,0.0722885
187,1132.4,2,0.119706,1.58189,2.22045e-16,0.710478,0.00645875,-4.70141,-4.06655,0.0790948,1.66338,0.103882,2.36142,0.0859604,0.655968,0.0710189
188,1136.24,2,0.119038,1.57641,2.22045e-16,0.718497,0.00647815,-4.78076,-4.0677,0.078941,1.71429,0.113162,2.3426,0.0855574,0.649781,0.0717567
189,1091,2,0.11873,1.57425,2.22045e-16,0.72281,0.0064975,-4.72091,-4.06508,0.0779052,1.69763,0.116268,2.29638,0.0845884,0.625494,0.0714386
190,1110.42,2,0.118346,1.57659,2.22045e-16,0.713123,0.00652002,-4.68364,-4.06519,0.0776821,1.70846,0.12049,2.29283,0.0839205,0.613093,0.0701481
191,1104.28,2,0.117831,1.57754,2.22045e-16,0.702255,0.00652444,-4.69003,-4.06723,0.0772458,1.68035,0.12332,2.29311,0.0842688,0.620443,0.0686229
192,1101.89,2,0.118043,1.57454,2.22045e-16,0.706653,0.00654413,-4.69115,-4.06705,0.0762501,1.68849,0.12344,2.2565,0.0815916,0.628854,0.0697655
193,1121.69,2,0.117915,1.57174,2.22045e-16,0.706061,0.00658647,-4.75294,-4.0661,0.076748,1.73728,0.124541,2.29155,0.0794168,0.628902,0.0691196
194,1102.2,2,0.11822,1.57232,2.22045e-16,0.70452,0.00660586,-4.76661,-4.06855,0.0767857,1.76548,0.120615,2.30106,0.0785573,0.615731,0.0691835
195,1092.55,2,0.118258,1.57591,2.22045e-16,0.719149,0.00660018,-4.76886,-4.0692,0.0758479,1.78324,0.118537,2.31464,0.0780842,0.605874,0.0695224
196,1089.62,2,0.118199,1.57576,2.22045e-16,0.733387,0.0066042,-4.78368,-4.06963,0.0745052,1.81538,0.116004,2.32887,0.0780826,0.600476,0.0701302
197,1083.84,2,0.11769,1.58075,2.22045e-16,0.739286,0.00661911,-4.80728,-4.0701,0.0742572,1.81871,0.114047,2.34768,0.0785683,0.608989,0.0703726
198,1083.26,2,0.117422,1.58512,2.22045e-16,0.740731,0.0066305,-4.80775,-4.07154,0.0738516,1.82282,0.11387,2.37339,0.0777042,0.609937,0.0704541
199,1080.45,2,0.117451,1.58717,2.22045e-16,0.738073,0.00664079,-4.7877,-4.0712,0.0728761,1.80514,0.114311,2.38763,0.0774103,0.603761,0.0720534
200,1132.12,2,0.117643,1.58906,2.22045e-16,0.736359,0.00663115,-4.84284,-4.07186,0.0725007,1.7915,0.115247,2.43038,0.077734,0.610789,0.0724478
201,1060.31,2,0.117522,1.59221,2.22045e-16,0.735675,0.0066282,-4.86782,-4.07439,0.0717311,1.78747,0.113981,2.42856,0.0772572,0.607044,0.0723616
202,1070.79,2,0.117479,1.59265,2.22045e-16,0.735199,0.00661445,-4.87421,-4.07525,0.0715598,1.78029,0.11334,2.43743,0.0768167,0.600942,0.0720467
203,1050.63,2,0.117212,1.59184,2.22045e-16,0.735355,0.00660725,-4.87356,-4.07466,0.071172,1.76772,0.113569,2.44848,0.0773546,0.588035,0.0719021
204,1058.27,2,0.117259,1.59004,2.22045e-16,0.733076,0.00659646,-4.8737,-4.07492,0.0699701,1.75353,0.113761,2.45996,0.0773116,0.580163,0.0717786
205,1071.62,2,0.117391,1.58917,2.22045e-16,0.734176,0.00659776,-4.88889,-4.07477,0.0690289,1.72408,0.114355,2.48018,0.0770728,0.577795,0.0723152
206,1064.39,2,0.11747,1.58827,2.22045e-16,0.737599,0.00659896,-4.90511,-4.07469,0.068313,1.71173,0.114027,2.48936,0.0768034,0.577144,0.0726712
207,1031.42,2,0.117292,1.58879,2.22045e-16,0.738396,0.00659724,-4.90529,-4.07502,0.0677194,1.70527,0.113154,2.47448,0.0764364,0.577717,0.072869
208,1069.36,2,0.117265,1.58742,2.22045e-16,0.740875,0.00660016,-4.90436,-4.07421,0.0672782,1.71464,0.111919,2.46779,0.0765206,0.583108,0.0734566
209,1079.52,2,0.11746,1.58824,2.22045e-16,0.740178,0.0066025,-4.92365,-4.07411,0.0664145,1.70638,0.111671,2.48078,0.0767576,0.580446,0.0733482
210,1052.21,2,0.117447,1.58855,2.22045e-16,0.739835,0.006603,-4.91683,-4.074,0.0662964,1.7072,0.111753,2.47791,0.0767233,0.579409,0.073367
211,1088.86,2,0.117492,1.58911,2.22045e-16,0.739592,0.00660123,-4.91031,-4.07404,0.0663877,1.70694,0.111735,2.47348,0.0767275,0.578679,0.0734893
212,1082.95,2,0.117484,1.58902,2.22045e-16,0.739017,0.0066013,-4.90185,-4.07383,0.0664536,1.71012,0.111454,2.47018,0.0768672,0.579166,0.0736099
213,1122.02,2,0.117558,1.58875,2.22045e-16,0.739023,0.00660221,-4.89626,-4.07384,0.066433,1.71153,0.111474,2.4664,0.0771106,0.5787,0.0736635
214,1078.18,2,0.117521,1.58868,2.22045e-16,0.740289,0.00660016,-4.89282,-4.07382,0.0663656,1.71811,0.111581,2.46259,0.0773227,0.577592,0.0736129
215,1067.5,2,0.117482,1.58818,2.22045e-16,0.741351,0.00660178,-4.89077,-4.07352,0.0662221,1.72417,0.111547,2.4585,0.077478,0.577548,0.0734509
216,1070.96,2,0.117495,1.5881,2.22045e-16,0.74204,0.00660412,-4.89096,-4.07332,0.0660535,1.72719,0.111227,2.45831,0.0776782,0.576972,0.0734502
217,1077.71,2,0.117472,1.588,2.22045e-16,0.742534,0.00660613,-4.89122,-4.0732,0.0660545,1.72649,0.111267,2.45699,0.077968,0.576182,0.0734916
218,1094.77,2,0.117478,1.58784,2.22045e-16,0.743268,0.00660591,-4.89469,-4.0733,0.0660962,1.72408,0.111335,2.45846,0.0780972,0.576269,0.0735532
219,1069.32,2,0.117434,1.58781,2.22045e-16,0.743959,0.00660593,-4.89175,-4.07317,0.066171,1.72867,0.111227,2.46064,0.0780276,0.575849,0.0734802
220,1049.77,2,0.117392,1.58761,2.22045e-16,0.7446,0.0066077,-4.89275,-4.07296,0.0661597,1.73364,0.111022,2.45781,0.0779581,0.57589,0.0734683
221,1086.85,2,0.117429,1.58742,2.22045e-16,0.745358,0.00660908,-4.89169,-4.0727,0.0660824,1.73819,0.110817,2.45489,0.0779944,0.575431,0.0734647
222,1112.96,2,0.117453,1.58726,2.22045e-16,0.745377,0.00661105,-4.89238,-4.07254,0.0662479,1.73835,0.110896,2.4518,0.0781108,0.575439,0.0734457
223,1089.56,2,0.11748,1.58698,2.22045e-16,0.746153,0.00661346,-4.89563,-4.07256,0.0661678,1.73946,0.111025,2.45239,0.0781219,0.574449,0.0735026
224,1132.67,2,0.117553,1.58713,2.22045e-16,0.746051,0.00661454,-4.89466,-4.07249,0.0661283,1.74003,0.111155,2.45395,0.078141,0.5744,0.0734786
225,1093.17,2,0.117575,1.5873,2.22045e-16,0.745952,0.00661431,-4.8976,-4.07265,0.0661174,1.74153,0.111105,2.45212,0.0781311,0.574869,0.0733783
226,1128.7,2,0.117643,1.58739,2.22045e-16,0.745788,0.00661269,-4.90039,-4.07291,0.0659782,1.74663,0.111103,2.45174,0.0782128,0.574588,0.0732489
227,1176.88,2,0.117776,1.58736,2.22045e-16,0.744941,0.00661257,-4.90196,-4.07289,0.0659067,1.75077,0.111229,2.45151,0.0781242,0.574987,0.0730282
228,1080.82,2,0.117784,1.58721,2.22045e-16,0.745214,0.0066113,-4.90268,-4.07282,0.0658045,1.75281,0.110963,2.45308,0.0781105,0.575881,0.0729551
229,1053.91,2,0.117767,1.58742,2.22045e-16,0.744997,0.00660985,-4.89644,-4.07283,0.065798,1.75291,0.11076,2.45016,0.0779978,0.577005,0.0728711
230,1083.42,2,0.11776,1.58729,2.22045e-16,0.744436,0.00660895,-4.89306,-4.0727,0.0659441,1.75221,0.110512,2.45045,0.0779586,0.577961,0.0727392
231,1062.24,2,0.117774,1.58703,2.22045e-16,0.744287,0.00660779,-4.89108,-4.07276,0.0657955,1.75125,0.110259,2.45155,0.077947,0.578452,0.0726649
232,1079.54,2,0.117785,1.58712,2.22045e-16,0.744291,0.00660701,-4.89248,-4.07266,0.0656579,1.75418,0.110182,2.4545,0.0779733,0.577673,0.0725913
233,1100.04,2,0.117796,1.58692,2.22045e-16,0.744539,0.00660586,-4.89375,-4.07273,0.0654969,1.75871,0.110323,2.45705,0.0780173,0.57683,0.0725261
234,1112.13,2,0.11782,1.5868,2.22045e-16,0.744374,0.00660603,-4.89244,-4.07268,0.0655341,1.75845,0.110305,2.45799,0.0780854,0.577073,0.0725176
235,1102.7,2,0.117831,1.58669,2.22045e-16,0.744963,0.0066059,-4.89101,-4.0726,0.0655365,1.7593,0.110387,2.4634,0.0779874,0.576778,0.0725306
236,1077.49,2,0.117848,1.58669,2.22045e-16,0.744875,0.00660507,-4.88731,-4.07245,0.0655298,1.76004,0.110348,2.46463,0.0779055,0.576272,0.0724944
237,1073.9,2,0.11785,1.58678,2.22045e-16,0.744629,0.00660274,-4.88365,-4.07238,0.0655806,1.75783,0.110412,2.46577,0.0778626,0.57558,0.0725541
238,1068.44,2,0.117807,1.58661,2.22045e-16,0.744486,0.00660181,-4.88223,-4.07249,0.0654841,1.75741,0.110442,2.46708,0.0779345,0.576578,0.0725958
239,1123.66,2,0.117805,1.58639,2.22045e-16,0.744102,0.006601,-4.88661,-4.07249,0.0654319,1.75917,0.110513,2.47361,0.0781146,0.576341,0.0725806
240,1099.81,2,0.117799,1.58606,2.22045e-16,0.744175,0.00659999,-4.88391,-4.07237,0.065535,1.75974,0.110349,2.47591,0.0781754,0.576582,0.0726354
241,1069.5,2,0.117778,1.58592,2.22045e-16,0.74419,0.00659993,-4.88101,-4.07227,0.0654954,1.75863,0.110274,2.47718,0.078232,0.57692,0.072723
242,1062.9,2,0.117743,1.58554,2.22045e-16,0.744471,0.0065993,-4.87998,-4.07211,0.065474,1.75935,0.110231,2.47667,0.0782328,0.577516,0.0727941
243,1079,2,0.117722,1.58569,2.22045e-16,0.744536,0.00659914,-4.87748,-4.07204,0.0654355,1.7567,0.110516,2.4744,0.0782918,0.577955,0.0728921
244,1111.86,2,0.11776,1.58547,2.22045e-16,0.744632,0.00659883,-4.87642,-4.07184,0.0653783,1.75414,0.110723,2.47088,0.078367,0.578537,0.0729158
245,1100.35,2,0.117784,1.58509,2.22045e-16,0.744183,0.00659933,-4.87604,-4.07163,0.0654054,1.75222,0.110853,2.47131,0.0783894,0.577911,0.0728837
246,1051.59,2,0.117772,1.58497,2.22045e-16,0.743705,0.00659941,-4.87144,-4.07144,0.0654181,1.74964,0.110881,2.46943,0.0783775,0.577594,0.072915
247,1078.96,2,0.117786,1.58495,2.22045e-16,0.743667,0.00659909,-4.86682,-4.07127,0.0653515,1.74963,0.110954,2.46624,0.078403,0.577436,0.0728661
248,1078.29,2,0.117796,1.5849,2.22045e-16,0.743486,0.00660296,-4.86887,-4.0711,0.0653356,1.74966,0.111104,2.46528,0.0783558,0.576551,0.0727642
249,1080.43,2,0.117794,1.58489,2.22045e-16,0.743669,0.00660326,-4.86786,-4.07102,0.0653313,1.75009,0.111052,2.46514,0.0783266,0.576972,0.0726761
250,1058.55,2,0.117786,1.58502,2.22045e-16,0.744115,0.0066042,-4.86532,-4.07098,0.0653043,1.75225,0.110937,2.46502,0.0782335,0.576713,0.0726433
251,1075.26,2,0.117784,1.58512,2.22045e-16,0.744446,0.00660448,-4.86522,-4.07091,0.0652169,1.75285,0.110859,2.46675,0.0781739,0.577398,0.0726712
252,1099.34,2,0.117794,1.58515,2.22045e-16,0.744361,0.00660654,-4.86615,-4.07084,0.0652888,1.75184,0.110871,2.46653,0.0782084,0.577351,0.0726854
253,1048.14,2,0.117756,1.58509,2.22045e-16,0.744552,0.00660762,-4.86665,-4.07076,0.0652873,1.75157,0.110856,2.46754,0.0781559,0.577417,0.0727142
254,1043.83,2,0.117744,1.58479,2.22045e-16,0.744574,0.00660937,-4.86622,-4.0706,0.065235,1.75143,0.110671,2.4669,0.0781716,0.577247,0.0727274
