rep,id_var,eta_initT_simulated,eta_aS_simulated,eta_dS_simulated,eta_lBt0_simulated,eta_lk_simulated,eta_lae_simulated,eta_lw_simulated,eta_dE_simulated,split,color,filter
2,41,2.96111,-0.0110229,-0.0196265,0,0.0116253,0,0,-0.166461,All,#4682B4,0
3,41,3.72931,0.00679605,-0.0171496,0,-0.00845185,0,0,-0.376231,All,#4682B4,0
4,41,4.42802,0.00748516,-0.0662598,0,0.0140202,0,0,-0.519451,All,#4682B4,0
5,41,2.08411,0.00709051,0.00101107,0,-0.00259678,0,0,-0.186731,All,#4682B4,0
6,41,2.61423,-0.0157452,0.00259509,0,0.0111133,0,0,-0.67306,All,#4682B4,0
7,41,1.17363,-0.00689014,-0.0352335,0,-0.00362896,0,0,-0.00122084,All,#4682B4,0
8,41,2.20354,0.0056952,0.030651,0,0.00771179,0,0,0.14348,All,#4682B4,0
9,41,3.25333,0.000583212,-0.00285137,0,0.0147623,0,0,0.1648,All,#4682B4,0
10,41,2.63664,0.0029933,0.00857214,0,0.00263686,0,0,0.554952,All,#4682B4,0
1,42,3.03015,0.0135692,-0.00996307,0,0.0108614,0,0,0.22338,All,#4682B4,0
2,42,1.85219,0.00392337,-0.0161778,0,0.00131081,0,0,0.308378,All,#4682B4,0
3,42,0.990366,0.0253635,0.0118015,0,-0.000618118,0,0,-0.446183,All,#4682B4,0
4,42,2.48517,0.00594582,0.0473002,0,0.00482044,0,0,-0.361511,All,#4682B4,0
5,42,1.59835,-0.0153838,0.0020419,0,0.0116069,0,0,-0.228877,All,#4682B4,0
6,42,1.39453,0.0204938,0.00988994,0,0.000345678,0,0,-0.112456,All,#4682B4,0
7,42,2.66639,0.0223373,-0.00813449,0,0.00541067,0,0,0.395071,All,#4682B4,0
8,42,3.03178,-0.00200935,-0.0133364,0,0.0028801,0,0,-1.02947,All,#4682B4,0
9,42,1.65887,0.0102999,0.0168644,0,0.0117397,0,0,-0.458949,All,#4682B4,0
10,42,3.47263,0.0230753,0.050336,0,0.00142292,0,0,-0.42018,All,#4682B4,0
1,43,3.32256,0.0219166,0.00632661,0,0.00431091,0,0,-0.718035,All,#4682B4,0
2,43,-0.5378,0.00801027,0.0651526,0,0.000238625,0,0,-0.0579194,All,#4682B4,0
3,43,1.63897,-0.0020776,-0.012043,0,-0.00503515,0,0,0.230935,All,#4682B4,0
4,43,3.08199,0.00746159,0.0172662,0,0.00481261,0,0,0.403722,All,#4682B4,0
5,43,4.92254,0.00799089,-0.0206272,0,0.00716459,0,0,-0.618227,All,#4682B4,0
6,43,1.48995,0.0194466,-0.000797539,0,-0.00502034,0,0,0.0388219,All,#4682B4,0
7,43,5.21564,0.014856,-0.0430088,0,0.00270477,0,0,0.359284,All,#4682B4,0
8,43,1.79892,-0.0153755,0.00163945,0,0.00863589,0,0,0.802174,All,#4682B4,0
9,43,-0.665681,-0.0433407,0.0292562,0,-0.0153193,0,0,0.909657,All,#4682B4,0
10,43,1.8296,0.000880762,-0.00381868,0,-0.00676004,0,0,0.482181,All,#4682B4,0
1,44,-6.53675,0.0111193,0.0186755,0,0.00204444,0,0,-0.227814,All,#4682B4,0
2,44,-7.58301,-0.00744864,-0.0499754,0,0.0118001,0,0,-1.01684,All,#4682B4,0
3,44,-2.14806,0.00993245,0.0149314,0,0.0069731,0,0,-0.0459375,All,#4682B4,0
4,44,-4.10082,-0.0216637,-0.00327231,0,-0.0135781,0,0,-0.105117,All,#4682B4,0
5,44,-1.73737,0.0108966,0.0134898,0,0.00422751,0,0,0.0863062,All,#4682B4,0
6,44,-2.96135,0.00149288,0.00850288,0,0.0137016,0,0,0.262543,All,#4682B4,0
7,44,-1.43396,-0.0164139,-0.0258896,0,0.0120644,0,0,-0.10299,All,#4682B4,0
8,44,-1.71364,0.0188356,0.0363431,0,0.00363284,0,0,-0.537342,All,#4682B4,0
9,44,1.00488,0.0215823,-0.0424956,0,-0.00166416,0,0,0.240997,All,#4682B4,0
10,44,-3.11615,-0.00852445,-0.0415486,0,-0.00616179,0,0,0.910482,All,#4682B4,0
1,45,3.6688,-0.0164604,-0.000635648,0,-0.00274399,0,0,0.400354,All,#4682B4,0
2,45,4.46467,0.00952061,0.00236314,0,-0.00702735,0,0,0.364254,All,#4682B4,0
3,45,4.1152,-0.0196221,-0.0238655,0,-0.0135277,0,0,-0.0666674,All,#4682B4,0
4,45,1.85392,0.00794491,0.0502747,0,-0.0104508,0,0,-0.589861,All,#4682B4,0
5,45,3.85198,-0.0145304,-0.00260869,0,0.00113541,0,0,-0.130002,All,#4682B4,0
6,45,2.96037,-0.013991,0.00395632,0,-0.00198041,0,0,0.0695912,All,#4682B4,0
7,45,3.1864,-0.0109619,0.0110573,0,0.00837498,0,0,0.544017,All,#4682B4,0
8,45,3.13487,-0.00485329,0.0105244,0,0.00166514,0,0,0.0432982,All,#4682B4,0
9,45,3.12733,-0.000603444,0.0219363,0,-0.000893867,0,0,0.321379,All,#4682B4,0
10,45,4.27129,-0.00385615,-0.00255945,0,-0.00103687,0,0,-0.109236,All,#4682B4,0
1,46,2.27759,0.030484,-0.0593044,0,0.0162882,0,0,0.679425,All,#4682B4,0
2,46,-6.00209,-0.00296596,0.0418979,0,-0.0100612,0,0,-0.661251,All,#4682B4,0
3,46,-2.90855,-0.00184674,0.0118628,0,0.00471244,0,0,0.699436,All,#4682B4,0
4,46,-0.812842,0.0171569,0.00712688,0,0.00563055,0,0,0.226837,All,#4682B4,0
5,46,-2.71297,-0.0367848,0.00455823,0,0.011775,0,0,0.388856,All,#4682B4,0
6,46,-1.97441,-0.0165621,-0.0264853,0,-0.00825097,0,0,-0.238143,All,#4682B4,0
7,46,-0.166745,-0.0129631,-0.000541345,0,-0.000934799,0,0,0.479687,All,#4682B4,0
8,46,0.0855961,-0.00325519,-0.0363561,0,0.0033938,0,0,-0.619432,All,#4682B4,0
9,46,1.18195,-0.00448072,0.000283593,0,0.0272428,0,0,-0.273731,All,#4682B4,0
10,46,-2.65549,-0.0160771,0.00926812,0,-0.00251311,0,0,-0.918384,All,#4682B4,0
1,47,0.220022,0.00849525,0.0333148,0,-0.0126509,0,0,-0.0586311,All,#4682B4,0
2,47,2.53538,-0.0119176,0.00123338,0,-0.00471272,0,0,0.00648648,All,#4682B4,0
3,47,3.79768,0.0114281,-0.0111438,0,0.00803409,0,0,0.224726,All,#4682B4,0
4,47,1.36228,-0.0105393,0.03942,0,0.0194723,0,0,0.721339,All,#4682B4,0
5,47,3.03358,-0.00604617,0.0318096,0,0.00579541,0,0,-0.348155,All,#4682B4,0
6,47,3.03474,-0.00121327,0.0148995,0,0.0102424,0,0,-0.266516,All,#4682B4,0
7,47,0.479209,-0.0216932,0.0266441,0,-0.00896716,0,0,-0.259942,All,#4682B4,0
8,47,2.72106,-0.00833347,-0.0161543,0,0.00766151,0,0,0.383093,All,#4682B4,0
9,47,2.53057,-0.00730253,-0.0112628,0,-0.00941471,0,0,-0.185752,All,#4682B4,0
10,47,4.50033,-0.0252148,-0.0554886,0,-0.00620648,0,0,0.151354,All,#4682B4,0
1,48,1.69251,-0.0115036,0.0288221,0,0.00915422,0,0,-0.594751,All,#4682B4,0
2,48,1.17622,-0.00911572,0.0384908,0,-0.0115323,0,0,-0.431981,All,#4682B4,0
3,48,2.20912,-0.00879285,-0.0119875,0,-0.00732635,0,0,0.0506414,All,#4682B4,0
4,48,4.0628,-0.00892189,0.0176016,0,0.00722706,0,0,0.343244,All,#4682B4,0
5,48,1.84073,0.0256864,0.054882,0,0.00848656,0,0,0.671588,All,#4682B4,0
6,48,-1.50923,-0.0146348,0.0339776,0,-0.00387569,0,0,0.101015,All,#4682B4,0
7,48,2.50296,-0.0125999,0.0276986,0,-0.00509469,0,0,-0.859977,All,#4682B4,0
8,48,3.03261,-0.021556,0.0168037,0,0.00746858,0,0,-0.366999,All,#4682B4,0
9,48,0.966801,0.00422206,0.0581891,0,-0.00423995,0,0,0.236419,All,#4682B4,0
10,48,1.17768,0.0342992,0.0324797,0,-0.0141342,0,0,0.546286,All,#4682B4,0
1,49,9.0533,0.00184985,-0.0284952,0,-0.00435391,0,0,0.0710492,All,#4682B4,0
2,49,9.56553,0.0108681,-0.0430586,0,0.00715016,0,0,0.255988,All,#4682B4,0
3,49,6.5688,0.000662978,0.0315081,0,-0.00935584,0,0,0.175311,All,#4682B4,0
4,49,8.54999,0.00447301,-0.00977329,0,0.00482212,0,0,-0.236185,All,#4682B4,0
5,49,8.10914,-0.00735973,0.00964219,0,-0.00207877,0,0,0.20948,All,#4682B4,0
6,49,8.08234,0.0277562,0.0657702,0,0.000617696,0,0,0.0190281,All,#4682B4,0
7,49,8.59935,0.0133211,-0.0267422,0,0.0069854,0,0,-0.847661,All,#4682B4,0
8,49,7.29667,0.0246754,0.0050737,0,-0.0184332,0,0,-0.488176,All,#4682B4,0
9,49,7.26424,-0.02458,0.0218807,0,0.00938468,0,0,-0.0775885,All,#4682B4,0
10,49,6.30495,-0.0141108,0.0530927,0,0.00989597,0,0,-0.440648,All,#4682B4,0
1,50,5.62858,0.0167905,-0.0559488,0,0.00417573,0,0,-0.363852,All,#4682B4,0
2,50,4.22673,-0.00959793,-0.0180329,0,-0.00526898,0,0,-0.143005,All,#4682B4,0
3,50,4.05394,-0.00109723,-0.0132641,0,0.00821854,0,0,0.870345,All,#4682B4,0
4,50,4.56666,-0.00746822,-0.0456841,0,0.0105369,0,0,0.497288,All,#4682B4,0
5,50,4.69498,0.00221582,-0.0497456,0,-0.00304241,0,0,0.135047,All,#4682B4,0
6,50,3.66776,0.00577787,-0.0111863,0,-0.00488543,0,0,-0.270656,All,#4682B4,0
7,50,3.84155,-0.0180043,0.00996541,0,0.0120967,0,0,0.466316,All,#4682B4,0
8,50,4.84334,0.0139886,-0.0734394,0,-0.011324,0,0,-0.0184181,All,#4682B4,0
9,50,4.54271,0.0124272,0.0174753,0,0.0112355,0,0,0.260742,All,#4682B4,0
10,50,3.06427,-0.0122535,-0.0190837,0,-0.0106627,0,0,-0.0669927,All,#4682B4,0
1,51,0.00605494,-0.00360885,0.0423135,0,-0.00746977,0,0,-0.359105,All,#4682B4,0
2,51,0.7259,-0.0057797,0.00474739,0,-0.00693228,0,0,-0.346902,All,#4682B4,0
3,51,1.50018,0.000356021,-0.00337495,0,0.0022267,0,0,-0.0655085,All,#4682B4,0
4,51,1.13707,-0.0083135,0.0223692,0,-0.00416715,0,0,0.326632,All,#4682B4,0
5,51,1.03936,0.0255952,0.00868995,0,0.0111059,0,0,-0.494755,All,#4682B4,0
6,51,2.23595,0.0188072,-0.0240047,0,0.000147358,0,0,-0.478539,All,#4682B4,0
7,51,-0.974662,-0.0235565,0.0385434,0,-0.000602488,0,0,0.44296,All,#4682B4,0
8,51,0.356334,-0.000634975,-0.0159507,0,0.000746114,0,0,0.199887,All,#4682B4,0
9,51,1.1165,-0.0138388,-0.0100936,0,0.00278806,0,0,0.566245,All,#4682B4,0
10,51,-0.923076,-0.0014833,0.00950704,0,0.000693466,0,0,-0.497879,All,#4682B4,0
1,1,-0.65504,0.00665758,0.02997,0,0.00158484,0,0,-0.858961,All,#4682B4,0
2,1,-0.920558,-0.00297172,0.0316206,0,-0.0126972,0,0,-1.05694,All,#4682B4,0
3,1,0.815995,0.00231481,0.0360878,0,0.00715245,0,0,-1.09802,All,#4682B4,0
4,1,2.14811,-0.00330662,-0.0331788,0,0.00503291,0,0,-1.16681,All,#4682B4,0
5,1,-1.57379,-0.0250659,0.0295816,0,0.0023083,0,0,-1.19423,All,#4682B4,0
6,1,-0.536652,-0.0228226,0.0145789,0,-0.00372611,0,0,-0.752561,All,#4682B4,0
7,1,2.33544,-0.00748487,-0.0261652,0,0.00600783,0,0,-0.444656,All,#4682B4,0
8,1,-1.28736,-0.014725,-0.0160241,0,-0.0102904,0,0,-0.351978,All,#4682B4,0
9,1,1.40901,0.00700473,-0.0219637,0,-0.000174886,0,0,0.0465215,All,#4682B4,0
10,1,-1.55042,-0.0212644,0.0108434,0,-0.0180658,0,0,-0.334736,All,#4682B4,0
1,2,2.81198,-0.0222047,-0.0141715,0,0.0113047,0,0,0.425001,All,#4682B4,0
2,2,0.665946,-0.00450218,0.0408003,0,0.0057071,0,0,-0.371965,All,#4682B4,0
3,2,0.61713,0.00151363,0.0144004,0,-0.00860932,0,0,-0.534922,All,#4682B4,0
4,2,2.72127,-0.00911472,-0.0189682,0,0.00178832,0,0,-0.0573447,All,#4682B4,0
5,2,3.74236,0.00321817,-0.0209536,0,0.00317474,0,0,-0.00539529,All,#4682B4,0
