rep,id,initT,aS,dS,tau,Bt0,p,g,dI,n,V0,doseTCID50
8,N321,0,4.64373507062749,1.28476858435225e-5,1,0.000357351346258904,1.76383952701088,23,0.08,0.0153486185752289,2.7255876118138e-5,300
9,N321,0,13.845861457013,1.26651505732657e-5,1,0.0002582340776694,1.83681457947027,23,0.08,0.0200371261413447,2.14048669244071e-5,300
10,N321,0,9.04703873997545,7.14889815467162e-6,1,0.000276789202899045,1.89972138104754,23,0.08,0.0464181078231238,5.6042240246953e-5,300
1,I624,0,9.28371432882197,1.89408836178001e-5,1,0.000352937735638771,1.82125998044887,23,0.08,0.125900980733289,1.47633528519869e-5,300
2,I624,0,5.44051042397225,1.20296983816111e-5,1,0.000326105654282912,1.68824421830902,23,0.08,0.171717974652494,1.51879095671179e-5,300
3,I624,0,4.79647028780742,1.67789060364567e-5,1,0.000319727294876252,1.86879794624358,23,0.08,0.128989534337811,2.30820489732206e-5,300
4,I624,0,15.2378223634799,1.50088611045542e-5,1,0.000345654066930765,1.82798093681877,23,0.08,0.156371244213029,1.88639597340796e-5,300
5,I624,0,5.72267689168348,1.40038433100023e-5,1,0.000358986994741423,1.76262668906609,23,0.08,0.204347066942825,4.21796376521436e-5,300
6,I624,0,5.70217542455332,5.9593225546905e-6,1,0.000286341558843557,1.8136892974925,23,0.08,0.226203545972908,2.457612578377e-5,300
7,I624,0,5.12112105192091,1.06121975911559e-5,1,0.000284560656866113,1.82420329633184,23,0.08,0.179207530759086,1.43879517931648e-5,300
8,I624,0,3.24474702453945,1.08161749422544e-5,1,0.000351437605532399,1.87750957329204,23,0.08,0.116839753793818,2.85033431386094e-5,300
9,I624,0,2.86535516496646,8.73919655511999e-6,1,0.000367781079005622,1.77413786231448,23,0.08,0.138161095719088,3.15010076112934e-5,300
10,I624,0,5.2228260240539,2.5063206226187e-5,1,0.000403655504800448,1.77033559201241,23,0.08,0.146730486020868,1.54660474908506e-5,300
1,M290,0,0.963302042746565,1.14868339499216e-5,1,0.000311970030014717,1.79533462071027,23,0.08,0.0440981356026385,6.81164170190411e-5,100
2,M290,0,1.36911895549705,1.77859518332553e-5,1,0.000249866136450041,1.82646773609409,23,0.08,0.0650806407601848,4.92657588636321e-5,100
3,M290,0,1.35551221390257,1.46845222629721e-5,1,0.000364351164555329,1.82254041276807,23,0.08,0.076978805494704,3.43252007597251e-5,100
4,M290,0,0.729456138084531,1.64074997585663e-5,1,0.000398553144983764,1.87237764299258,23,0.08,0.0288352831679292,9.15390517935574e-5,100
5,M290,0,2.69327595411238,2.31764229935527e-5,1,0.000289006322963726,1.77916246872151,23,0.08,0.0442045738655562,7.66804388830305e-5,100
6,M290,0,0.418568163000837,6.68255156233503e-6,1,0.000311193646498698,1.83509424752429,23,0.08,0.0129948725076003,2.91052768505981e-5,100
7,M290,0,1.36864909221786,1.0117858998262e-5,1,0.000169227230443659,1.76160594756171,23,0.08,0.0121720000253151,4.09574275307949e-5,100
8,M290,0,2.81544123323299,2.81347476685659e-5,1,0.000247953257649336,1.74001006762571,23,0.08,0.098504079792497,7.18425562362454e-5,100
9,M290,0,1.04569653686052,1.41744392331967e-5,1,0.000245487582354862,1.78050746405806,23,0.08,0.03036442414056,9.77606583381705e-5,100
10,M290,0,2.22575642735016,1.95480140731743e-5,1,0.00025260872981991,1.77449376480614,23,0.08,0.0220353371690224,5.62192833145118e-5,100
1,L492,0,33.572030000744,1.29725962429937e-5,1,0.000469623202914461,1.82419626414387,23,0.08,0.235559338399257,5.68834049904197e-5,100
2,L492,0,28.372835430898,1.05473834036289e-5,1,0.000367493263538331,1.79223233070822,23,0.08,0.156929861376395,3.91884179085452e-5,100
3,L492,0,16.2310745661872,1.4328816361561e-5,1,0.000537776179334477,1.85548296490696,23,0.08,0.174692088099642,3.31345528471602e-5,100
4,L492,0,79.5780524325543,1.45479290131013e-5,1,0.000235921231987577,1.83367526353037,23,0.08,0.226589692047067,5.06001537680759e-5,100
5,L492,0,134.646474210118,1.78651874422108e-5,1,0.000310994343236676,1.737457953181,23,0.08,0.196922084407812,5.80983150025834e-5,100
6,L492,0,60.7784678552218,2.27057636538637e-5,1,0.000249367348091982,1.94486164282443,23,0.08,0.133680789875121,0.000126263117146433,100
7,L492,0,72.798584202466,1.52712313410277e-5,1,0.000360234453163795,1.85188646707773,23,0.08,0.192200155500538,6.1537864019762e-5,100
8,L492,0,34.4808506649538,1.7468060187818e-5,1,0.000310907419867419,1.8018122703361,23,0.08,0.190168462259041,0.000136793397593348,100
9,L492,0,55.8266063211543,2.65092687449204e-5,1,0.000263792200305165,1.76233186179379,23,0.08,0.134010149667922,4.09355085878064e-5,100
10,L492,0,39.0257446875219,4.18978988129908e-5,1,0.000437056945325137,1.80829945200978,23,0.08,0.0829157315560719,5.82518238037035e-5,100
1,H658,0,42.9109651303344,8.83734012064607e-6,1,0.00035325644124051,1.80241449331458,23,0.08,0.149272690066805,6.4363691669857e-5,100
2,H658,0,190.232710091782,1.00708240082549e-5,1,0.000368147557215064,1.86158053055526,23,0.08,0.155897447992155,6.38344398681062e-5,100
3,H658,0,137.380908743943,8.03363807469384e-6,1,0.00029333485410059,1.82542506445087,23,0.08,0.146664996165279,4.03671219128729e-5,100
4,H658,0,148.549939415629,9.31195689458047e-6,1,0.000399260879997084,1.79557265294014,23,0.08,0.110130093540688,4.08379088866626e-5,100
5,H658,0,83.9851760479278,6.62541059355978e-6,1,0.000308247331990286,1.78486872396113,23,0.08,0.150456747195061,4.29888036346416e-5,100
6,H658,0,244.361388860296,1.74705210734208e-5,1,0.000269118334890608,1.85190137692189,23,0.08,0.187324785061359,5.30090594142908e-5,100
7,H658,0,159.937855667411,1.8261571558699e-5,1,0.0002200518566751,1.88681548541628,23,0.08,0.13851294213168,4.30968312070189e-5,100
8,H658,0,142.898778327266,1.78349289056107e-5,1,0.000305368624688686,1.8234199140492,23,0.08,0.11512128391442,3.49945394851979e-5,100
9,H658,0,106.252107071368,1.24244301954707e-5,1,0.000390297763530103,1.7669433825593,23,0.08,0.111954057269134,0.000104786685297412,100
10,H658,0,69.9021943712291,1.36880085852663e-5,1,0.000175698372321992,1.82335684618622,23,0.08,0.0905412684088122,2.91270548589285e-5,100
