rep,id,eta_initT,eta_aS,eta_dS,eta_tau,eta_Bt0,eta_p,eta_g,eta_dI,eta_n,eta_V0,doseTCID50
5,N321,0,0.46781891387228,-0.45559464102559,0,0.267404922317637,-0.0275499550263718,0,0,-1.70921953905082,0.0853100735703843,300
6,N321,0,-0.0875477406316215,-0.359312333749076,0,0.154852287273014,-0.000490191562067852,0,0,-1.38987380527447,-0.324184495942895,300
7,N321,0,1.01255871072596,0.293609315509957,0,-0.163771723787921,-0.0289565859316982,0,0,-1.97204934539166,0.424153885511505,300
8,N321,0,-0.533377361581646,0.0080037147743971,0,0.102005523090233,-0.028274685379416,0,0,-1.61784815998793,0.258235231562292,300
9,N321,0,0.559090000090687,-0.00630581804005476,0,-0.222847486526261,0.0122651967973483,0,0,-1.35128677505974,0.0165844188810859,300
10,N321,0,0.13354111699267,-0.578201749761527,0,-0.153457721793418,0.045939566121916,0,0,-0.511183996960933,0.979071792862058,300
1,I624,0,0.159365341548196,0.396162749846185,0,0.0895777171744405,0.00376089076801363,0,0,0.486622095927611,-0.35488595229388,300
2,I624,0,-0.37502349171915,-0.0577815328634355,0,0.0105074838437868,-0.0720786029418556,0,0,0.796979813938056,-0.326534215544025,300
3,I624,0,-0.501016085421817,0.274962514073309,0,-0.00924550895831916,0.0295277469368488,0,0,0.510857637034023,0.0920213110386491,300
4,I624,0,0.654884274391867,0.163480776637022,0,0.0687245304507463,0.00744437679783275,0,0,0.703359315804042,-0.109780694408458,300
5,I624,0,-0.324459692145509,0.0941718237335362,0,0.106572223576544,-0.0289625343014232,0,0,0.970946221929213,0.694903680836875,300
6,I624,0,-0.328048620661744,-0.760203181053953,0,-0.119528577961143,-0.000404611044707419,0,0,1.07256160495971,0.154741571443437,300
7,I624,0,-0.435523005584039,-0.183155934651988,0,-0.125767501913838,0.00537567401999707,0,0,0.839670889110844,-0.380642728324629,300
8,I624,0,-0.891858987543843,-0.164117296785803,0,0.0853182484316604,0.0341785358566656,0,0,0.411929735437085,0.302987479840806,300
9,I624,0,-1.01620406680858,-0.377341732240371,0,0.130773929234289,-0.0224530741843506,0,0,0.579546729732994,0.402985629316675,300
10,I624,0,-0.415857736803994,0.676240892920324,0,0.223847865397903,-0.0245985391226911,0,0,0.639723840689962,-0.308386766819813,300
1,M290,0,-2.10628464477078,-0.103958484769869,0,-0.0776250281731005,-0.0105762449541145,0,0,-0.562456129897285,0.282940217890901,100
2,M290,0,-1.75472894133515,0.333248932496469,0,-0.299606833467997,0.00661623501962829,0,0,-0.173246506838701,-0.0410487450809962,100
3,M290,0,-1.76471697558024,0.141634041457182,0,0.0775859866420787,0.00446369126953646,0,0,-0.00534350422323726,-0.402398238016763,100
4,M290,0,-2.38435241494635,0.252578542300466,0,0.167308698183703,0.0314414223343606,0,0,-0.987273887567695,0.578487638344223,100
5,M290,0,-1.07813809664975,0.597975521311499,0,-0.154083587083299,-0.0196249373605732,0,0,-0.560045370021212,0.401368603282991,100
6,M290,0,-2.93981190388277,-0.645660105324567,0,-0.0801167777630769,0.0113281734926281,0,0,-1.784318777708,-0.567358545633607,100
7,M290,0,-1.75507218683704,-0.230857910309947,0,-0.689289783072122,-0.0295418045359202,0,0,-1.84973540075774,-0.225744864108917,100
8,M290,0,-1.03377738321321,0.791845393899102,0,-0.307291902543113,-0.0418767685421419,0,0,0.241224331661215,0.336198967270053,100
9,M290,0,-2.02421317029523,0.106280298212538,0,-0.31728578880756,-0.0188692519032363,0,0,-0.935601970281489,0.644244191185094,100
10,M290,0,-1.26879955093073,0.427713708986329,0,-0.288690384547275,-0.0222524884204596,0,0,-1.25622623517404,0.0909817790789792,100
1,L492,0,1.44479690372264,0.0176791608830577,0,0.331398523523776,0.00537181907600901,0,0,1.11308921457077,0.102725607960116,100
2,L492,0,1.27653581239662,-0.18928217980344,0,0.0861728342533267,-0.0123057127618615,0,0,0.706925327831247,-0.269896796821576,100
3,L492,0,0.718031211850833,0.117112649443233,0,0.466910296334504,0.0223773528688004,0,0,0.814151292745599,-0.437701407874529,100
4,L492,0,2.30784195550108,0.132288657267029,0,-0.3570341671737,0.0105546258165451,0,0,1.07426722304473,-0.0143234232603476,100
5,L492,0,2.83375625794454,0.33769399321716,0,-0.0807574306593958,-0.0433445691876934,0,0,0.933934505010549,0.123858623316668,100
6,L492,0,2.03833920300765,0.577458807364938,0,-0.30160505089319,0.0694231720019411,0,0,0.546581158098226,0.900089922504056,100
7,L492,0,2.21880013112369,0.180810763548346,0,0.0662229245378859,0.0204371637274645,0,0,0.909663670719491,0.181374622036445,100
8,L492,0,1.47150774062701,0.315214090871364,0,-0.0810369711752133,-0.00697469248827289,0,0,0.899036687920744,0.980193702373289,100
9,L492,0,1.95335419541652,0.732334445447846,0,-0.245370480575131,-0.0291298141537898,0,0,0.549041906000714,-0.226280171415037,100
10,L492,0,1.59532517241751,1.19007568765891,0,0.259531342550913,-0.00338079337653283,0,0,0.0689511747190389,0.126497363446554,100
1,H658,0,1.69023101459669,-0.366174050307385,0,0.0466621019012794,-0.00664051652012276,0,0,0.656901133093772,0.226271641728483,100
2,H658,0,3.17935173655238,-0.235517458938407,0,0.0879516747711585,0.0256582067607296,0,0,0.700324771539578,0.218014816106813,100
3,H658,0,2.85386104746214,-0.461522504632244,0,-0.139217350499079,0.00604520419890125,0,0,0.639277413524902,-0.240262398841054,100
4,H658,0,2.93202481794878,-0.313860728390486,0,0.169082884088704,-0.0104436699739907,0,0,0.352788700670348,-0.228667249037647,100
5,H658,0,2.36174393152824,-0.654247644012227,0,-0.0896296670603776,-0.0164227992158881,0,0,0.664802013958353,-0.177338337245017,100
6,H658,0,3.42975185530856,0.315354960106344,0,-0.225380964195808,0.0204452148604045,0,0,0.883970293967141,0.0321847928460337,100
7,H658,0,3.00588896158601,0.359638946759122,0,-0.426668922987455,0.0391228118884618,0,0,0.582090131383518,-0.174828565916009,100
8,H658,0,2.89324015963338,0.335998842223755,0,-0.099012501355252,0.00494614374808674,0,0,0.397112580480153,-0.383086003834715,100
9,H658,0,2.59691826274632,-0.0254952789387797,0,0.146377790316135,-0.0265165164817795,0,0,0.369214949312445,0.713648676682818,100
10,H658,0,2.17820066563307,0.0713601734504207,0,-0.651763422534816,0.00491155547075168,0,0,0.156932116412436,-0.566610575950568,100
