initT_pop,0.72748,0.11005,-4.7238e-5,-1.0699e-7,-628.21,-0.000182,-0.023323,0.01251,0.0077431,0.003219,-0.037325,-0.0031543,-0.00016144
aS_pop,0.11005,0.8844,-0.00025842,-7.4333e-7,-4124.5,-0.005135,0.0020251,0.05353,0.062009,0.042454,-0.23166,-0.026148,-0.0031993
dS_pop,-4.7238e-5,-0.00025842,3.6536e-7,3.7995e-10,1.9883,2.0091e-6,3.1926e-6,-2.9901e-5,-4.0599e-5,-2.9954e-5,0.00011159,1.3718e-5,1.5865e-6
Bt0_pop,-1.0699e-7,-7.4333e-7,3.7995e-10,4.1842e-12,0.0044064,6.6791e-9,-1.3407e-8,-6.2974e-8,-8.466e-8,-4.8296e-8,2.6847e-7,3.6608e-8,4.3468e-9
p_pop,-628.21,-4124.5,1.9883,0.0044064,3.0246e+7,28.657,45.282,-510.9,-511.83,-325.41,1616.4,162.13,19.882
n_pop,-0.000182,-0.005135,2.0091e-6,6.6791e-9,28.657,0.00014741,-5.7742e-5,-0.00041302,-0.00054562,-0.00039897,0.001652,0.00023864,3.3093e-5
omega_initT,-0.023323,0.0020251,3.1926e-6,-1.3407e-8,45.282,-5.7742e-5,0.40394,-0.0040285,-0.0032696,-0.0055928,0.0024162,0.00095193,1.1948e-5
omega_aS,0.01251,0.05353,-2.9901e-5,-6.2974e-8,-510.9,-0.00041302,-0.0040285,0.066061,0.012716,0.009362,-0.035694,-0.0025503,-0.00039156
omega_dS,0.0077431,0.062009,-4.0599e-5,-8.466e-8,-511.83,-0.00054562,-0.0032696,0.012716,0.039348,0.0090767,-0.028458,-0.0033544,-0.00043234
omega_Bt0,0.003219,0.042454,-2.9954e-5,-4.8296e-8,-325.41,-0.00039897,-0.0055928,0.009362,0.0090767,0.040432,-0.017802,-0.0027204,-0.00048244
omega_p,-0.037325,-0.23166,0.00011159,2.6847e-7,1616.4,0.001652,0.0024162,-0.035694,-0.028458,-0.017802,0.13812,0.009644,0.001161
omega_n,-0.0031543,-0.026148,1.3718e-5,3.6608e-8,162.13,0.00023864,0.00095193,-0.0025503,-0.0033544,-0.0027204,0.009644,0.0043664,0.00020246
a,-0.00016144,-0.0031993,1.5865e-6,4.3468e-9,19.882,3.3093e-5,1.1948e-5,-0.00039156,-0.00043234,-0.00048244,0.001161,0.00020246,0.00037814
