iteration,convergenceIndicator,phase,a,aS_pop,b,dE_pop,dS_pop,initT_pop,lBt0_pop,lae_pop,lk_pop,lw_pop,omega_aS,omega_dE,omega_dS,omega_initT,omega_lBt0,omega_lae,omega_lk,omega_lw
30,998.042,1,0.55063,15.9059,2.22045e-16,0.183407,0.0093706,-8.67158,-4.91666,-2.01458,-4.36122,3.02901,0.038841,1.32966,0.0943975,1.09474,0.0129764,1.39994,0.506853,0.922975
31,986.037,1,0.540261,15.8698,2.22045e-16,0.21865,0.00939528,-8.59144,-4.91592,-2.0273,-4.35234,3.04231,0.0400223,1.56711,0.0920073,1.08996,0.0126478,1.4385,0.500647,0.91834
32,946.998,1,0.532284,15.8436,2.22045e-16,0.204954,0.00942956,-8.89581,-4.91638,-1.89502,-4.19541,2.95602,0.0397124,1.52743,0.0896777,1.06236,0.0123276,1.40207,0.48797,1.03255
33,941.839,1,0.533218,15.8212,2.22045e-16,0.197127,0.00946014,-8.88221,-4.91726,-1.68243,-4.26075,2.97958,0.0387068,1.5133,0.087407,1.03546,0.0143729,1.36657,0.49045,1.0064
34,947.07,1,0.524581,15.7271,0.0014786,0.167515,0.00939353,-8.81977,-4.91773,-1.75606,-4.28734,2.93962,0.0377268,1.47499,0.0851938,1.05634,0.0153326,1.33197,0.500127,0.98092
35,952.842,1,0.513781,15.7301,2.22045e-16,0.187244,0.00932041,-8.88633,-4.91698,-1.40621,-4.25849,2.84638,0.0423082,1.52004,0.0830366,1.1179,0.0149979,1.37845,0.497183,0.956083
36,918.748,1,0.497622,15.7331,0.00163085,0.211511,0.00926899,-8.67721,-4.91897,-1.62624,-4.22257,2.78719,0.041237,1.5644,0.0809341,1.08959,0.0167008,1.50877,0.484594,0.931874
37,890.114,1,0.497765,15.7419,0.00236804,0.210003,0.00929254,-8.59168,-4.91578,-1.38058,-4.2001,2.74803,0.0401928,1.57871,0.0788848,1.062,0.016278,1.49879,0.472324,0.908279
38,862.187,1,0.479985,15.7024,0.00168998,0.212774,0.00924444,-8.5505,-4.91311,-1.48147,-4.17878,2.76602,0.0391751,1.63905,0.0816388,1.04068,0.0158658,1.46084,0.460364,0.885281
39,889.532,1,0.491435,15.6835,0.00133963,0.233559,0.00930317,-8.64534,-4.91385,-1.74234,-4.07296,2.67552,0.04113,1.85426,0.084853,1.01432,0.0154641,1.42385,0.448707,0.862865
40,887.873,1,0.491679,15.8675,0.00259605,0.225173,0.00930104,-8.63809,-4.91434,-1.83162,-4.1234,2.77584,0.0400886,1.80731,0.0827045,1.04968,0.0155618,1.55915,0.437346,0.841017
41,910.279,1,0.511992,15.7786,2.22045e-16,0.236089,0.00931797,-8.59873,-4.91409,-2.05415,-4.1192,2.74392,0.0390735,1.83193,0.0806103,1.0231,0.0157132,1.66743,0.426272,0.847514
42,969.123,1,0.459682,15.7693,0.0118731,0.232546,0.00932379,-8.49334,-4.91137,-2.04142,-4.04953,2.73088,0.0423811,1.78554,0.0854966,0.997199,0.0191322,1.62521,0.415479,0.8724
