parameter,value,se_lin,rse_lin
initT_pop,8.67897482723113,1.14323401956898,13.1724546081407
aS_pop,0.659585776146067,0.116363990490818,17.6419799666888
dS_pop,0.000471653794643326,0.000129371258226452,27.4292838721429
tau_pop,1,,
lBt0_pop,-4.47853987018311,0.110180862324282,2.46019607992856
lp_pop,3,,
dI_pop,0.755590446624314,0.0941890607535926,12.4656235629226
n_pop,0.11668168628025,0.0115641481947247,9.91085110558784
V0_pop,1,,
omega_initT,0.830530146443632,0.0932021001758477,11.2220008599258
omega_aS,0.00704791536907931,1.68766979539297,23945.6592058005
omega_dS,1.58569240666598,0.197086498862038,12.4290497976481
omega_lBt0,0.651815281949209,0.0784736211498026,12.039242301152
omega_dI,0.412534437799785,0.069798577879154,16.9194548342239
omega_n,0.410830546942936,0.0623157875881081,15.1682458989019
corr_lBt0_dS,0.998507129219983,0.00434600550866771,0.435250323356503
a,0.346298379355805,0.0115316837180597,3.32998489323319
