initT_abscissa,initT_pdf,initT_cdf,dS_abscissa,dS_pdf,dS_cdf,lBt0_abscissa,lBt0_pdf,lBt0_cdf,dI_abscissa,dI_pdf,dI_cdf,n_abscissa,n_pdf,n_cdf,split
-12.1787,0.0943247,0.182214,0.00360147,32.5306,0.941444,-4.82539,0.773581,0.308985,11.239,0.00523238,0.982388,0.355364,0.260097,0.97303,All
-12.0258,0.0989607,0.196991,0.00368712,30.6147,0.944147,-4.79867,0.795182,0.329948,11.5024,0.00478359,0.983706,0.363558,0.238049,0.97507,All
-11.8729,0.103516,0.212471,0.00377276,28.8363,0.946692,-4.77195,0.814578,0.35146,11.7658,0.00437803,0.984912,0.371752,0.218058,0.976937,All
-11.72,0.10796,0.228639,0.00385841,27.1839,0.94909,-4.74523,0.831579,0.373458,12.0292,0.00401107,0.986016,0.379946,0.199917,0.978648,All
-11.5671,0.11226,0.245477,0.00394406,25.6468,0.951352,-4.71851,0.846017,0.395877,12.2926,0.00367865,0.987028,0.38814,0.183439,0.980218,All
-11.4142,0.116384,0.262958,0.00402971,24.2155,0.953487,-4.69179,0.857748,0.418646,12.556,0.00337716,0.987956,0.396334,0.168459,0.981659,All
-11.2613,0.120302,0.281055,0.00411536,22.8815,0.955503,-4.66507,0.866652,0.44169,12.8194,0.00310341,0.988809,0.404528,0.154827,0.982982,All
-11.1084,0.123982,0.299733,0.004201,21.6368,0.957409,-4.63835,0.87264,0.464934,13.0828,0.00285458,0.989593,0.412722,0.142412,0.984199,All
-10.9555,0.127395,0.318954,0.00428665,20.4745,0.959211,-4.61163,0.875649,0.488298,13.3462,0.00262814,0.990315,0.420916,0.131094,0.985319,All
-10.8026,0.130513,0.338675,0.0043723,19.3882,0.960918,-4.58491,0.875649,0.511702,13.6096,0.00242186,0.99098,0.42911,0.12077,0.98635,All
-10.6497,0.13331,0.358847,0.00445795,18.3718,0.962534,-4.55819,0.87264,0.535066,13.873,0.00223376,0.991592,0.437304,0.111342,0.987301,All
-10.4968,0.135763,0.379422,0.00454359,17.4202,0.964067,-4.53147,0.866652,0.55831,14.1363,0.00206205,0.992158,0.445498,0.102727,0.988177,All
-10.3439,0.13785,0.400344,0.00462924,16.5285,0.96552,-4.50475,0.857748,0.581354,14.3997,0.00190515,0.99268,0.453692,0.0948473,0.988986,All
-10.191,0.139553,0.421556,0.00471489,15.6922,0.9669,-4.47803,0.846017,0.604123,14.6631,0.00176165,0.993162,0.461886,0.0876349,0.989733,All
-10.0381,0.140858,0.442998,0.00480054,14.9072,0.96821,-4.45131,0.831579,0.626542,14.9265,0.00163027,0.993609,0.47008,0.0810279,0.990424,All
-9.88522,0.141753,0.464608,0.00488619,14.1698,0.969455,-4.42459,0.814578,0.64854,15.1899,0.00150988,0.994022,0.478274,0.0749708,0.991063,All
-9.73232,0.14223,0.486323,0.00497183,13.4767,0.970638,-4.39787,0.795182,0.670052,15.4533,0.00139947,0.994405,0.486468,0.0694136,0.991654,All
-9.57943,0.142284,0.508079,0.00505748,12.8247,0.971764,-4.37115,0.773581,0.691015,15.7167,0.00129811,0.99476,0.494662,0.0643112,0.992202,All
-9.42653,0.141916,0.529811,0.00514313,12.2109,0.972836,-4.34443,0.74998,0.711374,15.9801,0.00120498,0.99509,0.502856,0.0596228,0.992709,All
-9.27364,0.141128,0.551455,0.00522878,11.6326,0.973857,-4.31771,0.7246,0.731078,16.2435,0.00111934,0.995396,0.51105,0.0553119,0.99318,All
-9.12074,0.139928,0.572946,0.00531443,11.0876,0.97483,-4.29099,0.697673,0.750083,16.5069,0.00104053,0.99568,0.519244,0.051345,0.993616,All
-8.96785,0.138326,0.594223,0.00540007,10.5734,0.975757,-4.26427,0.669438,0.768351,16.7703,0.000967936,0.995944,0.527438,0.0476923,0.994022,All
-8.81495,0.136336,0.615225,0.00548572,10.0881,0.976642,-4.23755,0.640139,0.785849,17.0337,0.000901017,0.99619,0.535631,0.0443264,0.994399,All
-8.66206,0.133975,0.635894,0.00557137,9.62973,0.977486,-4.21083,0.610017,0.802553,17.2971,0.000839283,0.996419,0.543825,0.0412228,0.994749,All
-8.50916,0.131264,0.656176,0.00565702,9.19655,0.978292,-4.18411,0.579316,0.818443,17.5605,0.000782288,0.996633,0.552019,0.0383591,0.995075,All
-8.35626,0.128226,0.676017,0.00574266,8.78692,0.979062,-4.15739,0.548269,0.833508,17.8239,0.000729628,0.996832,0.560213,0.035715,0.995378,All
-8.20337,0.124886,0.695371,0.00582831,8.39933,0.979798,-4.13067,0.517102,0.847742,18.0873,0.000680939,0.997018,0.568407,0.0332721,0.995661,All
-8.05047,0.121272,0.714192,0.00591396,8.0324,0.980501,-4.10395,0.486031,0.861143,18.3507,0.000635889,0.997191,0.576601,0.0310136,0.995924,All
-7.89758,0.117413,0.732442,0.00599961,7.68482,0.981174,-4.07723,0.455257,0.873718,18.6141,0.000594176,0.997353,0.584795,0.0289244,0.99617,All
-7.74468,0.113339,0.750085,0.00608526,7.3554,0.981818,-4.05051,0.424966,0.885477,18.8775,0.000555526,0.997504,0.592989,0.0269904,0.996399,All
-7.59179,0.109081,0.767091,0.0061709,7.04303,0.982435,-4.02379,0.395327,0.896434,19.1408,0.000519691,0.997646,0.601183,0.0251992,0.996612,All
-7.43889,0.104672,0.783434,0.00625655,6.74665,0.983025,-3.99707,0.366492,0.90661,19.4042,0.000486443,0.997778,0.609377,0.0235392,0.996812,All
-7.28599,0.100142,0.799092,0.0063422,6.46532,0.983591,-3.97035,0.338592,0.916028,19.6676,0.000455576,0.997902,0.617571,0.0219998,0.996998,All
-7.1331,0.0955237,0.814052,0.00642785,6.19813,0.984133,-3.94363,0.31174,0.924714,19.931,0.0004269,0.998018,0.625765,0.0205716,0.997173,All
-6.9802,0.0908477,0.8283,0.0065135,5.94425,0.984653,-3.91691,0.286032,0.932698,20.1944,0.000400243,0.998127,0.633959,0.0192456,0.997336,All
-6.82731,0.086144,0.841831,0.00659914,5.7029,0.985151,-3.89019,0.261542,0.940011,20.4578,0.000375449,0.998229,0.642153,0.0180139,0.997488,All
-6.67441,0.0814412,0.854642,0.00668479,5.47335,0.98563,-3.86347,0.238327,0.946686,20.7212,0.000352372,0.998325,0.650347,0.0168692,0.997631,All
-6.52152,0.0767664,0.866736,0.00677044,5.25493,0.986089,-3.83675,0.216426,0.952759,20.9846,0.000330882,0.998415,0.658541,0.0158047,0.997765,All
-6.36862,0.0721451,0.878119,0.00685609,5.047,0.98653,-3.81003,0.195863,0.958264,21.248,0.000310857,0.9985,0.666735,0.0148143,0.99789,All
-6.21572,0.0676005,0.888801,0.00694173,4.84898,0.986954,-3.7833,0.176644,0.963238,21.5114,0.000292186,0.998579,0.674929,0.0138924,0.998008,All
-6.06283,0.063154,0.898796,0.00702738,4.6603,0.987361,-3.75658,0.158763,0.967716,21.7748,0.00027477,0.998654,0.683123,0.0130337,0.998118,All
-5.90993,0.0588248,0.908119,0.00711303,4.48045,0.987753,-3.72986,0.142202,0.971734,22.0382,0.000258513,0.998724,0.691317,0.0122336,0.998222,All
-5.75704,0.0546296,0.916791,0.00719868,4.30895,0.988129,-3.70314,0.12693,0.975327,22.3016,0.000243332,0.99879,0.699511,0.0114876,0.998319,All
-5.60414,0.0505828,0.924832,0.00728433,4.14534,0.988491,-3.67642,0.11291,0.978528,22.565,0.000229146,0.998852,0.707705,0.0107917,0.99841,All
-5.45125,0.0466967,0.932267,0.00736997,3.9892,0.988839,-3.6497,0.100093,0.981371,22.8284,0.000215885,0.998911,0.715899,0.0101424,0.998496,All
-5.29835,0.0429812,0.93912,0.00745562,3.84012,0.989175,-3.62298,0.0884256,0.983887,23.0918,0.00020348,0.998966,0.724093,0.00953607,0.998576,All
-5.14545,0.0394437,0.945419,0.00754127,3.69774,0.989497,-3.59626,0.0778499,0.986106,23.3552,0.000191872,0.999018,0.732287,0.00896972,0.998652,All
-4.99256,0.0360899,0.951191,0.00762692,3.56169,0.989808,-3.56954,0.0683036,0.988057,23.6186,0.000181003,0.999067,0.740481,0.00844044,0.998724,All
-4.83966,0.0329231,0.956465,0.00771256,3.43166,0.990108,-3.54282,0.0597219,0.989765,23.8819,0.000170822,0.999113,0.748675,0.00794558,0.998791,All
-4.68677,0.029945,0.961268,0.00779821,3.30732,0.990396,-3.5161,0.052039,0.991256,24.1453,0.00016128,0.999157,0.756869,0.00748269,0.998854,All
-4.53387,0.0271554,0.965631,0.00788386,3.18839,0.990674,-3.48938,0.0451886,0.992554,24.4087,0.000152333,0.999198,0.765063,0.00704951,0.998913,All
-4.38098,0.0245525,0.969582,0.00796951,3.07459,0.990942,-3.46266,0.0391051,0.993678,24.6721,0.00014394,0.999237,0.773257,0.00664396,0.998969,All
-4.22808,0.0221332,0.973149,0.00805516,2.96566,0.991201,-3.43594,0.0337243,0.99465,24.9355,0.000136063,0.999274,0.78145,0.00626411,0.999022,All
-4.07518,0.019893,0.976359,0.0081408,2.86136,0.991451,-3.40922,0.028984,0.995486,25.1989,0.000128667,0.999309,0.789644,0.00590818,0.999072,All
-3.92229,0.0178264,0.97924,0.00822645,2.76145,0.991691,-3.3825,0.0248243,0.996204,25.4623,0.00012172,0.999342,0.797838,0.00557453,0.999119,All
-3.76939,0.0159271,0.981819,0.0083121,2.66573,0.991924,-3.35578,0.0211886,0.996817,25.7257,0.000115191,0.999373,0.806032,0.00526162,0.999164,All
-3.6165,0.0141878,0.984119,0.00839775,2.57398,0.992148,-3.32906,0.0180231,0.99734,25.9891,0.000109052,0.999403,0.814226,0.00496806,0.999205,All
-3.4636,0.012601,0.986165,0.0084834,2.48601,0.992365,-3.30234,0.0152779,0.997784,26.2525,0.000103279,0.999431,0.82242,0.00469253,0.999245,All
-3.31071,0.0111583,0.98798,0.00856904,2.40165,0.992574,-3.27562,0.0129064,0.99816,26.5159,9.78461e-05,0.999457,0.830614,0.00443383,0.999282,All
