initT_abscissa,initT_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,dI_abscissa,dI_cdf,n_abscissa,n_cdf,split
-9.48999,0.495918,0.000626994,0.495918,-4.59892,0.493878,2.30998,0.493878,0.101108,0.493878,All
-9.4887,0.497959,0.000644554,0.497959,-4.59285,0.495918,2.3363,0.495918,0.101578,0.495918,All
-9.48086,0.5,0.000654022,0.5,-4.5895,0.497959,2.3387,0.497959,0.102056,0.497959,All
-9.47634,0.502041,0.000660513,0.502041,-4.58945,0.5,2.34054,0.5,0.102191,0.5,All
-9.44074,0.504082,0.000663814,0.504082,-4.5875,0.502041,2.34169,0.502041,0.102458,0.502041,All
-9.43402,0.506122,0.000668298,0.506122,-4.5867,0.504082,2.35131,0.504082,0.102648,0.504082,All
-9.43081,0.508163,0.000673352,0.508163,-4.58474,0.506122,2.35914,0.506122,0.102855,0.506122,All
-9.40365,0.510204,0.000686897,0.510204,-4.58437,0.508163,2.36253,0.508163,0.102966,0.508163,All
-9.38154,0.512245,0.000689151,0.512245,-4.58363,0.510204,2.37298,0.510204,0.103088,0.510204,All
-9.36729,0.514286,0.000700522,0.514286,-4.58324,0.512245,2.4069,0.512245,0.103742,0.512245,All
-9.36472,0.516327,0.000702545,0.516327,-4.58248,0.514286,2.40978,0.514286,0.103769,0.514286,All
-9.36057,0.518367,0.000713228,0.518367,-4.58207,0.516327,2.42347,0.516327,0.103813,0.516327,All
-9.36035,0.520408,0.000720538,0.520408,-4.58079,0.518367,2.42408,0.518367,0.104791,0.518367,All
-9.35673,0.522449,0.000720631,0.522449,-4.57983,0.520408,2.42727,0.520408,0.104819,0.520408,All
-9.3517,0.52449,0.000721082,0.52449,-4.57887,0.522449,2.44011,0.522449,0.105342,0.522449,All
-9.33309,0.526531,0.00072488,0.526531,-4.57535,0.52449,2.44869,0.52449,0.105966,0.52449,All
-9.31884,0.528571,0.000729048,0.528571,-4.57449,0.526531,2.46036,0.526531,0.106206,0.526531,All
-9.29856,0.530612,0.000742129,0.530612,-4.57361,0.528571,2.46231,0.528571,0.106323,0.528571,All
-9.29002,0.532653,0.000744716,0.532653,-4.57098,0.530612,2.46703,0.530612,0.106943,0.530612,All
-9.28238,0.534694,0.000769494,0.534694,-4.56718,0.532653,2.49828,0.532653,0.107406,0.532653,All
