parameter,value,se_lin,rse_lin
initT_pop,-7.39610737620454461,0.53989919309236489,7.29977494417373673
aS_pop,70.00000000000002842,,
dS_pop,0.04243169723268542,0.00244862634318256,5.77074805599897367
tau_pop,0.05000000000000001,,
lBt0_pop,-4.87203240893629452,0.02670269891776391,0.54808130727508597
lp_pop,4.59999999999999964,,
dI_pop,0.90000000000000002,,
lk_pop,-1.87238689903335809,0.05730079736526439,3.06030753552305912
f_pop,0.89999999999999991,,
dp_pop,0.00100000000000000,,
lw_pop,0.31180695613987230,0.09726431263868704,31.19375970401879172
dE_pop,1.00000000000000000,,
lI50_pop,-0.26329225383954996,0.11892908744860591,45.16999103250533665
omega_initT,2.52542857789507247,0.35831660251311109,14.18834829261992425
omega_dS,0.04867324273929205,0.05964848400710801,122.54881871463243215
omega_lBt0,0.02374805671914103,0.02284384964635642,96.19250078657667302
omega_lw,0.60119607287920707,0.07166915763414324,11.92109544077861649
omega_lI50,0.61330071689999344,0.07929162867953406,12.92867047022603977
a,0.40859736054316276,0.01524965413505731,3.73219594830113621
