initT_abscissa,initT_pdf,aS_abscissa,aS_pdf,dS_abscissa,dS_pdf,lBt0_abscissa,lBt0_pdf,dI_abscissa,dI_pdf,w_abscissa,w_pdf,split
-15.3205,0.0029607,1.37141,0.167328,0.00458462,18.3055,-4.30594,0.0963558,0.0697893,0.198266,0.0190146,1.18389,All
-14.6295,0.0029607,1.39587,0.669311,0.00480817,18.3055,-4.2847,0.0963558,0.111068,0.446098,0.0328404,10.0631,All
-13.9384,0,1.42032,1.58961,0.00503171,36.611,-4.26347,0.0963558,0.152347,0.793064,0.0466662,11.099,All
-13.2473,0,1.44478,1.17129,0.00525525,100.68,-4.24224,0.481779,0.193625,0.743497,0.0604921,12.1349,All
-12.5563,0.0029607,1.46924,2.17526,0.0054788,146.444,-4.221,1.05991,0.234904,0.793064,0.0743179,8.28724,All
-11.8652,0.00888209,1.49369,2.34259,0.00570234,256.277,-4.19977,0.770847,0.276182,1.14003,0.0881438,8.28724,All
-11.1742,0.0118428,1.51815,3.9322,0.00592588,402.721,-4.17853,2.4089,0.317461,0.793064,0.10197,4.88355,All
-10.4831,0.0177642,1.5426,4.18319,0.00614943,494.249,-4.1573,3.37245,0.35874,0.743497,0.115795,4.73556,All
-9.79202,0.0118428,1.56706,4.35052,0.00637297,530.86,-4.13607,3.85423,0.400018,0.743497,0.129621,3.99563,All
-9.10095,0.0325677,1.59151,4.8525,0.00659651,576.623,-4.11483,4.72144,0.441297,0.793064,0.143447,4.2916,All
-8.40989,0.0414498,1.61597,4.18319,0.00682006,576.623,-4.0936,5.49228,0.482575,0.545231,0.157273,1.33188,All
-7.71882,0.068096,1.64042,4.01586,0.0070436,421.027,-4.07236,4.62508,0.523854,1.28873,0.171099,1.47986,All
-7.02776,0.106585,1.66488,2.84457,0.00726714,247.124,-4.05113,4.72144,0.565133,0.545231,0.184925,0.887918,All
-6.33669,0.162838,1.68933,1.75694,0.00749068,283.735,-4.02989,4.23966,0.606411,0.545231,0.19875,0.443959,All
-5.64563,0.195406,1.71379,1.58961,0.00771423,183.055,-4.00866,4.1433,0.64769,0.594798,0.212576,0.591945,All
-4.95456,0.153956,1.73825,0.920302,0.00793777,109.833,-3.98743,3.17974,0.688968,0.99133,0.226402,0.295973,All
-4.2635,0.150996,1.7627,0.836639,0.00816131,109.833,-3.96619,2.50525,0.730247,0.941763,0.240228,0.443959,All
-3.57243,0.162838,1.78716,0.418319,0.00838486,54.9165,-3.94496,1.25263,0.771526,1.1896,0.254054,0.443959,All
-2.88136,0.12731,1.81161,0.167328,0.0086084,54.9165,-3.92372,0.963558,0.812804,1.23916,0.26788,0.147986,All
-2.1903,0.0740174,1.83607,0.250992,0.00883194,9.15275,-3.90249,0.192712,0.854083,1.43743,0.281706,0,All
-1.49923,0.0444105,1.86052,0.167328,0.00905549,18.3055,-3.88126,0.385423,0.895361,2.42876,0.295531,0,All
-0.808168,0.103624,1.88498,0,0.00927903,9.15275,-3.86002,0.0963558,0.93664,2.92442,0.309357,0,All
-0.117103,0.0266463,1.90943,0.0836639,0.00950257,9.15275,-3.83879,0.385423,0.977919,3.42009,0.323183,0.443959,All
